tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,The Open Championship,100,"Smith, Cameron",15856,1,1,St. Andrews Links (Old Course),668,72,67,3.818,0.682,0.58,0.613,1.874,5.699,308.6,0.562,0.778,0.833,50.42,34.026
pga,2022,2022,The Open Championship,100,"Smith, Cameron",15856,1,2,St. Andrews Links (Old Course),668,72,64,6.2,0.53,0.94,0.018,1.489,7.724,284.4,0.75,0.889,0.667,58.46,38.227
pga,2022,2022,The Open Championship,100,"Smith, Cameron",15856,1,3,St. Andrews Links (Old Course),668,72,73,-1.654,0.04,-0.362,0.305,-0.017,-1.663,314.7,0.625,0.889,0.4,58.87,26.995
pga,2022,2022,The Open Championship,100,"Smith, Cameron",15856,1,4,St. Andrews Links (Old Course),668,72,64,2.909,0.94,0.875,0.919,2.734,5.675,304.8,0.75,0.944,1.0,51.33,37.287
pga,2022,2022,The Open Championship,100,"Young, Cameron",26651,2,1,St. Andrews Links (Old Course),668,72,64,1.852,2.214,3.818,0.808,6.84,8.699,323.1,0.5,1.0,1.0,41.723,24.445
pga,2022,2022,The Open Championship,100,"Young, Cameron",26651,2,2,St. Andrews Links (Old Course),668,72,69,0.043,1.02,0.396,1.229,2.645,2.724,310.8,0.688,0.778,0.5,44.707,40.413
pga,2022,2022,The Open Championship,100,"Young, Cameron",26651,2,3,St. Andrews Links (Old Course),668,72,71,-0.094,0.052,-1.259,1.629,0.423,0.337,327.4,0.562,0.611,0.625,36.373,27.205
pga,2022,2022,The Open Championship,100,"Young, Cameron",26651,2,4,St. Andrews Links (Old Course),668,72,65,2.214,-0.071,0.932,1.568,2.429,4.675,325.8,0.812,0.944,0.5,36.355,37.341
pga,2022,2022,The Open Championship,100,"McIlroy, Rory",10091,3,1,St. Andrews Links (Old Course),668,72,66,3.493,0.963,0.273,1.964,3.2,6.699,325.2,0.562,0.778,0.833,42.972,38.429
pga,2022,2022,The Open Championship,100,"McIlroy, Rory",10091,3,2,St. Andrews Links (Old Course),668,72,68,0.123,-0.279,1.103,2.742,3.566,3.724,321.7,0.625,0.944,0.333,45.998,37.516
pga,2022,2022,The Open Championship,100,"McIlroy, Rory",10091,3,3,St. Andrews Links (Old Course),668,72,66,0.652,2.626,0.612,1.438,4.677,5.337,326.0,0.625,0.889,0.6,48.939,36.044
