#,Name,ID,Salary,ceil,fpts,total_pts,total_points,final_prediction,win,residuals,course_fit,proj_own,own_change,own,contest,delta
18,Tyrrell Hatton,23258455,8700,98.5,72.77,58.58,69.8,1.311,0.0183,0.11,0.95,7.8,3.49,0.1,0.07,0.03
27,Cameron Young,23258465,7800,95,67.61,53.93,63.7,0.896,0.0093,0.1,0.59,6.8,2.21,0.1,0.05,0.05
39,Patrick Reed,23258478,7300,88.5,59.06,46.5,57,0.523,0.0041,-0.28,0.86,5.1,2.59,0.1,0.08,0.02
42,Talor Gooch,23258481,7300,94,66.95,48.93,62.7,0.896,0.008,0.26,1.05,6,4.06,0.1,0.06,0.04
44,Thomas Pieters,23258483,7200,94,66.53,50.84,63.7,0.967,0.0095,0.53,0.32,4.6,1.92,0.1,0.07,0.03
49,Keegan Bradley,23258488,7200,98.35,73.39,48.93,62.2,0.837,0.008,0.32,0.34,8.5,1.67,0.1,0.05,0.05
55,Gary Woodland,23258493,7100,92.5,64.27,52.33,61.4,0.82,0.0075,0.31,0.23,10.2,1.27,0.1,0.05,0.05
66,Aaron Wise,23321384,7000,88.5,59.75,54.97,63.7,0.907,0.01,0.75,0.55,4,3.05,0.1,0.05,0.05
71,Lucas Herbert,23258506,6900,84,52.33,52.33,61.7,0.78,0.0076,0.5,1.3,8.7,5.3,0.1,0.03,0.07
98,Wyndham Clark,23258530,6600,85,55,44.46,59.2,0.661,0.0052,0.44,1.12,4.8,4.58,0.1,0.03,0.07
1,Rory McIlroy,23258438,11100,115.85,94.68,59.99,84.9,2.22,0.0662,1.4,2.34,22.7,10.29,0.05,0.24,-0.19
15,Viktor Hovland,23258452,9000,99.35,74.67,56.79,66.3,1.097,0.0125,-0.88,-0.07,4.2,-1.56,0.05,0.05,0.00
20,Brooks Koepka,23258457,8500,95,67.59,59.31,64.8,0.963,0.0102,-0.58,0.22,2.6,-0.1,0.05,0.05,0.00
23,Corey Conners,23258460,8200,97,71.29,55.04,63.3,0.976,0.009,-0.36,0.08,6.2,-0.26,0.05,0.06,-0.01
24,Bryson DeChambeau,23258461,8100,86.5,56.74,49.09,55.9,0.376,0.0036,-0.92,0.62,4.6,0.79,0.05,0.03,0.02
36,Sergio Garcia,23258475,7400,95,68.53,48.56,61.3,0.844,0.0077,0.17,-0.11,4.6,-0.13,0.05,0.02,0.03
40,J.T. Poston,23258479,7300,89.35,60.45,46.5,56.1,0.387,0.004,-0.29,0.38,2.7,0.89,0.05,0.04,0.01
45,Jordan L. Smith,23258484,7200,92.5,65.04,52.08,63.4,0.991,0.0083,0.36,-0.35,9.2,-0.68,0.05,0.11,-0.06
47,Harold Varner III,23258486,7200,95,68.29,48.56,62.6,0.862,0.0077,0.28,0.72,2.2,2.94,0.05,0.03,0.02
50,Sebastian Munoz,23321381,7200,93.5,66.48,46.5,59,0.566,0.0044,-0.18,0.25,1.7,0.6,0.05,0.01,0.04
57,Sahith Theegala,23321383,7100,91.5,64.03,46.13,58.4,0.58,0.0045,-0.12,0.1,4.2,0.17,0.05,0.06,-0.01
58,Danny Willett,23258495,7000,83.5,53.71,48.24,54.8,0.34,0.0027,-0.29,0.02,2.4,-0.36,0.05,0.02,0.03
61,Cameron Tringale,23258498,7000,91.5,65.15,44.83,59.6,0.7,0.0057,0.13,0.72,3.8,2.72,0.05,0.05,0.00
63,Tom Hoge,23258500,7000,88.5,59.43,44.96,51.9,0.119,0.0021,-0.38,-0.47,0.61,-2.21,0.05,0.01,0.04
65,Si Woo Kim,23321377,7000,90,61.17,46.5,57.8,0.579,0.0047,-0.01,0.25,1.8,0.86,0.05,0.01,0.04
68,Min Woo Lee,23258503,6900,83.5,52.46,46.35,57.1,0.463,0.0043,0.02,0.28,0.88,1.01,0.05,0.00,0.05
70,Kevin Kisner,23258505,6900,88.5,59.15,45.88,50.2,-0.089,0.0018,-0.34,0.27,2.3,0.43,0.05,0.04,0.01
73,Adri Arnaus,23258508,6900,80.5,49.54,50.97,60.7,0.67,0.0067,0.37,0.4,1.4,1.95,0.05,0.01,0.04
75,Kurt Kitayama,23321378,6900,82,50.69,46.13,55.5,0.366,0.0039,-0.03,-0.22,3.1,-0.82,0.05,0.02,0.03
77,Dylan Frittelli,23258510,6800,83.5,53.08,44.46,57.4,0.482,0.004,0.07,-0.19,2.3,-0.56,0.05,0.02,0.03
78,Mackenzie Hughes,23258511,6800,84.5,53.59,46.13,55.6,0.406,0.0028,-0.11,0.8,3.8,2.63,0.05,0.02,0.03
79,Stewart Cink,23258512,6800,86,56.17,48.24,56,0.328,0.0034,-0.02,-0.73,2.1,-2.58,0.05,0.02,0.03
82,Kyoung-Hoon Lee,23258515,6800,90.5,63.78,44.83,58.1,0.528,0.0048,0.19,0.27,2.4,1.23,0.05,0.01,0.04
85,Garrick Higgo,23258516,6700,79.5,47.8,43.49,44.5,-0.537,5.00E-04,-0.36,-1.33,0.21,-5.19,0.05,0.00,0.05
90,Dean Burmester,23258521,6700,82,51.04,52.33,61.8,0.809,0.0081,0.78,0.12,3.9,1.59,0.05,0.03,0.02
91,Erik Van Rooyen,23258522,6700,88,57.57,44.33,54.2,0.256,0.003,0.02,-0.58,1.8,-2,0.05,0.01,0.04
92,Emiliano Grillo,23258523,6700,90,59.39,48.4,53.3,0.197,0.003,0.02,-0.81,2.3,-2.8,0.05,0.02,0.03
96,Richard Mansell,23258527,6600,88.5,58.41,45.05,54.5,0.29,0.0035,0.18,-1.12,0.29,-3.65,0.05,0.00,0.05
97,Thomas Detry,23258529,6600,88.5,58,44.46,56.7,0.449,0.0039,0.24,0.01,5.6,0.39,0.05,0.05,0.00
100,Zach Johnson,23258532,6500,82.5,52.04,48.12,43.9,-0.514,7.00E-04,-0.17,-0.7,0.7,-2.7,0.05,0.01,0.04
103,Thriston Lawrence,23258536,6500,85.5,55.67,44.53,54.6,0.3,0.0034,0.24,-0.62,1.2,-1.81,0.05,0.03,0.02
5,Collin Morikawa,23258442,10300,100,76.44,54.86,67.8,1.212,0.0158,-2.03,0.19,4.6,-2.38,0,0.06,-0.06
9,Will Zalatoris,23258446,9600,102,77.94,47.18,73.2,1.587,0.027,-0.01,0.81,12.3,2.82,0,0.11,-0.11
16,Sam Burns,23258453,8900,100.5,75.69,44.67,66.3,1.059,0.0125,-0.79,1.27,10.8,3.26,0,0.07,-0.07
22,Sungjae Im,23258459,8300,100.5,75.97,47.19,69.5,1.297,0.016,0.36,1.15,7.1,4.56,0,0.06,-0.06
28,Robert Macintyre,23258466,7800,89,60.31,46.13,57.4,0.495,0.0047,-0.49,-0.05,5.9,-0.91,0,0.06,-0.06
29,Adam Scott,23258467,7700,96,68.84,43.01,62.5,0.823,0.0079,0.01,0.14,7,0.5,0,0.10,-0.10
30,Marc Leishman,23258468,7700,93,65.95,38.48,59.8,0.728,0.006,-0.24,0.4,4.3,1.04,0,0.05,-0.05
31,Webb Simpson,23258469,7600,96.5,70.06,42.73,57.1,0.485,0.0041,-0.42,0.38,3.7,0.7,0,0.07,-0.07
32,Abraham Ancer,23258470,7600,93.5,66.63,46.01,56.9,0.491,0.0041,-0.42,-0.48,1.5,-2.31,0,0.03,-0.03
33,Paul Casey,23258472,7500,90.5,62.83,46.5,59.3,0.661,0.0065,-0.04,0.19,1.4,0.6,0,0.03,-0.03
34,Billy Horschel,23258473,7500,95,68.09,44.7,58.2,0.555,0.0047,-0.28,0.68,4,1.96,0,0.05,-0.05
37,Lee Westwood,23258476,7400,84.85,55.25,44.96,46.1,-0.403,8.00E-04,-0.76,-1.65,0.66,-6.91,0,0.01,-0.01
38,Justin Rose,23258477,7400,94,66.71,42.73,58,0.535,0.0059,-0.07,0.15,9.9,0.42,0,0.11,-0.11
41,Christiaan Bezuidenhout,23258480,7300,94,67.72,44.7,58.7,0.62,0.005,-0.16,0.46,6.5,1.37,0,0.07,-0.07
43,Mito Pereira,23258482,7300,96.5,71.57,42.73,59.6,0.693,0.0066,0.06,0.12,11.2,0.51,0,0.04,-0.04
46,Russell Henley,23258485,7200,94,67.59,44.7,55.7,0.443,0.0037,-0.28,0.13,1.9,0.03,0,0.03,-0.03
48,Jason Kokrak,23258487,7200,91.5,64.08,41.23,60,0.641,0.0059,0.03,0.31,0.67,1.13,0,0.01,-0.01
52,Adrian Meronk,23258490,7100,91.5,63.3,41.01,60.2,0.678,0.006,0.1,0.18,1.8,0.78,0,0.02,-0.02
53,Victor Perez,23258491,7100,83.5,51.48,41.45,51.9,0.107,0.0022,-0.44,-1.41,2.2,-5.59,0,0.01,-0.01
54,Francesco Molinari,23258492,7100,83.5,53.74,44.96,50,-0.109,0.0017,-0.51,-0.46,0.65,-2.38,0,0.01,-0.01
56,Ian Poulter,23258494,7100,87.5,56.79,39.71,48.6,-0.139,0.001,-0.61,0.01,0.27,-0.88,0,0.01,-0.01
59,Kevin Na,23258496,7000,88.5,59.75,43.98,51.8,0.067,0.0025,-0.32,0.32,0.86,0.64,0,0.02,-0.02
60,Bernd Wiesberger,23258497,7000,88.5,59.18,41.28,49.7,-0.045,0.0011,-0.52,-1.58,0.53,-6.31,0,0.01,-0.01
62,Henrik Stenson,23258499,7000,83.5,51.67,41.32,51.9,0.095,0.0017,-0.44,-1.45,0.32,-5.73,0,0.00,0.00
64,Harris English,23258501,7000,84,52.6,41.82,51.6,0.044,0.0018,-0.42,0.84,2.3,2.31,0,0.02,-0.02
67,Hao-Tong Li,23258502,6900,80,47.41,44.46,59.1,0.502,0.0059,0.26,-0.17,4.9,-0.2,0,0.04,-0.04
72,Nicolai Hojgaard,23258507,6900,84,53.04,39.35,46.7,-0.29,8.00E-04,-0.48,-0.87,0.23,-3.77,0,0.00,0.00
74,Brian Harman,23321376,6900,94,67.39,42.17,53.4,0.267,0.0024,-0.25,0.03,2.3,-0.27,0,0.02,-0.02
76,Chris Kirk,23258509,6800,96,70.12,42.73,56.5,0.453,0.0037,0.02,0.32,4.5,1.15,0,0.04,-0.04
80,Guido Migliozzi,23258513,6800,70.5,39.96,36.03,42,-0.836,0,-0.52,-1.36,0.3,-5.54,0,0.00,0.00
81,Justin Harding,23258514,6800,89.5,60.75,43.98,50.9,-0.056,0.0016,-0.28,-0.34,0.82,-1.61,0,0.02,-0.02
83,Luke List,23321379,6800,91,62.86,36.82,60.1,0.748,0.0064,0.42,-0.75,2.7,-1.99,0,0.01,-0.01
84,Sepp Straka,23321382,6800,84,54.03,36.86,52,0.098,0.0019,-0.24,0.14,0.49,0.13,0,0.00,0.00
86,Pablo Larrazabal,23258517,6700,85.5,56.82,39.56,51.7,0.089,0.0024,-0.07,-0.01,0.67,-0.14,0,0.01,-0.01
87,Sam Horsfield,23258518,6700,94,67.21,43.01,62.2,0.762,0.0075,0.69,0.01,2.7,1.07,0,0.02,-0.02
88,Jason Scrivener,23258519,6700,87,57.54,41.81,45.2,-0.414,5.00E-04,-0.36,-1.24,0.32,-4.88,0,0.01,-0.01
89,Padraig Harrington,23258520,6700,85,55.32,39.92,51.5,0.071,0.0017,-0.18,-1.32,0.71,-4.89,0,0.02,-0.02
93,Shaun Norris,23258524,6600,78,46.71,36.03,42.6,-0.703,0,-0.35,-0.98,0.35,-3.95,0,0.00,0.00
94,Phil Mickelson,23258525,6600,70,39.62,38.27,39.9,-1.025,0,-0.35,-1.59,0.69,-6.09,0,0.01,-0.01
95,Scott Vincent,23258526,6600,83.5,51.59,39.35,45.6,-0.452,6.00E-04,-0.26,-0.82,0.18,-3.26,0,0.00,0.00
99,Matthew Jordan,23258531,6600,83.5,52.31,36.86,52,0.12,0.0024,0.01,-0.59,0.52,-2.05,0,0.00,0.00
101,David Law,23258533,6500,85.5,55.53,39.71,51.8,0.138,0.0018,0,-1.24,0.25,-4.34,0,0.01,-0.01
102,Sihwan Kim,23258535,6500,70.5,39.49,36.03,41.5,-0.815,0,-0.28,-0.36,0.16,-1.68,0,0.00,0.00
104,Marcus Armitage,23258537,6500,85,55.61,39.37,54.1,0.3,0.0026,0.12,-1.21,0.42,-4.06,0,0.00,0.00
105,Richard Bland,23258538,6500,85.5,55.78,38.83,49.1,-0.122,0.0013,-0.08,-1.33,0.46,-4.77,0,0.00,0.00
106,Laurie Canter,23258539,6500,81,49.68,41.98,56.4,0.39,0.0038,0.3,-1.26,0.5,-3.96,0,0.00,0.00
107,Fabrizio Zanotti,23258541,6400,80,48.53,39.72,49.3,-0.084,0.0016,0.04,-1.13,0.95,-3.89,0,0.02,-0.02
108,John Catlin,23258543,6400,86.5,55.51,38.83,45.4,-0.353,6.00E-04,-0.12,-1.15,0.54,-4.2,0,0.00,0.00
109,Alexander Bjork,23258546,6400,83.5,51.69,40.2,48.1,-0.198,8.00E-04,-0.09,0.29,1.2,0.88,0,0.01,-0.01
110,Zander Lombard,23258547,6400,64.85,36.84,40.52,46.3,-0.441,8.00E-04,-0.09,-1.81,0.22,-6.47,0,0.00,0.00
111,Lars Van Meijel,23258552,6300,43.35,34.73,34.51,39.2,-1.023,0,-0.14,-1.39,0.07,-5.07,0,0.00,0.00
112,Ashley Chesters,23258553,6300,76,44.42,22.7,35.2,-1.42,0,-0.14,-2.87,0.09,-10.25,0,0.00,0.00
113,Jamie Donaldson,23321375,6300,78,46.91,38.03,41,-0.854,0,-0.14,-1.3,0.48,-4.76,0,0.01,-0.01
114,Trey Mullinax,23321380,6200,78,46.92,38.02,50.9,-0.029,0.0014,0.16,-1.06,0.43,-3.47,0,0.01,-0.01
115,Matt Ford,23258568,6100,38.5,32.46,22.9,27.9,-2.394,0,-0.01,-2.75,0.02,-9.64,0,0.00,0.00
116,Brandon Wu,23321385,6100,84.5,54.25,39.92,47.6,-0.228,8.00E-04,0.12,-1.38,0.9,-4.65,0,0.03,-0.03
117,Oliver Farr,23258583,6000,70.85,40.08,36.49,36.8,-1.236,0,0.04,-1.66,0.02,-5.75,0,0.00,0.00
