datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"McIlroy, Rory","Rory McIlroy",150,23258438,11100,33.826,9:58 am,1,77.8,7.2,0,84.9,0.77,100,17.1684046541992,
"Scheffler, Scottie","Scottie Scheffler",150,23258439,11000,33.099,1:26 pm,0,74.3,6.2,0,80.5,0.55,100,12.9961036244963,
"Rahm, Jon","Jon Rahm",150,23258440,10800,33.035,3:10 pm,0,73.4,5.9,0,79.3,0.54,100,11.8398879095279,
"Thomas, Justin","Justin Thomas",150,23258441,10500,32.619,10:09 am,1,72.4,5.6,0,77.9,0.55,100,13.6675723490009,
"Morikawa, Collin","Collin Morikawa",150,23258442,10300,32.069,9:58 am,1,64.2,3.6,0,67.8,0.05,100,8.58598689459784,
"Spieth, Jordan","Jordan Spieth",150,23258443,10000,32.904,3:10 pm,0,66.9,4.2,0,71,0.3,100,16.1341036715586,
"Schauffele, Xander","Xander Schauffele",150,23258444,9900,32.520,9:58 am,1,70.6,5.3,0,75.9,0.59,100,15.1927797940161,
"Fitzpatrick, Matthew","Matt Fitzpatrick",150,23258445,9700,32.429,2:59 pm,0,71.5,5.6,0,77.1,0.7,100,12.02933815132,
"Zalatoris, Will","Will Zalatoris",150,23258446,9600,32.723,10:20 am,1,68.5,4.7,0,73.2,0.52,100,11.5006948730175,
"Smith, Cameron","Cameron Smith",150,23258447,9500,32.698,8:03 am,1,67.7,4.4,0,72.1,0.49,100,17.1412637512701,
"Cantlay, Patrick","Patrick Cantlay",150,23258448,9400,32.783,3:21 pm,0,71.2,5.3,0,76.5,0.75,100,14.3392157952302,
"Lowry, Shane","Shane Lowry",150,23258449,9300,33.295,10:09 am,1,73.5,6.1,0,79.7,0.94,100,15.2275281627019,
"Johnson, Dustin","Dustin Johnson",150,23258450,9200,33.269,1:15 pm,0,67.9,4.5,0,72.4,0.58,100,11.1412571158427,
"Matsuyama, Hideki","Hideki Matsuyama",150,23258451,9100,32.298,10:20 am,1,65,3.8,0,68.8,0.41,100,9.85537326875395,
"Hovland, Viktor","Viktor Hovland",150,23258452,9000,31.735,10:09 am,1,62.9,3.4,0,66.3,0.3,100,6.78459622534657,
"Burns, Sam","Sam Burns",150,23258453,8900,32.146,3:21 pm,0,63.1,3.2,0,66.3,0.33,100,9.10761062532861,
"Oosthuizen, Louis","Louis Oosthuizen",150,23258454,8800,32.100,2:37 pm,0,62.9,3.4,0,66.3,0.35,100,10.0703733162939,
"Hatton, Tyrrell","Tyrrell Hatton",150,23258455,8700,32.418,1:26 pm,0,65.8,3.9,0,69.8,0.56,100,9.15281889567428,
"Fleetwood, Tommy","Tommy Fleetwood",150,23258456,8600,31.785,8:14 am,1,67.3,4.4,0,71.6,0.69,100,12.4588392540881,
"Koepka, Brooks","Brooks Koepka",150,23258457,8500,31.285,8:03 am,1,61.7,3.1,0,64.8,0.35,100,7.17163558272065,
"Finau, Tony","Tony Finau",150,23258458,8400,31.855,10:20 am,1,65.4,4,0,69.4,0.62,100,14.7914498938937,
