player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,unibet_odds,unibet_ev,skybet_odds,skybet_ev,whill_odds,whill_ev
"McIlroy, Rory",150,+1386,+1000,-0.260,+1000,-0.260,+900,-0.327,+1019,-0.247,+1005,-0.257,+800,-0.395,+1000,-0.260,+1000,-0.260,+900,-0.327,+1000,-0.260,+1175,-0.142,+1000,-0.260,+1000,-0.260,+900,-0.327,+1000,-0.260
"Scheffler, Scottie",150,+1926,+1800,-0.062,+1600,-0.161,+1400,-0.260,+1908,-0.009,+2015,0.044,+1200,-0.358,+1600,-0.161,+1800,-0.062,+1600,-0.161,+1800,-0.062,+1800,-0.062,+1400,-0.260,+1800,-0.062,+1400,-0.260,+1800,-0.062
"Lowry, Shane",150,+2194,+2200,0.003,+2000,-0.084,+2200,0.003,+2367,0.076,+2205,0.005,+1800,-0.172,+2200,0.003,+2200,0.003,+2000,-0.084,+2500,0.134,+2650,0.199,+2000,-0.084,+2000,-0.084,+2000,-0.084,+2500,0.134
"Rahm, Jon",150,+2216,+1800,-0.180,+1600,-0.266,+1600,-0.266,+1850,-0.158,+1850,-0.158,+1200,-0.439,+1800,-0.180,+2000,-0.093,+1400,-0.352,+1600,-0.266,+1900,-0.137,+1600,-0.266,+1600,-0.266,+1400,-0.352,+1800,-0.180
"Thomas, Justin",150,+2682,+2200,-0.173,+2000,-0.245,+1600,-0.389,+2272,-0.147,+2450,-0.083,+1800,-0.317,+1800,-0.317,+2200,-0.173,+1800,-0.317,+2200,-0.173,+2000,-0.245,+1600,-0.389,+2200,-0.173,+1800,-0.317,+2200,-0.173
"Fitzpatrick, Matthew",150,+2755,+2000,-0.264,+1800,-0.335,+1800,-0.335,+2077,-0.238,+2150,-0.212,+1400,-0.475,+1800,-0.335,+1800,-0.335,+1600,-0.405,+2000,-0.264,+2150,-0.212,+2000,-0.264,+1600,-0.405,+1400,-0.475,+2000,-0.264
"Schauffele, Xander",150,+2917,+1600,-0.436,+1300,-0.536,+1200,-0.569,+1652,-0.419,+1650,-0.420,+1100,-0.602,+1400,-0.503,+1400,-0.503,+1400,-0.503,+1600,-0.436,+1800,-0.370,+1600,-0.436,+1400,-0.503,+1200,-0.569,+1600,-0.436
"Cantlay, Patrick",150,+3015,+2800,-0.069,+2600,-0.133,+2000,-0.326,+2718,-0.095,+2350,-0.214,+2200,-0.262,+2200,-0.262,+2500,-0.165,+2500,-0.165,+2800,-0.069,+2600,-0.133,+2200,-0.262,+2200,-0.262,+2200,-0.262,+2800,-0.069
"Johnson, Dustin",150,+3739,+4000,0.068,+3200,-0.140,+3500,-0.062,+3843,0.027,+2650,-0.284,+2500,-0.323,+3300,-0.114,+3300,-0.114,+3300,-0.114,+4000,0.068,+2900,-0.219,+2800,-0.245,+3300,-0.114,+2800,-0.245,+3300,-0.114
"Zalatoris, Will",150,+3841,+3000,-0.213,+2700,-0.289,+3000,-0.213,+2828,-0.257,+3350,-0.125,+2200,-0.416,+2200,-0.416,+2800,-0.264,+2200,-0.416,+2000,-0.467,+3300,-0.137,+3000,-0.213,+2500,-0.340,+2200,-0.416,+2500,-0.340
"Smith, Cameron",150,+4080,+2800,-0.306,+2200,-0.450,+2800,-0.306,+2586,-0.357,+2850,-0.294,+2000,-0.498,+2000,-0.498,+2500,-0.378,+2200,-0.450,+2200,-0.450,+2500,-0.378,+2200,-0.450,+2800,-0.306,+2200,-0.450,+2800,-0.306
"Fleetwood, Tommy",150,+4471,+3500,-0.213,+2800,-0.366,+3500,-0.213,+3821,-0.142,+3750,-0.158,+2800,-0.366,+3300,-0.256,+3300,-0.256,+2800,-0.366,+3300,-0.256,+4600,0.028,+3500,-0.213,+2800,-0.366,+2800,-0.366,+3300,-0.256
"Spieth, Jordan",150,+4503,+1800,-0.587,+1500,-0.652,+1600,-0.631,+1828,-0.581,+1815,-0.584,+1200,-0.718,+1800,-0.587,+1800,-0.587,+1400,-0.674,+1600,-0.631,+1750,-0.598,+1700,-0.609,+1600,-0.631,+1400,-0.674,+1800,-0.587
"Fox, Ryan",150,+5163,+8000,0.539,+5500,0.064,+8000,0.539,+7091,0.366,+7250,0.397,+5000,-0.031,+5500,0.064,+7000,0.349,+5000,-0.031,+8000,0.539,+8300,0.596,+5500,0.064,+5000,-0.031,+6600,0.273,+6600,0.273
"Hatton, Tyrrell",150,+5410,+4000,-0.256,+3400,-0.365,+4000,-0.256,+4132,-0.232,+4050,-0.247,+3300,-0.383,+4000,-0.256,+4000,-0.256,+3300,-0.383,+4000,-0.256,+4700,-0.129,+4000,-0.256,+4000,-0.256,+2800,-0.474,+3300,-0.383
"Matsuyama, Hideki",150,+5739,+5000,-0.127,+3700,-0.349,+5000,-0.127,+5574,-0.028,+5450,-0.050,+3300,-0.418,+5000,-0.127,+4000,-0.298,+3300,-0.418,+5000,-0.127,+5400,-0.058,+5000,-0.127,+4500,-0.212,+3300,-0.418,+4000,-0.298
"Finau, Tony",150,+5791,+5000,-0.134,+4000,-0.304,+3500,-0.389,+5637,-0.026,+4750,-0.177,+4000,-0.304,+4500,-0.219,+5000,-0.134,+4000,-0.304,+5000,-0.134,+4800,-0.168,+4500,-0.219,+5000,-0.134,+4500,-0.219,+4500,-0.219
"Im, Sungjae",150,+5817,+8000,0.369,+6500,0.115,+6500,0.115,+7705,0.319,+7050,0.208,+6600,0.132,+6600,0.132,+6600,0.132,+5000,-0.138,+10000,0.707,+7200,0.234,+6000,0.031,+5500,-0.054,+6000,0.031,+6600,0.132
"Morikawa, Collin",150,+6150,+3000,-0.504,+2800,-0.536,+3000,-0.504,+2899,-0.520,+3350,-0.448,+2500,-0.584,+3000,-0.504,+2800,-0.536,+2500,-0.584,+2800,-0.536,+3100,-0.488,+2800,-0.536,+3000,-0.504,+2200,-0.632,+2500,-0.584
"Niemann, Joaquin",150,+6249,+5000,-0.197,+3700,-0.401,+5000,-0.197,+5676,-0.090,+6550,0.047,+3300,-0.465,+5500,-0.118,+5000,-0.197,+4000,-0.354,+5000,-0.197,+4800,-0.228,+4500,-0.275,+5000,-0.197,+4000,-0.354,+4500,-0.275
"Oosthuizen, Louis",150,+6714,+5000,-0.252,+4000,-0.398,+4000,-0.398,+5176,-0.226,+4850,-0.274,+3300,-0.501,+4500,-0.325,+4000,-0.398,+4000,-0.398,+5000,-0.252,+4300,-0.354,+3500,-0.472,+4500,-0.325,+3300,-0.501,+4000,-0.398
"Power, Seamus",150,+6857,+10000,0.452,+8000,0.164,+6500,-0.051,+9346,0.358,+10550,0.531,+8000,0.164,+8000,0.164,+8000,0.164,+6600,-0.037,+12500,0.811,+9500,0.380,+6600,-0.037,+7000,0.021,+7000,0.021,+8000,0.164
