Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,7,236,162,1632,15,7.1,906,802,62,23.20%,24,9.00%,17,7.20%,10,51,19.10%,44
Buffalo Bills,7,243,140,1277,5,6.7,700,664,58,20.90%,48,17.30%,24,9.90%,16,88,31.70%,51
Carolina Panthers,8,255,163,1511,12,7.7,918,743,95,33.50%,32,11.30%,27,10.60%,21,80,28.20%,55
Chicago Bears,8,250,160,1860,14,8.6,1064,958,48,17.10%,19,6.80%,12,4.80%,21,52,18.60%,50
Cincinnati Bengals,8,328,221,2135,10,7.5,1161,1103,74,20.20%,49,13.40%,21,6.40%,21,91,24.90%,56
Cleveland Browns,8,264,162,1761,17,7.7,952,942,64,21.70%,29,9.80%,31,11.70%,22,82,27.80%,47
Indianapolis Colts,8,257,180,1949,19,7.5,1157,902,54,18.70%,13,4.50%,17,6.60%,17,47,16.30%,52
Arizona Cardinals,8,272,172,1591,11,7.3,944,768,92,30.00%,30,9.80%,29,10.70%,20,79,25.70%,48
Dallas Cowboys,7,265,173,1947,13,8.1,959,1092,69,23.70%,26,8.90%,33,12.50%,12,71,24.40%,47
Denver Broncos,8,266,155,1799,9,9.3,1086,838,103,34.60%,32,10.70%,19,7.10%,20,71,23.80%,31
Detroit Lions,8,222,151,1955,15,10.2,1219,852,67,26.30%,33,12.90%,11,5.00%,14,58,22.70%,50
Green Bay Packers,8,272,181,1734,14,7.8,986,897,63,20.30%,31,10.00%,26,9.60%,20,77,24.80%,41
Houston Texans,8,249,167,2026,15,8.3,1317,813,40,14.50%,21,7.60%,17,6.80%,15,53,19.30%,59
Jacksonville Jaguars,7,227,168,1947,11,8.6,1187,842,70,28.00%,25,10.00%,20,8.80%,11,56,22.40%,51
Kansas City Chiefs,8,266,181,2158,15,7.8,1074,1153,92,31.60%,38,13.10%,25,9.40%,11,74,25.40%,38
Miami Dolphins,8,315,208,2329,17,8.5,1378,1048,113,33.60%,22,6.50%,46,14.60%,12,80,23.80%,59
Minnesota Vikings,7,245,150,1723,9,9.1,919,965,70,25.10%,46,16.50%,11,4.50%,24,81,29.00%,50
New Orleans Saints,7,268,164,1854,10,9.7,1017,951,76,25.50%,24,8.10%,31,11.60%,16,71,23.80%,39
New England Patriots,8,281,171,1921,12,9,1100,928,71,23.10%,31,10.10%,19,6.80%,18,68,22.10%,46
New York Giants,8,294,201,1963,15,7.4,1011,1062,79,24.50%,27,8.40%,19,6.50%,18,64,19.80%,53
New York Jets,7,261,178,1927,10,7.4,974,1082,72,25.40%,29,10.20%,26,10.00%,17,72,25.40%,49
Tennessee Titans,8,316,199,2139,15,8.4,1244,1005,76,21.50%,46,13.00%,31,9.80%,18,95,26.90%,49
Philadelphia Eagles,8,268,199,1765,14,6.4,950,938,47,15.70%,32,10.70%,27,10.10%,17,76,25.40%,61
Pittsburgh Steelers,7,243,159,1678,11,8,1025,769,54,20.10%,41,15.20%,17,7.00%,19,77,28.60%,54
Las Vegas Raiders,7,262,169,1559,11,9.2,985,671,38,12.70%,29,9.70%,34,13.00%,18,81,27.00%,43
Los Angeles Rams,8,323,218,2113,9,6.8,1161,1148,101,27.60%,41,11.20%,17,5.30%,25,83,22.70%,49
Baltimore Ravens,7,267,169,2073,12,8.4,1021,1167,94,32.50%,33,11.40%,30,11.20%,15,78,27.00%,58
Los Angeles Chargers,7,220,145,1421,9,8,758,759,65,26.00%,29,11.60%,22,10.00%,14,65,26.00%,55
Seattle Seahawks,8,323,210,2191,12,7.8,1177,1107,91,25.80%,40,11.30%,29,9.00%,14,83,23.50%,42
San Francisco 49ers,7,221,147,1378,11,8.6,745,728,63,24.50%,26,10.10%,16,7.20%,16,58,22.60%,47
Tampa Bay Buccaneers,8,322,220,2062,16,6.5,1005,1144,143,39.70%,35,9.70%,36,11.20%,17,88,24.40%,61
Washington Football Team,8,303,204,2294,20,8.9,1508,883,106,31.60%,36,10.70%,33,10.90%,19,88,26.30%,52
