"X","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
30,"Abraham Ancer",22991946,7600,62.94,0.0129,0.0093,37,-0.0036,-0.2791,50.47,4.2,71,22.5,0.5349,0.157,0.0698,0.0303,0.0042,1.22,1,-0.35,9.29,15,48.98
31,"Sungjae Im",22991947,7600,79.82,0.0181,0.0263,15,0.0082,0.453,57.73,26.7,76.5,24.5,0.6988,0.3436,0.1938,0.1034,0.0226,3.46,1,1.89,31.29,40,51.23
32,"Seamus Power",22991948,7500,68.71,0.0079,0.0113,32,0.0034,0.4304,50.29,4.8,71.5,22,0.6212,0.2439,0.1214,0.0581,0.0099,1.51,1,0.1,16.03,20,46.12
33,"Keegan Bradley",22991949,7500,68.41,0.0094,0.0124,30,0.003,0.3191,54.88,13.9,74,23.5,0.654,0.2674,0.1393,0.0684,0.013,1.65,1,0.24,18.54,30,46.12
34,"Talor Gooch",22991950,7500,77.72,0.0091,0.0105,34,0.0014,0.1538,50.39,5.8,71,22.5,0.6139,0.2347,0.1172,0.0572,0.0096,1.4,1,-0.01,17.95,25,46.12
35,"Webb Simpson",22991951,7400,65.92,0.0134,0.0106,33,-0.0028,-0.209,50.72,8.6,72,22.5,0.5413,0.1629,0.0729,0.0318,0.0046,1.43,1,0.17,13.37,20,43.01
36,"Harris English",22991952,7400,57,0.0084,0.0024,80,-0.006,-0.7143,39.47,0.39,63.35,19.5,0.4184,0.0804,0.0313,0.0126,0.0017,0.32,1,-0.94,-4.42,0,38.94
37,"Sebastian Munoz",22991953,7400,67.92,0.0062,0.0073,40,0.0011,0.1774,48.32,8.1,69.5,22,0.5951,0.2024,0.0964,0.0455,0.0075,0.99,1,-0.27,11.63,20,50.54
38,"Tom Hoge",22991954,7300,65.91,0.0062,0.0053,52,-9e-04,-0.1452,45.51,1.4,67.5,21,0.5169,0.1451,0.0624,0.0267,0.0036,0.73,1,-0.39,7.23,10,44.45
39,"Davis Riley",22991955,7300,66.6,0.0123,0.0103,35,-0.002,-0.1626,49.09,13.8,70.5,22,0.5902,0.1927,0.0935,0.043,0.007,1.41,1,0.29,12.61,25,43.01
40,"Sergio Garcia",22991956,7300,65,0.0105,0.0065,45,-0.004,-0.381,51.22,2.1,72.5,22.5,0.5575,0.1757,0.0802,0.0336,0.0049,0.89,1,-0.23,11.7,15,44.74
41,"Russell Henley",22991957,7300,77.2,0.0057,0.0096,36,0.0039,0.6842,52.23,10.4,72.5,22.5,0.6283,0.2326,0.1138,0.0543,0.0095,1.32,1,0.2,21.78,30,46.12
42,"Harold Varner III",22991958,7300,67.83,0.014,0.0131,28,-9e-04,-0.0643,51.15,11.6,72.5,22.5,0.67,0.2817,0.1477,0.0735,0.0133,1.79,1,0.67,16.69,30,43.01
43,"Patrick Reed",22991959,7200,61.42,0.0108,0.0065,45,-0.0043,-0.3981,42.57,6.1,65.5,20.5,0.4975,0.1287,0.054,0.0224,0.0029,0.9,1,-0.06,3.4,10,44.74
44,"Jason Kokrak",22991960,7200,69,0.0105,0.0061,49,-0.0044,-0.419,46.9,3.2,68.5,21.5,0.5455,0.1724,0.0801,0.037,0.0058,0.85,1,-0.11,9.43,15,44.74
45,"Sepp Straka",22991961,7200,57.72,0.0049,0.0042,62,-7e-04,-0.1429,41.6,1.3,64.5,20.5,0.5392,0.1506,0.0654,0.0273,0.0035,0.58,1,-0.38,0.76,0,41.85
