player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
C.J. Stroud,129759,QB,HST,12,466,73.2,112,122,6.0,2.64,2,4,3.0,63.1,77,66,6.1,146,31.3,5,55,,,,,88.1,77.8,82.2,76.1,60.0,64.3,4,2,156,30.3,87.0,13.7,20,4,0,4,4,1,0.6,827,6.8,0,13,71.3,74.3,73.4,61.6,71.6,257,274,9.2,3.12,2,16,5.5,63.1,173,113,6.0,320,68.7,11,100,,,,,66.8,70.1,85.3,68.9,57.4,65.1,2,7,338,16.8,87.4,5.9,19,26,1,12,10,13,3.8,2048,7.5,75.8,264,272,7.5,2.57,3,10,3.5,69.9,190,0,5.0,287,61.6,10,112,,,,,90.7,79.7,84.8,78.9,55.7,59.2,0,9,302,,92.0,0.0,0,14,1,4,11,10,3.3,2087,7.7,2,62.9,105,124,10.3,3.61,1,10,7.4,48.4,60,179,9.1,179,38.4,6,43,,,,,47.6,62.1,83.0,59.6,,69.7,6,0,192,21.8,76.9,21.8,39,16,0,12,3,4,2.1,788,6.4
Geno Smith,7820,QB,SEA,11,461,81.7,104,115,7.0,2.73,4,5,3.8,71.3,82,59,3.5,133,28.9,3,57,,,,,87.9,80.8,82.1,77.3,,75.7,0,4,152,20.3,91.1,9.0,12,6,0,7,3,4,2.6,977,8.5,1,29,69.1,81.0,80.6,62.3,76.4,271,290,8.2,2.84,6,15,4.8,68.3,198,118,4.3,328,71.1,9,103,,,,,86.5,81.2,55.6,78.0,58.9,80.9,2,8,352,21.2,87.4,7.6,25,13,2,9,9,8,2.3,2058,7.1,84.3,261,273,6.9,2.48,6,12,4.1,76.9,210,0,4.5,284,61.6,10,110,,,,,84.4,91.1,84.8,88.6,,83.3,0,2,306,,105.4,0.0,0,11,2,4,7,4,1.3,2209,8.1,8,63.2,114,132,10.1,3.32,4,8,5.3,53.0,70,177,2.8,177,38.4,2,50,,,,,89.9,63.4,35.0,61.9,58.9,73.0,2,10,198,20.9,53.4,20.9,37,8,0,12,5,8,4.0,826,6.3
Bo Nix,97790,QB,DEN,12,457,71.9,135,151,9.1,2.89,8,5,3.1,60.9,92,61,5.2,165,36.1,5,47,,,,,75.2,65.4,82.7,63.9,,66.9,1,1,177,9.8,96.8,3.6,6,8,0,7,8,4,2.3,1051,7.0,0,10,90.5,72.8,70.2,72.0,77.9,231,248,7.4,3.1,4,8,3.1,67.3,167,74,7.2,292,63.9,13,85,,,,64.7,90.7,75.8,84.9,72.0,90.3,73.2,3,5,308,17.6,85.7,4.5,13,26,1,9,8,3,1.0,1497,6.0,80.9,288,302,7.4,2.66,10,12,3.8,71.5,216,0,7.3,322,70.5,17,106,,,,,90.9,86.4,85.3,85.2,60.0,60.0,0,4,338,,100.8,0.0,0,17,1,3,14,3,0.9,2115,7.0,6,56.4,78,97,10.3,3.91,2,1,0.9,44.3,43,135,2.3,135,29.5,1,26,,,,64.7,71.8,42.4,82.0,33.0,90.6,81.1,4,2,147,14.1,55.9,14.1,19,17,0,13,2,4,2.7,433,4.5
Joe Burrow,28022,QB,CIN,11,453,74.2,97,108,8.3,2.5,2,5,4.3,64.8,70,44,2.8,122,26.9,2,50,,,,,61.7,84.4,81.6,80.5,,78.1,3,2,131,20.5,107.0,7.4,9,5,0,6,8,1,0.8,879,8.1,0,7,61.0,90.4,89.3,67.7,77.3,282,300,8.3,2.79,3,16,5.1,68.0,204,112,6.4,331,73.1,14,114,,,,,70.4,90.1,57.1,87.7,,72.2,4,2,349,15.2,106.9,5.1,17,11,0,11,19,7,2.0,2149,7.2,78.3,286,291,7.1,2.3,3,11,3.6,71.8,209,0,6.7,297,65.6,15,109,,,,,90.8,91.1,84.9,89.3,,77.8,0,3,313,,108.5,0.0,0,5,0,2,18,3,1.0,2109,7.2,6,71.0,93,117,11.9,3.5,2,10,8.1,55.6,65,156,1.5,156,34.4,1,55,,,,,29.1,80.1,30.0,77.8,,72.3,7,1,167,16.7,103.2,16.7,26,11,0,15,9,5,3.0,919,7.9
Caleb Williams,144622,QB,CHI,11,448,71.1,114,131,8.7,2.95,3,7,4.8,58.8,77,67,4.9,160,35.7,4,51,,,,,69.1,79.0,82.7,75.7,,73.8,2,1,178,22.4,90.7,9.4,15,14,0,12,6,3,1.7,867,6.6,1,6,89.6,67.5,64.4,76.5,74.8,218,241,7.9,2.95,6,8,3.1,64.7,156,85,4.3,288,64.3,7,75,,,,,90.7,58.9,84.9,56.0,,77.1,2,4,310,34.1,81.8,10.1,29,17,2,13,5,9,2.9,1489,6.2,75.7,267,279,7.2,2.39,7,11,3.7,68.8,192,0,5.0,296,66.1,10,94,,,,,90.8,77.6,85.0,74.1,,78.5,0,2,316,,91.9,0.0,0,16,2,3,6,7,2.2,1896,6.8,8,64.6,65,93,11.9,4.04,2,4,3.7,44.1,41,152,2.4,152,33.9,1,32,,,,,68.0,48.5,82.6,45.0,,72.5,4,3,172,28.9,63.9,28.9,44,15,0,22,5,5,2.9,460,4.9
Patrick Mahomes,11765,QB,KC,11,441,82.6,92,104,5.6,2.47,2,3,2.8,69.2,72,37,5.3,118,26.8,4,53,,,,,86.4,78.7,81.3,73.6,,85.9,2,3,123,16.2,95.0,5.1,6,5,0,8,6,3,2.4,699,6.7,1,16,91.6,85.0,79.4,87.5,79.8,253,277,6.7,2.97,4,8,2.7,70.0,194,100,4.0,323,73.2,8,112,,,,,90.9,83.1,85.3,78.3,,82.4,1,8,345,21.0,92.5,6.5,21,24,1,18,12,8,2.3,1974,7.1,83.0,277,287,5.5,2.32,4,5,1.7,76.7,220,0,4.3,304,68.9,10,123,,,,,90.7,89.0,84.9,84.5,,83.9,0,7,311,,100.7,0.0,0,13,1,5,13,6,1.9,2051,7.1,2,70.6,68,94,10.2,3.98,2,6,5.6,48.9,46,137,4.2,137,31.1,2,42,,,,,88.2,69.0,82.2,62.4,,81.2,3,4,157,19.7,70.4,19.7,27,16,0,21,5,5,3.2,622,6.6
Baker Mayfield,46518,QB,TB,11,427,80.9,110,116,6.0,2.66,4,4,3.3,74.1,86,39,3.4,136,31.9,3,55,,,,,87.5,83.2,81.9,79.0,,80.1,1,1,143,33.3,117.0,9.6,13,6,0,1,8,2,1.4,939,8.1,0,30,48.3,81.3,79.7,67.8,78.5,246,258,6.7,2.68,4,11,4.1,70.2,181,63,6.2,291,68.1,12,100,,,,,53.5,77.7,51.5,75.7,,70.7,4,8,308,17.5,98.3,3.8,11,20,1,3,16,13,4.2,1860,7.2,80.3,304,315,6.1,2.33,8,11,3.3,73.3,231,0,5.3,325,76.1,13,130,,,,,90.9,84.3,54.5,81.4,,78.4,0,8,340,,109.0,0.0,0,8,1,2,23,11,3.2,2424,7.7,3,73.1,52,59,8.4,3.75,0,4,6.3,61.0,36,102,5.3,102,23.9,2,25,,,,,25.2,68.8,80.9,65.0,,70.7,5,1,111,23.5,78.0,23.5,24,18,0,2,1,4,3.6,375,6.4
Aaron Rodgers,2241,QB,NYJ,11,415,72.6,117,128,6.5,2.35,1,5,3.7,61.7,79,43,7.1,141,34.0,6,41,,,,,64.8,70.6,82.0,68.9,,64.4,3,1,148,27.9,91.4,8.5,12,1,0,7,7,3,2.0,705,5.5,0,22,74.3,75.9,74.8,65.7,75.5,237,252,7.5,2.63,7,13,4.9,64.3,162,67,9.5,274,66.0,17,83,,,,,76.0,76.2,84.6,75.0,,59.9,2,6,289,20.9,87.7,5.1,14,8,0,6,10,6,2.1,1737,6.9,76.7,296,302,6.7,2.22,6,13,4.1,68.9,208,0,8.4,305,73.5,19,99,,,,,90.8,82.0,85.0,80.0,,63.1,0,7,317,,90.9,0.0,0,3,0,0,13,5,1.6,1940,6.4,5,63.8,58,78,9.3,3.4,2,5,5.7,42.3,33,110,10.8,110,26.5,4,25,,,,,29.3,56.9,81.2,56.2,,62.3,5,0,120,23.6,81.3,23.6,26,6,0,13,4,4,3.3,502,6.4
Matthew Stafford,4924,QB,LA,11,412,72.5,120,129,8.0,2.42,4,3,2.2,65.9,85,57,2.3,138,33.5,2,50,,,,,87.6,64.9,82.0,64.2,,,2,1,146,15.8,103.4,6.5,9,0,0,3,6,3,2.1,1056,8.2,0,26,57.3,68.7,67.8,51.0,73.3,243,256,8.3,2.7,3,11,4.0,66.8,171,73,3.9,274,66.5,7,83,,,,,65.3,69.7,84.7,68.2,58.4,65.6,3,6,293,23.3,88.1,6.2,17,1,1,6,9,12,4.1,1744,6.8,78.8,273,282,7.8,2.43,6,13,4.4,73.0,206,0,4.2,282,68.4,9,108,,,,,90.7,90.4,84.8,88.5,58.4,,0,2,298,,108.4,0.0,0,0,1,2,13,4,1.3,2234,7.9,1,55.6,90,103,9.5,2.99,1,1,0.9,48.5,50,130,0.0,130,31.6,0,25,,,,,39.2,27.8,81.8,28.3,,65.6,5,5,141,20.0,51.7,20.0,26,1,0,7,2,11,7.8,566,5.5
Jayden Daniels,97993,QB,WAS,12,409,75.0,108,116,9.1,2.95,2,4,3.2,63.8,74,68,8.6,150,36.7,7,54,,,,,45.5,82.1,82.3,70.7,,93.0,0,1,160,20.6,99.7,9.3,14,19,0,6,5,3,1.9,938,8.1,1,32,71.0,88.5,83.4,82.5,79.9,199,216,7.5,2.95,5,10,4.4,70.8,153,71,3.8,259,63.3,6,87,,,,,90.5,89.5,84.4,86.2,,75.1,1,4,273,18.3,96.5,5.0,13,29,1,10,7,4,1.5,1675,7.8,83.5,243,254,6.5,2.43,7,8,3.0,76.0,193,0,4.9,270,66.0,10,103,,,,,79.2,92.6,84.6,91.2,,77.0,0,2,285,,107.5,0.0,0,14,1,3,9,2,0.7,2049,8.1,1,57.8,64,78,13.9,3.94,0,6,7.2,43.6,34,139,8.1,139,34.0,3,38,,,,,64.8,68.4,82.0,53.0,,90.9,1,3,148,19.4,65.3,19.4,27,34,0,13,3,5,3.4,564,7.2
