player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Sione Takitaki,12666,LB,NE,6,38,0,19,0,-4.0,100.0,66.7,12.0,12.0,0,0,0.0,68.7,0,9,100.0,1,0,143.8,1,12,31.6,18,0,0,1,1,9,13,0.8,9.0,0,1,4.0,50.0,81.5,22.0,11.0,0,0,0.0,54.9,0,12,33.3,1,0,68.8,1,22,57.9,27,1,1,2,0,12,2,0.5,12.0
Sam Eguavoen,15301,LB,NYJ,3,17,0,22,0,,,85.7,,,0,0,,64.9,0,,,0,0,0.0,0,6,35.3,7,0,0,0,0,0,0,0.0,,0,1,,,76.9,,,0,0,,56.2,0,,50.0,1,0,0.0,0,10,58.8,13,0,0,0,0,0,0,0.0,
Nathan Shepherd,24614,DI,NO,11,2,0,20,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,78,1,0,0,0,0,0,,,0,0,,,1.6,,,0,0,,59.8,0,,0.0,0,0,0.0,0,2,100.0,124,1,1,0,0,0,0,0.0,
Foyesade Oluokun,24904,LB,JAX,7,223,0,15,2,2.0,77.8,88.6,10.7,8.3,0,2,22.2,73.5,1,26,0.0,0,1,56.7,7,78,35.0,88,5,9,9,0,64,48,0.9,9.1,0,2,3.1,88.9,99.2,13.8,12.2,0,0,0.0,75.2,0,13,11.1,2,0,92.1,8,118,52.9,119,5,14,9,0,55,33,0.5,6.9
Levi Wallace,25445,CB,DEN,12,184,0,10,1,5.0,60.0,98.3,17.3,10.4,0,1,20.0,91.0,0,17,0.0,0,1,73.8,3,59,32.1,60,2,6,5,0,26,22,0.5,8.7,0,1,5.4,88.9,100.0,10.9,9.7,0,0,0.0,62.6,0,32,10.0,1,0,108.3,8,93,50.5,93,1,8,9,0,90,43,1.0,11.3
Anfernee Jennings,25449,ED,NE,11,55,0,19,0,,,10.9,,,0,0,,66.6,0,,,0,0,0.0,0,14,25.5,129,2,0,0,0,0,0,0.0,,0,2,2.5,100.0,25.9,6.2,6.2,0,0,0.0,50.3,0,14,0.0,0,0,106.9,6,37,67.3,143,1,5,6,0,58,43,1.6,9.7
Sean Murphy-Bunting,25891,CB,ARZ,9,264,0,1,1,12.8,83.3,100.0,11.2,9.3,0,1,16.7,57.7,0,20,0.0,0,0,158.3,5,57,21.6,57,0,4,6,1,79,11,1.4,15.8,0,4,10.2,82.4,99.4,11.9,9.8,0,0,0.0,38.5,0,18,26.3,5,0,100.5,14,175,66.3,176,3,10,17,0,138,33,0.8,9.9
Clelin Ferrell,25955,ED,WAS,9,6,0,32,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,47,1,0,0,0,0,0,,,0,1,4.0,100.0,8.0,6.0,6.0,0,0,0.0,50.3,0,11,0.0,0,0,112.5,1,6,100.0,75,1,1,1,0,11,7,1.8,11.0
Dexter Lawrence,25991,DI,NYG,11,2,0,21,0,,,0.9,,,0,0,,59.5,0,,100.0,1,0,0.0,0,1,50.0,107,6,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,50.0,1,0,0.0,0,0,0.0,163,2,1,0,0,0,0,,
Maxx Crosby,26316,ED,LV,10,6,0,23,0,,,2.3,,,0,0,,60.3,0,,,0,0,0.0,0,3,50.0,131,3,0,0,0,0,0,0.0,,0,1,,,0.5,,,0,0,,70.5,0,,0.0,0,0,0.0,0,1,16.7,195,5,2,0,0,0,0,0.0,
Jeremiah Moon,26453,ED,PIT,5,4,0,25,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,12,0,0,0,0,0,0,,,0,0,1.5,50.0,10.3,4.0,2.0,0,0,0.0,46.0,0,9,,0,0,62.5,1,4,100.0,39,0,0,2,0,9,4,2.3,9.0
D.J. Reed,26940,CB,NYJ,9,309,0,22,0,10.4,68.0,100.0,5.4,3.6,0,4,16.0,68.9,0,38,0.0,0,3,102.3,17,105,34.0,105,7,18,25,1,181,64,2.0,10.6,0,0,17.5,46.2,99.4,25.0,11.5,0,4,30.8,71.0,0,50,40.0,2,3,78.7,6,161,52.1,162,2,3,13,0,119,23,0.8,19.8
Isaiah Rodgers,27069,CB,PHI,7,119,0,24,0,7.0,40.0,100.0,15.5,6.2,0,1,20.0,69.8,0,6,0.0,0,1,87.5,2,36,30.3,36,0,3,5,1,8,1,0.3,4.0,0,2,12.4,57.1,100.0,13.8,7.9,0,1,14.3,70.6,0,29,0.0,0,1,71.1,4,57,47.9,57,4,6,7,0,36,23,0.7,9.0
Bryce Huff,27128,ED,PHI,10,7,0,24,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,43,0,0,0,0,0,0,,,0,0,,,9.0,,,0,0,,65.0,0,,100.0,1,0,0.0,0,7,100.0,78,2,0,0,0,0,0,0.0,
Siran Neal,27130,CB,MIA,4,12,0,17,0,14.0,100.0,100.0,3.0,3.0,0,0,0.0,49.6,0,21,0.0,0,0,118.8,1,4,33.3,4,0,1,1,0,21,7,7.0,21.0,0,0,-2.0,100.0,71.4,2.5,2.5,0,0,0.0,78.8,0,5,0.0,0,0,79.2,2,5,41.7,7,1,2,2,0,6,10,1.2,3.0
Montez Sweat,27271,ED,CHI,10,7,0,6,0,,,3.8,,,0,0,,61.5,0,,100.0,1,0,0.0,0,2,28.6,53,1,0,0,0,0,0,0.0,,0,0,,,1.8,,,0,0,,63.7,0,,0.0,0,0,0.0,0,3,42.9,166,4,2,0,0,0,0,0.0,
