Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,3,114,82,814,7,8.6,580,286,31,25.20%,3,2.40%,7,6.10%,7,17,13.80%,7
Buffalo Bills,3,85,54,469,2,7.5,343,201,6,6.10%,8,8.10%,8,9.40%,11,27,27.30%,10
Carolina Panthers,3,109,65,642,3,8.8,472,204,28,22.80%,13,10.60%,12,11.00%,5,30,24.40%,12
Chicago Bears,3,85,52,603,3,7,315,328,7,7.30%,22,22.90%,4,4.70%,6,32,33.30%,17
Cincinnati Bengals,4,158,90,967,3,8.2,394,323,27,16.00%,6,3.60%,17,10.80%,7,30,17.80%,12
Cleveland Browns,3,104,63,720,5,9.2,441,325,21,18.60%,12,10.60%,4,3.80%,7,23,20.40%,11
Indianapolis Colts,3,103,68,714,5,7.5,357,380,23,20.50%,13,11.60%,8,7.80%,4,25,22.30%,18
Arizona Cardinals,3,103,73,843,7,7.3,343,518,51,46.80%,19,17.40%,14,13.60%,2,35,32.10%,17
Dallas Cowboys,3,100,62,529,2,7.6,291,316,32,26.00%,16,13.00%,13,13.00%,13,42,34.10%,17
Denver Broncos,3,95,60,510,3,7.1,315,230,44,41.90%,11,10.50%,9,9.50%,9,29,27.60%,21
Detroit Lions,3,119,72,797,5,7.9,442,363,56,40.60%,19,13.80%,12,10.10%,7,38,27.50%,18
Green Bay Packers,3,85,61,568,3,6,292,290,26,27.70%,9,9.60%,10,11.80%,7,26,27.70%,17
Houston Texans,3,98,54,623,2,7.7,391,286,26,22.60%,12,10.40%,10,10.20%,10,32,27.80%,31
Jacksonville Jaguars,3,116,68,755,5,7.8,390,415,35,27.60%,8,6.30%,15,12.90%,7,30,23.60%,14
Kansas City Chiefs,3,123,84,682,7,5.4,352,409,40,29.20%,22,16.10%,17,13.80%,10,49,35.80%,22
Miami Dolphins,4,154,105,1197,8,8.1,497,434,35,20.30%,9,5.20%,5,3.20%,7,21,12.20%,21
Minnesota Vikings,3,111,77,827,2,8.3,427,434,21,16.90%,14,11.30%,5,4.50%,7,26,21.00%,16
New Orleans Saints,3,92,50,551,2,8.4,270,305,17,17.00%,5,5.00%,4,4.30%,4,13,13.00%,9
New England Patriots,3,95,62,600,6,8.2,349,307,37,34.60%,12,11.20%,6,6.30%,10,28,26.20%,21
New York Giants,3,93,55,610,4,8.5,370,256,45,44.10%,15,14.70%,8,8.60%,3,26,25.50%,16
New York Jets,3,93,62,693,7,8.3,383,331,19,18.10%,9,8.60%,11,11.80%,5,25,23.80%,13
Tennessee Titans,3,106,70,769,8,7.9,524,288,27,22.90%,15,12.70%,9,8.50%,7,31,26.30%,18
Philadelphia Eagles,3,126,73,560,3,7.1,363,284,35,24.30%,11,7.60%,17,13.50%,12,40,27.80%,21
Pittsburgh Steelers,3,119,75,756,5,7.5,419,391,31,22.80%,5,3.70%,10,8.40%,9,24,17.60%,16
Las Vegas Raiders,3,110,76,801,5,6.1,408,412,27,23.50%,10,8.70%,10,9.10%,2,22,19.10%,13
Los Angeles Rams,3,115,80,758,5,6.8,445,362,38,28.80%,3,2.30%,5,4.30%,7,15,11.40%,9
Baltimore Ravens,3,141,95,1060,7,7.2,632,467,43,28.10%,14,9.20%,8,5.70%,7,29,19.00%,28
Los Angeles Chargers,3,111,74,744,7,7.2,401,378,30,25.20%,5,4.20%,8,7.20%,7,20,16.80%,10
Seattle Seahawks,3,86,57,721,3,9.2,324,429,24,25.30%,9,9.50%,11,12.80%,6,26,27.40%,21
San Francisco 49ers,3,81,52,445,2,7,241,210,14,14.60%,14,14.60%,13,16.00%,8,35,36.50%,16
Tampa Bay Buccaneers,3,117,73,629,3,9.2,375,314,42,32.60%,12,9.30%,13,11.10%,11,36,27.90%,7
Washington Commanders,3,111,66,822,8,9.9,508,363,42,34.10%,3,2.40%,20,18.00%,8,31,25.20%,13
