"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"1","Scottie Scheffler",22818973,11200,90.7,76.67,14.3,95,59,0.8435,0.0357,0.6235,0.5086,0.3378,0.2119,0.1461,0.0606,2,0.1346,89,5.41,-0.42,-0.06,14,2022-05-29,"Charles Schwab"
"2","Justin Thomas",22818974,11000,100.89,82.44,14.7,101.58,63,0.8674,0.0411,0.6774,0.5671,0.3914,0.2563,0.1817,0.0781,100,0.1694,27.5,7.1,1.73,0.26,15,2022-05-29,"Charles Schwab"
"3","Collin Morikawa",22818975,10700,84.15,68.74,17.8,88.5,29,0.8148,0.0303,0.5609,0.4434,0.28,0.1676,0.1112,0.0435,40,0.1475,53,4.07,-0.66,-0.1,18,2022-05-29,"Charles Schwab"
"4","Jordan Spieth",22818976,10400,73.73,74.71,25.4,92.5,56.5,0.8044,0.0208,0.5541,0.4362,0.2747,0.1659,0.1132,0.0458,7,0.2936,78,4.4,0.24,0.04,25,2022-05-29,"Charles Schwab"
"5","Will Zalatoris",22818977,10100,72.62,70.28,9.3,91.5,29.93,0.7769,0.015,0.4974,0.3749,0.2202,0.122,0.0777,0.0266,100,0.1094,19.5,2.63,-1.02,-0.15,9,2022-05-29,"Charles Schwab"
"6","Viktor Hovland",22818978,10000,92.47,72.83,19.7,91,31.93,0.7742,0.0141,0.4967,0.372,0.2203,0.1262,0.0803,0.03,21,0.1775,65,3,-0.5,-0.07,20,2022-05-29,"Charles Schwab"
"7","Sam Burns",22818979,9700,77.43,68.93,13.2,88.5,29.43,0.7462,0.0208,0.4426,0.3259,0.1848,0.1006,0.0636,0.0231,1,0.1021,108,2.38,-0.7,-0.1,13,2022-05-29,"Charles Schwab"
"8","Max Homa",22818980,9400,75.23,65.84,16.1,87,28,0.7414,0.0128,0.4304,0.3144,0.1762,0.0932,0.0578,0.0198,23,0.1396,64.5,2.11,-0.61,-0.09,16,2022-05-29,"Charles Schwab"
"9","Abraham Ancer",22818981,9300,65.28,64.06,20.7,85,27,0.7098,0.01,0.3786,0.2628,0.139,0.07,0.0422,0.014,100,0.1341,23.5,1.51,-1.11,-0.17,21,2022-05-29,"Charles Schwab"
"10","Sungjae Im",22818982,9200,81.43,72.06,13.6,91,50,0.7936,0.026,0.5228,0.4009,0.2424,0.1391,0.0919,0.0341,15,0.1504,69,3.71,1.19,0.18,14,2022-05-29,"Charles Schwab"
