"","name","slotName","mar19","jan23","delta","percent_change","projectedPoints","projectedPoints_jan23","projectedPoints_delta","positionRank","teamName","team_abbr","team","playerid","espn_headshot"
"366","Luis Garcia","IF",239.9,NA,NA,NA,973,973,0,"IF124","Washington Nationals","WSH","https://a.espncdn.com/i/teamlogos/mlb/500/wsh.png",23735,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4684365.png"
"367","Luis Garcia","IF",239.9,NA,NA,NA,973,230,743,"IF124","Washington Nationals","WSH","https://a.espncdn.com/i/teamlogos/mlb/500/wsh.png",20391,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40459.png"
"368","Luis Garcia","IF",239.9,NA,NA,NA,973,230,743,"IF124","Washington Nationals","WSH","https://a.espncdn.com/i/teamlogos/mlb/500/wsh.png",23735,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4684365.png"
"369","Luis Garcia","IF",239.9,NA,NA,NA,973,0,973,"IF124","Washington Nationals","WSH","https://a.espncdn.com/i/teamlogos/mlb/500/wsh.png",20391,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40459.png"
"370","Luis Garcia","IF",239.9,NA,NA,NA,973,0,973,"IF124","Washington Nationals","WSH","https://a.espncdn.com/i/teamlogos/mlb/500/wsh.png",23735,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4684365.png"
"371","Wilmer Flores","IF",239.9,NA,NA,NA,922,922,0,"IF124","San Francisco Giants","SF","https://a.espncdn.com/i/teamlogos/mlb/500/sf.png",5827,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30627.png"
"372","David Hensley","IF",239.9,NA,NA,NA,748,56,692,"IF124","Houston Astros","HOU","https://a.espncdn.com/i/teamlogos/mlb/500/hou.png",25111,NA
"373","Edmundo Sosa","IF",239.9,NA,NA,NA,515,357,158,"IF128","Philadelphia Phillies","PHI","https://a.espncdn.com/i/teamlogos/mlb/500/phi.png",17022,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33809.png"
"374","Joey Wentz","P",239.9,NA,NA,NA,79,79,0,"P125","Detroit Tigers","DET","https://a.espncdn.com/i/teamlogos/mlb/500/det.png",NA,NA
"375","Cal Raleigh","IF",239.9,239.1,-0.800000000000011,0,743,743,0,"IF129","Seattle Mariners","SEA","https://a.espncdn.com/i/teamlogos/mlb/500/sea.png",21534,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41292.png"
"376","Mike Clevinger","P",239.9,238.1,-1.80000000000001,-0.01,370,370,0,"P126","Chicago White Sox","CWS","https://a.espncdn.com/i/teamlogos/mlb/500/cws.png",12808,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32769.png"
"377","Matt Brash","P",239.9,NA,NA,NA,139,139,0,"P126","Seattle Mariners","SEA","https://a.espncdn.com/i/teamlogos/mlb/500/sea.png",NA,NA
"378","Curtis Terry","IF",239.9,NA,NA,NA,14,0,14,"IF129","",NA,NA,NA,NA
"379","Aaron Hicks","OF",239.9,NA,NA,NA,585,649,-64,"OF114","New York Yankees","NYY","https://a.espncdn.com/i/teamlogos/mlb/500/nyy.png",5297,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31253.png"
"380","Trevor Larnach","OF",239.9,239.9,0,0,507,329,178,"OF114","Minnesota Twins","MIN","https://a.espncdn.com/i/teamlogos/mlb/500/min.png",21501,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41205.png"
"381","Elehuris Montero","IF",239.9,NA,NA,NA,173,173,0,"IF131","Colorado Rockies","COL","https://a.espncdn.com/i/teamlogos/mlb/500/col.png",20543,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41222.png"
"382","Patrick Wisdom","IF",239.9,NA,NA,NA,789,789,0,"IF132","Chicago Cubs","CHC","https://a.espncdn.com/i/teamlogos/mlb/500/chc.png",13602,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32861.png"
"383","Michael Toglia","OF",239.9,NA,NA,NA,101,101,0,"OF116","Colorado Rockies","COL","https://a.espncdn.com/i/teamlogos/mlb/500/col.png",25845,NA
"384","Orlando Arcia","IF",239.9,NA,NA,NA,759,401,358,"IF133","Atlanta Braves","ATL","https://a.espncdn.com/i/teamlogos/mlb/500/atl.png",13185,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32530.png"
