,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Connecticut,2/27/2022 12:00,-630,3.17,-11,17.39,145,17.39,82.6,78,67
Georgetown,2/27/2022 12:00,450,90,11,19.05,145,19.05,17.4,67,78
Princeton,2/27/2022 12:00,-150,13.33,-3,18.18,140.5,18.18,58,71.8,68.8
Harvard,2/27/2022 12:00,130,26,3,18.18,140.5,18.18,42,68.8,71.8
SMU,2/27/2022 12:30,435,87,11,18.18,137.5,18.18,17.9,63.3,74.3
Houston,2/27/2022 12:30,-600,3.33,-11,18.18,137.5,18.18,82.1,74.3,63.3
Canisius,2/27/2022 13:00,160,32,4.5,18.18,146.5,18.18,37,71,75.5
Quinnipiac,2/27/2022 13:00,-190,10.53,-4.5,18.18,146.5,18.18,63,75.5,71
Illinois,2/27/2022 14:00,,,-1,,141.5,,,,
Michigan,2/27/2022 14:00,,,1,,141.5,,,,
Fairfield,2/27/2022 14:00,-110,18.18,-1.5,19.05,138.5,18.18,50,70,68.5
Manhattan,2/27/2022 14:00,-110,18.18,1.5,17.39,138.5,18.18,50,68.5,70
Iona,2/27/2022 14:00,-400,5,-8.5,18.18,143,20,76.2,75.8,67.3
Rider,2/27/2022 14:00,300,60,8.5,18.18,143,16.67,23.8,67.3,75.8
Niagara,2/27/2022 14:00,155,31,4.5,17.39,125.5,16.67,37.9,60.5,65
St. Peter's,2/27/2022 14:00,-180,11.11,-4.5,19.05,125.5,20,62.1,65,60.5
Monmouth,2/27/2022 14:00,-135,14.81,-2,18.18,134.5,18.18,55.3,68.3,66.3
Siena,2/27/2022 14:00,115,23,2,18.18,134.5,18.18,44.7,66.3,68.3
George Washington,2/27/2022 14:30,375,75,9.5,19.05,138.5,18.18,20.1,64.5,74
George Mason,2/27/2022 14:30,-510,3.92,-9.5,17.39,138.5,18.18,79.9,74,64.5
Wichita State,2/27/2022 14:30,290,58,8.5,18.18,140.5,18.18,24.5,66,74.5
Memphis,2/27/2022 14:30,-380,5.26,-8.5,18.18,140.5,18.18,75.5,74.5,66
Tulane,2/27/2022 15:00,115,23,2,18.18,137,19.05,44.7,67.5,69.5
Temple,2/27/2022 15:00,-135,14.81,-2,18.18,137,17.39,55.3,69.5,67.5
Ohio State,2/27/2022 16:00,-180,11.11,-4,17.39,141,16.67,62.1,72.5,68.5
Maryland,2/27/2022 16:00,155,31,4,19.05,141,20,37.9,68.5,72.5
E. Tennessee State,2/27/2022 16:00,140,28,3,18.18,131.5,18.18,40.4,64.3,67.3
UNC-Greensboro,2/27/2022 16:00,-160,12.5,-3,18.18,131.5,18.18,59.6,67.3,64.3
Montana State,2/27/2022 17:00,-120,16.67,-1,18.18,134.5,17.39,52.2,67.8,66.8
Montana,2/27/2022 17:00,100,20,1,18.18,134.5,19.05,47.8,66.8,67.8
St. John's,2/27/2022 17:00,,,-2.5,,152.5,,,,
DePaul,2/27/2022 17:00,,,2.5,,152.5,,,,
Indiana,2/27/2022 18:00,-160,12.5,-3.5,18.18,131.5,18.18,59.6,67.5,64
Minnesota,2/27/2022 18:00,140,28,3.5,18.18,131.5,18.18,40.4,64,67.5
Nebraska,2/27/2022 19:00,410,82,10.5,18.18,137.5,18.18,18.7,63.5,74
Penn State,2/27/2022 19:00,-575,3.48,-10.5,18.18,137.5,18.18,81.3,74,63.5
