player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Brennan Armstrong,77696,QB,VIRGINIA,10,139,16.5,0,335,1,7,18.7,25.9,88.5,0.0,0,15,23,26,36,139,123,0,18,36,15,11,12.9,25.9,7,10.8,7.9
Drake Maye,143969,QB,N CAROLINA,10,135,7.4,0,245,3,19,17.8,6.7,71.9,6.7,0,31,10,24,9,135,97,9,23,31,31,9,17.0,23.0,9,23.0,6.7
DJ Irons,145585,QB,AKRON,10,134,11.9,0,102,2,8,17.2,28.4,79.9,9.0,0,19,16,23,38,134,107,12,22,27,19,4,16.4,20.1,9,14.2,3.0
Cameron Ward,133244,QB,WASH STATE,10,133,9.8,0,341,8,19,17.3,15.0,64.7,11.3,0,36,13,23,20,133,86,15,15,32,36,2,11.3,24.1,9,27.1,1.5
Jack Plummer,83543,QB,CAL,10,128,10.9,0,130,3,11,13.3,22.7,83.6,3.1,0,17,14,17,29,128,107,4,19,45,17,4,14.8,35.2,3,13.3,3.1
Hayden Wolff,98362,QB,DOMINION,10,128,24.2,0,263,3,5,16.4,18.8,83.6,4.7,0,15,31,21,24,128,107,6,33,21,15,5,25.8,16.4,7,11.7,3.9
Hunter Dekkers,122511,QB,IOWA STATE,10,126,16.7,0,193,2,6,11.1,23.0,81.0,11.9,0,10,21,14,29,126,102,15,15,34,10,4,11.9,27.0,2,7.9,3.2
Connor Bazelak,99135,QB,INDIANA,9,120,18.3,0,190,2,2,11.7,15.0,85.0,10.0,0,7,22,14,18,120,102,12,26,42,7,3,21.7,35.0,3,5.8,2.5
Jayden de Laura,131928,QB,ARIZONA,10,120,10.8,0,109,0,8,19.2,17.5,80.0,7.5,0,19,13,23,21,120,96,9,13,34,19,6,10.8,28.3,11,15.8,5.0
Matt McDonald,60350,QB,BOWL GREEN,10,108,16.7,0,122,0,4,14.8,28.7,87.0,6.5,0,7,18,16,31,108,94,7,19,17,7,5,17.6,15.7,3,6.5,4.6
James Blackman,60382,QB,ARK STATE,9,104,19.2,0,113,1,3,14.4,20.2,83.7,10.6,0,7,20,15,21,104,87,11,14,27,7,4,13.5,26.0,3,6.7,3.8
Kurtis Rourke,97998,QB,OHIO,11,104,14.4,0,259,3,4,16.3,25.0,87.5,4.8,0,8,15,17,26,104,91,5,15,33,8,7,14.4,31.7,1,7.7,6.7
Chevan Cordeiro,75886,QB,S JOSE ST,9,104,13.5,0,285,2,6,8.7,21.2,77.9,5.8,0,21,14,9,22,104,81,6,15,38,21,2,14.4,36.5,13,20.2,1.9
Sam Hartman,77618,QB,WAKE,9,104,10.6,0,339,2,11,18.3,26.9,71.2,10.6,0,21,11,19,28,104,74,11,8,13,21,3,7.7,12.5,8,20.2,2.9
Chase Cunningham,78533,QB,MIDDLE TN,9,102,13.7,0,224,2,4,18.6,28.4,85.3,6.9,0,10,14,19,29,102,87,7,18,21,10,1,17.6,20.6,4,9.8,1.0
Tanner McKee,131770,QB,STANFORD,10,102,8.8,0,300,1,8,15.7,19.6,70.6,11.8,0,17,9,16,20,102,72,12,17,13,17,9,16.7,12.7,8,16.7,8.8
Caleb Williams,144622,QB,USC,10,99,6.1,0,326,2,12,14.1,26.3,69.7,11.1,0,24,6,14,26,99,69,11,11,19,24,4,11.1,19.2,10,24.2,4.0
Clayton Tune,77652,QB,HOUSTON,10,99,14.1,0,182,4,13,12.1,18.2,67.7,11.1,0,22,14,12,18,99,67,11,8,26,22,1,8.1,26.3,5,22.2,1.0
Clay Millen,146082,QB,COLO STATE,8,99,26.3,0,144,1,5,15.2,28.3,87.9,4.0,0,10,26,15,28,99,87,4,15,21,10,1,15.2,21.2,4,10.1,1.0
Holton Ahlers,77651,QB,E CAROLINA,10,98,8.2,0,156,2,8,11.2,18.4,72.4,13.3,0,15,8,11,18,98,71,13,18,20,15,3,18.4,20.4,5,15.3,3.1
Layne Hatcher,82068,QB,TEXAS ST,10,98,18.4,0,314,5,13,18.4,19.4,74.5,7.1,0,20,18,18,19,98,73,7,7,11,20,3,7.1,11.2,2,20.4,3.1
Brayden Schager,146078,QB,HAWAII,10,98,18.4,0,180,5,11,11.2,13.3,77.6,5.1,0,19,18,11,13,98,76,5,8,30,19,4,8.2,30.6,3,19.4,4.1
Chandler Rogers,98683,QB,LA MONROE,10,97,21.6,0,209,0,3,15.5,18.6,82.5,6.2,0,8,21,15,18,97,80,6,19,28,8,4,19.6,28.9,5,8.2,4.1
Seth Henigan,144267,QB,MEMPHIS,10,97,14.4,0,218,2,7,17.5,30.9,79.4,5.2,0,15,14,17,30,97,77,5,7,24,15,3,7.2,24.7,6,15.5,3.1
Cole Snyder,97617,QB,BUFFALO,10,97,8.2,0,126,1,3,19.6,25.8,83.5,3.1,0,14,8,19,25,97,81,3,20,21,14,1,20.6,21.6,10,14.4,1.0
Phil Jurkovec,83533,QB,BOSTON COL,8,96,8.3,0,121,3,3,15.6,27.1,81.3,7.3,0,9,8,15,26,96,78,7,13,31,9,3,13.5,32.3,3,9.4,3.1
Jayden Daniels,97993,QB,LSU,10,95,10.5,0,211,3,7,10.5,16.8,72.6,8.4,0,19,10,10,16,95,69,8,14,28,19,2,14.7,29.5,9,20.0,2.1
Grant Wells,97784,QB,VA TECH,10,95,6.3,0,337,3,6,14.7,21.1,68.4,14.7,0,16,6,14,20,95,65,14,10,28,16,1,10.5,29.5,7,16.8,1.1
Frank Harris,60586,QB,UTSA,10,92,14.1,0,331,1,8,8.7,25.0,85.9,-1.1,0,11,13,8,23,92,79,-1,9,37,11,8,9.8,40.2,2,12.0,8.7
Spencer Rattler,97408,QB,S CAROLINA,10,92,15.2,0,289,0,10,16.3,21.7,80.4,5.4,0,16,14,15,20,92,74,5,16,20,16,2,17.4,21.7,6,17.4,2.2
Dorian Thompson-Robinson,83574,QB,UCLA,10,91,6.6,0,324,0,3,13.2,18.7,84.6,5.5,0,9,6,12,17,91,77,5,12,34,9,4,13.2,37.4,6,9.9,4.4
Anthony Richardson,124393,QB,FLORIDA,10,90,13.3,0,163,0,12,15.6,13.3,75.6,8.9,0,16,12,14,12,90,68,8,12,15,16,9,13.3,16.7,4,17.8,10.0
Bryce Young,123943,QB,ALABAMA,9,90,16.7,0,103,5,19,6.7,17.8,60.0,6.7,0,30,15,6,16,90,54,6,4,10,30,5,4.4,11.1,6,33.3,5.6
Will Rogers,124184,QB,MISS STATE,10,90,11.1,0,227,1,4,16.7,23.3,86.7,5.6,0,7,10,15,21,90,78,5,16,27,7,0,17.8,30.0,2,7.8,0.0
Spencer Sanders,77660,QB,OKLA STATE,9,90,20.0,0,262,1,8,27.8,20.0,83.3,3.3,0,15,18,25,18,90,75,3,9,19,15,2,10.0,21.1,6,16.7,2.2
Casey Thompson,77677,QB,NEBRASKA,8,89,6.7,0,238,2,5,18.0,30.3,91.0,-2.2,0,9,6,16,27,89,81,-2,17,20,9,10,19.1,22.5,2,10.1,11.2
Will Levis,83542,QB,KENTUCKY,9,87,11.5,0,202,3,10,10.3,21.8,70.1,5.7,0,21,10,9,19,87,61,5,10,20,21,2,11.5,23.0,8,24.1,2.3
Kyle Vantrease,55029,QB,GA SOUTHRN,10,87,19.5,0,174,0,4,23.0,32.2,93.1,-1.1,0,4,17,20,28,87,81,-1,9,13,4,10,10.3,14.9,0,4.6,11.5
Spencer Petras,82136,QB,IOWA,10,87,19.5,0,192,0,0,16.1,12.6,92.0,6.9,0,1,17,14,11,87,80,6,22,29,1,2,25.3,33.3,1,1.1,2.3
Gavin Hardison,100827,QB,UTEP,10,86,11.6,0,330,5,14,5.8,16.3,55.8,15.1,0,26,10,5,14,86,48,13,17,7,26,0,19.8,8.1,7,30.2,0.0
Chris Reynolds,60361,QB,CHARLOTTE,9,85,9.4,0,136,1,6,11.8,20.0,77.6,8.2,0,13,8,10,17,85,66,7,16,22,13,2,18.8,25.9,6,15.3,2.4
Aidan O'Connell,60516,QB,PURDUE,9,85,11.8,0,273,1,6,12.9,16.5,80.0,9.4,0,9,10,11,14,85,68,8,12,21,9,4,14.1,24.7,2,10.6,4.7
Grayson James,145214,QB,FIU,10,84,21.4,0,166,2,0,23.8,22.6,95.2,1.2,0,2,18,20,19,84,80,1,15,22,2,4,17.9,26.2,0,2.4,4.8
