player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Will Rogers,124184,QB,MISS STATE,10,2.66,0,520,227,74.9,387,424,7.4,2.57,14,13,2.9,63.0,267,101,7.9,449,86.3,23,146,,,,,72.4,73.2,78.6,,71.6,,,61.7,,,1,5,474,18.8,98.1,4.2,19,5,5,17,27,13,2.7,2774,6.5,77.8,423,460,6.1,2.39,14,12,2.5,66.1,304,98,7.6,486,93.5,25,150,,,,,65.6,72.8,79.4,,71.2,,,60.8,,,1,5,513,20.4,98.1,4.1,20,3,5,17,26,14,2.7,2936,6.4,82.8,29,32,5.6,2.86,2,1,3.0,68.8,22,4,8.3,34,6.5,2,11,,,,,68.6,70.9,74.3,,70.1,,,61.7,,,0,0,35,0.0,98.2,0.0,0,2,0,1,1,0,0.0,218,6.8,0,96.9,65,68,-1.5,1.45,2,0,0.0,86.8,59,1,6.3,71,13.7,4,15,,,,,40.6,67.6,77.1,,67.0,,,,,,0,0,74,100.0,90.0,1.4,1,0,0,1,0,1,1.4,380,5.6,0.43
Kyle Vantrease,55029,QB,GA SOUTHRN,10,6.13,0,480,174,63.3,357,380,11.7,2.45,7,17,4.3,54.5,207,102,8.4,392,81.7,19,134,,,,,72.1,64.6,88.4,,63.8,50.3,,57.3,,,1,13,414,3.9,78.2,1.0,4,8,0,15,17,22,5.3,2741,7.2,66.9,308,322,8.7,2.22,4,11,3.2,59.6,192,69,6.8,333,69.4,14,110,,,,,70.6,64.8,87.8,,63.8,,,57.3,,,1,10,352,4.3,75.4,0.9,3,8,0,9,9,17,4.8,2106,6.5,75.2,137,146,9.1,2.39,3,6,3.9,65.8,96,37,6.8,147,30.6,7,48,,,,,73.5,67.5,80.3,,67.2,50.3,,,,,0,3,153,2.7,110.2,0.7,1,0,0,6,12,5,3.3,1209,8.3,0,94.3,88,88,-2.8,1.48,0,0,0.0,92.0,81,4,2.4,88,18.3,2,24,,,,,71.6,71.9,77.9,,71.1,,,,,,0,0,91,0.0,109.0,0.0,0,0,0,0,4,0,0.0,574,6.5,1.74
Austin Reed,111760,QB,W KENTUCKY,11,10.47,0,474,346,66.0,282,304,12.8,2.66,9,23,7.1,56.3,171,77,8.1,331,69.8,15,120,,,,,53.7,82.8,67.1,,83.8,54.3,,61.4,,,5,7,350,15.6,103.0,3.6,12,14,2,6,27,16,4.6,2480,8.2,72.4,268,285,9.6,2.39,8,18,5.9,64.2,183,60,5.7,309,65.2,11,105,,,,,52.6,79.7,66.4,,81.1,54.3,,60.3,,,2,5,330,15.0,106.8,2.9,9,11,2,5,20,13,3.9,2403,8.4,83.3,150,158,4.8,2.02,3,5,3.1,74.7,118,22,5.6,165,34.8,7,59,,,,,59.8,81.9,80.5,,80.1,,,66.6,,,3,2,166,13.6,112.6,1.8,3,3,0,2,11,4,2.4,1151,7.3,0,97.8,136,139,-2.3,1.32,2,0,0.0,93.5,130,5,2.3,143,30.2,3,44,,,,,58.0,74.5,80.0,,73.6,,,,,,0,0,146,0.0,108.5,0.0,0,0,0,1,4,1,0.7,1074,7.7,-1.15
John Paddock,77689,QB,BALL ST,11,8.45,0,470,117,64.2,363,388,9.2,2.25,12,16,3.9,55.4,215,111,7.7,405,86.2,18,119,,,,,72.8,68.0,89.2,,67.6,,,49.9,,,4,12,431,10.8,73.0,3.0,12,5,0,9,16,17,3.9,2226,5.7,66.9,350,371,7.9,2.17,11,12,3.1,58.2,216,96,7.7,386,82.1,18,111,,,,,65.2,66.9,89.0,,66.3,,,50.9,,,3,10,410,11.5,75.5,2.8,11,4,0,7,14,16,3.9,2097,5.7,76.0,75,81,5.5,2.26,2,4,4.7,66.7,54,20,5.3,84,17.9,3,28,,,,,71.5,67.3,77.8,,67.4,,,57.3,,,1,2,88,10.0,91.0,2.4,2,1,0,3,4,2,2.3,528,6.5,0,93.5,62,64,-2.1,1.78,1,0,0.0,85.9,55,5,5.2,65,13.8,3,20,,,,,44.0,62.3,76.7,,61.8,,,,,,0,0,67,20.0,103.1,1.5,1,0,0,1,2,1,1.5,399,6.2,0.87
DJ Irons,145585,QB,AKRON,10,-1.48,0,455,102,70.2,299,318,11.5,3.07,0,11,3.3,61.6,196,148,6.7,392,86.2,14,123,,,,,59.4,71.5,34.2,,67.7,,,71.5,,,3,7,407,27.7,84.2,10.5,41,32,2,14,9,15,3.7,2326,7.3,73.7,289,306,9.0,2.9,1,5,1.6,66.3,203,130,4.7,367,80.7,10,114,,,,,71.5,69.9,32.4,,65.9,,,71.3,,,3,7,383,25.4,79.7,9.0,33,26,2,11,5,12,3.1,1942,6.3,74.3,70,74,9.6,2.85,0,6,7.9,64.9,48,27,7.7,88,19.3,4,28,,,,,29.7,73.9,77.9,,72.7,,,64.0,,,0,0,90,29.6,115.1,9.1,8,6,0,4,5,3,3.3,647,8.7,0,91.7,60,62,-2.6,1.8,1,0,0.0,88.7,55,9,0.0,63,13.8,0,19,,,,,70.5,68.7,76.7,,68.1,,,,,,0,0,66,0.0,89.7,0.0,0,0,0,1,1,0,0.0,263,4.2,2.39
Drake Maye,143969,QB,N CAROLINA,10,-11.83,0,451,245,77.4,305,329,11.9,3.0,3,33,9.6,67.2,221,160,6.4,416,92.2,15,174,,,,,58.2,92.9,70.1,,92.3,,,76.1,,,4,3,433,18.1,127.4,7.0,29,58,2,15,32,8,1.8,3217,9.8,82.3,232,249,8.4,2.76,2,19,7.4,73.1,182,109,4.7,312,69.2,9,124,,,,,67.5,91.8,66.6,,91.6,54.3,,73.4,,,1,2,322,18.3,125.6,6.4,20,39,2,12,22,5,1.6,2184,8.8,72.5,102,111,15.4,3.15,1,14,12.1,61.3,68,55,8.1,139,30.8,6,56,,,,,43.2,90.4,80.0,,87.8,,,74.3,,,3,1,147,16.4,127.5,6.5,9,19,0,5,11,3,2.0,1200,10.8,0,100.0,29,31,-3.9,1.39,0,0,0.0,93.5,29,4,0.0,35,7.8,0,6,,,,,68.7,65.7,74.5,,66.3,54.3,,,,,0,0,36,0.0,99.9,0.0,0,0,0,2,1,0,0.0,167,5.4,2.04
Michael Penix Jr.,82134,QB,WASHINGTON,10,-4.1,0,444,340,71.8,347,362,11.9,2.7,1,18,4.6,63.0,228,95,8.4,377,84.9,21,160,,,,,79.4,86.5,59.3,,87.0,,,55.6,,,1,6,404,4.2,107.3,1.1,4,11,2,11,24,5,1.2,3264,9.0,76.8,289,302,9.1,2.48,1,9,2.8,67.9,205,65,7.7,313,70.5,17,128,,,,,78.7,82.0,66.6,,82.2,,,57.6,,,1,4,334,3.1,106.5,0.6,2,9,2,9,18,3,0.9,2430,8.0,72.4,123,127,10.9,2.66,2,9,6.7,63.8,81,31,9.0,131,29.5,8,50,,,,,73.1,85.6,46.0,,86.1,,,52.7,,,0,2,138,6.5,106.7,1.5,2,2,0,2,7,2,1.4,1210,9.5,0,95.4,65,67,-2.7,1.6,2,0,0.0,86.6,58,1,6.5,67,15.1,4,18,,,,,70.6,72.4,76.8,,71.7,,,,,,0,0,68,0.0,95.0,0.0,0,0,0,0,1,0,0.0,376,5.6,1.48
Cameron Ward,133244,QB,WASH STATE,10,8.27,0,442,341,68.9,267,296,10.0,3.33,2,9,2.9,56.4,167,154,9.2,355,80.3,17,112,,,,,42.1,64.1,76.1,,60.0,56.7,,71.5,,,1,7,370,20.8,84.8,9.0,32,25,0,26,15,13,3.5,2033,6.9,71.9,231,254,7.6,3.17,2,4,1.5,60.2,153,122,7.8,306,69.2,13,87,,,,,38.0,57.1,74.8,,51.8,56.7,,71.7,,,1,5,320,23.0,80.6,9.2,28,23,0,20,8,11,3.4,1588,6.3,80.5,118,127,6.6,2.47,2,5,3.8,68.5,87,36,8.4,136,30.8,8,52,,,,,73.2,77.3,79.8,,76.3,,,60.8,,,0,3,142,11.1,113.3,2.9,4,2,0,7,12,3,2.1,991,7.8,0,93.9,82,85,-1.6,1.4,2,0,0.0,85.9,73,4,5.2,87,19.7,4,27,,,,,71.6,63.5,78.0,,63.0,,,,,,0,1,92,0.0,108.1,0.0,0,0,0,1,5,1,1.1,546,6.4,1.55
Hunter Dekkers,122511,QB,IOWA STATE,10,-6.77,0,441,193,73.1,349,362,8.3,2.7,2,11,2.9,65.2,236,137,7.5,404,91.6,19,135,,,,,68.0,73.5,68.9,,73.9,,,57.9,,,2,13,419,17.5,85.6,5.9,24,17,1,8,17,12,2.9,2473,6.8,77.6,259,266,6.0,2.57,1,8,2.9,69.2,184,92,8.5,291,66.0,17,90,,,,,64.2,71.2,64.9,,73.4,,,54.1,,,2,11,304,14.1,82.8,4.5,13,11,1,3,12,9,3.0,1616,6.1,70.6,126,133,9.8,2.67,1,3,2.2,62.4,83,46,6.7,150,34.0,6,50,,,,,73.5,72.8,80.2,,70.0,,,72.6,,,0,2,153,23.9,92.6,7.3,11,6,0,6,5,3,2.0,1028,7.7,0,97.2,36,37,-2.7,1.49,0,0,0.0,83.8,31,1,11.4,37,8.4,4,5,,,,,68.9,65.8,74.6,,65.3,,,,,,0,0,38,0.0,85.9,0.0,0,0,0,1,0,0,0.0,171,4.6,1.65
Clayton Tune,77652,QB,HOUSTON,10,-9.64,0,441,182,75.0,284,311,12.1,3.37,6,19,5.8,63.0,196,116,8.0,372,84.4,17,140,,,,,48.2,90.0,78.3,,85.3,,,76.8,,,2,8,396,18.1,106.6,5.6,21,40,1,18,28,15,3.8,2439,7.8,79.8,262,281,8.6,3.17,5,12,4.0,70.5,198,96,5.3,332,75.3,11,124,,,,,59.9,89.2,77.4,,84.4,,,76.3,,,1,7,354,15.6,106.5,4.5,15,35,1,12,19,10,2.8,2262,8.0,77.0,87,97,11.4,2.83,1,7,7.0,60.8,59,24,11.9,109,24.7,8,42,,,,,35.3,78.4,78.8,,76.4,,,67.2,,,1,1,112,25.0,120.4,5.5,6,5,0,8,12,5,4.5,753,7.8,0,96.9,65,67,-2.9,1.55,0,0,0.0,91.0,61,4,3.2,69,15.6,2,26,,,,,70.7,71.4,76.9,,70.7,,,,,,0,0,70,0.0,117.4,0.0,0,0,0,2,3,0,0.0,576,8.6,-0.29
