"","team","opp","name","salary","fpts","fantasyPoints","proj_own","ownership","offYprr","grades_offense","adv","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_rank","def_man_grade_rank","man_yprr","man_routes","zone_rank","def_zone_grade_rank","zone_yprr","zone_routes"
"80","CIN","NE","Hayden Hurst",3200,NA,8.6,0,2.4,NA,66.2,NA,8,12,-1.27,4,15,0.33,93,29,10,1.6,219
"81","CIN","NE","Tanner Hudson",2500,NA,0.7,0,NA,NA,60.1,NA,8,12,-0.61,4,15,0.18,39,29,10,0.79,100
"82","NYG","MIN","Dre Miller",2500,NA,NA,0,NA,NA,NA,NA,29,26,NA,28,1,NA,NA,5,17,NA,NA
"83","CAR","DET","Colin Thompson",2500,NA,NA,0,NA,NA,NA,NA,26,30,NA,2,22,NA,NA,31,31,NA,NA
"84","CLE","NO","Zaire Mitchell-Paden",2500,NA,NA,0,NA,NA,NA,NA,15,14,NA,11,21,NA,NA,22,8,NA,NA
"85","KC","SEA","Jody Fortson",2500,NA,NA,0,NA,NA,NA,NA,26,24,NA,26,29,NA,NA,7,24,NA,NA
"86","BUF","CHI","Tommy Sweeney",2500,NA,1,0,NA,NA,56.3,NA,32,20,-0.64,16,23,0,7,18,19,0.64,11
"87","TEN","HOU","Thomas Odukoya",2500,NA,NA,0,NA,NA,NA,NA,22,32,NA,25,27,NA,NA,8,30,NA,NA
"88","CHI","BUF","Jake Tonges",2500,NA,NA,0,NA,NA,52.5,NA,18,6,NA,14,17,NA,0,19,9,0,3
"89","ATL","BAL","Kyle Pitts",2500,NA,0,0,NA,NA,72.7,NA,7,17,-0.25,9,14,1.67,30,24,16,1.92,150
"90","CIN","NE","Cal Adomitis",2500,NA,NA,0,NA,NA,NA,NA,8,12,NA,4,15,NA,NA,29,10,NA,NA
"91","NO","CLE","Lucas Krull",2500,NA,NA,0,NA,NA,NA,NA,5,20,NA,23,13,NA,NA,10,21,NA,NA
"92","CHI","BUF","Trevon Wesco",2500,NA,1.1,0,NA,NA,68.8,NA,18,6,-1.08,14,17,0,7,19,9,1.08,24
"93","NE","CIN","Matt Sokol",2500,NA,NA,0,NA,NA,NA,NA,4,12,NA,12,16,NA,NA,21,12,NA,NA
"94","CHI","BUF","Patrick Scales",2500,NA,NA,0,NA,NA,NA,NA,18,6,NA,14,17,NA,NA,19,9,NA,NA
"95","BAL","ATL","Charlie Kolar",2500,NA,NA,0,NA,NA,NA,NA,31,30,NA,18,24,NA,NA,14,29,NA,NA
"96","ATL","BAL","John Raine",2500,NA,NA,0,NA,NA,NA,NA,7,17,NA,9,14,NA,NA,24,16,NA,NA
"97","ATL","BAL","John FitzPatrick",2500,NA,NA,0,NA,NA,NA,NA,7,17,NA,9,14,NA,NA,24,16,NA,NA
"98","KC","SEA","Kendall Blanton",2500,NA,NA,0,NA,NA,70.1,NA,26,24,-1.17,26,29,0,2,7,24,1.17,6
"99","ATL","BAL","Tucker Fisk",2500,NA,NA,0,NA,NA,NA,NA,7,17,NA,9,14,NA,NA,24,16,NA,NA
"100","CLE","NO","Miller Forristall",2500,NA,NA,0,NA,NA,NA,NA,15,14,NA,11,21,NA,NA,22,8,NA,NA
"101","DAL","PHI","Ian Bunting",2500,NA,NA,0,NA,NA,NA,NA,2,4,NA,18,7,NA,NA,14,5,NA,NA
"102","MIN","NYG","Andrew DePaola",2500,NA,NA,0,NA,NA,NA,NA,25,32,NA,1,18,NA,NA,32,32,NA,NA
"103","ATL","BAL","Feleipe Franks",2500,NA,0.6,0,NA,NA,NA,NA,7,17,0,9,14,0,5,24,16,0,17
"104","NO","CLE","Zach Wood",2500,NA,NA,0,NA,NA,NA,NA,5,20,NA,23,13,NA,NA,10,21,NA,NA
"105","WAS","SF","Eli Wolf",2500,NA,NA,0,NA,NA,NA,NA,6,2,NA,30,8,NA,NA,3,2,NA,NA
"106","MIN","NYG","Ben Ellefson",2500,NA,NA,0,NA,NA,79.1,NA,25,32,-4,1,18,0,1,32,32,4,3
"107","WAS","SF","Curtis Hodges",2500,NA,NA,0,NA,NA,NA,NA,6,2,NA,30,8,NA,NA,3,2,NA,NA
"108","HOU","TEN","O.J. Howard",2500,NA,0.5,0,NA,NA,55.1,NA,19,16,-1.58,16,11,0,23,18,18,1.58,72
"109","CIN","NE","Drew Sample",2500,NA,NA,0,NA,NA,52.3,NA,8,12,0.29,4,15,0,2,29,10,-0.29,7
"110","MIN","NYG","James O'Shaughnessy",2500,NA,NA,0,NA,NA,NA,NA,25,32,NA,1,18,NA,NA,32,32,NA,NA
"111","TEN","HOU","Kevin Rader",2500,NA,NA,0,NA,NA,NA,NA,22,32,NA,25,27,NA,NA,8,30,NA,NA
"112","SEA","KC","Tyler Ott",2500,NA,NA,0,NA,NA,NA,NA,9,7,NA,8,2,NA,NA,25,14,NA,NA
