"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","route_rate","slot_rate","slot","wide","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"12","JuJu Smith-Schuster","KC",5800,12.25,13.04,72.4,42.9,6.8,1.91,0.384,"SEA",26,24,-0.66,1.71,2.37,26,7,176,0.231,29,232,0.769,94.3,41.7,55.5,63.68,24,0.132,3,5.8,"JuJu Smith-Schuster 5800 12.25"
"13","Darius Slayton","NYG",5200,14.85,12.6,70.1,19.9,4.7,1.94,0.075,"MIN",29,26,0.57,2.42,1.85,28,5,82,0.21,1,227,0.79,93.7,30.2,56.6,71.44,17,0.138,2,5.5,"Darius Slayton 5200 14.85"
"14","Adam Thielen","MIN",5300,13.31,12.41,68.2,65.4,6.6,1.2,0.516,"NYG",25,32,-0.28,0.97,1.25,1,32,199,0.519,18,317,0.481,93.5,32.6,53.45,62.92,32,0.12,5,2.3,"Adam Thielen 5300 13.31"
"15","Jakobi Meyers","NE",4800,16.54,11.91,75.5,52.1,6.5,2.03,0.695,"CIN",4,12,0.19,2.26,2.07,12,21,97,0.292,16,179,0.708,94,70.1,66.05,59.56,12,-0.087,3,3.5,"Jakobi Meyers 4800 16.54"
"16","Brandon Aiyuk","SF",6300,3.49,11.65,76.6,65.9,6.3,1.73,0.579,"WAS",12,5,0.46,2.12,1.66,10,23,117,0.303,9,285,0.697,93.7,26.4,66.01,64.46,3,0.013,7,4.9,"Brandon Aiyuk 6300 3.49"
"17","Chris Moore","HOU",4700,7.67,10.42,66.5,33.4,4.4,1.47,0.028,"TEN",20,16,0.77,2.14,1.37,16,18,103,0.284,11,204,0.716,95,71.4,66.27,59.87,18,0.066,2,6.3,"Chris Moore 4700 7.67"
"18","Marquise Goodwin","SEA",4300,10.89,10.09,67.6,16.9,2.9,1.43,-0.165,"KC",11,7,0.62,2.08,1.46,8,25,69,0.356,2,167,0.644,94.4,56.1,72.06,66.66,14,0.004,4,4.4,"Marquise Goodwin 4300 10.89"
"19","Richie James Jr.","NYG",3900,22.14,10,67.5,37.3,3.8,1.45,-0.041,"MIN",29,26,0.0800000000000001,1.55,1.47,28,5,60,0.21,1,209,0.79,93.3,82.2,56.6,71.44,17,0.138,3,3,"Richie James Jr. 3900 22.14"
"20","Nelson Agholor","NE",3300,8.22,9.88,58,37.2,3.7,1.38,0.133,"CIN",4,12,1.39,2.31,0.92,12,21,75,0.292,16,157,0.708,94.9,33,66.05,59.56,12,-0.087,2,4.7,"Nelson Agholor 3300 8.22"
"21","Drake London","ATL",4800,5.69,9.82,77.8,54.2,6.4,1.78,0.659,"BAL",7,17,0.42,2.22,1.8,9,24,69,0.307,14,247,0.693,94.9,17.7,NA,NA,16,-0.044,4,3.4,"Drake London 4800 5.69"
