"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","route_rate","slot_rate","slot","wide","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"94","Stanley Morgan","CIN",3000,0.05,0.07,NA,NA,NA,NA,NA,"NE",9,12,NA,NA,NA,4,29,NA,0.425,15,NA,0.575,NA,NA,65.16,64,10,-0.021,NA,NA,"Stanley Morgan 3000 0.05"
"95","Willie Snead IV","SF",3000,0.03,0.06,NA,NA,NA,NA,NA,"WAS",12,5,NA,NA,NA,10,23,NA,0.303,9,NA,0.697,NA,NA,66.01,64.46,3,0.013,NA,NA,"Willie Snead IV 3000 0.03"
"96","KaVontae Turpin","DAL",3000,0.04,0.06,52.5,NA,0.1,0.43,NA,"PHI",2,4,0,0,0,18,14,2,0.263,7,14,0.737,95.5,86.4,63.08,77.7,5,-0.095,0,5,"KaVontae Turpin 3000 0.04"
"97","Nsimba Webster","CHI",3000,0,0.05,46.6,NA,3,2,NA,"BUF",18,6,NA,NA,2.33,14,19,0,0.289,17,6,0.711,100,0,69.31,58.92,9,0.061,0,2.5,"Nsimba Webster 3000 0"
"98","Tyler Lockett","SEA",6800,0,NA,78.5,NA,7.2,1.99,NA,"KC",11,7,-0.7,1.42,2.12,8,25,112,0.356,2,313,0.644,94,42.1,72.06,66.66,14,0.004,8,3.3,"Tyler Lockett 6800 0"
"99","Chris Olave","NO",6100,0,NA,84.6,44.6,7.5,2.47,0.863,"CLE",5,20,-0.26,2.51,2.77,23,10,100,0.236,13,222,0.764,95.5,32.2,NA,NA,21,-0.074,3,2.9,"Chris Olave 6100 0"
"100","Deebo Samuel","SF",6000,0,NA,72.6,NA,7.1,1.74,NA,"WAS",12,5,-0.75,1.27,2.02,10,23,94,0.303,9,232,0.697,93.6,27.1,66.01,64.46,3,0.013,2,8.7,"Deebo Samuel 6000 0"
"101","Chase Claypool","CHI",4500,0,NA,61.8,30.1,5.3,1.09,-0.222,"BUF",18,6,-0.35,0.88,1.23,14,19,103,0.289,17,260,0.711,93.2,64.7,69.31,58.92,9,0.061,1,3.1,"Chase Claypool 4500 0"
"102","Nico Collins","HOU",4400,0,NA,72.4,NA,6.4,1.68,NA,"TEN",20,16,0.19,1.77,1.58,16,18,94,0.284,11,179,0.716,93.8,9.8,66.27,59.87,18,0.066,2,3.9,"Nico Collins 4400 0"
"103","Devin Duvernay","BAL",4100,0,NA,67.2,30.4,3.4,1.15,-0.337,"ATL",31,30,-0.85,0.67,1.52,18,14,110,0.263,24,227,0.737,94.4,33.4,59.73,57.83,29,0.229,3,4.3,"Devin Duvernay 4100 0"
"104","Mecole Hardman","KC",3800,0,NA,67.9,NA,4.1,1.49,NA,"SEA",26,24,0.85,1.9,1.05,26,7,94,0.231,29,97,0.769,91.3,52.1,55.5,63.68,24,0.132,4,6.6,"Mecole Hardman 3800 0"
"105","DeVante Parker","NE",3700,0,NA,71.7,68.8,3.3,1.64,0.383,"CIN",4,12,-0.0900000000000001,1.67,1.76,12,21,80,0.292,16,170,0.708,93.3,8.3,66.05,59.56,12,-0.087,1,3.8,"DeVante Parker 3700 0"
"106","Equanimeous St. Brown","CHI",3600,0,NA,64.3,12.9,2.4,1.17,-0.6,"BUF",18,6,-0.63,0.77,1.4,14,19,88,0.289,17,164,0.711,91.1,28.7,69.31,58.92,9,0.061,1,5.3,"Equanimeous St. Brown 3600 0"
"107","Jarvis Landry","NO",3600,0,NA,67.3,37.2,4.1,1.31,0.043,"CLE",5,20,-0.73,1.04,1.77,23,10,50,0.236,13,122,0.764,93.7,70.1,NA,NA,21,-0.074,1,2.5,"Jarvis Landry 3600 0"
"108","Tylan Wallace","BAL",3000,0,NA,55.5,NA,0.7,0.7,NA,"ATL",31,30,1.4,1.4,0,18,14,17,0.263,24,12,0.737,93.8,31.3,59.73,57.83,29,0.229,0,2.3,"Tylan Wallace 3000 0"
"109","Rashod Bateman","BAL",3000,0,NA,61.6,NA,4.7,2.38,NA,"ATL",31,30,-0.23,2.42,2.65,18,14,57,0.263,24,57,0.737,94.5,14.2,59.73,57.83,29,0.229,2,9.1,"Rashod Bateman 3000 0"
"110","Binjimen Victor","BAL",3000,0,NA,NA,NA,NA,NA,NA,"ATL",31,30,NA,NA,NA,18,14,NA,0.263,24,NA,0.737,NA,NA,59.73,57.83,29,0.229,NA,NA,"Binjimen Victor 3000 0"
"111","Shemar Bridges","BAL",3000,0,NA,NA,NA,NA,NA,NA,"ATL",31,30,NA,NA,NA,18,14,NA,0.263,24,NA,0.737,NA,NA,59.73,57.83,29,0.229,NA,NA,"Shemar Bridges 3000 0"
"112","Frank Darby","ATL",3000,0,NA,NA,NA,NA,NA,NA,"BAL",7,17,NA,NA,NA,9,24,NA,0.307,14,NA,0.693,NA,NA,NA,NA,16,-0.044,NA,NA,"Frank Darby 3000 0"
"113","Jared Bernhardt","ATL",3000,0,NA,NA,NA,NA,NA,NA,"BAL",7,17,NA,NA,NA,9,24,NA,0.307,14,NA,0.693,NA,NA,NA,NA,16,-0.044,NA,NA,"Jared Bernhardt 3000 0"
"114","Ra'Shaun Henry","ATL",3000,0,NA,NA,NA,NA,NA,NA,"BAL",7,17,NA,NA,NA,9,24,NA,0.307,14,NA,0.693,NA,NA,NA,NA,16,-0.044,NA,NA,"Ra'Shaun Henry 3000 0"
"115","Emeka Emezie","ATL",3000,0,NA,NA,NA,NA,NA,NA,"BAL",7,17,NA,NA,NA,9,24,NA,0.307,14,NA,0.693,NA,NA,NA,NA,16,-0.044,NA,NA,"Emeka Emezie 3000 0"
"116","Josh Ali","ATL",3000,0,NA,NA,NA,NA,NA,NA,"BAL",7,17,NA,NA,NA,9,24,NA,0.307,14,NA,0.693,NA,NA,NA,NA,16,-0.044,NA,NA,"Josh Ali 3000 0"
"117","Cameron Batson","ATL",3000,0,NA,NA,NA,NA,NA,NA,"BAL",7,17,NA,NA,NA,9,24,NA,0.307,14,NA,0.693,NA,NA,NA,NA,16,-0.044,NA,NA,"Cameron Batson 3000 0"
"118","Andre Roberts","CAR",3000,0,NA,NA,NA,NA,NA,NA,"DET",26,30,NA,NA,NA,2,31,NA,0.447,22,NA,0.553,NA,NA,57.41,49.4,31,0.132,NA,NA,"Andre Roberts 3000 0"
"119","Derek Wright","CAR",3000,0,NA,NA,NA,NA,NA,NA,"DET",26,30,NA,NA,NA,2,31,NA,0.447,22,NA,0.553,NA,NA,57.41,49.4,31,0.132,NA,NA,"Derek Wright 3000 0"
"120","Preston Williams","CAR",3000,0,NA,NA,NA,NA,NA,NA,"DET",26,30,NA,NA,NA,2,31,NA,0.447,22,NA,0.553,NA,NA,57.41,49.4,31,0.132,NA,NA,"Preston Williams 3000 0"
"121","C.J. Saunders","CAR",3000,0,NA,NA,NA,NA,NA,NA,"DET",26,30,NA,NA,NA,2,31,NA,0.447,22,NA,0.553,NA,NA,57.41,49.4,31,0.132,NA,NA,"C.J. Saunders 3000 0"
"122","Quintez Cephus","DET",3000,0,NA,68,NA,0.8,0.71,NA,"CAR",12,24,-1.29,0,1.29,29,4,11,0.209,32,9,0.791,84,28,57.68,59.38,24,0.013,0,2,"Quintez Cephus 3000 0"
"123","Trinity Benson","DET",3000,0,NA,NA,NA,NA,NA,NA,"CAR",12,24,NA,NA,NA,29,4,NA,0.209,32,NA,0.791,NA,NA,57.68,59.38,24,0.013,NA,NA,"Trinity Benson 3000 0"
"124","Brandon Zylstra","DET",3000,0,NA,NA,NA,NA,NA,NA,"CAR",12,24,NA,NA,NA,29,4,NA,0.209,32,NA,0.791,NA,NA,57.68,59.38,24,0.013,NA,NA,"Brandon Zylstra 3000 0"
"125","Maurice Alexander","DET",3000,0,NA,57.2,NA,0.3,1.4,NA,"CAR",12,24,3.5,3.5,0,29,4,3,0.209,32,3,0.791,83.3,16.7,57.68,59.38,24,0.013,0,5,"Maurice Alexander 3000 0"
"126","Stanley Berryhill","DET",3000,0,NA,NA,NA,NA,NA,NA,"CAR",12,24,NA,NA,NA,29,4,NA,0.209,32,NA,0.791,NA,NA,57.68,59.38,24,0.013,NA,NA,"Stanley Berryhill 3000 0"
"127","Darnell Mooney","CHI",3000,0,NA,69.2,NA,4.8,1.58,NA,"BUF",18,6,0.14,1.79,1.65,14,19,106,0.289,17,200,0.711,92.6,60.5,69.31,58.92,9,0.061,2,4.3,"Darnell Mooney 3000 0"
"128","Daurice Fountain","CHI",3000,0,NA,NA,NA,NA,NA,NA,"BUF",18,6,NA,NA,NA,14,19,NA,0.289,17,NA,0.711,NA,NA,69.31,58.92,9,0.061,NA,NA,"Daurice Fountain 3000 0"
"129","Jake Kumerow","BUF",3000,0,NA,62,NA,1.2,1.21,NA,"CHI",32,20,-0.5,0.94,1.44,16,18,16,0.284,23,35,0.716,96.4,12.7,56.62,58.36,19,0.233,0,4.8,"Jake Kumerow 3000 0"
"130","Jamison Crowder","BUF",3000,0,NA,53.2,NA,3,0.85,NA,"CHI",32,20,-1.17,0,1.17,16,18,28,0.284,23,37,0.716,95.9,87.8,56.62,58.36,19,0.233,0,5,"Jamison Crowder 3000 0"
"131","Tanner Gentry","BUF",3000,0,NA,46.9,NA,0.3,0,NA,"CHI",32,20,0,0,0,16,18,6,0.284,23,5,0.716,100,18.2,56.62,58.36,19,0.233,0,NA,"Tanner Gentry 3000 0"
"132","John Brown","BUF",3000,0,NA,57,NA,0.5,0,NA,"CHI",32,20,0,0,0,16,18,2,0.284,23,2,0.716,100,0,56.62,58.36,19,0.233,0,NA,"John Brown 3000 0"
"133","KeeSean Johnson","BUF",3000,0,NA,NA,NA,NA,NA,NA,"CHI",32,20,NA,NA,NA,16,18,NA,0.284,23,NA,0.716,NA,NA,56.62,58.36,19,0.233,NA,NA,"KeeSean Johnson 3000 0"
"134","Deonte Harty","NO",3000,0,NA,47.9,NA,0.5,0.81,NA,"CLE",5,20,-1.18,0,1.18,23,10,3,0.236,13,11,0.764,100,37.5,NA,NA,21,-0.074,0,4,"Deonte Harty 3000 0"
"135","Michael Thomas","NO",3000,0,NA,77.3,NA,7.3,1.64,NA,"CLE",5,20,0.47,2.11,1.64,23,10,21,0.236,13,73,0.764,95.4,20.2,NA,NA,21,-0.074,3,1.6,"Michael Thomas 3000 0"
"136","Kevin White","NO",3000,0,NA,54.4,NA,0.7,0.99,NA,"CLE",5,20,3.37,3.37,0,23,10,20,0.236,13,43,0.764,96.2,21.8,NA,NA,21,-0.074,0,34,"Kevin White 3000 0"
"137","Daylen Baldwin","CLE",3000,0,NA,83.3,NA,2,5,NA,"NO",15,14,NA,NA,6.25,11,22,0,0.301,21,4,0.699,100,20,60.76,52.41,8,0.035,0,0,"Daylen Baldwin 3000 0"
"138","Jaelon Darden","CLE",3000,0,NA,53.3,NA,0.3,0.7,NA,"NO",15,14,-1.04,0,1.04,11,22,9,0.301,21,25,0.699,92.5,35,60.76,52.41,8,0.035,0,7.5,"Jaelon Darden 3000 0"
"139","Anthony Schwartz","CLE",3000,0,NA,50.8,NA,1,0.82,NA,"NO",15,14,-1.6,0.11,1.71,11,22,31,0.301,21,28,0.699,93.9,45.5,60.76,52.41,8,0.035,0,7.5,"Anthony Schwartz 3000 0"
"140","Jakeem Grant Sr.","CLE",3000,0,NA,NA,NA,NA,NA,NA,"NO",15,14,NA,NA,NA,11,22,NA,0.301,21,NA,0.699,NA,NA,60.76,52.41,8,0.035,NA,NA,"Jakeem Grant Sr. 3000 0"
"141","Mike Harley Jr.","CLE",3000,0,NA,NA,NA,NA,NA,NA,"NO",15,14,NA,NA,NA,11,22,NA,0.301,21,NA,0.699,NA,NA,60.76,52.41,8,0.035,NA,NA,"Mike Harley Jr. 3000 0"
"142","Isaiah Weston","CLE",3000,0,NA,NA,NA,NA,NA,NA,"NO",15,14,NA,NA,NA,11,22,NA,0.301,21,NA,0.699,NA,NA,60.76,52.41,8,0.035,NA,NA,"Isaiah Weston 3000 0"
"143","Marquez Stevenson","CLE",3000,0,NA,NA,NA,NA,NA,NA,"NO",15,14,NA,NA,NA,11,22,NA,0.301,21,NA,0.699,NA,NA,60.76,52.41,8,0.035,NA,NA,"Marquez Stevenson 3000 0"
"144","Dee Eskridge","SEA",3000,0,NA,NA,NA,NA,NA,NA,"KC",11,7,NA,NA,NA,8,25,NA,0.356,2,NA,0.644,NA,NA,72.06,66.66,14,0.004,NA,NA,"Dee Eskridge 3000 0"
"145","Cody Thompson","SEA",3000,0,NA,NA,NA,NA,NA,NA,"KC",11,7,NA,NA,NA,8,25,NA,0.356,2,NA,0.644,NA,NA,72.06,66.66,14,0.004,NA,NA,"Cody Thompson 3000 0"
"146","Easop Winston","SEA",3000,0,NA,NA,NA,NA,NA,NA,"KC",11,7,NA,NA,NA,8,25,NA,0.356,2,NA,0.644,NA,NA,72.06,66.66,14,0.004,NA,NA,"Easop Winston 3000 0"
"147","Bo Melton","SEA",3000,0,NA,NA,NA,NA,NA,NA,"KC",11,7,NA,NA,NA,8,25,NA,0.356,2,NA,0.644,NA,NA,72.06,66.66,14,0.004,NA,NA,"Bo Melton 3000 0"
"148","Cade Johnson","SEA",3000,0,NA,NA,NA,NA,NA,NA,"KC",11,7,NA,NA,NA,8,25,NA,0.356,2,NA,0.644,NA,NA,72.06,66.66,14,0.004,NA,NA,"Cade Johnson 3000 0"
"149","Justyn Ross","KC",3000,0,NA,NA,NA,NA,NA,NA,"SEA",26,24,NA,NA,NA,26,7,NA,0.231,29,NA,0.769,NA,NA,55.5,63.68,24,0.132,NA,NA,"Justyn Ross 3000 0"
"150","Ihmir Smith-Marsette","KC",3000,0,NA,43.6,NA,0.8,0.5,NA,"SEA",26,24,-0.83,0,0.83,26,7,10,0.231,29,19,0.769,88.2,29.4,55.5,63.68,24,0.132,0,5,"Ihmir Smith-Marsette 3000 0"
"151","Bryan Edwards","KC",3000,0,NA,50.7,NA,0.7,0.29,NA,"SEA",26,24,-0.33,0,0.33,26,7,10,0.231,29,37,0.769,98.1,20.8,55.5,63.68,24,0.132,0,3.7,"Bryan Edwards 3000 0"
"152","Cornell Powell","KC",3000,0,NA,NA,NA,NA,NA,NA,"SEA",26,24,NA,NA,NA,26,7,NA,0.231,29,NA,0.769,NA,NA,55.5,63.68,24,0.132,NA,NA,"Cornell Powell 3000 0"
"153","Marcus Kemp","KC",3000,0,NA,NA,NA,NA,NA,NA,"SEA",26,24,NA,NA,NA,26,7,NA,0.231,29,NA,0.769,NA,NA,55.5,63.68,24,0.132,NA,NA,"Marcus Kemp 3000 0"
"154","Jerrion Ealy","KC",3000,0,NA,NA,NA,NA,NA,NA,"SEA",26,24,NA,NA,NA,26,7,NA,0.231,29,NA,0.769,NA,NA,55.5,63.68,24,0.132,NA,NA,"Jerrion Ealy 3000 0"
"155","David Sills V","NYG",3000,0,NA,NA,NA,NA,NA,NA,"MIN",29,26,NA,NA,NA,28,5,NA,0.21,1,NA,0.79,NA,NA,56.6,71.44,17,0.138,NA,NA,"David Sills V 3000 0"
"156","Sterling Shepard","NYG",3000,0,NA,58.5,NA,7,1.56,NA,"MIN",29,26,0.0799999999999998,1.69,1.61,28,5,17,0.21,1,87,0.79,91.7,31.5,56.6,71.44,17,0.138,1,4,"Sterling Shepard 3000 0"
"157","Wan'Dale Robinson","NYG",3000,0,NA,72,NA,5,1.76,NA,"MIN",29,26,-1.08,1.38,2.46,28,5,48,0.21,1,69,0.79,92.1,80.7,56.6,71.44,17,0.138,1,5.5,"Wan'Dale Robinson 3000 0"
"158","Collin Johnson","NYG",3000,0,NA,NA,NA,NA,NA,NA,"MIN",29,26,NA,NA,NA,28,5,NA,0.21,1,NA,0.79,NA,NA,56.6,71.44,17,0.138,NA,NA,"Collin Johnson 3000 0"
"159","Jaydon Mickens","NYG",3000,0,NA,NA,NA,NA,NA,NA,"MIN",29,26,NA,NA,NA,28,5,NA,0.21,1,NA,0.79,NA,NA,56.6,71.44,17,0.138,NA,NA,"Jaydon Mickens 3000 0"
"160","Makai Polk","NYG",3000,0,NA,NA,NA,NA,NA,NA,"MIN",29,26,NA,NA,NA,28,5,NA,0.21,1,NA,0.79,NA,NA,56.6,71.44,17,0.138,NA,NA,"Makai Polk 3000 0"
"161","Kalil Pimpleton","NYG",3000,0,NA,NA,NA,NA,NA,NA,"MIN",29,26,NA,NA,NA,28,5,NA,0.21,1,NA,0.79,NA,NA,56.6,71.44,17,0.138,NA,NA,"Kalil Pimpleton 3000 0"
"162","Bisi Johnson","MIN",3000,0,NA,NA,NA,NA,NA,NA,"NYG",25,32,NA,NA,NA,1,32,NA,0.519,18,NA,0.481,NA,NA,53.45,62.92,32,0.12,NA,NA,"Bisi Johnson 3000 0"
"163","Thomas Hennigan","MIN",3000,0,NA,NA,NA,NA,NA,NA,"NYG",25,32,NA,NA,NA,1,32,NA,0.519,18,NA,0.481,NA,NA,53.45,62.92,32,0.12,NA,NA,"Thomas Hennigan 3000 0"
"164","Trishton Jackson","MIN",3000,0,NA,NA,NA,NA,NA,NA,"NYG",25,32,NA,NA,NA,1,32,NA,0.519,18,NA,0.481,NA,NA,53.45,62.92,32,0.12,NA,NA,"Trishton Jackson 3000 0"
"165","Blake Proehl","MIN",3000,0,NA,NA,NA,NA,NA,NA,"NYG",25,32,NA,NA,NA,1,32,NA,0.519,18,NA,0.481,NA,NA,53.45,62.92,32,0.12,NA,NA,"Blake Proehl 3000 0"
"166","Dan Chisena","MIN",3000,0,NA,NA,NA,NA,NA,NA,"NYG",25,32,NA,NA,NA,1,32,NA,0.519,18,NA,0.481,NA,NA,53.45,62.92,32,0.12,NA,NA,"Dan Chisena 3000 0"
"167","Ty Montgomery","NE",3000,0,NA,63.9,NA,4,1.36,NA,"CIN",4,12,1.22,2,0.78,12,21,5,0.292,16,11,0.708,64.7,0,66.05,59.56,12,-0.087,1,2.7,"Ty Montgomery 3000 0"
"168","Matthew Slater","NE",3000,0,NA,NA,NA,NA,NA,NA,"CIN",4,12,NA,NA,NA,12,21,NA,0.292,16,NA,0.708,NA,NA,66.05,59.56,12,-0.087,NA,NA,"Matthew Slater 3000 0"
"169","Raleigh Webb","NE",3000,0,NA,NA,NA,NA,NA,NA,"CIN",4,12,NA,NA,NA,12,21,NA,0.292,16,NA,0.708,NA,NA,66.05,59.56,12,-0.087,NA,NA,"Raleigh Webb 3000 0"
"170","Kristian Wilkerson","NE",3000,0,NA,NA,NA,NA,NA,NA,"CIN",4,12,NA,NA,NA,12,21,NA,0.292,16,NA,0.708,NA,NA,66.05,59.56,12,-0.087,NA,NA,"Kristian Wilkerson 3000 0"
"171","Tre Nixon","NE",3000,0,NA,NA,NA,NA,NA,NA,"CIN",4,12,NA,NA,NA,12,21,NA,0.292,16,NA,0.708,NA,NA,66.05,59.56,12,-0.087,NA,NA,"Tre Nixon 3000 0"
"172","Lynn Bowden Jr.","NE",3000,0,NA,NA,NA,NA,NA,NA,"CIN",4,12,NA,NA,NA,12,21,NA,0.292,16,NA,0.708,NA,NA,66.05,59.56,12,-0.087,NA,NA,"Lynn Bowden Jr. 3000 0"
"173","Kwamie Lassiter II","CIN",3000,0,NA,NA,NA,NA,NA,NA,"NE",9,12,NA,NA,NA,4,29,NA,0.425,15,NA,0.575,NA,NA,65.16,64,10,-0.021,NA,NA,"Kwamie Lassiter II 3000 0"
"174","Tyron Johnson","CIN",3000,0,NA,54.2,NA,0.2,0.44,NA,"NE",9,12,-0.67,0,0.67,4,29,6,0.425,15,12,0.575,94.7,0,65.16,64,10,-0.021,0,10,"Tyron Johnson 3000 0"
"175","Mason Kinsey","TEN",3000,0,NA,55.8,NA,1,0.33,NA,"HOU",22,32,-0.75,0,0.75,25,8,4,0.234,27,4,0.766,100,88.9,NA,NA,30,0.089,0,0,"Mason Kinsey 3000 0"
"176","C.J. Board","TEN",3000,0,NA,54.4,NA,1,0.6,NA,"HOU",22,32,-0.75,0,0.75,25,8,1,0.234,27,8,0.766,100,20,NA,NA,30,0.089,0,0,"C.J. Board 3000 0"
"177","Cody Hollister","TEN",3000,0,NA,61.7,NA,0.5,1.1,NA,"HOU",22,32,-1,0,1,25,8,15,0.234,27,29,0.766,89.1,14.5,NA,NA,30,0.089,0,2.7,"Cody Hollister 3000 0"
"178","Kyle Philips","TEN",3000,0,NA,63.7,NA,3.2,1.63,NA,"HOU",22,32,2.74,3.69,0.95,25,8,19,0.234,27,22,0.766,88.9,61.1,NA,NA,30,0.089,0,2.4,"Kyle Philips 3000 0"
"179","Dez Fitzpatrick","TEN",3000,0,NA,NA,NA,NA,NA,NA,"HOU",22,32,NA,NA,NA,25,8,NA,0.234,27,NA,0.766,NA,NA,NA,NA,30,0.089,NA,NA,"Dez Fitzpatrick 3000 0"
"180","Reggie Roberson Jr.","TEN",3000,0,NA,NA,NA,NA,NA,NA,"HOU",22,32,NA,NA,NA,25,8,NA,0.234,27,NA,0.766,NA,NA,NA,NA,30,0.089,NA,NA,"Reggie Roberson Jr. 3000 0"
"181","John Metchie III","HOU",3000,0,NA,NA,NA,NA,NA,NA,"TEN",20,16,NA,NA,NA,16,18,NA,0.284,11,NA,0.716,NA,NA,66.27,59.87,18,0.066,NA,NA,"John Metchie III 3000 0"
"182","Alex Bachman","HOU",3000,0,NA,NA,NA,NA,NA,NA,"TEN",20,16,NA,NA,NA,16,18,NA,0.284,11,NA,0.716,NA,NA,66.27,59.87,18,0.066,NA,NA,"Alex Bachman 3000 0"
"183","D.J. Montgomery","HOU",3000,0,NA,NA,NA,NA,NA,NA,"TEN",20,16,NA,NA,NA,16,18,NA,0.284,11,NA,0.716,NA,NA,66.27,59.87,18,0.066,NA,NA,"D.J. Montgomery 3000 0"
"184","Johnny Johnson III","HOU",3000,0,NA,NA,NA,NA,NA,NA,"TEN",20,16,NA,NA,NA,16,18,NA,0.284,11,NA,0.716,NA,NA,66.27,59.87,18,0.066,NA,NA,"Johnny Johnson III 3000 0"
"185","Davion Davis","HOU",3000,0,NA,NA,NA,NA,NA,NA,"TEN",20,16,NA,NA,NA,16,18,NA,0.284,11,NA,0.716,NA,NA,66.27,59.87,18,0.066,NA,NA,"Davion Davis 3000 0"
"186","Alex Erickson","WAS",3000,0,NA,NA,NA,NA,NA,NA,"SF",6,2,NA,NA,NA,30,3,NA,0.208,8,NA,0.792,NA,NA,65.46,69.15,2,-0.059,NA,NA,"Alex Erickson 3000 0"
"187","Marken Michel","WAS",3000,0,NA,NA,NA,NA,NA,NA,"SF",6,2,NA,NA,NA,30,3,NA,0.208,8,NA,0.792,NA,NA,65.46,69.15,2,-0.059,NA,NA,"Marken Michel 3000 0"
"188","Kyric McGowan","WAS",3000,0,NA,NA,NA,NA,NA,NA,"SF",6,2,NA,NA,NA,30,3,NA,0.208,8,NA,0.792,NA,NA,65.46,69.15,2,-0.059,NA,NA,"Kyric McGowan 3000 0"
"189","Tay Martin","SF",3000,0,NA,NA,NA,NA,NA,NA,"WAS",12,5,NA,NA,NA,10,23,NA,0.303,9,NA,0.697,NA,NA,66.01,64.46,3,0.013,NA,NA,"Tay Martin 3000 0"
"190","Dazz Newsome","SF",3000,0,NA,NA,NA,NA,NA,NA,"WAS",12,5,NA,NA,NA,10,23,NA,0.303,9,NA,0.697,NA,NA,66.01,64.46,3,0.013,NA,NA,"Dazz Newsome 3000 0"
"191","Britain Covey","PHI",3000,0,NA,NA,NA,NA,NA,NA,"DAL",16,10,NA,NA,NA,21,12,NA,0.248,28,NA,0.752,NA,NA,67.13,61.25,1,0.039,NA,NA,"Britain Covey 3000 0"
"192","Devon Allen","PHI",3000,0,NA,NA,NA,NA,NA,NA,"DAL",16,10,NA,NA,NA,21,12,NA,0.248,28,NA,0.752,NA,NA,67.13,61.25,1,0.039,NA,NA,"Devon Allen 3000 0"
"193","Greg Ward","PHI",3000,0,NA,NA,NA,NA,NA,NA,"DAL",16,10,NA,NA,NA,21,12,NA,0.248,28,NA,0.752,NA,NA,67.13,61.25,1,0.039,NA,NA,"Greg Ward 3000 0"
"194","Jalen Tolbert","DAL",3000,0,NA,48.7,NA,0.4,0.3,NA,"PHI",2,4,-0.33,0.24,0.57,18,14,19,0.263,7,16,0.737,90.9,11.4,63.08,77.7,5,-0.095,0,0,"Jalen Tolbert 3000 0"
"195","Simi Fehoko","DAL",3000,0,NA,55.7,NA,1,1.04,NA,"PHI",2,4,-1.42,0,1.42,18,14,6,0.263,7,13,0.737,95.8,37.5,63.08,77.7,5,-0.095,0,3.3,"Simi Fehoko 3000 0"
"196","Dennis Houston","DAL",3000,0,NA,54.6,NA,3,0.33,NA,"PHI",2,4,-0.16,0,0.16,18,14,14,0.263,7,32,0.737,92.3,7.7,63.08,77.7,5,-0.095,0,3,"Dennis Houston 3000 0"
"197","Antonio Callaway","DAL",3000,0,NA,NA,NA,NA,NA,NA,"PHI",2,4,NA,NA,NA,18,14,NA,0.263,7,NA,0.737,NA,NA,63.08,77.7,5,-0.095,NA,NA,"Antonio Callaway 3000 0"
"198","Dontario Drummond","DAL",3000,0,NA,NA,NA,NA,NA,NA,"PHI",2,4,NA,NA,NA,18,14,NA,0.263,7,NA,0.737,NA,NA,63.08,77.7,5,-0.095,NA,NA,"Dontario Drummond 3000 0"
"199","Brandon Smith","DAL",3000,0,NA,NA,NA,NA,NA,NA,"PHI",2,4,NA,NA,NA,18,14,NA,0.263,7,NA,0.737,NA,NA,63.08,77.7,5,-0.095,NA,NA,"Brandon Smith 3000 0"
