"","Name","TeamAbbrev","Salary","proj_own","fpts","sum_sd","touches_game","runBlockAdv","opp","off_def","off_rush_epa_rank","def_rush_epa_rank","rdef_rank","mtf_per_attempt","breakaway_percent","elusive_rating","tack_rank","grades_offense","yco_attempt","yprr","name_salary_own"
"50","Justin Jackson","DET",4200,0.21,4.86,-0.384,4.6,-5,"CAR",-14,28,12,16,0.7,24.9,38.2,19,59.3,3.25,1.03,"Justin Jackson 4200 0.21"
"51","Alexander Mattison","MIN",4700,0.07,3.48,-0.444,4.6,4,"NYG",1.5,24,26,25,5.1,8.6,110.2,7,66.8,2.87,0.6,"Alexander Mattison 4700 0.07"
"52","DeeJay Dallas","SEA",4300,0.05,0.53,-0.471,2.8,-33,"KC",-7.5,24,15,18,21.2,15.4,50,26,56.7,2.58,0.63,"DeeJay Dallas 4300 0.05"
"53","Jonathan Williams","WAS",4000,0.01,0.1,-0.531,2.2,-37,"SF",-14,16,2,2,NA,53.2,114,3,80,4.18,0,"Jonathan Williams 4000 0.01"
"54","Rex Burkhead","HOU",4600,0.38,4.95,-0.538,4.4,-35,"TEN",-27.5,30,1,4,12.3,0,32.6,16,59.6,2.65,1.17,"Rex Burkhead 4600 0.38"
"55","Dare Ogunbowale","HOU",4400,1.39,6.42,-0.706,2.6,-35,"TEN",-27.5,30,1,4,0.3,0,40.1,16,63.9,1.94,1.67,"Dare Ogunbowale 4400 1.39"
"56","Matt Breida","NYG",5100,0.1,3.26,-0.741,3.6,-53,"MIN",-11,16,7,3,1.3,0,17.9,2,64.2,2.28,1.02,"Matt Breida 5100 0.1"
"57","C.J. Ham","MIN",4000,0.01,0.79,-0.815,0.6,4,"NYG",1.5,24,26,25,NA,0,27.8,7,51,1.25,1.06,"C.J. Ham 4000 0.01"
"58","Gary Brightwell","NYG",4500,0.04,0.43,-0.865,2.2,-53,"MIN",-11,16,7,3,1.9,20.5,29.8,2,69.3,1.79,1.2,"Gary Brightwell 4500 0.04"
"59","Ronald Jones II","KC",4000,0.05,0.32,NA,NA,-1,"SEA",12,12,27,21,NA,NA,NA,22,NA,NA,NA,"Ronald Jones II 4000 0.05"
"60","Chris Evans","CIN",4000,0.04,0.24,NA,NA,-20,"NE",-11,22,11,11,NA,NA,NA,1,NA,NA,NA,"Chris Evans 4000 0.04"
