player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Tom Brady,698,QB,TB,9,-9.04,0,416,30,72.0,321,344,9.1,2.38,5,20,5.4,62.5,215,76,6.9,360,86.5,16,112,,,,74.5,77.7,87.5,77.4,,,39.9,,1,1,386,18.4,89.1,3.9,14,2,3,14,9,7,1.8,2268,6.6,74.4,320,339,7.3,2.18,4,17,4.7,66.7,226,66,5.0,357,85.8,12,102,,,,74.1,72.0,87.4,72.1,,,39.9,,1,1,380,21.2,90.1,3.9,14,2,3,11,8,7,1.8,2097,6.2,76.5,51,59,8.9,2.63,1,3,4.8,57.6,34,10,12.8,59,14.2,5,23,,,,81.7,84.5,78.8,82.4,,,,,0,0,62,0.0,93.2,0.0,0,0,0,7,2,1,1.6,450,7.6,0,92.0,50,54,-2.8,1.36,0,0,0.0,83.3,45,0,2.2,56,13.5,1,13,,,,81.1,57.8,78.4,57.7,,,,,0,0,56,,94.4,0.0,0,0,0,4,1,1,1.8,279,5.2,1.44
Kyler Murray,38334,QB,ARZ,9,6.88,0,407,1,73.6,273,299,9.2,2.74,9,8,2.5,63.2,189,105,6.0,343,84.3,12,104,,,,46.8,64.5,87.6,62.0,,,66.6,,2,6,370,21.9,84.8,6.7,23,21,3,12,11,15,4.1,1878,6.3,76.3,270,295,6.4,2.52,9,6,1.9,65.4,193,88,6.3,332,81.6,13,92,,,,45.1,61.3,87.4,60.2,,,60.6,,2,5,355,25.0,82.9,6.6,22,15,3,11,9,14,3.9,1645,5.6,81.7,60,65,9.6,2.77,0,2,2.9,72.3,47,22,4.1,75,18.4,2,24,,,,48.4,75.4,79.8,69.6,,,82.0,,0,1,82,9.1,104.5,2.7,2,6,0,5,3,2,2.4,518,8.0,0,94.7,57,61,-3.5,1.6,0,0,0.0,83.6,51,5,5.6,64,15.7,3,12,,,,41.6,65.9,79.0,65.2,,,,,0,0,67,20.0,91.6,1.6,1,0,0,4,1,1,1.5,285,4.7,2.39
Joe Burrow,28022,QB,CIN,9,-10.13,0,377,7,78.4,283,307,8.3,2.52,11,13,4.0,69.1,212,96,4.5,350,92.8,10,118,,,,63.4,80.9,50.9,78.8,60.0,,71.9,,5,6,372,30.2,103.4,8.3,29,13,0,8,18,10,2.7,2384,7.8,81.7,252,273,6.6,2.42,10,9,3.1,71.8,196,78,4.9,310,82.2,10,104,,,,71.3,78.9,48.2,77.2,60.0,,69.4,,4,4,331,30.8,105.5,7.7,24,12,0,7,15,7,2.1,2059,7.5,69.1,55,60,11.2,2.66,2,4,6.3,61.7,37,20,2.6,67,17.8,1,20,,,,44.1,76.4,79.3,73.6,60.0,,65.9,,1,2,70,30.0,89.3,9.0,6,1,0,2,3,3,4.3,476,7.9,0,91.7,24,26,-2.4,1.66,1,0,0.0,80.8,21,2,4.5,27,7.2,1,6,,,,77.2,64.7,76.0,64.2,,,,,0,0,29,50.0,90.9,3.7,1,0,0,1,0,0,0.0,151,5.8,0.39
Justin Herbert,28237,QB,LAC,8,7.31,0,373,27,75.3,288,317,7.9,2.84,12,9,2.7,64.4,204,121,6.0,337,90.3,13,106,,,,83.6,72.7,87.2,71.4,,,60.4,,8,5,352,8.3,89.4,3.0,10,10,0,9,12,6,1.7,2100,6.6,75.3,227,249,7.2,2.68,8,6,2.3,64.3,160,91,6.4,265,71.0,11,77,,,,79.3,69.7,86.6,69.2,,,54.0,,6,4,276,7.7,85.0,2.6,7,8,0,8,8,6,2.2,1517,6.1,83.7,92,102,5.7,2.98,5,3,2.8,71.6,73,35,5.2,108,29.0,4,37,,,,85.8,74.4,81.1,72.2,60.0,,69.1,,2,1,114,8.6,104.1,2.8,3,3,0,3,5,0,0.0,737,7.2,0,100.0,31,34,-4.2,2.14,1,0,0.0,85.3,29,5,6.5,36,9.7,2,8,,,,78.7,66.7,77.1,67.5,60.0,,58.3,,0,0,38,0.0,95.3,0.0,0,1,0,2,1,0,0.0,154,4.5,1.14
Patrick Mahomes,11765,QB,KC,8,4.41,0,370,16,76.3,262,291,9.1,2.92,3,17,5.3,63.6,185,129,7.5,329,88.9,15,136,,,,83.8,89.6,67.0,84.4,,,89.1,,5,6,360,12.4,101.9,4.9,16,21,0,21,19,10,2.8,2350,8.1,77.5,240,265,7.7,2.72,2,11,3.8,65.3,173,107,7.0,295,79.7,13,119,,,,81.7,84.6,65.2,78.6,,,91.1,,5,5,319,12.1,98.9,4.4,13,16,0,18,14,9,2.8,2077,7.8,82.8,58,66,7.4,2.9,3,6,8.1,69.7,46,26,4.2,75,20.3,2,30,,,,83.7,86.6,79.8,86.2,,,56.8,,0,1,83,11.5,122.5,4.0,3,5,0,5,7,1,1.2,528,8.0,0,94.4,36,40,-3.5,1.44,2,0,0.0,85.0,34,4,0.0,41,11.1,0,13,,,,79.3,63.8,77.3,63.3,,,,,0,0,42,0.0,109.9,0.0,0,0,0,2,2,0,0.0,255,6.4,0.16
Josh Allen,46601,QB,BUF,8,6.39,0,344,4,73.1,249,275,10.3,2.87,11,21,7.3,62.2,171,109,6.0,319,92.7,11,125,,,,64.4,88.6,64.4,78.3,,,92.6,,2,8,331,14.7,97.9,5.0,16,28,1,12,18,17,5.1,2265,8.2,74.0,200,221,9.1,2.73,8,16,7.0,62.4,138,84,6.8,258,75.0,10,98,,,,71.2,88.0,61.0,77.3,,,92.3,,2,6,267,15.5,91.8,5.0,13,23,1,10,11,12,4.5,1718,7.8,77.5,71,77,9.8,2.86,3,5,6.3,68.8,53,26,3.6,86,25.0,2,36,,,,51.8,77.0,80.1,72.1,,,80.5,,0,2,89,11.5,120.3,3.5,3,6,0,3,8,5,5.6,685,8.9,0,95.5,22,23,-2.6,1.43,0,0,0.0,87.0,20,1,4.8,25,7.3,1,9,,,,76.3,68.6,75.5,64.7,,,64.4,,0,0,25,0.0,106.2,0.0,0,1,0,1,1,0,0.0,138,6.0,1.13
Aaron Rodgers,2241,QB,GB,9,-0.63,0,342,12,70.0,227,252,10.5,2.83,3,20,7.4,59.1,149,90,6.3,276,80.7,10,81,,,,80.0,76.4,66.9,74.6,,,66.1,,3,7,297,20.0,81.9,6.5,18,6,1,18,10,7,2.4,1746,6.9,76.6,218,236,7.7,2.46,4,18,7.2,64.8,153,69,8.4,255,74.6,14,73,,,,90.5,77.7,65.8,76.0,,,66.1,,2,5,270,18.8,88.3,5.1,13,6,1,11,10,5,1.9,1522,6.4,72.6,73,81,7.8,2.74,0,2,2.3,64.2,52,22,1.9,87,25.4,1,25,,,,52.6,66.4,80.3,65.7,,,,,1,2,95,22.7,91.0,5.7,5,0,0,7,4,2,2.1,569,7.0,0,95.3,64,65,-2.2,1.29,1,0,0.0,86.2,56,1,8.2,66,19.3,5,17,,,,82.3,67.9,79.1,67.1,,,,,0,0,68,0.0,109.3,0.0,0,0,0,0,4,0,0.0,345,5.3,0.57
Trevor Lawrence,77632,QB,JAX,9,3.74,0,332,15,72.2,241,259,10.3,2.67,5,10,3.6,61.4,159,88,8.6,281,84.6,15,101,,,,32.5,62.9,87.4,59.1,,,74.3,,2,6,301,13.6,87.0,4.3,12,10,2,9,11,12,4.0,1818,7.0,74.4,219,232,7.9,2.41,5,7,2.9,63.4,147,67,9.8,252,75.9,16,79,,,,29.3,60.5,87.1,55.8,,,75.4,,0,4,266,13.4,84.2,3.6,9,9,2,6,8,10,3.8,1391,6.0,78.3,69,76,9.0,2.79,1,3,3.6,67.1,51,24,5.6,80,24.1,3,34,,,,84.0,68.4,80.1,68.1,60.0,,58.3,,2,2,87,12.5,98.0,3.8,3,1,0,4,3,2,2.3,689,9.1,0,91.5,47,49,-3.0,1.57,1,0,0.0,79.6,39,3,9.3,51,15.4,4,12,,,,80.6,61.9,78.2,61.7,60.0,,,,0,0,52,0.0,88.9,0.0,0,0,0,1,0,0,0.0,262,5.3,3.07
Matt Ryan,4317,QB,IND,7,-12.09,0,327,14,78.5,247,277,7.2,2.68,8,2,0.7,66.4,184,110,5.2,307,93.9,10,102,,,,25.7,56.9,44.1,58.5,,,43.0,,3,8,322,21.8,85.4,7.8,24,6,1,18,9,13,4.0,1939,7.0,81.3,219,239,6.0,2.55,4,2,0.8,70.7,169,94,5.1,263,80.4,9,81,,,,28.4,58.5,40.1,60.7,,,36.6,,3,8,277,21.3,83.1,7.6,20,4,1,12,6,11,4.0,1585,6.6,72.9,48,58,7.9,2.89,4,0,0.0,58.6,34,16,2.9,64,19.6,1,24,,,,25.3,54.7,79.0,53.5,,,66.4,,0,1,67,25.0,91.6,6.3,4,2,0,6,3,3,4.5,426,7.3,0,95.0,20,20,-4.0,1.62,0,0,0.0,95.0,19,0,0.0,20,6.1,0,3,,,,75.6,61.6,75.0,61.3,,,,,0,1,22,,60.8,0.0,0,0,0,0,0,1,4.5,72,3.6,0.71
Kirk Cousins,7102,QB,MIN,8,6.27,0,326,18,76.3,236,272,8.5,2.75,4,12,4.1,62.5,170,111,5.6,294,90.2,10,100,,,,69.5,76.7,25.6,74.4,,,79.0,,7,6,316,14.4,86.9,5.4,16,6,2,23,11,9,2.8,1859,6.8,75.4,183,207,7.4,2.47,3,11,5.0,62.8,130,77,5.8,222,68.1,8,72,,,,61.7,72.7,16.0,69.4,60.0,,90.1,,6,5,238,15.6,81.9,5.4,12,3,2,13,6,7,2.9,1387,6.7,84.3,83,97,6.6,3.03,2,1,1.0,69.1,67,38,4.3,104,31.9,3,36,,,,85.6,78.7,80.9,79.2,,,47.4,,2,1,110,10.5,105.6,3.8,4,3,0,10,7,2,1.8,611,6.3,0,93.3,30,32,-3.2,1.71,1,0,0.0,84.4,27,4,3.6,32,9.8,1,8,,,,77.7,69.0,76.5,68.5,60.0,,,,1,0,32,0.0,105.6,0.0,0,0,0,0,2,0,0.0,139,4.3,-0.4
