id,player,team,opponent,position,salary,ownership
82959-71105,Ben Skowronek,LAR,ARI,WR,5000,0.0
82959-64841,Equanimeous St. Brown,CHI,DET,WR,5000,0.0
82959-71246,Marquez Callaway,NO,PIT,WR,5000,0.0
82959-14187,A.J. Green,ARI,LAR,WR,5000,0.0
82959-91225,Kylin Hill,GB,DAL,RB,5000,0.0
82959-102729,Snoop Conner,JAC,KC,RB,5000,0.0
82959-64827,Miles Boykin,PIT,NO,WR,5000,0.0
82959-42142,Jordan Howard,NO,PIT,RB,5000,0.0
82959-69168,N'Keal Harry,CHI,DET,WR,4900,0.0
82959-53913,Cody Hollister,TEN,DEN,WR,4800,0.0
82959-86518,Khalil Shakir,BUF,MIN,WR,4800,0.0
82959-69558,Greg Dortch,ARI,LAR,WR,4800,0.0
82959-52345,Brandon Powell,LAR,ARI,WR,4800,0.0
82959-55165,Justin Jackson,DET,CHI,RB,4800,0.0
82959-89970,Amari Rodgers,GB,DAL,WR,4700,0.0
82959-61112,Josiah Deguara,GB,DAL,TE,4700,0.0
82959-79979,Jamal Agnew,JAC,KC,WR,4700,0.0
82959-92545,Keaontay Ingram,ARI,LAR,RB,4700,0.0
82959-88548,Jalen Tolbert,DAL,GB,WR,4700,0.0
82959-95854,Montrell Washington,DEN,TEN,WR,4700,0.0
82959-89997,Michael Woods II,CLE,MIA,WR,4700,0.0
82959-104577,Gunner Olszewski,PIT,NO,WR,4700,0.0
82959-57543,D'Ernest Johnson,CLE,MIA,RB,4700,0.0
82959-22898,Brandon Bolden,LV,IND,RB,4700,0.0
82959-69295,Byron Pringle,CHI,DET,WR,4700,0.0
82959-61042,Kendall Hinton,DEN,TEN,WR,4600,0.0
82959-27671,Jake Kumerow,BUF,MIN,WR,4600,0.0
82959-56142,Juwann Winfree,GB,DAL,WR,4600,0.0
82959-149710,Mike Strachan,IND,LV,WR,4600,0.0
82959-60705,Tyron Johnson,HOU,NYG,WR,4600,0.0
82959-94625,Jalen Reagor,MIN,BUF,WR,4600,0.0
82959-60957,KaVontae Turpin,DAL,GB,WR,4600,0.0
82959-70282,Demetric Felton,CLE,MIA,WR,4600,0.0
82959-41997,River Cracraft,MIA,CLE,WR,4600,0.0
82959-88109,Gary Brightwell,NYG,HOU,RB,4600,0.0
82959-89209,Trestan Ebner,CHI,DET,RB,4600,0.0
82959-28827,Dare Ogunbowale,HOU,NYG,RB,4600,0.0
82959-89437,Tim Jones,JAC,KC,WR,4600,0.0
82959-70889,Benny Snell Jr.,PIT,NO,RB,4600,0.0
82959-30403,Chris Conley,TEN,DEN,WR,4500,0.0
82959-63646,Lawrence Cager,NYG,HOU,WR,4500,0.0
82959-71662,DJ Turner,LV,IND,WR,4500,0.0
82959-63603,Jared Pinkney,LAR,ARI,WR,4500,0.0
82959-130270,Adam Trautman,NO,PIT,TE,4500,0.0
82959-92859,Jalen Nailor,MIN,BUF,WR,4500,0.0
82959-88816,Peyton Hendershot,DAL,GB,TE,4500,0.0
82959-86780,Salvon Ahmed,MIA,CLE,RB,4500,0.0
82959-70501,C.J. Ham,MIN,BUF,RB,4500,0.0
82959-55366,Qadree Ollison,DAL,GB,RB,4500,0.0
82959-25837,Duke Johnson Jr.,BUF,MIN,RB,4500,0.0
82959-71372,Tyrie Cleveland,DEN,TEN,WR,4500,0.0
82959-88056,Stanley Berryhill,DET,CHI,WR,4500,0.0
82959-48344,Albert Wilson,LV,IND,WR,4500,0.0
82959-90533,Jerome Ford,CLE,MIA,RB,4500,0.0
82959-57338,Jordan Akins,HOU,NYG,TE,4400,0.0
82959-149832,Shane Zylstra,DET,CHI,TE,4400,0.0
82959-56947,Chris Myarick,NYG,HOU,TE,4400,0.0
82959-40371,Johnny Mundt,MIN,BUF,TE,4400,0.0
82959-89680,Jake Ferguson,DAL,GB,TE,4400,0.0
82959-80546,Dan Arnold,JAC,KC,TE,4400,0.0
82959-64221,Zach Gentry,PIT,NO,TE,4400,0.0
82959-42046,Durham Smythe,MIA,CLE,TE,4300,0.0
82959-32957,Eric Tomlinson,DEN,TEN,TE,4300,0.0
82959-6672,Marcedes Lewis,GB,DAL,TE,4300,0.0
82959-18009,Chris Manhertz,JAC,KC,TE,4300,0.0
82959-93026,Teagan Quitoriano,HOU,NYG,TE,4300,0.0
82959-85986,James Mitchell,DET,CHI,TE,4300,0.0
82959-90123,Quintin Morris,BUF,MIN,TE,4200,0.0
82959-70705,Trevon Wesco,CHI,DET,TE,4200,0.0
82959-91750,Trey McBride,ARI,LAR,TE,4200,0.0
82959-38523,Geoff Swaim,TEN,DEN,TE,4200,0.0
82959-92882,Connor Heyward,PIT,NO,TE,4200,0.0
82959-104421,Jesper Horsted,LV,IND,TE,4200,0.0
82959-79980,Eric Saubert,DEN,TEN,TE,4100,0.0
82959-63697,Brycen Hopkins,LAR,ARI,TE,4100,0.0
82959-29277,Stephen Anderson,ARI,LAR,TE,4100,0.0
82959-83226,Kevin Rader,TEN,DEN,TE,4000,0.0
82959-96254,Nick Muse,MIN,BUF,TE,4000,0.0
82959-69516,Miller Forristall,CLE,MIA,TE,4000,0.0
82959-165962,Nikola Kalinic,IND,LV,TE,4000,0.0
