"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","366","18","0.3","71","1.08","62.8","-18","Ernest Jones","181","17","0.25","84","1.06","72.7"
"Kyle Pitts","162","27","0.39","53","1.76","71.5","-10","Frankie Luvu","172","13","0.32","87","1.33","69"
"Dawson Knox","217","12","0.23","74","0.84","63","24","Eric Kendricks","308","11","0.17","64","0.78","58.4"
"Tommy Tremble","143","12","0.22","59","0.69","43.6","-52","Rashaan Evans","337","12","0.21","83","1.03","61.8"
"Cole Kmet","219","12","0.26","73","0.91","64.1","-16","Alex Anzalone","254","9","0.15","83","0.71","52.5"
"David Njoku","195","21","0.42","83","2.14","83.5","26","Eric Rowe","126","18","0.36","91","1.91","46.1"
"Dalton Schultz","134","20","0.3","74","1.51","59.6","2","Quay Walker","171","13","0.27","78","1.28","50.6"
"Greg Dulcich","93","18","0.39","71","1.96","66.7","-27","Zach Cunningham","98","17","0.37","82","1.07","63.5"
"Brock Wright","65","9","0.23","100","1.35","56.4","-32","Jack Sanborn","30","10","0.24","100","1.43","55.3"
"Robert Tonyan","207","22","0.36","84","1.52","59.7","15","Anthony Barr","167","11","0.15","78","0.63","56.1"
"Brevin Jordan","95","17","0.1","38","0.34","51.8","-23","Julian Love","257","10","0.19","68","0.75","68.4"
"Mo Alie-Cox","167","10","0.24","76","0.89","51.9","-14","Denzel Perryman","93","15","0.36","86","1.02","68.7"
"Evan Engram","263","18","0.28","70","1.29","59.4","-3","Willie Gay Jr.","87","25","0.45","95","2.1","49.6"
"Travis Kelce","314","24","0.53","75","2.1","90.8","58","Devin Lloyd","304","18","0.33","85","1.56","56.4"
"Tyler Higbee","238","23","0.28","65","1.31","58.3","13","Isaiah Simmons","251","12","0.26","94","1.21","61.6"
"Gerald Everett","251","20","0.31","64","1.36","65","-9","Dre Greenlaw","213","16","0.29","89","1.12","77.4"
"Darren Waller","142","17","0.28","67","1.23","62.8","-10","Bobby Okereke","245","20","0.29","69","1.31","80.9"
"Mike Gesicki","211","15","0.33","71","1.13","63.3","-7","Jeremiah Owusu-Koramoah","131","15","0.31","74","1.16","68.9"
"T.J. Hockenson","247","20","0.4","70","1.88","72","-18","Tremaine Edmunds","232","14","0.21","73","0.79","76"
"Juwan Johnson","241","13","0.28","72","1.07","62.5","-35","Myles Jack","252","16","0.26","76","1.09","56.7"
"Chris Myarick","55","11","0.29","100","0.76","65.6","-23","Christian Kirksey","238","13","0.23","69","0.88","57.8"
"Dallas Goedert","246","20","0.42","83","2.12","80.2","13","Jon Bostic","32","6","0.14","100","0.78","64.6"
"Pat Freiermuth","202","23","0.37","68","1.82","74.7","-18","Demario Davis","278","7","0.09","68","0.42","84.3"
"Noah Fant","176","19","0.34","79","1.55","67.9","-28","Lavonte David","319","13","0.2","78","0.82","82.9"
"George Kittle","188","19","0.38","80","1.7","71.6","6","Drue Tranquill","223","12","0.21","85","0.8","66.4"
"Cameron Brate","130","16","0.19","62","0.88","58.2","-2","Jordyn Brooks","325","10","0.23","81","0.9","62.2"
"Austin Hooper","124","13","0.22","75","1.21","62.2","-25","Josey Jewell","106","21","0.3","82","1.29","67.6"
"Logan Thomas","166","13","0.18","62","0.64","55.9","-13","Kyzir White","247","16","0.19","69","0.76","58.1"
