Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,13,451,304,3264,19,8.2,1915,1463,75,15.50%,23,4.80%,34,7.50%,17,74,15.30%,45
Buffalo Bills,12,425,273,2620,15,7,1464,1351,93,19.40%,38,7.90%,45,10.60%,31,114,23.80%,65
Carolina Panthers,12,410,271,2550,15,7.7,1549,1148,131,28.90%,39,8.60%,36,8.80%,25,100,22.10%,48
Chicago Bears,13,356,237,2655,16,7.1,1359,1379,67,17.00%,39,9.90%,15,4.20%,16,70,17.80%,63
Cincinnati Bengals,12,395,233,2588,11,8.6,1495,1214,94,21.90%,33,7.70%,49,12.40%,19,101,23.50%,58
Cleveland Browns,12,384,243,2578,17,7.8,1419,1316,101,24.20%,34,8.20%,20,5.20%,25,79,18.90%,64
Indianapolis Colts,13,387,264,2452,16,6.9,1160,1479,71,16.10%,40,9.10%,25,6.50%,32,97,22.00%,64
Arizona Cardinals,12,438,303,2945,24,6,1264,1860,169,35.30%,42,8.80%,53,12.10%,23,118,24.60%,66
Dallas Cowboys,12,383,243,2158,14,7.5,1182,1279,125,27.80%,41,9.10%,43,11.20%,48,132,29.30%,50
Denver Broncos,12,413,261,2214,9,6.9,1246,1154,160,34.60%,37,8.00%,36,8.70%,30,103,22.30%,67
Detroit Lions,12,414,265,3030,19,9.2,1973,1166,149,31.60%,51,10.80%,31,7.50%,22,104,22.00%,43
Green Bay Packers,13,363,241,2508,18,7.1,1435,1165,150,36.90%,33,8.10%,33,9.10%,24,90,22.20%,45
Houston Texans,12,355,217,2510,10,8.3,1471,1182,71,17.60%,31,7.70%,31,8.70%,28,90,22.30%,63
Jacksonville Jaguars,12,427,273,3066,19,7.8,1639,1499,107,22.90%,46,9.80%,43,10.10%,19,108,23.10%,64
Kansas City Chiefs,12,432,294,2847,24,7.1,1614,1473,138,28.00%,45,9.10%,39,9.00%,36,120,24.40%,64
Miami Dolphins,12,429,290,2802,19,7.5,1517,1476,143,29.20%,34,7.00%,39,9.10%,29,102,20.90%,60
Minnesota Vikings,12,449,302,3403,16,8.3,1858,1647,88,17.30%,39,7.70%,30,6.70%,30,99,19.50%,53
New Orleans Saints,13,432,271,2642,16,7.7,1484,1380,80,16.60%,22,4.60%,26,6.00%,34,82,17.00%,68
New England Patriots,12,394,233,2407,17,8.6,1428,1221,119,26.60%,57,12.70%,27,6.90%,39,123,27.50%,51
New York Giants,12,398,240,2625,14,8.8,1430,1317,181,40.80%,34,7.70%,51,12.80%,25,110,24.80%,34
New York Jets,12,400,250,2332,11,8.6,1353,1207,69,15.10%,26,5.70%,50,12.50%,36,112,24.60%,50
Tennessee Titans,12,482,312,3320,22,7.9,2017,1463,80,14.90%,40,7.40%,47,9.80%,33,120,22.30%,68
Philadelphia Eagles,12,403,243,2142,14,7.4,1224,1207,102,21.90%,37,8.00%,34,8.40%,42,113,24.30%,60
Pittsburgh Steelers,12,422,258,3061,24,9.1,1879,1313,150,32.20%,19,4.10%,34,8.10%,23,76,16.30%,56
Las Vegas Raiders,13,459,320,3308,21,6.9,1799,1679,139,27.70%,23,4.60%,47,10.20%,25,95,18.90%,53
Los Angeles Rams,13,429,291,2972,18,6.3,1574,1544,118,24.80%,22,4.60%,28,6.50%,26,76,16.00%,42
Baltimore Ravens,12,432,292,2976,16,6.7,1766,1434,109,22.20%,33,6.70%,27,6.30%,37,97,19.80%,64
Los Angeles Chargers,12,379,241,2641,20,8.8,1599,1193,122,29.30%,21,5.00%,29,7.70%,22,72,17.30%,50
Seattle Seahawks,12,397,260,2732,18,8.4,1405,1510,73,16.00%,24,5.30%,36,9.10%,32,92,20.10%,55
San Francisco 49ers,12,399,256,2500,11,6.9,1431,1260,97,21.40%,31,6.80%,42,10.50%,36,109,24.00%,50
Tampa Bay Buccaneers,12,395,253,2344,18,8.4,1398,1203,127,28.10%,29,6.40%,36,9.10%,38,103,22.80%,54
Washington Commanders,13,404,249,2601,20,8.5,1612,1175,102,21.90%,22,4.70%,59,14.60%,34,115,24.70%,38
