1,1,1,ESP,Jon Rahm,9.1464,411.59,45,-48.95,60.13,45
2,2,2,USA,Collin Morikawa,8.1008,413.14,51,-40.81,16.08,51
3,3,8,NOR,Viktor Hovland,7.0544,366.83,52,-25.74,63.15,53
4,4,4,USA,Patrick Cantlay,6.7117,268.47,40,-25.83,35.82,38
5,5,3,USA,Dustin Johnson,6.3657,254.63,40,-39.93,9.75,40
6,6,9,NIR,Rory McIlroy,6.1653,271.27,44,-28.79,23.54,44
7,7,7,USA,Justin Thomas,5.9314,278.78,47,-37.33,16.52,47
8,8,6,USA,Xander Schauffele,5.8011,266.85,46,-34.18,13.53,46
9,11,21,AUS,Cameron Smith,5.5126,253.58,46,-20.27,75.5,46
10,10,18,JPN,Hideki Matsuyama,5.385,274.63,51,-25,55.12,51
11,9,5,USA,Bryson DeChambeau,5.292,232.85,44,-34.05,3.22,44
12,12,10,RSA,Louis Oosthuizen,5.0659,202.64,40,-25.33,-,40
13,15,14,USA,Jordan Spieth,5.02,225.9,45,-20.06,25.48,45
14,13,11,USA,Sam Burns,4.7929,230.06,48,-18.44,4.5,48
15,14,12,USA,Scottie Scheffler,4.7447,246.73,52,-22.32,6.1,54
16,19,13,USA,Harris English,4.5446,213.59,47,-25.32,2.73,47
17,20,17,MEX,Abraham Ancer,4.5212,235.1,52,-26.23,10.76,55
18,17,15,USA,Tony Finau,4.5191,234.99,52,-27.04,8.19,53
19,16,19,USA,Daniel Berger,4.473,178.92,40,-23.91,16.52,39
20,18,16,USA,Brooks Koepka,4.4662,178.65,40,-19.33,2.92,40
21,21,22,ENG,Tyrrell Hatton,4.232,186.21,44,-26.89,20.44,44
22,24,23,USA,Billy Horschel,4.1204,206.02,50,-21.89,11.9,50
23,23,26,KOR,Sungjae Im,4.1072,213.58,52,-24.52,25.82,64
24,22,20,USA,Jason Kokrak,4.0996,200.88,49,-18.25,7.37,49
25,25,24,ENG,Matt Fitzpatrick,3.9666,198.33,50,-21.88,6.48,50
26,26,25,USA,Patrick Reed,3.7292,193.92,52,-27.94,8.61,59
27,27,28,ENG,Paul Casey,3.6047,165.81,46,-19,8.66,46
28,28,29,USA,Kevin Na,3.56,170.88,48,-17.44,11.37,48
29,29,34,USA,Will Zalatoris,3.3427,167.13,50,-14.63,45,50
30,30,27,USA,Webb Simpson,3.2428,132.96,41,-22.94,-,41
31,31,65,BEL,Thomas Pieters,3.0618,122.47,40,-6.48,53.45,39
32,32,31,CHI,Joaquin Niemann,3.0537,158.79,52,-16.61,16.71,53
33,33,32,USA,Talor Gooch,2.9035,150.98,52,-10.5,11.18,56
34,34,30,USA,Matthew Wolff,2.9026,127.71,44,-14.74,9.5,44
35,35,36,AUS,Marc Leishman,2.7254,128.1,47,-15.36,17.16,47
36,36,42,USA,Kevin Kisner,2.669,133.45,50,-15.05,25.71,50
37,37,35,USA,Max Homa,2.6393,134.6,51,-15.05,5.43,51
38,38,33,USA,Phil Mickelson,2.5751,108.15,42,-12.52,6.48,42
39,68,110,USA,Tom Hoge,2.5688,133.58,52,-7.55,66,64
40,40,57,USA,Russell Henley,2.5596,120.3,47,-10.36,31.73,47
41,41,37,ENG,Lee Westwood,2.5422,111.86,44,-16.09,7.91,44
42,42,38,CAN,Corey Conners,2.4789,128.91,52,-14.4,5.98,54
43,46,40,ENG,Tommy Fleetwood,2.4706,121.06,49,-18.06,12.76,49
44,44,41,AUS,Lucas Herbert,2.4667,98.67,40,-10.1,8.68,40
45,99,94,USA,Harold Varner III,2.4591,125.41,51,-8.24,52.9,51
46,50,72,IRL,Seamus Power,2.4549,98.19,40,-4.62,30.7,39
47,39,43,ENG,Justin Rose,2.4452,105.14,43,-11.91,11.91,43
48,47,44,IRL,Shane Lowry,2.4165,125.66,52,-13.03,11.74,53
49,43,46,AUS,Adam Scott,2.4047,96.19,40,-12.87,12.93,34
50,45,45,ESP,Sergio Garcia,2.3799,111.86,47,-12.64,7.45,47
51,48,39,CAN,Mackenzie Hughes,2.3688,123.18,52,-12.37,2.62,53
52,49,51,USA,Cameron Tringale,2.3208,116.04,50,-9.16,18.8,50
53,55,48,RSA,Christiaan Bezuidenhout,2.2648,117.77,52,-14.19,10.22,54
54,51,49,AUS,Min Woo Lee,2.2553,96.98,43,-7.91,10.41,43
55,54,52,KOR,Siwoo Kim,2.2464,116.81,52,-11.78,16.45,59
56,53,74,ENG,Richard Bland,2.2276,104.7,47,-7,28.8,47
57,52,47,USA,Ryan Palmer,2.2264,102.42,46,-14.29,9.69,46
58,57,50,JPN,Takumi Kanaya,2.2241,88.96,40,-7.44,6.89,37
59,56,151,USA,Luke List,2.2201,115.45,52,-5.35,62.9,56
60,105,82,USA,Bubba Watson,2.1742,86.97,40,-9.64,30,39
61,58,61,USA,Brian Harman,2.0962,109,52,-11.08,16.87,53
62,59,54,ENG,Ian Poulter,2.095,106.85,51,-11.42,7.94,51
63,60,64,RSA,Erik van Rooyen,2.079,108.11,52,-11.25,20.66,52
64,61,53,USA,Stewart Cink,2.011,92.51,46,-9.65,5.58,46
65,62,58,AUT,Bernd Wiesberger,2.009,94.42,47,-9.4,6.98,47
66,63,55,SCO,Robert MacIntyre,1.9788,93,47,-10.54,2.3,47
67,100,93,DEN,Nicolai Hojgaard,1.9774,90.96,46,-3.63,24,46
68,65,162,USA,Hudson Swafford,1.9526,97.63,50,-4.97,51.21,50
69,64,56,MEX,Carlos Ortiz,1.909,99.27,52,-10.3,-,52
70,66,59,COL,Sebastian Munoz,1.89,98.28,52,-10.3,1.98,62
71,78,70,JPN,Ryosuke Kinoshita,1.8895,75.58,40,-5.78,6.75,37
72,67,60,RSA,Garrick Higgo,1.8753,97.51,52,-10.6,4.46,53
73,73,73,RSA,Shaun Norris,1.8321,84.28,46,-8.03,3.36,46
74,69,62,USA,Chan Kim,1.8165,72.66,40,-6.32,-,36
75,70,63,KOR,Kyoung-Hoon Lee,1.8002,93.61,52,-9.54,3.78,57
76,72,69,USA,Maverick McNealy,1.7893,89.46,50,-8.63,6.02,50
77,71,67,RSA,Dean Burmester,1.7774,92.42,52,-7.34,2.14,55
78,74,71,SWE,Alex Noren,1.7701,86.73,49,-9.69,1.98,49
79,76,66,USA,Aaron Wise,1.7689,77.83,44,-6.99,-,44
80,77,76,RSA,Daniel van Tonder,1.7461,83.81,48,-6.21,3.77,48
81,75,104,AUS,Matt Jones,1.734,90.17,52,-9.96,24.8,56
82,81,131,KOR,Joohyung Kim,1.7318,69.27,40,-5.14,22.38,35
83,80,79,AUS,Cameron Davis,1.698,86.6,51,-8.86,10.41,51
84,79,68,RSA,Branden Grace,1.6941,88.09,52,-10.94,2.57,53
85,91,83,VEN,Jhonattan Vegas,1.6921,81.22,48,-6.7,8.73,48
86,87,89,USA,Keith Mitchell,1.6699,86.83,52,-6.77,11.38,53
87,83,123,AUS,Jason Day,1.6609,69.76,42,-8.68,21.94,42
88,86,107,USA,Lanto Griffin,1.6464,85.61,52,-9.27,20.9,57
89,84,80,DEN,Marcus Helligkilde,1.6242,64.97,40,-3.9,1.4,40
90,82,115,ENG,Sam Horsfield,1.6165,69.51,43,-6.74,14.71,43
91,89,87,USA,Keegan Bradley,1.6123,75.78,47,-8.04,4.74,47
92,85,75,USA,Charley Hoffman,1.6102,80.51,50,-9.4,-,50
93,141,141,ESP,Adri Arnaus,1.5993,75.17,47,-5.49,22.84,47
94,88,77,USA,Kevin Streelman,1.5738,81.84,52,-11.61,1.98,54
95,90,78,ENG,Matt Wallace,1.5598,81.11,52,-9.74,1.75,55
