player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Cooper Kupp,11824,WR,LA,17,189,0,26,11.0,7,75.6,87.5,7,8,2.9,1,31,0,79.4,93.7,1,59,0.7,1,142,34,94.4,134,147.5,45,23.8,6,563,187,5.5,16.6,4.2,0,8.0,14,77.3,45.5,5,11,5.1,4,40,0,77.2,88.4,4,52,1.3,5,372,75,93.8,349,94.4,97,51.3,1,968,475,6.3,12.9,2.77
Davante Adams,8688,WR,GB,16,166,0,12,9.8,6,69.0,50.0,4,8,2.4,1,30,0,82.6,91.0,1,50,0.0,0,179,40,93.3,167,121.5,58,34.9,6,482,161,4.0,12.1,2.89,0,10.1,4,75.3,42.9,6,14,3.2,2,39,0,83.8,91.4,2,59,0.0,0,301,61,95.0,286,106.0,81,48.8,2,840,364,6.0,13.8,2.94
Diontae Johnson,33441,WR,PIT,16,166,0,25,7.4,3,68.6,50.0,4,8,2.8,1,20,2,72.2,73.4,0,50,0.0,0,192,35,92.7,178,116.1,51,30.7,3,455,274,7.8,13.0,2.56,0,10.0,11,61.7,33.3,3,9,3.8,2,28,0,73.0,71.6,2,45,0.0,0,313,50,93.6,293,75.0,81,48.8,2,457,153,3.1,9.1,1.56
Justin Jefferson,61398,WR,MIN,17,163,0,18,13.5,0,69.4,57.1,4,7,5.6,2,30,0,79.4,92.1,0,37,0.0,0,175,34,92.0,161,136.1,49,30.1,5,496,116,3.4,14.6,3.08,0,13.4,8,67.4,47.4,9,19,7.7,5,35,1,64.0,81.3,1,56,0.0,0,377,60,95.2,359,105.4,89,54.6,2,946,327,5.5,15.8,2.64
Stefon Diggs,9579,WR,BUF,17,158,0,4,11.2,5,55.4,30.8,4,13,6.1,2,19,0,68.8,75.8,2,37,0.4,1,229,31,90.8,208,72.8,56,35.4,2,370,88,2.8,11.9,1.78,0,12.0,11,69.0,53.8,7,13,3.3,2,35,0,82.5,78.0,4,57,0.0,0,380,58,95.5,363,77.5,84,53.2,1,681,196,3.4,11.7,1.88
D.J. Moore,48267,WR,CAR,17,156,0,5,9.5,0,57.4,38.5,5,13,3.6,1,17,0,75.5,73.2,3,64,0.0,0,184,27,94.6,174,58.6,47,30.1,1,317,149,5.5,11.7,1.82,0,11.9,5,61.8,33.3,4,12,9.8,6,35,1,49.8,72.5,2,29,0.3,1,394,55,95.7,377,81.7,89,57.1,1,721,254,4.6,13.1,1.91
Tyreek Hill,10799,WR,KC,17,155,0,16,10.5,0,66.0,25.0,2,8,13.2,5,24,1,46.4,77.8,2,44,0.0,0,176,33,90.3,159,83.6,50,32.3,2,358,109,3.3,10.8,2.25,0,12.0,9,73.1,20.0,1,5,5.0,3,37,0,75.9,80.4,0,75,0.0,0,330,57,93.9,310,103.5,78,50.3,1,678,248,4.4,11.9,2.19
Keenan Allen,7857,WR,LAC,16,150,0,27,8.5,1,64.9,40.0,6,15,11.9,5,24,1,40.2,71.5,2,42,0.0,0,210,37,88.6,186,71.8,57,38.0,0,414,120,3.2,11.2,2.23,0,9.5,2,72.5,50.0,5,10,6.5,4,33,0,70.2,74.9,2,41,0.0,0,392,58,95.9,376,93.0,80,53.3,2,625,211,3.6,10.8,1.66
Mark Andrews,47436,TE,BLT,17,149,0,3,8.4,3,75.0,60.0,6,10,5.7,2,26,0,71.4,91.9,0,43,0.6,1,172,33,92.4,159,140.7,44,29.5,5,404,174,5.3,12.2,2.54,0,12.0,6,70.7,57.9,11,19,1.5,1,43,1,85.3,86.7,7,39,1.5,6,398,65,93.7,373,68.1,92,61.7,0,858,242,3.7,13.2,2.3
Marquise Brown,61568,WR,BLT,16,139,0,3,7.5,1,57.7,50.0,2,4,0.0,0,4,1,82.2,55.3,1,42,0.0,0,154,15,92.9,143,69.9,26,18.7,1,143,80,5.3,9.5,1.0,0,13.0,5,66.0,40.0,4,10,6.1,4,27,0,71.4,71.3,1,49,0.0,0,407,62,96.3,392,94.4,94,67.6,3,702,258,4.2,11.3,1.79
Jaylen Waddle,84088,WR,MIA,16,138,0,17,6.8,5,75.5,87.5,7,8,7.5,3,27,0,63.6,78.3,1,36,0.0,0,208,37,92.8,193,114.3,49,35.5,4,360,149,4.0,9.7,1.87,0,6.7,6,74.1,50.0,3,6,9.1,6,28,1,58.9,74.5,5,57,0.0,0,350,60,94.3,330,68.1,81,58.7,0,583,290,4.8,9.7,1.77
Darnell Mooney,48236,WR,CHI,17,134,0,6,13.4,3,55.2,16.7,1,6,0.0,0,12,0,81.7,71.6,1,52,0.0,0,131,16,88.5,116,67.7,29,21.6,0,237,64,4.0,14.8,2.04,0,10.7,6,62.2,16.7,2,12,5.6,3,27,0,72.9,73.1,4,60,0.0,0,400,51,96.5,386,73.4,82,61.2,2,624,276,5.4,12.2,1.62
Travis Kelce,7844,TE,KC,16,131,0,16,8.8,2,52.5,75.0,3,4,8.7,2,13,0,60.3,74.9,3,69,1.7,3,179,21,88.3,158,65.7,40,30.5,3,251,126,6.0,12.0,1.59,0,7.2,14,72.6,60.0,3,5,4.3,2,33,1,70.3,80.0,2,46,2.5,9,359,45,90.8,326,102.4,62,47.3,2,633,355,7.9,14.1,1.94
