,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Miami,2021-11-26 11:00:00,110,22.00,2.0,18.18,129.5,17.39,45.7,63.8,65.8
North Texas,2021-11-26 11:00:00,-130,15.38,-2.0,18.18,129.5,19.05,54.3,65.8,63.8
Michigan State,2021-11-26 11:00:00,215,43.00,6.0,19.05,135.5,18.18,30.4,64.8,70.8
Baylor,2021-11-26 11:00:00,-265,7.55,-6.0,17.39,135.5,18.18,69.6,70.8,64.8
Georgia Southern,2021-11-26 12:00:00,500,100.00,12.0,18.18,133.5,18.18,16.0,60.8,72.8
Georgia Tech,2021-11-26 12:00:00,-720,2.78,-12.0,18.18,133.5,18.18,84.0,72.8,60.8
McNeese State,2021-11-26 12:00:00,130,26.00,3.0,18.18,146.0,19.05,42.0,71.5,74.5
St. Francis (NY),2021-11-26 12:00:00,-150,13.33,-3.0,18.18,146.0,17.39,58.0,74.5,71.5
SE Missouri State,2021-11-26 13:00:00,-210,9.52,-5.0,18.18,143.5,20.00,65.1,74.3,69.3
Incarnate Word,2021-11-26 13:00:00,175,35.00,5.0,18.18,143.5,16.67,34.9,69.3,74.3
Dayton,2021-11-26 13:30:00,750,150.00,15.5,18.18,136.5,19.05,11.3,60.5,76.0
Kansas,2021-11-26 13:30:00,-1250,1.60,-15.5,18.18,136.5,17.39,88.7,76.0,60.5
Connecticut,2021-11-26 13:30:00,-365,5.48,-8.0,17.39,124.5,18.18,74.9,66.3,58.3
VCU,2021-11-26 13:30:00,280,56.00,8.0,19.05,124.5,18.18,25.1,58.3,66.3
Bryant,2021-11-26 14:00:00,155,31.00,3.0,19.05,148.5,19.05,37.9,72.8,75.8
Brown,2021-11-26 14:00:00,-180,11.11,-3.0,17.39,148.5,17.39,62.1,75.8,72.8
VMI,2021-11-26 14:00:00,105,21.00,1.5,19.05,146.0,18.18,46.8,72.3,73.8
New Orleans,2021-11-26 14:00:00,-125,16.00,-1.5,17.39,146.0,18.18,53.2,73.8,72.3
Columbia,2021-11-26 14:00:00,850,170.00,16.0,18.18,134.0,19.05,10.1,59.0,75.0
Boston College,2021-11-26 14:00:00,-1500,1.33,-16.0,18.18,134.0,17.39,89.9,75.0,59.0
Charleston Southern,2021-11-26 14:00:00,1200,240.00,23.0,18.18,140.0,19.05,7.4,58.5,81.5
Clemson,2021-11-26 14:00:00,-2500,0.80,-23.0,18.18,140.0,17.39,92.6,81.5,58.5
Omaha,2021-11-26 14:00:00,1800,360.00,37.0,17.39,145.5,19.05,5.1,54.3,91.3
Purdue,2021-11-26 14:00:00,-4500,0.44,-37.0,19.05,145.5,17.39,94.9,91.3,54.3
Samford,2021-11-26 14:30:00,-125,16.00,-1.0,17.39,140.0,16.67,53.2,70.5,69.5
North Carolina A&T,2021-11-26 14:30:00,105,21.00,1.0,19.05,140.0,20.00,46.8,69.5,70.5
Tennessee Tech,2021-11-26 15:00:00,1100,220.00,23.5,17.39,140.5,16.67,8.0,58.5,82.0
Tennessee,2021-11-26 15:00:00,-2200,0.91,-23.5,19.05,140.5,20.00,92.0,82.0,58.5
Portland,2021-11-26 15:00:00,230,46.00,7.0,18.18,146.5,18.18,29.0,69.8,76.8
Montana State,2021-11-26 15:00:00,-290,6.90,-7.0,18.18,146.5,18.18,71.0,76.8,69.8
Austin Peay,2021-11-26 15:00:00,145,29.00,4.0,18.18,150.0,18.18,39.6,73.0,77.0
Howard,2021-11-26 15:00:00,-165,12.12,-4.0,18.18,150.0,18.18,60.4,77.0,73.0
San Diego,2021-11-26 15:30:00,,,,,,,,,
Illinois-Chicago,2021-11-26 15:30:00,,,,,,,,,
Longwood,2021-11-26 16:00:00,,,5.0,18.18,124.0,17.39,,59.5,64.5
Old Dominion,2021-11-26 16:00:00,-240,8.33,-5.0,18.18,124.0,19.05,,64.5,59.5
Mississippi Valley St.,2021-11-26 16:00:00,2200,440.00,41.0,19.05,145.5,18.18,4.2,51.8,93.8
Mississippi,2021-11-26 16:00:00,-6500,0.31,,,145.5,18.18,95.8,,
Oklahoma State,2021-11-26 16:00:00,-450,4.44,-9.5,20.00,147.0,16.67,78.3,78.3,68.8
Oral Roberts,2021-11-26 16:00:00,340,68.00,9.5,16.67,147.0,20.00,21.7,68.8,78.3
Central Arkansas,2021-11-26 16:00:00,225,45.00,7.0,18.18,132.5,18.18,29.5,62.8,69.8
Presbyterian,2021-11-26 16:00:00,-280,7.14,-7.0,18.18,132.5,18.18,70.5,69.8,62.8
Alabama,2021-11-26 16:30:00,-260,7.69,-6.0,17.39,147.5,16.67,69.1,76.8,70.8
Drake,2021-11-26 16:30:00,210,42.00,6.0,19.05,147.5,20.00,30.9,70.8,76.8
SE Louisiana,2021-11-26 16:30:00,195,39.00,5.0,18.18,142.0,18.18,,68.5,73.5
IPFW,2021-11-26 16:30:00,,,-5.0,18.18,142.0,18.18,,73.5,68.5
Auburn,2021-11-26 16:30:00,-210,9.52,-5.0,17.39,148.5,18.18,65.1,76.8,71.8
Syracuse,2021-11-26 16:30:00,175,35.00,5.0,19.05,148.5,18.18,34.9,71.8,76.8
Northern Kentucky,2021-11-26 17:00:00,,,,,,,,,
DePaul,2021-11-26 17:00:00,,,,,,,,,
Florida A&M,2021-11-26 17:00:00,500,100.00,12.0,19.05,129.5,20.00,16.0,58.8,70.8
UC Riverside,2021-11-26 17:00:00,-720,2.78,-12.0,17.39,129.5,16.67,84.0,70.8,58.8
South Alabama,2021-11-26 18:00:00,-130,15.38,-2.5,18.18,139.0,18.18,54.3,70.8,68.3
Hawaii,2021-11-26 18:00:00,110,22.00,2.5,18.18,139.0,18.18,45.7,68.3,70.8
Iona,2021-11-26 18:30:00,140,28.00,4.0,16.67,147.5,18.18,40.4,71.8,75.8
Belmont,2021-11-26 18:30:00,-160,12.50,-4.0,20.00,147.5,18.18,59.6,75.8,71.8
Louisiana State,2021-11-26 19:00:00,-475,4.21,-8.5,18.18,142.5,17.39,78.8,75.5,67.0
Penn State,2021-11-26 19:00:00,350,70.00,8.5,18.18,142.5,19.05,21.2,67.0,75.5
Lehigh,2021-11-26 19:00:00,1200,240.00,19.0,18.18,122.5,19.05,7.4,51.8,70.8
Virginia,2021-11-26 19:00:00,-2500,0.80,-19.0,18.18,122.5,17.39,92.6,70.8,51.8
Xavier,2021-11-26 19:00:00,125,25.00,3.0,17.39,137.0,20.00,42.9,67.0,70.0
Virginia Tech,2021-11-26 19:00:00,-145,13.79,-3.0,19.05,137.0,16.67,57.1,70.0,67.0
Eastern Kentucky,2021-11-26 19:00:00,850,170.00,14.5,19.05,152.5,20.00,10.1,,
West Virginia,2021-11-26 19:00:00,-1500,1.33,,,152.5,16.67,89.9,,
Western Michigan,2021-11-26 19:00:00,550,110.00,12.0,18.18,140.5,18.18,14.8,64.3,76.3
Florida Gulf Coast,2021-11-26 19:00:00,-800,2.50,-12.0,18.18,140.5,18.18,85.2,76.3,64.3
North Florida,2021-11-26 19:00:00,1200,240.00,24.5,19.05,145.5,18.18,7.4,60.5,85.0
Kentucky,2021-11-26 19:00:00,-2500,0.80,-24.5,17.39,145.5,18.18,92.6,85.0,60.5
Portland State,2021-11-26 19:00:00,1200,240.00,23.5,17.39,153.0,17.39,7.4,63.8,89.3
Iowa,2021-11-26 19:00:00,-2500,0.80,,,153.0,19.05,92.6,,
Loyola-Chicago,2021-11-26 19:00:00,,,,,,,,,
Arizona State,2021-11-26 19:00:00,,,,,,,,,
Texas Rio Grande Valley,2021-11-26 20:00:00,,,,,,,,,
Illinois,2021-11-26 20:00:00,,,,,,,,,
Arkansas-Little Rock,2021-11-26 20:00:00,550,110.00,13.0,17.39,131.5,17.39,14.8,59.3,72.3
Tulsa,2021-11-26 20:00:00,-800,2.50,-13.0,19.05,131.5,19.05,85.2,72.3,59.3
Alcorn State,2021-11-26 20:00:00,,,,,,,,,
Southern Illinois,2021-11-26 20:00:00,,,,,,,,,
Morehead State,2021-11-26 20:00:00,-105,19.05,1.0,19.05,132.5,16.67,48.9,65.8,66.8
Arkansas State,2021-11-26 20:00:00,-115,17.39,-1.0,17.39,132.5,20.00,51.1,66.8,65.8
St. Joseph's,2021-11-26 21:00:00,250,50.00,7.5,17.39,146.0,19.05,27.3,69.3,76.8
Georgetown,2021-11-26 21:00:00,-320,6.25,-7.5,19.05,146.0,17.39,72.7,76.8,69.3
Wichita State,2021-11-26 21:00:00,-145,13.79,-2.5,17.39,131.5,17.39,57.1,67.0,64.5
Missouri,2021-11-26 21:00:00,125,25.00,2.5,19.05,131.5,19.05,42.9,64.5,67.0
New Mexico,2021-11-26 21:00:00,-115,17.39,1.0,14.81,143.5,18.18,51.1,71.3,72.3
Towson,2021-11-26 21:00:00,-105,19.05,-1.0,23.00,143.5,18.18,48.9,72.3,71.3
Cal State Bakersfield,2021-11-26 21:00:00,800,160.00,16.5,18.18,134.0,18.18,10.6,58.8,75.3
Boise State,2021-11-26 21:00:00,-1375,1.45,-16.5,18.18,134.0,18.18,89.4,75.3,58.8
Oregon State,2021-11-26 21:30:00,175,35.00,4.5,17.39,139.5,18.18,34.9,67.5,72.0
Wake Forest,2021-11-26 21:30:00,-210,9.52,-4.5,19.05,139.5,18.18,65.1,72.0,67.5
Iowa State,2021-11-26 21:30:00,475,95.00,11.5,18.18,140.5,19.05,16.6,64.5,76.0
Memphis,2021-11-26 21:30:00,-675,2.96,-11.5,18.18,140.5,17.39,83.4,76.0,64.5
Southern Mississippi,2021-11-26 21:30:00,230,46.00,7.5,18.18,130.0,18.18,29.0,61.3,68.8
Montana,2021-11-26 21:30:00,-290,6.90,-7.5,18.18,130.0,18.18,71.0,68.8,61.3
Arkansas-Pine Bluff,2021-11-26 22:00:00,950,190.00,20.0,18.18,134.5,16.67,9.1,57.3,77.3
Pacific,2021-11-26 22:00:00,-1750,1.14,-20.0,18.18,134.5,20.00,90.9,77.3,57.3
Gonzaga,2021-11-26 22:30:00,-350,5.71,-8.0,18.18,153.0,17.39,74.2,80.5,72.5
Duke,2021-11-26 22:30:00,270,54.00,8.0,18.18,153.0,19.05,25.8,72.5,80.5
USC,2021-11-26 23:30:00,-105,19.05,2.0,18.18,131.0,16.67,48.9,64.5,66.5
San Diego State,2021-11-26 23:30:00,-115,17.39,-2.0,18.18,131.0,20.00,51.1,66.5,64.5
UAB,2021-11-26 23:30:00,-105,19.05,1.5,17.39,143.0,19.05,48.9,70.8,72.3
San Francisco,2021-11-26 23:30:00,-115,17.39,-1.5,19.05,143.0,17.39,51.1,72.3,70.8
