,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Purdue,1/17/2022 12:00,,,1,,147,,,,
Illinois,1/17/2022 12:00,,,1,,147,,,,
George Mason,1/17/2022 14:00,-235,8.51,-6,18.18,136,20,67,71,65
George Washington,1/17/2022 14:00,190,38,6,18.18,136,16.67,33,65,71
Tennessee Tech,1/17/2022 14:00,-120,16.67,-1,17.39,145.5,18.18,52.2,73.3,72.3
Tennessee State,1/17/2022 14:00,100,20,1,19.05,145.5,18.18,47.8,72.3,73.3
Notre Dame,1/17/2022 14:30,-525,3.81,-11,18.18,150,18.18,80.3,80.5,69.5
Howard,1/17/2022 14:30,385,77,11,18.18,150,18.18,19.7,69.5,80.5
LIU-Brooklyn,1/17/2022 15:00,-140,14.29,-2.5,17.39,146,18.18,56.2,74.3,71.8
St. Francis (NY),1/17/2022 15:00,120,24,2.5,19.05,146,18.18,43.8,71.8,74.3
Mount St. Mary's,1/17/2022 15:00,160,32,4,18.18,119.5,18.18,37,57.8,61.8
Merrimack,1/17/2022 15:00,-190,10.53,-4,18.18,119.5,18.18,63,61.8,57.8
Drexel,1/17/2022 16:00,270,54,8,18.18,149.5,18.18,25.8,70.8,78.8
Hofstra,1/17/2022 16:00,-350,5.71,-8,18.18,149.5,18.18,74.2,78.8,70.8
James Madison,1/17/2022 16:00,-155,12.9,-3,18.18,144.5,18.18,58.8,73.8,70.8
Elon,1/17/2022 16:00,135,27,3,18.18,144.5,18.18,41.2,70.8,73.8
UNC-Charlotte,1/17/2022 16:00,155,31,4,16.67,136,16.67,37.9,66,70
Florida Atlantic,1/17/2022 16:00,-180,11.11,-4,20,136,20,62.1,70,66
La Salle,1/17/2022 16:00,270,54,7.5,18.18,147.5,18.18,25.8,70,77.5
St. Joseph's,1/17/2022 16:00,-350,5.71,-7.5,18.18,147.5,18.18,74.2,77.5,70
Pennsylvania,1/17/2022 16:00,175,35,5,18.18,147.5,18.18,34.9,71.3,76.3
Princeton,1/17/2022 16:00,-210,9.52,-5,18.18,147.5,18.18,65.1,76.3,71.3
Norfolk State,1/17/2022 16:00,-135,14.81,-2.5,18.18,136,19.05,55.3,69.3,66.8
Maryland-Eastern Shore,1/17/2022 16:00,115,23,2.5,18.18,136,17.39,44.7,66.8,69.3
Maryland-Baltimore County,1/17/2022 16:00,145,29,3,18.18,150.5,18.18,39.6,73.8,76.8
Stony Brook,1/17/2022 16:00,-165,12.12,-3,18.18,150.5,18.18,60.4,76.8,73.8
Utah,1/17/2022 16:00,110,22,2,17.39,137,18.18,45.7,67.5,69.5
Arizona State,1/17/2022 16:00,-130,15.38,-2,19.05,137,18.18,54.3,69.5,67.5
Murray State,1/17/2022 16:30,,,,,,,,,
Eastern Illinois,1/17/2022 16:30,,,,,,,,,
Yale,1/17/2022 17:00,115,23,2,18.18,143.5,18.18,44.7,70.8,72.8
Brown,1/17/2022 17:00,-135,14.81,-2,18.18,143.5,18.18,55.3,72.8,70.8
Indiana,1/17/2022 18:00,-410,4.88,-9,18.18,144,16.67,76.7,76.5,67.5
Nebraska,1/17/2022 18:00,310,62,9,18.18,144,20,23.3,67.5,76.5
Texas Southern,1/17/2022 18:00,-115,17.39,-1,18.18,129,18.18,51.1,65,64
Jackson State,1/17/2022 18:00,-105,19.05,1,18.18,129,18.18,48.9,64,65
Delaware,1/17/2022 19:00,-120,16.67,-1.5,20,139,16.67,52.2,70.3,68.8
Northeastern,1/17/2022 19:00,100,20,1.5,16.67,139,20,47.8,68.8,70.3
Towson,1/17/2022 19:00,-850,2.35,-11,18.18,137.5,18.18,85.8,74.3,63.3
William & Mary,1/17/2022 19:00,575,115,11,18.18,137.5,18.18,14.2,63.3,74.3
UNC-Wilmington,1/17/2022 19:00,290,58,8.5,19.05,148.5,19.05,24.5,70,78.5
College of Charleston,1/17/2022 19:00,-380,5.26,-8.5,17.39,148.5,17.39,75.5,78.5,70
Central Connecticut,1/17/2022 19:00,310,62,9,18.18,141,18.18,23.3,66,75
Sacred Heart,1/17/2022 19:00,-410,4.88,-9,18.18,141,18.18,76.7,75,66
St. Francis (Pa.),1/17/2022 19:00,250,50,7.5,18.18,150.5,20,27.3,71.5,79
Bryant,1/17/2022 19:00,-320,6.25,-7.5,18.18,150.5,16.67,72.7,79,71.5
Fairleigh-Dickinson,1/17/2022 19:00,1000,200,17,19.05,143,17.39,8.7,63,80
Wagner,1/17/2022 19:00,-2000,1,-17,17.39,143,19.05,91.3,80,63
Harvard,1/17/2022 19:00,-120,16.67,-1.5,18.18,136,18.18,52.2,68.8,67.3
Dartmouth,1/17/2022 19:00,100,20,1.5,18.18,136,18.18,47.8,67.3,68.8
Belmont,1/17/2022 19:00,,,,,,,,,
SIU-Edwardsville,1/17/2022 19:00,,,,,,,,,
Mercer,1/17/2022 19:00,-145,13.79,-3,20,150,16.67,57.1,76.5,73.5
Citadel,1/17/2022 19:00,125,25,3,16.67,150,20,42.9,73.5,76.5
Portland,1/17/2022 19:00,460,92,10.5,19.05,145.5,18.18,17.1,67.5,78
Loyola Marymount,1/17/2022 19:00,-650,3.08,-10.5,17.39,145.5,18.18,82.9,78,67.5
Lamar,1/17/2022 19:30,850,170,14.5,17.39,137.5,18.18,10.1,61.5,76
Stephen F. Austin,1/17/2022 19:30,-1500,1.33,-14.5,19.05,137.5,18.18,89.9,76,61.5
Denver,1/17/2022 20:00,280,56,8,18.18,132.5,16.67,25.1,62.3,70.3
UM-Kansas City,1/17/2022 20:00,-365,5.48,-8,18.18,132.5,20,74.9,70.3,62.3
Drake,1/17/2022 20:00,,,,,,,,,
Southern Illinois,1/17/2022 20:00,,,,,,,,,
Idaho,1/17/2022 20:00,180,36,5.5,18.18,148.5,16.67,34.2,71.5,77
