"","teams","lines","totals"
"1","SMU",3,65.5
"2","UCF",-3,65.5
"3","Houston",2.5,57
"4","Memphis",-2.5,57
"5","Colorado State",3,47
"6","Nevada",-3,47
"7","UNLV",5.5,50.5
"8","San Jose State",-5.5,50.5
"9","Michigan",-21.5,57.5
"10","Indiana",21.5,57.5
"11","TCU",-6.5,67.5
"12","Kansas",6.5,67.5
"13","Clemson",-20.5,50
"14","Boston College",20.5,50
"15","Tennessee",-3.5,62
"16","LSU",3.5,62
"17","Florida State",3,52
"18","North Carolina State",-3,52
"19","Texas",-6.5,65
"20","Oklahoma",6.5,65
"21","Missouri",10.5,54
"22","Florida",-10.5,54
"23","Arkansas",5,62
"24","Mississippi State",-5,62
"25","Purdue",3.5,61
"26","Maryland",-3.5,61
"27","Iowa",3.5,35.5
"28","Illinois",-3.5,35.5
"29","Louisville",-3.5,52
"30","Virginia",3.5,52
"31","Buffalo",1.5,55
"32","Bowling Green",-1.5,55
"33","Eastern Michigan",4,58
"34","Western Michigan",-4,58
"35","Georgia Southern",2.5,65.5
"36","Georgia State",-2.5,65.5
"37","Akron",11,58.5
"38","Ohio",-11,58.5
"39","South Florida",27.5,59
"40","Cincinnati",-27.5,59
"41","Auburn",29.5,49
"42","Georgia",-29.5,49
"43","Utah",-3.5,64
"44","UCLA",3.5,64
"45","Virginia Tech",14.5,44
"46","Pittsburgh",-14.5,44
"47","Texas Tech",10,64
"48","Oklahoma State",-10,64
"49","Liberty",-25.5,50.5
"50","Massachusetts",25.5,50.5
"51","Wisconsin",-9.5,44
"52","Northwestern",9.5,44
"53","Duke",-3,55.5
"54","Georgia Tech",3,55.5
"55","Tulsa",-6.5,47
"56","Navy",6.5,47
"57","Kent State",-3.5,57.5
"58","Miami OH",3.5,57.5
"59","East Carolina",3.5,54
"60","Tulane",-3.5,54
"61","Middle Tennessee",9.5,55
"62","UAB",-9.5,55
"63","Ball State",9,64
"64","Central Michigan",-9,64
"65","Toledo",-5.5,60
"66","Northern Illinois",5.5,60
"67","Ohio State",-25.5,62
"68","Michigan State",25.5,62
"69","Ole Miss",-19,60
"70","Vanderbilt",19,60
"71","Washington",-13,55
"72","Arizona State",13,55
"73","North Carolina",3.5,66
"74","Miami FL",-3.5,66
"75","Western Kentucky",5.5,70
"76","UTSA",-5.5,70
"77","Appalachian State",-19,55.5
"78","Texas State",19,55.5
"79","James Madison",-10.5,57.5
"80","Arkansas State",10.5,57.5
"81","Air Force",-9.5,55.5
"82","Utah State",9.5,55.5
"83","Wyoming",-3.5,37.5
"84","New Mexico",3.5,37.5
"85","Southern Mississippi",6.5,46
"86","Troy",-6.5,46
"87","UConn",-4.5,49.5
"88","FIU",4.5,49.5
"89","UTEP",2,53
"90","Louisiana Tech",-2,53
"91","Army West Point",15,65
"92","Wake Forest",-15,65
"93","Washington State",11,61
"94","USC",-11,61
"95","BYU",3,52
"96","Notre Dame",-3,52
"97","South Carolina",10.5,48.5
"98","Kentucky",-10.5,48.5
"99","Kansas State",-2.5,46
"100","Iowa State",2.5,46
"101","Texas A&M",24,52
"102","Alabama",-24,52
"103","Coastal Carolina",-14,60
"104","ULM",14,60
"105","Oregon",-12.5,69.5
"106","Arizona",12.5,69.5
"107","Fresno State",7,48.5
"108","Boise State",-7,48.5
"109","Hawaii",20,49.5
"110","San Diego State",-20,49.5
"111","Oregon State",-7,58.5
"112","Stanford",7,58.5
