player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Marcedes Lewis,2973,TE,CHI,1,0,0,6,,,60.0,,,,60.0,,,60.9,0,0,2,0,0,0,0,0,0
Matt Prater,3471,K,ARZ,8,0,0,1,,75.9,,,76.2,,60.6,,,62.7,0,0,28,0,37,0,0,0,0
Nick Folk,3794,K,TEN,7,0,0,31,,84.8,,,74.6,,60.6,,,62.7,0,0,28,0,34,0,0,0,0
Calais Campbell,4364,ED,ATL,8,0,0,2,58.1,,62.9,,,,59.3,,,69.0,0,0,28,31,0,0,0,0,0
Matthew Slater,4467,WR,NE,8,1,0,19,58.1,,,,,,49.9,,,29.6,1,2,0,41,31,47,40,32,2
JJ Jansen,4712,LS,CAR,7,0,0,5,,,78.0,,,79.4,75.5,,,66.4,0,0,26,0,0,0,31,0,1
Thomas Morstead,5088,P,NYJ,7,0,0,22,,,60.9,,60.0,,62.3,,73.6,69.3,0,0,25,0,4,0,40,0,0
Graham Gano,5443,K,NYG,8,0,0,21,,48.7,,,81.5,,60.5,,,62.5,0,0,25,0,28,0,0,0,0
Brandon Graham,5538,ED,PHI,8,0,0,24,59.4,,,,,,60.5,,,67.3,0,0,0,26,0,0,0,1,0
Jerry Hughes,5556,ED,HST,1,0,0,13,59.3,,,,,,60.2,,,69.0,0,0,0,5,0,0,0,0,0
Jimmy Graham,5619,TE,NO,1,0,0,20,,,60.0,,,,60.0,,,60.6,0,0,1,0,0,0,0,0,0
Al Woods,5646,DI,NYJ,6,0,0,22,58.5,,62.2,,,,59.9,,,68.2,0,0,13,22,0,0,0,1,0
Jon Weeks,5800,LS,HST,7,0,0,13,,,80.5,,,80.3,67.7,,,66.3,0,0,32,0,0,0,32,0,0
Morgan Cox,6020,LS,TEN,7,0,0,31,,,78.9,,,73.7,63.6,,,66.3,0,0,28,0,0,0,31,0,0
Patrick Peterson,6157,CB,PIT,7,0,0,25,59.2,,,,,,33.1,,,24.4,0,2,0,29,0,1,0,1,0
Tyron Smith,6161,T,DAL,2,0,0,9,,,61.5,,,,61.5,,,66.7,0,0,13,0,0,0,0,0,0
Cameron Jordan,6176,ED,NO,3,0,0,20,,,,,,,61.5,,,67.4,0,0,0,0,0,0,0,3,0
Cameron Heyward,6183,DI,PIT,1,0,0,25,59.0,,,,,,59.5,,,65.3,0,0,0,2,0,0,0,0,0
Randall Cobb,6216,WR,NYJ,4,0,0,22,,,,,,,58.8,60.7,,62.6,0,0,0,0,0,3,0,3,0
Justin Houston,6222,ED,CAR,1,0,0,5,,,,,,,60.0,,,64.3,0,0,0,0,0,0,0,1,0
Taiwan Jones,6277,HB,NYG,2,0,0,21,59.4,,,,,,48.3,,,73.8,2,0,0,12,7,1,6,6,0
Lawrence Guy Sr.,6385,DI,NE,8,0,0,19,57.6,,63.1,,,,61.3,,,76.9,0,0,24,41,0,0,0,13,0
