team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
MIA,17,8,295,5,32,295,91.4,44,7
BUF,4,8,319,10,56,319,88.1,71,5
JAX,15,8,319,7,44,319,87.9,64,13
DET,11,8,311,16,50,311,87.5,72,6
TB,30,7,277,10,50,277,87.4,65,5
HST,13,7,260,11,45,260,87.3,61,5
LV,23,8,291,10,38,291,86.6,63,15
IND,14,8,324,10,64,324,86.4,81,7
DAL,9,7,261,11,43,261,86.2,63,9
ATL,2,8,304,14,41,304,86.0,70,15
GB,12,7,266,6,51,266,85.9,66,9
KC,16,8,346,19,65,346,85.8,91,7
PHI,24,8,322,11,71,322,85.7,87,5
DEN,10,8,279,11,54,279,85.5,73,8
LAC,27,7,289,15,49,289,85.5,74,10
MIN,18,8,334,29,49,334,85.3,88,10
CLV,8,7,277,14,50,277,84.8,74,10
CIN,7,7,290,16,47,290,84.7,76,13
BLT,3,8,281,11,55,281,84.3,77,11
SF,28,8,253,10,58,253,83.8,75,7
WAS,32,8,369,20,68,369,83.7,104,16
NO,20,8,333,16,60,333,83.5,93,17
ARZ,1,8,299,25,55,299,82.3,93,13
PIT,25,7,259,18,64,259,81.5,89,7
CAR,5,7,311,14,79,311,80.9,106,13
CHI,6,8,291,14,74,291,80.8,100,12
LA,26,8,317,20,76,317,80.4,110,14
NE,19,8,304,16,75,304,80.1,106,15
SEA,29,7,254,15,68,254,79.7,93,10
NYG,21,8,320,14,91,320,77.0,126,21
NYJ,22,7,255,16,73,255,75.9,106,17
TEN,31,7,228,23,51,228,75.9,92,18
