player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Cooper Kupp,11824,WR,LA,10,114,0,26,11.2,5,72.4,66.7,2,3,4.5,1,20,0,71.3,92.2,1,59,1.1,1,94,21,94.7,89,137.6,29,25.4,4,348,114,5.4,16.6,3.91,0,7.5,5,72.9,50.0,3,6,8.5,4,21,0,59.9,74.7,3,52,0.9,2,215,43,94.4,203,78.2,59,51.8,0,518,286,6.7,12.0,2.55
Tyreek Hill,10799,WR,KC,10,109,0,16,12.5,0,58.6,16.7,1,6,10.5,2,14,1,56.9,78.1,1,32,0.0,0,102,17,89.2,91,76.5,29,26.6,1,198,39,2.3,11.6,2.18,0,12.3,7,69.0,0.0,0,3,7.0,3,26,0,65.7,79.8,0,75,0.0,0,225,40,95.6,215,107.6,58,53.2,2,509,193,4.8,12.7,2.37
Davante Adams,8688,WR,GB,9,95,0,12,10.8,1,55.2,40.0,2,5,0.0,0,11,0,81.7,78.9,1,50,0.0,0,91,16,91.2,83,73.6,29,30.5,1,198,44,2.8,12.4,2.39,0,11.8,3,72.2,44.4,4,9,2.5,1,25,0,81.9,91.3,2,59,0.0,0,178,39,96.1,171,95.8,54,56.8,1,554,214,5.5,14.2,3.24
D.J. Moore,48267,WR,CAR,10,92,0,5,7.9,0,60.7,44.4,4,9,0.0,0,11,0,82.2,73.4,2,39,0.0,0,110,17,93.6,103,59.8,28,30.4,1,168,93,5.5,9.9,1.63,0,13.5,4,61.2,42.9,3,7,11.8,4,21,1,51.7,70.1,1,29,0.0,0,229,30,95.2,218,80.7,49,53.3,0,425,127,4.2,14.2,1.95
Keenan Allen,7857,WR,LAC,9,90,0,27,8.2,1,73.0,50.0,5,10,10.0,3,17,1,55.9,79.0,1,42,0.0,0,124,27,90.3,112,85.3,37,41.1,0,299,86,3.2,11.1,2.67,0,8.9,2,72.3,28.6,2,7,8.1,3,17,0,63.4,73.5,1,41,0.0,0,224,34,96.0,215,87.0,47,52.2,0,378,160,4.7,11.1,1.76
Travis Kelce,7844,TE,KC,10,87,0,16,10.2,1,47.8,100.0,2,2,8.3,1,8,0,61.8,72.4,2,28,2.8,3,106,11,85.8,91,42.3,23,26.4,1,122,59,5.4,11.1,1.34,0,7.1,13,75.0,50.0,1,2,5.7,2,22,1,61.2,75.7,2,46,2.7,7,255,33,91.8,234,94.8,44,50.6,1,439,256,7.8,13.3,1.88
Stefon Diggs,9579,WR,BUF,9,84,0,4,10.6,2,63.6,30.0,3,10,4.5,1,14,0,72.1,84.3,2,37,0.9,1,107,21,89.7,96,89.8,33,39.3,3,235,50,2.4,11.2,2.45,0,12.8,4,68.2,71.4,5,7,0.0,0,21,0,88.0,79.2,1,57,0.0,0,211,30,96.2,203,97.0,44,52.4,1,422,120,4.0,14.1,2.08
Diontae Johnson,33441,WR,PIT,8,82,0,25,8.3,0,61.5,40.0,2,5,0.0,0,10,1,68.0,67.7,0,50,0.0,0,95,16,93.7,89,88.6,26,31.7,0,220,151,9.4,13.8,2.47,0,10.6,4,60.5,40.0,2,5,0.0,0,13,0,85.3,69.4,2,45,0.0,0,150,23,92.7,139,63.0,38,46.3,1,216,59,2.6,9.4,1.55
Jaylen Waddle,84088,WR,MIA,10,82,0,17,7.1,5,77.8,75.0,3,4,4.5,1,18,0,71.3,80.3,0,36,0.0,0,131,21,93.1,122,139.4,27,32.9,3,231,102,4.9,11.0,1.89,0,6.5,4,69.4,60.0,3,5,8.1,3,15,1,62.7,68.0,5,19,0.0,0,234,34,95.3,223,43.3,49,59.8,0,270,129,3.8,7.9,1.21
Terry McLaurin,48229,WR,WAS,9,81,0,32,14.7,0,46.2,52.9,9,17,0.0,0,8,0,80.0,75.2,1,40,0.0,0,107,12,93.5,100,89.9,26,32.1,3,168,12,1.0,14.0,1.68,0,11.1,6,71.7,71.4,10,14,2.9,1,20,0,78.9,75.8,1,37,0.0,0,218,33,93.6,204,99.1,46,56.8,1,431,166,5.0,13.1,2.11
Brandin Cooks,8655,WR,HST,9,81,0,13,10.8,2,60.7,66.7,4,6,10.5,2,8,0,54.3,63.1,1,40,0.0,0,115,17,93.0,107,74.1,28,34.6,1,164,40,2.4,9.6,1.53,0,13.2,1,75.0,42.9,3,7,0.0,0,15,0,88.7,75.0,0,52,0.0,0,181,33,92.8,168,109.5,44,54.3,1,394,82,2.5,11.9,2.35
Deebo Samuel,48274,WR,SF,9,80,0,28,10.6,2,53.3,42.9,3,7,27.3,3,6,0,27.4,61.6,0,79,0.0,0,77,8,89.6,69,112.6,15,18.8,1,158,84,10.5,19.8,2.29,0,7.4,9,75.5,71.4,5,7,7.0,3,26,2,67.6,91.0,2,83,0.0,0,173,40,95.4,165,120.2,53,66.3,3,707,413,10.3,17.7,4.28
Justin Jefferson,61398,WR,MIN,9,79,0,18,12.5,0,76.7,75.0,3,4,4.2,1,21,0,72.8,92.0,0,37,0.0,0,105,23,92.4,97,136.7,30,38.0,2,349,90,3.9,15.2,3.6,0,11.7,6,68.3,33.3,3,9,9.7,3,12,1,57.0,71.6,0,50,0.0,0,203,28,94.6,192,105.3,41,51.9,1,376,165,5.9,13.4,1.96
Jakobi Meyers,47468,WR,NE,11,79,0,19,10.4,1,57.5,55.6,5,9,4.2,1,16,0,74.4,75.7,1,27,0.6,1,159,23,90.6,144,75.0,40,50.6,1,260,83,3.6,11.3,1.81,0,7.0,2,82.9,90.0,9,10,3.3,1,10,0,67.3,67.1,0,26,2.1,4,193,29,94.3,182,95.7,35,44.3,0,244,51,1.8,8.4,1.34
Marquise Brown,61568,WR,BLT,9,79,0,3,6.1,1,66.7,100.0,1,1,0.0,0,3,1,79.4,56.6,1,42,0.0,0,87,10,90.8,79,81.0,15,19.0,1,104,63,6.3,10.4,1.32,0,16.5,4,63.5,33.3,2,6,5.7,2,18,0,69.6,78.5,1,49,0.0,0,224,33,96.9,217,105.6,52,65.8,3,492,171,5.2,14.9,2.27
Chris Godwin,11839,WR,TB,9,73,0,30,9.1,3,65.4,33.3,1,3,5.6,1,16,0,67.7,83.2,2,44,0.0,0,117,17,96.6,113,95.0,26,35.6,2,280,164,9.6,16.5,2.48,0,7.8,10,87.5,100.0,3,3,9.7,3,14,1,56.1,66.7,0,26,0.5,1,199,28,97.0,193,103.9,32,43.8,0,286,145,5.2,10.2,1.48
Michael Pittman Jr.,29049,WR,IND,10,72,0,14,9.2,0,68.0,44.4,4,9,0.0,0,12,0,82.2,76.3,0,42,0.9,1,117,17,88.0,103,115.4,25,34.7,2,180,83,4.9,10.6,1.75,0,12.1,5,84.8,100.0,5,5,3.4,1,17,1,77.8,76.5,1,57,0.0,0,199,28,95.0,189,113.3,33,45.8,1,389,89,3.2,13.9,2.06
CeeDee Lamb,61570,WR,DAL,9,70,0,9,17.0,4,52.2,50.0,2,4,0.0,0,11,0,79.4,87.3,1,49,0.0,0,104,12,91.3,95,107.4,23,32.9,6,223,76,6.3,18.6,2.35,0,10.6,5,75.0,50.0,1,2,7.7,2,17,0,53.8,78.5,2,44,0.6,1,176,24,89.2,157,85.3,32,45.7,0,359,138,5.8,15.0,2.29
Ja'Marr Chase,84270,WR,CIN,9,70,0,7,13.2,7,72.0,33.3,2,6,5.3,1,15,1,69.6,88.8,3,82,0.0,0,99,18,93.9,93,114.2,25,35.7,3,400,166,9.2,22.2,4.3,0,15.9,3,60.0,25.0,2,8,16.0,4,10,1,37.1,63.7,1,53,0.0,0,167,21,95.8,160,97.6,35,50.0,2,322,121,5.8,15.3,2.01
Darren Waller,9637,TE,LV,8,69,0,23,13.0,2,48.1,20.0,1,5,7.1,1,11,0,65.6,77.1,1,33,7.7,9,117,13,87.2,102,71.7,27,39.1,1,211,73,5.6,16.2,2.07,0,8.3,0,76.5,60.0,3,5,10.3,3,11,0,54.0,67.4,0,24,6.6,11,167,26,90.4,151,97.1,34,49.3,0,255,99,3.8,9.8,1.69
Mike Williams,11762,WR,LAC,9,67,0,27,9.6,0,50.0,62.5,5,8,21.4,3,7,0,31.0,67.4,0,49,0.0,0,109,11,90.8,99,103.2,22,32.8,2,154,28,2.5,14.0,1.56,0,12.7,3,63.4,33.3,3,9,13.3,4,17,0,45.7,72.2,0,43,0.0,0,188,26,96.3,181,99.3,41,61.2,1,357,145,5.6,13.7,1.97
Kyle Pitts,83964,TE,ATL,10,67,0,2,14.4,0,59.1,66.7,6,9,0.0,0,11,0,80.0,87.8,2,39,2.3,2,86,13,88.4,76,57.4,22,32.8,0,232,40,3.1,17.8,3.05,0,10.8,1,64.9,22.2,2,9,7.7,2,14,0,64.1,73.4,2,39,3.2,7,220,24,93.2,205,73.4,37,55.2,0,353,99,4.1,14.7,1.72
A.J. Brown,48327,WR,TEN,9,67,0,31,13.2,0,63.0,62.5,5,8,5.6,1,14,0,69.0,88.7,0,24,0.0,0,82,17,93.9,77,115.0,27,40.3,2,232,66,3.9,13.6,3.01,0,12.1,4,55.6,28.6,2,7,23.1,6,11,0,28.4,65.0,1,57,0.0,0,142,20,96.5,137,79.7,36,53.7,1,291,89,4.5,14.6,2.12
Mike Gesicki,47153,TE,MIA,10,67,0,17,9.8,0,44.8,28.6,4,14,0.0,0,9,0,80.0,71.4,0,40,1.6,2,123,13,91.1,112,71.5,29,43.3,1,143,28,2.2,11.0,1.28,0,9.5,3,80.6,50.0,2,4,0.0,0,14,0,86.1,71.5,1,32,2.4,5,205,25,92.7,190,96.0,31,46.3,0,318,80,3.2,12.7,1.67
DeVonta Smith,61100,WR,PHI,10,66,0,24,15.0,1,57.9,20.0,1,5,8.3,1,10,1,63.2,72.2,0,36,0.0,0,122,11,91.8,112,128.7,19,28.8,4,177,39,3.5,16.1,1.58,0,15.1,4,65.9,33.3,3,9,6.5,2,19,0,67.5,77.9,1,37,0.0,0,193,29,94.3,182,85.1,44,66.7,0,397,98,3.4,13.7,2.18
Robert Woods,7822,WR,LA,9,66,0,26,8.2,1,90.0,100.0,1,1,0.0,0,9,0,78.0,72.1,0,22,1.2,1,84,9,94.0,79,158.3,10,15.2,2,138,64,7.1,15.3,1.75,0,8.1,2,62.8,0.0,0,5,12.9,4,19,0,45.4,68.4,1,28,3.2,6,188,27,93.1,175,84.1,43,65.2,1,326,130,4.8,12.1,1.86
Mark Andrews,47436,TE,BLT,9,66,0,3,8.9,1,65.0,0.0,0,3,7.1,1,9,0,67.7,82.0,0,24,1.2,1,85,13,90.6,77,117.5,20,30.3,2,134,51,3.9,10.3,1.74,0,11.8,2,77.5,75.0,6,8,0.0,0,23,1,88.0,82.9,1,28,2.0,4,205,31,95.1,195,101.3,40,60.6,0,432,100,3.2,13.9,2.22
Adam Thielen,8288,WR,MIN,9,65,0,18,10.7,1,70.0,57.1,4,7,6.7,1,12,0,65.9,76.7,0,35,0.0,0,106,14,92.5,98,143.3,20,30.8,4,208,66,4.7,14.9,2.12,0,8.1,4,79.4,70.0,7,10,0.0,0,11,1,87.3,65.0,1,24,0.0,0,215,27,95.3,205,96.2,34,52.3,1,261,108,4.0,9.7,1.27
Cole Beasley,7330,WR,BUF,9,65,0,4,6.9,0,76.9,0.0,0,1,0.0,0,7,0,78.0,67.8,1,20,0.0,0,92,10,89.1,82,64.9,13,20.0,0,96,39,3.9,9.6,1.17,0,5.8,1,84.4,50.0,1,2,7.3,3,14,0,64.3,70.2,0,29,0.0,0,176,38,95.5,168,105.3,45,69.2,1,337,155,4.1,8.9,2.01
Hunter Renfrow,47509,WR,LV,9,65,0,23,7.8,3,66.7,50.0,1,2,0.0,0,7,0,79.4,73.3,0,25,0.0,0,92,12,93.5,86,103.9,18,27.7,1,120,63,5.3,10.0,1.4,0,5.4,4,81.6,0.0,0,3,6.1,2,12,0,68.2,74.4,1,25,0.0,0,149,31,95.3,142,87.9,38,58.5,0,294,133,4.3,9.5,2.07
Courtland Sutton,48164,WR,DEN,10,65,0,10,18.1,0,68.2,80.0,4,5,0.0,0,10,0,82.2,83.8,0,39,0.0,0,96,15,93.8,90,123.9,22,33.8,1,263,40,2.7,17.5,2.92,0,15.5,0,65.6,28.6,2,7,0.0,0,14,0,84.1,69.9,1,33,0.0,0,216,21,97.2,210,75.7,32,49.2,0,245,54,2.6,11.7,1.17
Mike Evans,8642,WR,TB,9,65,0,30,13.5,0,65.4,83.3,5,6,5.6,1,13,0,68.7,74.9,0,46,0.0,0,120,17,95.8,115,135.9,26,40.0,6,248,38,2.2,14.6,2.16,0,14.8,1,62.5,66.7,2,3,9.1,2,14,0,58.3,61.9,1,40,0.0,0,190,20,96.8,184,101.8,32,49.2,2,306,94,4.7,15.3,1.66
Amari Cooper,9437,WR,DAL,9,63,0,9,13.0,1,65.4,85.7,6,7,5.6,1,13,1,67.7,76.8,0,33,0.0,0,109,17,91.7,100,134.3,26,41.3,4,238,52,3.1,14.0,2.38,0,13.5,6,71.0,50.0,4,8,0.0,0,15,0,84.5,71.4,0,35,0.0,0,178,22,91.6,163,111.0,31,49.2,1,290,81,3.7,13.2,1.78
