Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,10,340,239,2390,20,6.9,1207,1096,79,21.00%,29,7.70%,22,6.50%,14,65,17.20%,64
Buffalo Bills,9,318,184,1712,6,6.8,820,805,70,19.70%,57,16.00%,33,10.40%,19,109,30.60%,61
Carolina Panthers,10,302,192,1737,13,7.6,1026,917,107,31.70%,37,10.90%,30,9.90%,27,94,27.80%,73
Chicago Bears,9,280,181,2035,16,8.3,1166,1061,51,16.20%,22,7.00%,13,4.60%,25,60,19.10%,64
Cincinnati Bengals,9,349,235,2343,12,7.7,1317,1165,85,21.90%,52,13.40%,24,6.90%,23,99,25.40%,67
Cleveland Browns,10,332,213,2292,21,7.9,1213,1252,79,21.40%,34,9.20%,37,11.10%,29,100,27.00%,58
Indianapolis Colts,10,344,230,2499,23,7.9,1487,1146,65,16.80%,22,5.70%,31,9.00%,22,75,19.30%,59
Arizona Cardinals,10,345,225,2064,14,7.1,1206,1007,115,29.70%,37,9.60%,35,10.10%,25,97,25.10%,67
Dallas Cowboys,9,320,202,2275,14,8.2,1152,1259,86,24.40%,34,9.70%,38,11.90%,18,90,25.60%,66
Denver Broncos,10,328,190,2181,13,9.7,1314,1020,121,33.00%,46,12.50%,24,7.30%,24,94,25.60%,44
Detroit Lions,9,272,181,2197,16,9.5,1358,955,79,25.70%,33,10.70%,11,4.00%,14,58,18.90%,66
Green Bay Packers,10,349,221,2027,15,8.4,1118,1092,79,19.90%,36,9.10%,30,8.60%,24,90,22.70%,49
Houston Texans,9,292,193,2241,16,8.5,1483,891,56,17.30%,25,7.70%,22,7.50%,19,66,20.40%,63
Jacksonville Jaguars,9,308,221,2344,11,7.9,1426,1047,98,28.70%,45,13.20%,31,10.10%,16,92,27.00%,72
Kansas City Chiefs,10,335,225,2586,18,7.8,1309,1369,118,31.90%,50,13.50%,34,10.10%,14,98,26.50%,51
Miami Dolphins,10,402,258,2738,18,8.3,1613,1291,167,38.20%,36,8.20%,52,12.90%,21,109,24.90%,74
Minnesota Vikings,9,320,197,2147,13,8.6,1142,1203,98,26.30%,54,14.50%,19,5.90%,29,102,27.40%,59
New Orleans Saints,9,325,206,2384,13,9.2,1298,1226,91,25.10%,26,7.20%,42,12.90%,20,88,24.20%,46
New England Patriots,11,379,226,2326,13,8.5,1215,1139,86,20.60%,50,12.00%,24,6.30%,28,102,24.40%,55
New York Giants,9,340,231,2249,16,7.2,1119,1250,94,25.30%,30,8.10%,21,6.20%,19,70,18.90%,63
New York Jets,9,319,221,2549,15,7.9,1343,1349,87,25.10%,33,9.50%,30,9.40%,20,83,23.90%,59
Tennessee Titans,10,400,251,2679,18,8,1549,1277,91,20.30%,50,11.20%,37,9.30%,27,114,25.40%,59
Philadelphia Eagles,10,342,253,2333,16,6.3,1237,1233,63,16.70%,40,10.60%,29,8.50%,18,87,23.10%,74
Pittsburgh Steelers,9,297,190,2033,12,8.2,1124,810,70,20.90%,42,12.50%,24,8.10%,26,92,27.50%,70
Las Vegas Raiders,9,333,220,2079,17,8.8,1203,960,52,13.80%,37,9.80%,40,12.00%,21,98,26.00%,61
Los Angeles Rams,10,369,252,2417,12,6.5,1290,1344,120,28.80%,41,9.90%,20,5.40%,29,90,21.60%,65
Baltimore Ravens,9,331,205,2550,14,8.4,1286,1403,119,33.20%,38,10.60%,45,13.60%,19,102,28.50%,68
Los Angeles Chargers,9,274,181,1854,12,8.2,1014,959,81,25.80%,41,13.10%,27,9.90%,17,85,27.10%,76
Seattle Seahawks,9,360,233,2478,12,7.7,1254,1322,96,24.50%,43,11.00%,31,8.60%,15,89,22.70%,52
San Francisco 49ers,9,290,197,1878,13,8.1,959,1041,73,22.00%,31,9.30%,21,7.20%,20,72,21.70%,56
Tampa Bay Buccaneers,9,354,246,2288,17,6.6,1172,1233,161,40.30%,43,10.80%,39,11.00%,22,104,26.00%,67
Washington Football Team,9,337,227,2514,22,8.6,1615,996,119,32.20%,39,10.60%,34,10.10%,19,92,24.90%,54
