"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","282","20","0.41","70","1.62","70.4","9","Roquan Smith","317","14","0.18","77","0.76","53.7"
"Kyle Pitts","344","21","0.34","62","1.92","77.5","52","Devin White","373","15","0.26","82","1.01","40.7"
"Mark Andrews","383","22","0.43","70","1.99","90.3","8","Joe Schobert","298","12","0.19","73","0.82","56.5"
"Dawson Knox","272","15","0.42","78","1.53","63.6","-26","Adrian Phillips","336","8","0.12","59","0.35","83"
"Cole Kmet","289","19","0.25","67","1.25","67.9","-2","Isaiah Simmons","331","15","0.22","76","1.09","50.9"
"C.J. Uzomah","291","12","0.32","88","1.14","66.2","5","Kyzir White","283","14","0.24","80","0.84","62.2"
"Dalton Schultz","352","18","0.35","75","1.53","78.7","14","Demario Davis","339","12","0.14","68","0.63","75.2"
"Noah Fant","293","21","0.35","74","1.33","57.9","-26","Anthony Hitchens","159","15","0.33","79","1.37","42.9"
"T.J. Hockenson","356","21","0.36","78","1.5","69.7","-1","Eric Kendricks","385","11","0.25","73","1.06","64.2"
"Brevin Jordan","55","22","0.53","75","1.45","67.9","-29","Bobby Okereke","423","13","0.27","88","0.95","56.3"
"Jack Doyle","224","17","0.32","67","1.24","74.8","18","Zach Cunningham","238","19","0.29","74","1.21","49.7"
"James O'Shaughnessy","78","17","0.26","77","1.29","67.9","-2","Ernest Jones","132","10","0.19","92","0.56","53.4"
"Travis Kelce","442","21","0.41","71","1.86","79.4","19","Caden Sterns","146","10","0.23","79","1.12","68.9"
"Tyler Higbee","369","15","0.25","71","0.94","59.6","15","Damien Wilson","258","16","0.31","85","1.52","53.1"
"Jared Cook","318","17","0.28","62","1.17","59.7","13","Logan Wilson","369","15","0.3","82","1.38","52.5"
"Foster Moreau","149","12","0.29","67","0.91","66.3","41","Jamin Davis","192","12","0.25","88","1.08","35.1"
"Mike Gesicki","401","19","0.31","69","1.49","69.8","32","Benardrick McKinney","48","25","0.27","58","1.29","39.7"
"Tyler Conklin","298","18","0.33","75","1.39","66","35","Alex Anzalone","330","12","0.17","71","0.72","36.8"
"Hunter Henry","285","18","0.41","70","1.38","72.7","-8","Matt Milano","270","15","0.17","66","0.74","72.1"
"Juwan Johnson","93","16","0.41","60","1.16","77.5","-35","Jayron Kearse","381","12","0.19","67","0.81","77.6"
"Evan Engram","278","15","0.25","74","0.98","53.7","-24","Eric Rowe","306","16","0.29","79","1.11","69"
"Ryan Griffin","231","15","0.19","62","0.77","49.5","-44","T.J. Edwards","213","18","0.37","84","1.6","71.4"
"Dallas Goedert","258","18","0.37","74","1.9","84.2","31","C.J. Mosley","325","16","0.31","88","1.13","39"
"Pat Freiermuth","249","20","0.44","78","1.31","73.7","6","Chuck Clark","403","6","0.16","69","0.74","60.6"
"Gerald Everett","213","16","0.32","86","1.28","65.4","-12","Azeez Al-Shaair","281","19","0.36","80","1.41","61.6"
"George Kittle","214","22","0.45","73","1.99","86.6","37","Jordyn Brooks","328","19","0.4","90","1.91","55"
"Rob Gronkowski","150","26","0.61","74","2.52","88.1","87","Mykal Walker","69","17","0.26","75","1.3","56.1"
"Logan Thomas","129","16","0.32","75","1.15","61.4","4","Cory Littleton","307","17","0.27","87","1.15","51.1"
