player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Tyson Bagent,169628,QB,CHI,2,100.0,2,2,0.5,1.5,0,0,0.0,100.0,2,0,0,0.0,2,0,1,6,71.7,64.4,62.0,61.6,0,0,2,0,,89.6,0.0,0,0,0,0,0,0,0.0,11,5.5
Clayton Tune,77652,QB,ARZ,1,100.0,2,2,1.0,1.3,0,0,0.0,100.0,2,0,0,0.0,2,0,0,1,19.2,39.2,61.5,36.7,0,0,2,0,,83.3,0.0,0,0,0,0,0,0,0.0,8,4.0
Nick Mullens,12282,QB,MIN,2,100.0,2,2,12.0,2.15,0,0,0.0,100.0,2,0,1,0.0,2,0,2,18,69.1,76.1,75.5,60.5,0,0,2,0,0.0,118.8,0.0,0,0,0,0,0,0,0.0,38,19.0
Bryan Anger,7072,P,DAL,2,50.0,2,2,6.5,1.95,0,0,0.0,50.0,1,0,0,0.0,2,0,0,9,63.6,44.6,44.8,,0,0,2,0,,56.3,0.0,0,0,0,0,0,1,50.0,4,2.0
Johnny Hekker,7252,P,CAR,2,0.0,2,2,10.5,2.15,0,0,0.0,0.0,0,0,0,,2,0,0,5,63.6,47.9,50.7,,0,0,2,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Courtland Sutton,48164,WR,DEN,2,100.0,2,2,9.0,2.9,0,0,0.0,100.0,2,0,1,0.0,2,0,2,10,51.0,72.2,78.4,,0,0,2,1,0.0,158.3,0.0,0,0,0,0,1,0,0.0,30,15.0
Carson Wentz,10636,QB,KC,1,100.0,2,2,2.5,2.93,0,0,0.0,100.0,2,0,2,0.0,3,0,1,16,68.7,75.0,78.4,57.9,0,0,3,0,0.0,108.3,0.0,0,1,0,0,0,0,0.0,20,10.0
Amon-Ra St. Brown,84470,WR,DET,1,100.0,1,1,5.0,3.9,0,0,0.0,100.0,1,1,0,0.0,1,0,1,11,61.4,87.9,60.5,58.8,0,0,1,3,,135.4,0.0,0,0,0,0,1,0,0.0,7,7.0
Kendrick Bourne,12270,WR,NE,1,0.0,1,1,0.0,3.2,0,0,0.0,0.0,0,0,0,,1,0,0,19,76.8,62.7,57.7,62.0,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Tyler Boyd,10689,WR,TEN,1,0.0,1,1,25.0,3.2,0,0,0.0,0.0,0,0,0,,1,0,0,31,78.3,60.0,51.2,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Ricky Pearsall,100660,WR,SF,1,,0,1,,5.75,0,0,0.0,0.0,0,0,2,,2,0,0,28,78.5,64.2,60.0,57.0,0,0,2,1,0.0,39.6,0.0,0,1,0,1,0,0,0.0,0,0.0
Kyle Trask,39987,QB,TB,1,100.0,1,1,-3.0,1.0,0,0,0.0,100.0,1,0,0,0.0,1,0,0,30,70.4,63.8,60.0,61.3,0,0,1,0,,87.5,0.0,0,0,0,0,0,0,0.0,5,5.0
Jaxon Smith-Njigba,129758,WR,SEA,1,100.0,1,1,33.0,3.8,0,0,0.0,100.0,1,1,1,0.0,1,0,1,29,59.1,82.6,59.7,51.1,0,0,1,3,0.0,118.8,0.0,0,0,0,0,0,0,0.0,35,35.0
AJ Cole,36038,P,LV,1,100.0,1,1,4.0,2.2,0,0,0.0,100.0,1,0,0,0.0,1,0,1,23,60.4,70.3,66.9,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,34,34.0
Joe Mixon,11803,HB,HST,1,0.0,1,1,18.0,2.8,0,0,0.0,0.0,0,0,0,,1,0,0,13,91.1,75.2,54.9,74.9,0,0,1,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Adonai Mitchell,146712,WR,IND,2,100.0,1,1,-6.0,1.75,0,0,0.0,100.0,1,0,0,0.0,2,0,1,14,20.3,58.1,36.4,55.4,0,0,2,1,,118.8,0.0,0,0,0,0,0,0,0.0,24,24.0
Malik Nabers,146759,WR,NYG,1,,0,1,,4.3,0,0,0.0,0.0,0,1,1,,1,0,0,21,60.8,87.0,60.0,50.7,0,0,1,6,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Riley Dixon,10862,P,DEN,1,100.0,1,1,-4.0,0.9,0,0,0.0,100.0,1,0,0,0.0,1,0,0,10,60.4,61.3,60.4,,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0
Kyle Allen,26152,QB,PIT,1,100.0,1,1,13.0,2.2,0,0,0.0,100.0,1,0,0,0.0,1,0,1,25,60.4,73.2,71.6,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,19,19.0
DJ Moore,48267,WR,CHI,1,0.0,1,1,36.0,3.2,0,0,0.0,0.0,0,0,0,,1,0,0,6,84.4,71.8,59.7,64.6,0,0,1,4,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Darnell Mooney,48236,WR,ATL,1,,0,1,,4.2,0,0,0.0,0.0,0,0,1,,1,0,0,2,80.9,74.0,60.0,,0,0,1,2,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Cedrick Wilson Jr.,48170,WR,NO,2,100.0,1,1,20.0,5.6,0,0,0.0,100.0,1,0,1,0.0,2,0,1,20,25.3,64.3,70.3,,0,0,2,1,100.0,158.3,50.0,1,0,0,0,1,0,0.0,21,21.0
Jack Fox,34735,P,DET,1,100.0,1,1,15.0,2.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,11,60.4,72.6,68.8,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,17,17.0
Stefon Diggs,9579,WR,HST,2,100.0,1,1,-4.0,4.15,0,0,0.0,100.0,1,0,0,0.0,2,0,2,13,79.7,79.0,60.4,64.9,0,0,2,2,,118.8,0.0,0,1,0,0,0,0,0.0,13,13.0
Justin Jefferson,61398,WR,MIN,2,100.0,1,1,-4.0,5.85,0,0,0.0,100.0,1,1,1,0.0,2,0,1,18,58.9,90.0,60.3,58.3,0,0,2,3,0.0,118.8,0.0,0,1,0,0,0,0,0.0,22,22.0
Miles Killebrew,10745,S,PIT,1,100.0,1,1,17.0,1.1,0,0,0.0,0.0,0,0,0,100.0,1,1,0,25,60.4,73.1,68.8,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Tutu Atwell,77965,WR,LA,1,0.0,1,1,35.0,3.4,0,0,0.0,0.0,0,0,0,,1,0,0,26,78.4,73.8,59.7,49.5,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
David Montgomery,45719,HB,DET,1,100.0,1,1,11.0,2.7,0,0,0.0,100.0,1,0,0,0.0,1,0,1,11,67.0,84.9,69.5,78.9,0,0,1,1,,118.8,0.0,0,0,0,0,1,0,0.0,3,3.0
JK Scott,38809,P,LAC,1,100.0,1,1,-4.0,2.8,0,0,0.0,100.0,1,0,0,0.0,1,0,0,27,60.4,61.0,60.3,60.0,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0
