player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Parker Hill,163506,WR,LA MONROE,1,0,209,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
Kanoa Shannon,100603,HB,OREGON ST,3,0,265,,0.0,0,0.0,1,60.0,0,22.2,2,9,60.0,16.7,1,50.0,6
Kaylon Horton,136888,WR,N TEXAS,2,0,251,60.0,100.0,1,50.0,1,59.7,0,50.0,2,4,,,0,0.0,0
Blake Barnes,138446,WR,JAMES MAD,1,0,197,,,0,0.0,0,60.0,0,100.0,2,2,60.0,100.0,2,100.0,2
Blackmon Huckabee Jr.,139030,WR,CLEMSON,1,0,140,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
Jayden Clemons,100571,QB,WYOMING,2,0,351,,0.0,0,0.0,1,60.0,0,40.0,2,5,60.0,100.0,2,100.0,2
Michael McAninch,157906,T,AIR FORCE,1,0,101,60.0,100.0,1,50.0,1,59.5,0,100.0,2,2,60.0,100.0,1,50.0,1
Hamp Greene,99712,WR,CLEMSON,1,0,140,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
Jaylon Bester,61430,HB,MIAMI OH,2,0,221,,0.0,0,0.0,6,60.0,0,16.7,2,12,,0.0,0,0.0,4
Sam Warren,99694,WR,SYRACUSE,1,0,304,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
Thaddius Franklin Jr.,143940,HB,MIAMI FL,4,0,220,,0.0,0,0.0,29,59.6,0,5.1,2,39,,0.0,0,0.0,8
Brooks Miller,143971,WR,N CAROLINA,1,0,245,,,0,0.0,0,60.0,0,100.0,2,2,60.0,100.0,2,100.0,2
Jaylon Jackson,61214,WR,COLORADO,2,0,143,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,,,0,0.0,0
Cyrus Rogers,143978,WR,N CAROLINA,1,0,245,,,0,0.0,0,60.0,0,100.0,2,2,60.0,100.0,2,100.0,2
Calvin Camp,61202,HB,CHARLOTTE,2,0,136,60.0,50.0,1,50.0,2,60.0,0,66.7,2,3,60.0,100.0,1,50.0,1
Peyton Stevenson,145394,WR,RICE,1,0,275,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
Patrick Bayouth,99322,TE,TEXAS,1,0,311,,,0,0.0,0,60.0,0,100.0,2,2,60.0,100.0,2,100.0,2
Will Jones II,99276,S,USF,2,0,327,,,0,0.0,0,60.0,0,100.0,2,2,,,0,0.0,0
Matthew Bailey,99030,LS,S CAROLINA,1,0,289,,,0,0.0,0,60.0,0,100.0,2,2,,,0,0.0,0
Rodney Hammond Jr.,144024,HB,PITTSBURGH,1,0,268,,0.0,0,0.0,4,60.0,0,11.1,2,18,,0.0,0,0.0,12
Chance Black,144069,HB,VA TECH,5,0,337,60.0,4.3,1,50.0,23,60.0,0,5.3,2,38,60.0,6.7,1,50.0,15
Shawn Miller,158219,WR,ILLINOIS,1,0,187,59.4,100.0,2,100.0,2,59.4,0,100.0,2,2,,,0,0.0,0
Jackson McDonald,98374,TE,FIU,2,0,166,,,0,0.0,0,76.8,0,100.0,2,2,59.4,100.0,2,100.0,2
LeQuint Allen,158290,HB,SYRACUSE,4,0,304,,0.0,0,0.0,5,58.8,0,11.8,2,17,,0.0,0,0.0,8
Jaden Warren,98300,WR,TROY,1,0,318,,,0,0.0,0,58.1,0,100.0,2,2,58.1,100.0,2,100.0,2
Knox Boyd,145548,T,CHARLOTTE,1,0,136,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
Demetris Allen,98082,T,UTSA,1,0,331,,,0,0.0,0,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
Alec Sinkfield,57476,HB,BOSTON COL,3,0,121,,0.0,0,0.0,2,60.0,0,40.0,2,5,60.0,50.0,1,50.0,2
Charlie Skehan,146576,TE,ALABAMA,1,0,103,,,0,0.0,0,60.0,0,100.0,2,2,,,0,0.0,0
John Jackson III,97866,WR,USC,1,0,326,60.0,100.0,1,50.0,1,47.7,1,100.0,2,2,55.5,100.0,1,50.0,1
Ryan Dupont,144184,TE,WAKE,1,0,339,60.0,100.0,1,50.0,1,52.2,0,100.0,2,2,60.0,100.0,1,50.0,1
Dalton Andrews,97831,TE,TOLEDO,1,0,316,,,0,0.0,0,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
James Livingston,163812,G,KANSAS,1,0,198,,,0,0.0,0,60.1,0,100.0,2,2,60.1,100.0,2,100.0,2
Jordan McDonald,158449,HB,UCF,1,0,323,,,0,0.0,0,60.0,0,50.0,2,4,60.0,33.3,1,50.0,3
Nigel Lanier,146940,WR,TENNESSEE,1,0,307,,,0,0.0,0,60.0,0,100.0,2,2,60.0,100.0,2,100.0,2
Jaylon Glover,158484,HB,UTAH,4,0,328,,0.0,0,0.0,12,60.0,0,5.0,2,40,60.0,7.1,2,100.0,28
Tao Johnson,158490,WR,UTAH,1,0,328,,,0,0.0,0,60.0,0,100.0,2,2,60.0,100.0,2,100.0,2
Keaton Schultz,144377,C,SMU,1,0,287,,,0,0.0,0,59.8,0,100.0,2,2,59.8,100.0,2,100.0,2
Jaylen Jenkins,158512,HB,WASH STATE,5,0,341,59.9,22.2,2,100.0,9,59.9,0,7.4,2,27,,0.0,0,0.0,18
Jacob Kibodi,57427,HB,LA LAFAYET,4,0,207,,0.0,0,0.0,6,59.2,0,9.1,2,22,60.0,6.7,1,50.0,15
Jamontez Woods,97311,HB,TROY,4,0,318,,0.0,0,0.0,7,60.0,0,11.1,2,18,,0.0,0,0.0,9
Patrick Wilk,146935,HB,TENNESSEE,2,0,307,60.0,50.0,1,50.0,2,59.8,0,20.0,2,10,60.0,12.5,1,50.0,8
Melvin Hill,52107,WR,UMASS,1,0,216,60.0,100.0,2,100.0,2,60.0,0,100.0,2,2,,,0,0.0,0
Bryant Kieft,158588,TE,C MICHIGAN,1,0,134,,,0,0.0,0,69.1,1,100.0,2,2,69.1,100.0,2,100.0,2
Noah Cain,97185,HB,LSU,4,0,211,,0.0,0,0.0,15,71.7,0,5.6,2,36,60.0,5.3,1,50.0,19
