player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Kawika Rogers,163302,G,OREGON,1,0,264,74.6,0,0,2,100.0,100.0,100.0,0,0,0,2,2,70.9,0,0,1,100.0,100.0,100.0,0,0,1,1
Ja'Lynn Polk,123153,WR,WASHINGTON,5,0,340,53.5,0,0,2,1.4,1.3,100.0,0,0,0,2,157,,0,0,0,0.0,0.0,,0,0,0,55
DJ Giddens,144595,HB,KANSAS ST,5,0,199,74.4,0,0,2,7.1,6.9,100.0,0,0,0,2,29,73.4,0,0,1,7.7,7.1,100.0,0,0,1,14
Lorenzo Lingard,77779,HB,FLORIDA,1,0,163,74.6,0,0,2,50.0,40.0,100.0,0,0,0,2,5,,0,0,0,,,,0,0,0,0
Jake Boust,146027,TE,FRESNO ST,4,0,169,53.0,0,0,1,5.3,9.1,100.0,0,0,0,2,22,38.1,0,0,0,0.0,0.0,,0,0,0,4
Jordan Johnson,146076,HB,HAWAII,4,0,180,74.8,0,0,2,12.5,11.8,100.0,0,0,0,2,17,,0,0,0,0.0,0.0,,0,0,0,4
Carlton Brown III,146088,TE,NEVADA,4,0,239,67.5,0,0,1,3.6,6.7,100.0,0,0,0,2,30,66.8,0,0,0,0.0,10.0,,0,0,1,10
Austin Williams,61463,WR,MISS STATE,5,0,227,62.4,0,0,2,1.6,1.5,100.0,1,0,0,2,135,,0,0,0,0.0,0.0,,0,0,0,24
Logan Berzins,131757,C,STANFORD,1,0,300,0.0,1,0,2,100.0,100.0,75.0,0,1,0,2,2,0.0,1,0,1,100.0,100.0,50.0,1,0,1,1
Chance Bell,57396,HB,S DIEGO ST,3,0,284,76.1,0,0,2,14.3,14.3,100.0,0,0,0,2,14,74.6,0,0,1,20.0,20.0,100.0,0,0,1,5
Jayden Ramsey,147025,T,APP STATE,1,0,108,70.0,0,0,2,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0
Ryan Linthicum,144122,C,CLEMSON,1,0,140,74.0,0,0,1,100.0,100.0,100.0,0,0,0,2,2,74.0,0,0,1,100.0,100.0,100.0,0,0,2,2
Austin Groeschel,121969,TE,TEXAS ST,1,0,314,70.3,0,0,2,28.6,28.6,100.0,0,0,0,2,7,,0,0,0,0.0,0.0,,0,0,0,2
Dorian Singer,146243,WR,ARIZONA,5,0,109,79.3,0,0,2,0.9,0.9,100.0,0,0,0,2,228,,0,0,0,0.0,0.0,,0,0,0,93
Andre Lamas,123605,G,FAU,2,0,165,73.0,0,0,2,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0
Jaret Pallotta,75882,TE,UMASS,4,0,216,66.7,0,0,2,25.0,25.0,100.0,0,0,0,2,8,,0,0,0,0.0,0.0,,0,0,0,1
Thomas Yassmin,84072,TE,UTAH,5,0,328,67.9,0,0,2,6.7,6.5,100.0,0,0,0,2,31,,0,0,0,0.0,0.0,,0,0,0,12
Max Balthazar,147080,HB,COAST CAR,3,0,141,0.0,0,0,2,15.4,15.4,50.0,0,1,1,2,13,,0,0,0,0.0,0.0,,0,0,0,1
Austin Smith,146318,TE,COLORADO,3,0,143,69.3,0,0,2,10.5,10.5,100.0,0,0,0,2,19,,0,0,0,0.0,0.0,,0,0,0,5
Keanu Hill,102960,WR,BYU,5,0,128,75.1,0,0,2,1.3,1.2,100.0,1,0,0,2,168,,0,0,0,0.0,0.0,,0,0,0,57
J.J. Jernighan,124175,HB,MISS STATE,2,0,227,71.7,0,0,2,15.4,15.4,100.0,0,0,0,2,13,,0,0,0,0.0,0.0,,0,0,0,6
Patrick Herbert,100625,TE,OREGON,5,0,264,67.7,0,0,2,4.4,4.1,100.0,0,0,0,2,49,67.4,0,0,1,9.1,9.1,100.0,0,0,1,11
Wayne Knight,156712,HB,JAMES MAD,4,0,197,70.3,0,0,1,11.1,18.2,100.0,0,0,0,2,11,,0,0,0,0.0,0.0,,0,0,0,2
Tariq Montgomery,156802,T,MARSHALL,1,0,214,70.4,0,0,2,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0
Ethan Bumgarner,156840,T,SO MISS,1,0,296,74.6,0,0,2,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0
Bradley Archer,100623,TE,STANFORD,3,0,300,66.6,0,0,2,25.0,25.0,100.0,0,0,0,2,8,,0,0,0,0.0,0.0,,0,0,0,1
Gamaliel Barboza,81903,G,UCONN,1,0,146,76.2,0,0,2,100.0,100.0,100.0,0,0,0,2,2,76.2,0,0,2,100.0,100.0,100.0,0,0,2,2
AJ Rollins,145011,T,NEBRASKA,2,0,238,70.2,0,0,2,28.6,25.0,100.0,0,0,0,2,8,,0,0,0,,,,0,0,0,0
Josh Prusinowski,156918,G,KENT STATE,1,0,201,69.9,0,0,1,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0
Cross Patton,100588,HB,NEVADA,1,0,239,73.0,0,0,2,66.7,50.0,100.0,0,0,0,2,4,70.0,0,0,1,100.0,50.0,100.0,0,0,1,2
Rahmir Johnson,101655,HB,NEBRASKA,2,0,238,74.4,0,0,2,40.0,33.3,100.0,0,0,0,2,6,74.4,0,0,2,50.0,50.0,100.0,0,0,2,4
Kai Puailoa-Rojas,121867,FB,NAVY,4,0,237,73.7,0,0,2,6.9,6.5,100.0,0,0,0,2,31,,0,0,0,0.0,0.0,,0,0,0,3
Caleb Robinson,131780,HB,STANFORD,4,0,300,31.0,0,0,2,15.4,15.4,50.0,0,1,1,2,13,19.8,0,0,1,25.0,25.0,0.0,1,1,1,4
Jamarion Miller,157003,HB,ALABAMA,3,0,103,74.5,0,0,1,11.1,18.2,100.0,0,0,0,2,11,,0,0,0,0.0,0.0,,0,0,0,1
Grayson Morgan,163719,C,VANDERBILT,1,0,333,74.3,0,0,2,100.0,100.0,100.0,0,0,0,2,2,72.0,0,0,1,100.0,100.0,100.0,0,0,1,1
Avery White,100750,TE,SO MISS,1,0,296,67.3,0,0,2,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0
