player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
John Porchivina,28202,LB,OLE MISS,1,0,0,,0,0,226,60.3,47.4,67.2,,60.0,,0,0,0,,,0,0,0,0.0,0,0,3,0,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,
Colby Reeder,30285,LB,IOWA STATE,5,6,1,62.5,0,0,193,69.8,75.7,23.0,75.3,78.1,75.4,4,1,2,18,4.8,1,1,1,73.4,10,1,104,2,99,242,48,0,0,48,0,0,194,37,106,88,8,14,16,6,2,74,33,7.4
Kyle Pugh,35900,LB,N ILLINOIS,5,14,0,50.0,0,0,254,71.5,70.8,79.6,54.9,69.3,83.9,1,3,0,11,5.4,2,0,0,63.5,2,0,192,0,82,201,6,0,0,6,0,1,195,15,104,2,8,21,4,4,0,19,12,9.5
Jordan Carmouche,39951,LB,ARK STATE,5,11,0,66.7,0,0,113,56.7,57.6,23.5,61.7,60.2,66.7,2,5,0,51,10.3,3,0,1,149.3,4,1,279,0,145,294,12,0,0,12,0,0,282,17,132,3,11,15,6,8,2,86,59,21.5
Alema Pilimai,41395,DI,BYU,1,0,0,,0,0,128,60.0,72.1,69.8,69.8,,71.3,0,0,0,,,0,0,0,0.0,0,0,0,0,0,6,6,0,0,4,2,0,0,6,0,0,0,0,0,0,0,0,0,
Monte McGary,42477,CB,KANSAS,2,1,0,,0,0,198,66.0,66.5,73.4,,60.7,73.5,0,0,0,,0.0,0,0,0,0.0,0,0,0,18,9,19,0,0,0,0,0,0,19,0,10,1,0,0,0,0,0,0,0,
Bricen Garner,42520,S,W MICHIGAN,5,7,0,58.3,0,0,347,81.8,77.6,83.0,58.6,65.8,70.8,0,0,1,37,14.0,6,1,0,38.2,7,0,108,1,138,279,0,0,0,0,0,140,279,2,139,30,7,30,12,0,0,64,25,9.1
Brandon Moore,42620,CB,NEBRASKA,3,0,0,100.0,0,0,238,71.8,64.9,0.0,60.0,61.5,73.5,0,0,0,5,0.0,0,0,1,87.5,1,0,1,15,10,18,2,0,0,2,0,0,16,1,7,0,0,1,1,0,0,5,1,5.0
Clifford Chattman,42657,S,UTSA,5,7,0,47.4,0,0,331,70.8,69.0,85.1,,61.6,73.4,0,0,0,42,11.8,4,3,1,90.5,9,0,72,4,164,282,3,0,0,3,0,118,279,0,118,85,5,23,19,0,1,143,25,15.9
Anthony Watts,42807,DI,MARSHALL,5,3,0,100.0,0,0,214,53.2,59.3,25.8,57.5,71.7,62.0,0,3,0,49,11.1,1,0,1,118.8,1,0,0,0,3,121,121,27,60,8,26,0,0,74,44,0,4,5,1,3,0,49,32,49.0
Justin Clark,43185,CB,WISCONSIN,3,1,0,60.0,0,0,349,54.3,54.2,77.8,,55.1,60.7,0,0,0,15,14.3,1,0,1,77.9,3,0,12,75,39,90,1,0,0,1,0,0,89,0,51,2,2,5,5,0,0,31,8,10.3
Ryan McWood,43189,LB,MIAMI OH,4,7,0,100.0,0,0,221,48.4,54.9,79.8,69.0,58.2,51.9,2,3,1,19,17.1,7,0,0,81.7,13,1,229,0,127,244,4,0,0,4,0,0,240,21,96,11,17,27,13,6,0,147,81,11.3
Jaydon Grant,43354,S,OREGON ST,5,6,0,53.3,0,1,265,79.6,79.2,84.5,46.0,81.7,80.7,1,4,2,60,7.4,2,1,0,38.1,8,0,58,3,180,310,4,0,0,4,0,152,306,10,120,93,7,19,15,5,0,112,41,14.0
Linwood Crump,43401,CB,NEW MEX ST,5,0,0,55.6,0,0,242,66.4,64.0,80.6,59.5,51.4,44.8,0,1,0,19,25.0,2,1,2,117.8,5,0,10,149,79,163,4,0,0,4,0,0,159,2,82,0,1,6,9,1,1,70,3,14.0
Jon-Michael Terry,43635,LB,TULSA,5,9,0,72.7,0,0,320,56.0,59.6,37.3,65.2,60.7,73.2,0,11,0,16,12.9,4,0,1,82.8,8,1,210,0,91,300,67,0,0,66,1,0,233,46,163,23,12,18,11,12,0,53,27,6.6
Tyrone Hopper,43714,ED,MISSOURI,5,0,0,,0,0,229,61.7,51.6,79.2,55.2,48.6,19.4,0,0,0,,100.0,2,0,0,0.0,0,0,1,0,4,67,65,0,3,53,9,0,2,34,29,1,0,0,0,0,0,0,0,
Sione Tupou,44093,LB,TEXAS ST,5,7,0,62.5,0,0,314,61.7,68.9,81.8,77.5,70.8,76.0,0,2,1,46,9.1,3,1,0,89.8,15,0,274,0,160,303,4,0,0,4,0,2,299,14,129,23,14,23,24,2,1,225,142,15.0
Semisi Fakasiieiki,44340,LB,PURDUE,3,2,0,50.0,0,0,273,54.4,63.7,76.3,63.3,70.4,74.7,0,0,0,-1,8.3,1,0,0,56.3,1,0,63,1,36,67,1,0,0,1,0,0,66,0,31,2,6,9,2,0,0,-1,6,-1.0
Antwaine Richardson,49364,S,KENT STATE,5,7,0,61.9,0,0,201,55.8,62.0,84.1,,79.7,67.8,0,0,0,71,12.5,4,1,0,109.2,13,0,50,3,183,312,1,0,0,1,0,113,311,0,129,145,4,21,21,0,1,200,65,15.4
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,3,5,0,80.0,0,0,174,40.6,54.1,77.9,51.2,69.1,35.3,0,1,0,24,27.3,6,1,0,156.3,4,0,100,0,44,119,11,0,0,11,0,0,108,11,64,8,6,11,5,1,1,60,14,15.0
Alden Tofa,51983,ED,BYU,5,2,0,,0,0,128,61.2,61.1,79.1,63.1,57.3,49.2,0,3,0,,20.0,1,0,0,0.0,0,1,6,0,4,72,66,0,0,40,26,0,6,36,32,0,2,2,0,4,0,0,0,
Earl Tuioti-Mariner,51992,DI,BYU,3,2,0,,0,0,128,,50.5,76.7,55.2,49.8,74.5,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,75,75,0,26,6,43,0,0,32,43,0,1,1,0,1,0,0,0,
