player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Connor Bazelak,99135,QB,INDIANA,5,2.78,0,260,190,57.7,208,222,10.7,2.65,2,8,3.4,49.1,109,87,9.2,234,90.0,11,63,,,,,67.1,57.8,70.4,,56.7,,,61.8,,,0,5,249,12.6,69.4,4.7,11,1,0,12,8,11,4.4,1269,5.7,60.5,157,170,8.7,2.57,3,6,3.3,51.8,88,70,7.4,182,70.0,7,45,,,,,64.4,56.3,67.7,,55.0,,,61.8,,,0,3,193,14.3,63.5,5.5,10,1,0,10,2,8,4.1,884,5.2,62.7,75,77,10.8,2.38,0,2,2.4,54.5,42,17,10.6,78,30.0,5,24,,,,,71.3,62.4,77.6,,62.0,,,,,,0,2,83,5.9,90.3,1.3,1,0,0,2,6,3,3.6,510,6.6,0,91.7,24,25,-2.2,1.27,1,0,0.0,84.0,21,0,4.5,26,10.0,1,6,,,,,67.8,61.9,73.4,,61.6,,,,,,0,0,27,,87.5,0.0,0,0,0,0,0,0,0.0,125,5.0,1.42
Will Rogers,124184,QB,MISS STATE,5,-9.23,0,248,227,78.1,187,196,7.4,2.55,4,10,4.9,69.9,137,43,6.2,208,83.9,9,81,,,,,75.0,87.8,83.8,,86.3,,,56.6,,,0,3,217,18.6,117.6,3.8,8,3,0,5,19,4,1.8,1474,7.5,81.8,209,219,6.2,2.35,4,10,4.4,73.5,161,41,5.8,233,94.0,10,88,,,,,62.6,87.0,84.2,,85.9,,,51.4,,,0,3,243,22.0,117.9,3.9,9,2,0,6,19,4,1.6,1648,7.5,71.4,14,14,4.4,2.7,0,0,0.0,64.3,9,2,10.0,15,6.0,1,4,,,,,66.4,59.9,71.4,,55.8,,,64.0,,,0,0,15,0.0,74.7,0.0,0,1,0,0,0,1,6.7,64,4.6,0,97.2,36,37,-0.9,1.42,0,0,0.0,89.2,33,0,5.7,40,16.1,2,11,,,,,28.0,62.9,74.9,,62.4,,,,,,0,0,41,,93.5,2.5,1,0,0,1,0,1,2.4,238,6.4,-2.96
Donovan Smith,73929,QB,TEXAS TECH,5,3.93,0,247,315,68.6,169,180,10.5,2.95,2,6,3.2,62.2,112,86,3.4,213,86.2,4,74,,,,,49.8,68.4,68.4,,68.2,60.0,,60.7,,,2,7,221,20.9,89.3,8.5,18,15,0,7,11,9,4.1,1347,7.5,72.1,154,165,8.5,2.79,2,2,1.2,65.5,108,74,2.7,191,77.3,3,59,,,,,47.5,64.0,50.1,,64.4,,,59.4,,,2,6,196,18.9,83.5,7.3,14,12,0,7,7,8,4.1,1106,6.7,76.6,47,49,8.4,2.64,0,4,7.7,69.4,34,15,5.6,56,22.7,2,19,,,,,70.2,78.5,76.3,,76.6,60.0,,66.6,,,0,1,59,26.7,110.0,7.1,4,3,0,2,4,1,1.7,369,7.5,0,96.9,32,34,-2.2,1.51,0,0,0.0,88.2,30,3,3.2,34,13.8,1,4,,,,,68.5,65.6,0.0,,67.8,,,,,,0,0,34,0.0,82.4,0.0,0,0,0,2,0,0,0.0,128,3.8,0.83
Kyle Vantrease,55029,QB,GA SOUTHRN,5,4.23,0,243,174,62.5,184,197,11.6,2.42,6,9,4.4,53.3,105,51,8.7,205,84.4,10,65,,,,,75.7,56.9,84.5,,54.3,54.3,,68.3,,,0,7,214,3.9,70.4,1.0,2,6,0,7,7,13,6.1,1272,6.5,65.2,158,164,9.7,2.31,3,7,4.1,59.1,97,37,5.8,172,70.8,6,59,,,,,75.0,62.6,84.0,,59.6,,,68.3,,,0,6,179,5.4,72.4,1.2,2,6,0,3,4,10,5.6,1107,6.8,76.6,64,71,7.9,2.24,3,2,2.7,63.4,45,15,8.2,71,29.2,4,21,,,,,70.9,51.8,77.2,,52.1,54.3,,,,,0,1,74,0.0,105.0,0.0,0,0,0,4,6,3,4.1,473,6.7,0,97.4,38,38,-2.2,1.54,0,0,0.0,97.4,37,1,0.0,38,15.6,0,15,,,,,68.9,70.8,74.7,,70.2,,,,,,0,0,39,0.0,126.8,0.0,0,0,0,0,3,0,0.0,308,8.1,-0.09
John Paddock,77689,QB,BALL ST,5,6.26,0,234,117,71.0,186,201,8.6,2.05,8,13,6.2,63.2,127,55,3.8,203,86.8,5,69,,,,,75.2,80.3,84.8,,78.4,,,61.4,,,2,6,212,3.6,86.4,1.0,2,0,0,5,10,6,2.8,1326,6.6,72.4,170,182,7.8,2.03,8,9,4.7,63.7,116,46,5.7,184,78.6,7,61,,,,,74.8,76.5,84.5,,74.6,,,61.4,,,1,5,192,4.3,85.4,1.1,2,0,0,3,8,6,3.1,1179,6.5,78.3,46,50,4.8,1.96,1,4,7.7,70.0,35,10,2.8,50,21.4,1,18,,,,,69.8,79.4,75.7,,78.6,,,,,,1,1,52,0.0,103.1,0.0,0,0,0,2,3,0,0.0,372,7.4,0,90.0,30,31,-2.1,1.84,1,0,0.0,77.4,24,1,11.1,31,13.2,3,10,,,,,68.4,64.0,74.0,,63.6,,,,,,0,0,32,0.0,107.6,0.0,0,0,0,0,1,0,0.0,225,7.3,0.96
Daniel Richardson,97103,QB,C MICHIGAN,5,-6.88,0,233,134,62.7,193,200,10.0,2.43,3,8,3.7,54.5,109,69,9.9,216,92.7,12,67,,,,,64.6,61.7,84.6,,60.1,,,64.9,,,1,4,235,15.9,84.1,5.1,11,5,0,3,11,8,3.4,1277,6.4,66.5,167,174,8.6,2.29,2,5,2.6,58.0,101,53,9.0,184,79.0,10,59,,,,,62.8,58.9,84.2,,57.2,,,64.5,,,1,3,202,13.2,89.2,3.8,7,3,0,4,10,7,3.5,1119,6.4,61.9,42,43,10.9,2.74,1,3,6.7,51.2,22,17,15.4,49,21.0,4,13,,,,,69.7,72.2,75.7,,71.3,,,61.7,,,0,1,51,23.5,67.1,8.2,4,2,0,0,1,1,2.0,251,5.8,0,100.0,16,17,-2.1,1.82,0,0,0.0,82.4,14,1,12.5,17,7.3,2,5,,,,,66.8,68.3,72.0,,67.9,,,,,,0,0,18,0.0,89.5,0.0,0,0,0,1,0,0,0.0,93,5.5,-0.59
Ryan Hilinski,71295,QB,NWESTERN,5,-15.28,0,230,256,63.9,191,201,9.3,2.67,5,2,0.9,56.7,114,49,6.6,207,90.0,8,63,,,,,58.8,48.9,69.8,,47.0,60.0,,63.1,,,2,3,217,8.2,80.5,1.9,4,2,0,3,6,12,5.5,1325,6.6,69.2,159,166,6.9,2.46,3,2,1.1,62.7,104,38,5.5,170,73.9,6,50,,,,,68.1,50.9,68.0,,48.2,,,64.8,,,2,3,179,5.3,84.2,1.2,2,1,0,2,5,10,5.6,1092,6.6,58.5,53,57,11.9,2.95,2,0,0.0,47.4,27,13,12.9,60,26.1,4,17,,,,,41.5,53.8,76.4,,54.5,60.0,,57.3,,,0,1,61,15.4,65.0,3.3,2,1,0,2,1,2,3.3,341,6.0,0,90.5,21,22,-2.5,1.78,0,0,0.0,77.3,17,2,10.5,23,10.0,2,4,,,,,67.5,68.2,72.8,,67.8,,,,,,0,1,23,0.0,68.0,0.0,0,0,0,1,0,0,0.0,108,4.9,-0.6
Frank Harris,60586,QB,UTSA,5,-0.85,0,225,331,69.2,156,165,10.9,2.68,3,11,6.2,64.8,107,72,0.9,196,87.1,1,86,,,,,66.2,90.0,51.5,,83.5,60.0,,83.7,,,1,4,211,13.9,107.5,5.1,10,21,2,3,11,6,2.9,1554,9.4,73.8,141,148,9.1,2.49,2,9,5.7,68.2,101,52,2.9,172,76.4,3,72,,,,,76.7,90.1,48.9,,83.0,60.0,,85.8,,,1,4,183,15.4,103.6,4.7,8,16,2,2,8,4,2.2,1347,9.1,70.5,44,46,8.1,2.53,1,2,4.1,67.4,31,20,0.0,53,23.6,0,20,,,,,40.3,74.0,76.1,,73.8,,,61.1,,,0,1,57,10.0,113.3,3.8,2,5,0,1,4,2,3.6,388,8.4,0,93.1,29,29,-2.3,1.32,0,0,0.0,86.2,25,0,7.4,29,12.9,2,6,,,,,68.1,68.9,73.6,,68.4,,,,,,0,1,29,,89.8,0.0,0,0,0,0,1,0,0.0,181,6.2,-0.67
DJ Irons,145585,QB,AKRON,5,7.57,0,222,102,65.9,129,144,12.3,3.15,0,7,4.6,54.2,78,77,8.2,184,82.9,7,52,,,,,48.8,72.8,45.9,,71.2,,,67.1,,,3,2,192,26.0,83.4,10.9,20,20,2,10,6,7,3.6,970,6.7,70.8,130,145,9.2,2.98,1,4,2.6,60.0,87,68,5.4,178,80.2,5,48,,,,,48.4,68.9,45.4,,66.8,,,66.9,,,3,2,188,22.1,79.3,8.4,15,18,2,9,4,6,3.2,828,5.7,75.0,36,37,8.1,2.64,0,3,7.9,67.6,25,12,7.4,44,19.8,2,16,,,,,69.4,82.7,75.2,,82.0,,,62.0,,,0,0,45,41.7,110.9,11.4,5,2,0,1,2,1,2.2,306,8.3,0,91.9,37,38,-2.9,1.78,1,0,0.0,89.5,34,3,0.0,38,17.1,0,12,,,,,69.1,70.3,74.9,,69.8,,,,,,0,0,41,0.0,84.6,0.0,0,0,0,0,0,0,0.0,164,4.3,2.56
N'Kosi Perry,60446,QB,FAU,6,4.96,0,221,165,60.8,158,167,14.6,2.7,2,16,9.1,50.3,84,50,12.5,183,82.8,12,70,,,,,32.4,82.5,69.0,,84.6,,,57.9,,,0,4,192,8.0,91.2,2.2,4,12,0,7,12,7,3.6,1332,8.0,62.6,131,137,10.9,2.45,1,9,6.3,54.7,75,41,8.5,152,68.8,7,54,,,,,29.0,69.7,67.4,,71.1,,,57.2,,,0,5,159,12.2,77.3,3.3,5,10,0,5,7,7,4.4,913,6.7,70.3,64,67,12.0,2.65,1,7,10.1,59.7,40,13,11.1,69,31.2,5,27,,,,,70.8,90.4,76.9,,90.1,,,62.1,,,0,0,71,0.0,128.7,0.0,0,2,0,2,8,2,2.8,599,8.9,0,83.8,37,37,-3.0,1.62,0,0,0.0,83.8,31,4,0.0,38,17.2,0,11,,,,,68.9,51.4,74.6,,51.1,,,,,,0,1,38,25.0,102.7,2.6,1,0,0,0,3,2,5.3,180,4.9,2.28
