"Player","Finals Count","Alive Team Rates"
"Amari Cooper","139","44.41%"
"Jared Goff","128","40.89%"
"Christian McCaffrey","124","39.62%"
"Amon-Ra St. Brown","117","37.38%"
"Sam LaPorta","116","37.06%"
"Jahmyr Gibbs","112","35.78%"
"CeeDee Lamb","98","31.31%"
"Mike Evans","84","26.84%"
"David Njoku","80","25.56%"
"Rachaad White","78","24.92%"
"George Pickens","65","20.77%"
"George Kittle","64","20.45%"
"James Cook","60","19.17%"
"Raheem Mostert","59","18.85%"
"Brock Purdy","56","17.89%"
"Breece Hall","54","17.25%"
"Brandon Aiyuk","51","16.29%"
"Dak Prescott","49","15.65%"
"James Conner","47","15.02%"
"DJ Chark Jr.","47","15.02%"
"David Montgomery","45","14.38%"
"Terry McLaurin","45","14.38%"
"Romeo Doubs","45","14.38%"
"Brian Robinson Jr.","42","13.42%"
"Nico Collins","42","13.42%"
"Chris Godwin","41","13.10%"
"Derek Carr","41","13.10%"
"Deebo Samuel","41","13.10%"
"Gabe Davis","41","13.10%"
"Curtis Samuel","41","13.10%"
"Jayden Reed","40","12.78%"
"Alvin Kamara","39","12.46%"
"Khalil Herbert","38","12.14%"
"Josh Allen","37","11.82%"
"Gus Edwards","36","11.50%"
"Deshaun Watson","36","11.50%"
"Darius Slayton","36","11.50%"
"Cole Kmet","35","11.18%"
"Davante Adams","34","10.86%"
"Rashee Rice","34","10.86%"
"Jordan Love","34","10.86%"
"Chuba Hubbard","34","10.86%"
"Chris Olave","34","10.86%"
"Joe Mixon","33","10.54%"
"Tee Higgins","33","10.54%"
"Juwan Johnson","33","10.54%"
"Jordan Addison","32","10.22%"
"Trey McBride","32","10.22%"
"C.J. Stroud","31","9.90%"
"Ty Chandler","30","9.58%"
"Michael Pittman Jr.","30","9.58%"
"Jakobi Meyers","29","9.27%"
"Devin Singletary","29","9.27%"
"Tyquan Thornton","29","9.27%"
"Jerome Ford","28","8.95%"
"Antonio Gibson","28","8.95%"
"Zay Flowers","28","8.95%"
"Brandin Cooks","28","8.95%"
"Dalton Schultz","28","8.95%"
"Puka Nacua","27","8.63%"
"Kenny Pickett","27","8.63%"
"Chig Okonkwo","27","8.63%"
"Matthew Stafford","27","8.63%"
"Tyler Lockett","27","8.63%"
"DJ Moore","27","8.63%"
"Tyler Allgeier","26","8.31%"
"Jaylen Warren","26","8.31%"
"DeVonta Smith","25","7.99%"
"Sam Howell","25","7.99%"
"Tyler Conklin","25","7.99%"
"De'Von Achane","25","7.99%"
"Rashid Shaheed","25","7.99%"
"Bryce Young","24","7.67%"
"Jake Ferguson","24","7.67%"
"K.J. Osborn","24","7.67%"
"Tank Dell","24","7.67%"
"T.J. Hockenson","24","7.67%"
"Jameson Williams","23","7.35%"
"Leonard Fournette","23","7.35%"
"D'Andre Swift","23","7.35%"
"Samaje Perine","23","7.35%"
"Diontae Johnson","23","7.35%"
"Adam Thielen","23","7.35%"
"Evan Engram","23","7.35%"
"Tyler Boyd","22","7.03%"
"Dalton Kincaid","22","7.03%"
"Khalil Shakir","22","7.03%"
"Zay Jones","21","6.71%"
"Jerick McKinnon","21","6.71%"
"Allen Lazard","21","6.71%"
"Dawson Knox","21","6.71%"
"Hunter Renfrow","21","6.71%"
"Daniel Jones","20","6.39%"
"Isiah Pacheco","20","6.39%"
"Mike Gesicki","20","6.39%"
"D'Onta Foreman","20","6.39%"
"Elijah Moore","20","6.39%"
"Ezekiel Elliott","20","6.39%"
"Kenneth Gainwell","20","6.39%"
"Baker Mayfield","20","6.39%"
"Jaylen Waddle","20","6.39%"
"Hayden Hurst","19","6.07%"
"Jonathan Mingo","19","6.07%"
"Josh Downs","19","6.07%"
"Jeff Wilson Jr.","19","6.07%"
"Damien Harris","19","6.07%"
"Marquise Brown","19","6.07%"
"Tyjae Spears","19","6.07%"
"Alexander Mattison","19","6.07%"
"Clyde Edwards-Helaire","18","5.75%"
"Kirk Cousins","18","5.75%"
"Trey Lance","18","5.75%"
"Jaxon Smith-Njigba","18","5.75%"
"Jalin Hyatt","18","5.75%"
"Courtland Sutton","18","5.75%"
"John Metchie III","18","5.75%"
"Michael Mayer","18","5.75%"
"Kyler Murray","18","5.75%"
"Justin Fields","18","5.75%"
"Russell Wilson","17","5.43%"
"Jamaal Williams","17","5.43%"
"Zach Charbonnet","17","5.43%"
"Christian Kirk","17","5.43%"
"Bijan Robinson","17","5.43%"
"Jalen Hurts","17","5.43%"
"Kenneth Walker III","17","5.43%"
"Trevor Lawrence","17","5.43%"
"Kareem Hunt","17","5.43%"
"DK Metcalf","17","5.43%"
"Odell Beckham Jr.","17","5.43%"
"A.J. Brown","17","5.43%"
"Derrick Henry","17","5.43%"
"Quentin Johnston","16","5.11%"
"Aaron Jones","16","5.11%"
"Rashaad Penny","16","5.11%"
"Dameon Pierce","16","5.11%"
"Geno Smith","16","5.11%"
"Wan'Dale Robinson","16","5.11%"
"Taysom Hill","16","5.11%"
"Javonte Williams","16","5.11%"
"Darren Waller","16","5.11%"
"Alec Pierce","16","5.11%"
"Robert Woods","15","4.79%"
"Marvin Jones Jr.","15","4.79%"
"Roschon Johnson","15","4.79%"
"J.K. Dobbins","15","4.79%"
"Michael Gallup","15","4.79%"
"Kyle Pitts","15","4.79%"
"Lamar Jackson","15","4.79%"
"Chase Claypool","15","4.79%"
"Miles Sanders","15","4.79%"
"Tim Patrick","15","4.79%"
"Donovan Peoples-Jones","15","4.79%"
