,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Houston Baptist,2022-01-07 12:00:00,240,48.00,8.5,17.39,149.5,17.39,28.1,70.5,79.0
New Orleans,2022-01-07 12:00:00,-305,6.56,-8.5,19.05,149.5,19.05,71.9,79.0,70.5
Northwestern State,2022-01-07 14:30:00,-150,13.33,-3.0,18.18,149.0,18.18,58.0,76.0,73.0
Incarnate Word,2022-01-07 14:30:00,130,26.00,3.0,18.18,149.0,18.18,42.0,73.0,76.0
Loyola (MD),2022-01-07 17:00:00,240,48.00,7.5,18.18,134.5,18.18,28.1,63.5,71.0
Boston University,2022-01-07 17:00:00,-305,6.56,-7.5,18.18,134.5,18.18,71.9,71.0,63.5
Lehigh,2022-01-07 17:00:00,195,39.00,6.0,17.39,143.5,18.18,32.4,68.8,74.8
Army,2022-01-07 17:00:00,-240,8.33,-6.0,19.05,143.5,18.18,67.6,74.8,68.8
SE Louisiana,2022-01-07 18:00:00,-130,15.38,-2.0,17.39,149.5,18.18,54.3,75.8,73.8
McNeese State,2022-01-07 18:00:00,110,22.00,2.0,19.05,149.5,18.18,45.7,73.8,75.8
Kent State,2022-01-07 18:30:00,260,52.00,8.0,17.39,137.5,20.00,26.5,64.8,72.8
Ohio,2022-01-07 18:30:00,-335,5.97,-8.0,19.05,137.5,16.67,73.5,72.8,64.8
Marquette,2022-01-07 18:30:00,-140,14.29,-2.5,18.18,152.5,16.67,56.2,77.5,75.0
Georgetown,2022-01-07 18:30:00,120,24.00,2.5,18.18,152.5,20.00,43.8,75.0,77.5
Brown,2022-01-07 19:00:00,130,26.00,3.0,18.18,138.5,16.67,42.0,67.8,70.8
Harvard,2022-01-07 19:00:00,-150,13.33,-3.0,18.18,138.5,20.00,58.0,70.8,67.8
Cornell,2022-01-07 19:00:00,155,31.00,4.0,19.05,155.5,18.18,37.9,75.8,79.8
Pennsylvania,2022-01-07 19:00:00,-180,11.11,-4.0,17.39,155.5,18.18,62.1,79.8,75.8
Marist,2022-01-07 19:00:00,135,27.00,3.5,17.39,132.0,18.18,41.2,64.3,67.8
Fairfield,2022-01-07 19:00:00,-155,12.90,-3.5,19.05,132.0,18.18,58.8,67.8,64.3
Wisconsin-Milwaukee,2022-01-07 19:00:00,170,34.00,4.5,18.18,138.5,18.18,35.7,67.0,71.5
Detroit,2022-01-07 19:00:00,-200,10.00,-4.5,18.18,138.5,18.18,64.3,71.5,67.0
Columbia,2022-01-07 19:00:00,1100,220.00,16.0,18.18,146.5,18.18,8.0,65.3,81.3
Princeton,2022-01-07 19:00:00,-2200,0.91,-16.0,18.18,146.5,18.18,92.0,81.3,65.3
Cleveland State,2022-01-07 19:00:00,-335,5.97,-8.0,18.18,142.5,16.67,73.5,75.3,67.3
Robert Morris,2022-01-07 19:00:00,260,52.00,8.0,18.18,142.5,20.00,26.5,67.3,75.3
IPFW,2022-01-07 19:00:00,185,37.00,5.0,18.18,143.5,18.18,33.6,69.3,74.3
Youngstown State,2022-01-07 19:00:00,-225,8.89,-5.0,18.18,143.5,18.18,66.4,74.3,69.3
Lafayette,2022-01-07 19:00:00,-170,11.76,-4.0,18.18,138.0,18.18,61.2,71.0,67.0
Holy Cross,2022-01-07 19:00:00,150,30.00,4.0,18.18,138.0,18.18,38.8,67.0,71.0
Bucknell,2022-01-07 19:00:00,500,100.00,12.0,17.39,140.5,20.00,16.0,64.3,76.3
Navy,2022-01-07 19:00:00,-720,2.78,-12.0,19.05,140.5,16.67,84.0,76.3,64.3
Xavier,2022-01-07 20:30:00,-240,8.33,-6.0,19.05,131.5,17.39,67.6,68.8,62.8
Butler,2022-01-07 20:30:00,195,39.00,6.0,17.39,131.5,19.05,32.4,62.8,68.8
Texas A&M-Corpus Christi,2022-01-07 20:30:00,165,33.00,4.5,17.39,148.0,18.18,36.3,71.8,76.3
Nicholls State,2022-01-07 20:30:00,-195,10.26,-4.5,19.05,148.0,18.18,63.7,76.3,71.8
