Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Kyson Brown (31184444),Kyson Brown,31184444,RB/FLEX/S-FLEX,3300,ARIZ@ASU 11/25/2023 03:30PM ET,ASU,2.3
WR,Keyan Burnett (31185341),Keyan Burnett,31185341,WR/FLEX/S-FLEX,3300,ARIZ@ASU 11/25/2023 03:30PM ET,ARIZ,2.13
WR,Bryce Pierre (31185344),Bryce Pierre,31185344,WR/FLEX/S-FLEX,3300,ARIZ@ASU 11/25/2023 03:30PM ET,ASU,3.43
RB,Daniyel Ngata (31184459),Daniyel Ngata,31184459,RB/FLEX/S-FLEX,3300,WSU@UW 11/25/2023 04:00PM ET,UW,1.38
RB,Dylan Paine (31184462),Dylan Paine,31184462,RB/FLEX/S-FLEX,3300,WSU@UW 11/25/2023 04:00PM ET,WSU,3.92
WR,Landen King (31185395),Landen King,31185395,WR/FLEX/S-FLEX,3300,COL@UTAH 11/25/2023 03:00PM ET,UTAH,7.7
WR,McCallan Castles (31185383),McCallan Castles,31185383,WR/FLEX/S-FLEX,3300,VAND@TENN 11/25/2023 03:30PM ET,TENN,5.78
WR,Bru McCoy (31185386),Bru McCoy,31185386,WR/FLEX/S-FLEX,3300,VAND@TENN 11/25/2023 03:30PM ET,TENN,8.98
WR,Omari Kelly (31185347),Omari Kelly,31185347,WR/FLEX/S-FLEX,3300,BAMA@AUB 11/25/2023 03:30PM ET,AUB,6.5
RB,Earnest Crownover (31184453),Earnest Crownover,31184453,RB/FLEX/S-FLEX,3300,TA&M@LSU 11/25/2023 12:00PM ET,TA&M,4.12
WR,Aaron Anderson (31185365),Aaron Anderson,31185365,WR/FLEX/S-FLEX,3300,TA&M@LSU 11/25/2023 12:00PM ET,LSU,2.43
WR,Landon Ibieta (31185368),Landon Ibieta,31185368,WR/FLEX/S-FLEX,3300,TA&M@LSU 11/25/2023 12:00PM ET,LSU,0
WR,Raymond Cottrell (31185389),Raymond Cottrell,31185389,WR/FLEX/S-FLEX,3300,TA&M@LSU 11/25/2023 12:00PM ET,TA&M,8.3
WR,Kyion Grayes (31185371),Kyion Grayes,31185371,WR/FLEX/S-FLEX,3300,OSU@MICH 11/25/2023 12:00PM ET,OSU,0
WR,Moochie Dixon (31185380),Moochie Dixon,31185380,WR/FLEX/S-FLEX,3300,NAVY@SMU 11/25/2023 12:00PM ET,SMU,7.06
WR,Cole Finney (31185407),Cole Finney,31185407,WR/FLEX/S-FLEX,3200,PITT@DUKE 11/25/2023 12:00PM ET,DUKE,0
WR,Malik Bowen-Sims (31185410),Malik Bowen-Sims,31185410,WR/FLEX/S-FLEX,3200,PITT@DUKE 11/25/2023 12:00PM ET,DUKE,2.15
WR,Jake Renda (31185428),Jake Renda,31185428,WR/FLEX/S-FLEX,3200,PITT@DUKE 11/25/2023 12:00PM ET,PITT,3.4
WR,Jordan Dingle (31185416),Jordan Dingle,31185416,WR/FLEX/S-FLEX,3200,UK@UL 11/25/2023 12:00PM ET,UK,7.45
WR,Quinton Stewart (31185425),Quinton Stewart,31185425,WR/FLEX/S-FLEX,3200,BYU@OKST 11/25/2023 03:30PM ET,OKST,0
WR,Matt Byrnes (31185413),Matt Byrnes,31185413,WR/FLEX/S-FLEX,3200,UH@UCF 11/25/2023 12:00PM ET,UH,2.06
RB,Richard Newton (31184486),Richard Newton,31184486,RB/FLEX/S-FLEX,3200,WSU@UW 11/25/2023 04:00PM ET,UW,0.97
