"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","202","20","0.31","70","1.13","63.5","17","Cody Barton","116","16","0.37","89","1.76","47.7"
"Parker Hesse","53","9","0.15","80","0.77","69.2","-47","Dre Greenlaw","181","18","0.31","91","1.16","80.2"
"Mark Andrews","161","29","0.56","70","2.17","80.9","4","Julian Love","137","7","0.19","100","0.74","65"
"Dawson Knox","126","13","0.18","71","0.88","64","8","Nick Bolton","192","11","0.22","100","1.01","70.8"
"Tommy Tremble","74","12","0.12","56","0.57","45","-60","Ernest Jones","111","22","0.31","83","1.33","69.2"
"Cole Kmet","109","11","0.18","75","0.93","56.3","-26","Jamin Davis","110","15","0.27","59","1.25","53.1"
"Hayden Hurst","168","15","0.28","77","0.93","62","-23","Demario Davis","155","8","0.1","62","0.51","84.3"
"David Njoku","143","20","0.41","86","2.02","79.4","2","Kyle Dugger","86","9","0.15","50","0.31","67.9"
"Dalton Schultz","100","16","0.17","56","0.8","48.6","-13","Kyzir White","145","17","0.18","62","0.74","56.1"
"Eric Saubert","78","15","0.27","58","1.06","61.2","-6","Kenneth Murray","109","17","0.25","83","1.08","34.7"
"Robert Tonyan","100","19","0.36","89","1.29","59.1","21","C.J. Mosley","165","15","0.22","71","1.13","55.7"
"Mo Alie-Cox","105","13","0.35","79","1.3","62.2","-4","Devin Lloyd","164","19","0.29","81","1.4","71.5"
"Evan Engram","155","17","0.23","73","1.08","61.4","-9","Bobby Okereke","164","19","0.26","65","1.34","63.7"
"Travis Kelce","184","23","0.6","79","1.89","87.4","43","Tyrel Dodson","42","10","0.14","75","0.69","63.6"
"Tyler Higbee","184","25","0.34","72","1.58","64.8","17","Cory Littleton","55","11","0.2","83","1.09","58.5"
"Gerald Everett","145","19","0.35","61","1.47","66.1","-2","Alex Singleton","84","13","0.17","82","0.61","77"
"Mike Gesicki","101","11","0.25","82","1","60.4","5","Eric Kendricks","170","9","0.14","62","0.79","61.7"
"Irv Smith Jr.","125","18","0.27","61","1.06","59.8","7","Brandon Jones","140","16","0.23","70","1.16","52.2"
"Hunter Henry","111","13","0.17","64","0.86","55","-28","Jeremiah Owusu-Koramoah","104","13","0.3","79","0.83","63.7"
"Juwan Johnson","122","15","0.19","56","1.06","66.4","-34","Logan Wilson","186","13","0.22","68","0.94","66.2"
"Daniel Bellinger","74","15","0.35","91","1.36","72.8","12","Patrick Queen","191","18","0.29","79","1.48","54.1"
"Tyler Conklin","170","16","0.27","78","1.13","50.9","-20","Quay Walker","103","14","0.27","86","1.56","44.5"
"Dallas Goedert","163","17","0.39","86","2.06","71.5","7","Anthony Barr","126","10","0.13","77","0.48","59.9"
"Pat Freiermuth","128","24","0.39","65","1.84","73.1","34","Devin White","169","12","0.15","60","0.82","36.6"
"Noah Fant","89","18","0.33","81","1.18","68.8","11","Isaiah Simmons","124","6","0.2","100","0.82","54.1"
"George Kittle","79","16","0.26","85","1.25","61.9","-1","Rashaan Evans","190","9","0.14","88","0.61","66.2"
"Cade Otton","92","13","0.19","83","0.83","59","-11","Myles Jack","176","12","0.16","73","0.66","62.1"
"John Bates","67","18","0.24","75","1.09","58.7","-20","Roquan Smith","150","11","0.11","50","0.55","48.6"
