player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Joe Burrow,28022,QB,CIN,2,110,85.7,14,15,5.6,2.49,0,0,0.0,66.7,10,10,16.7,22,20.0,2,9,,23.4,67.6,75.0,63.7,,68.5,0,0,22,40.0,107.1,18.2,4,3,0,1,1,1,4.5,98,6.5,0,7,32.2,60.1,57.2,70.1,71.6,67,74,7.3,2.58,3,0,0.0,63.5,47,24,2.1,88,80.0,1,29,,52.9,57.3,80.3,55.5,,69.0,1,4,95,37.5,66.2,10.2,9,5,0,3,2,4,4.2,439,5.9,75.4,69,72,6.7,2.37,3,0,0.0,69.4,50,0,3.8,76,69.1,2,31,,83.5,72.1,79.7,71.1,,61.4,0,3,81,,77.8,0.0,0,4,0,0,2,2,2.5,449,6.2,0,66.7,12,17,8.6,3.0,0,0,0.0,41.2,7,34,12.5,34,30.9,1,7,,20.1,33.9,76.8,28.5,,76.3,1,1,36,38.2,53.1,38.2,13,4,0,4,1,3,8.3,88,5.2
Joe Flacco,4332,QB,NYJ,2,109,95.0,20,23,5.1,2.35,0,0,0.0,78.3,18,11,5.3,26,23.9,1,11,,76.8,83.0,75.9,81.1,,,2,0,28,27.3,110.9,11.5,3,0,0,1,1,0,0.0,164,7.1,0,22,86.0,75.8,74.4,61.5,71.8,71,80,8.6,2.73,2,2,2.4,56.3,45,29,11.8,83,76.1,6,24,,83.9,70.4,80.0,68.7,,63.3,4,1,87,6.9,84.0,2.4,2,1,0,3,4,0,0.0,452,5.7,82.4,68,69,6.6,2.25,1,0,0.0,72.5,50,0,10.7,69,63.3,6,27,,82.7,80.2,79.3,78.4,,,0,1,72,,101.8,0.0,0,0,0,0,4,0,0.0,432,6.3,1,60.9,23,34,11.3,3.3,1,2,5.7,38.2,13,40,7.1,40,36.7,1,8,,79.2,63.4,77.4,61.6,,63.3,6,0,43,12.5,66.3,12.5,5,1,0,4,1,0,0.0,184,5.4
Carson Wentz,10636,QB,WAS,2,98,74.1,27,30,7.0,2.48,0,1,3.2,60.0,18,11,10.0,31,31.6,2,14,,77.9,60.1,76.5,59.9,,,1,1,33,9.1,89.0,3.2,1,0,0,2,2,1,3.0,206,6.9,0,32,85.6,63.1,62.4,64.8,78.8,52,57,8.6,2.84,2,3,4.7,68.4,39,19,4.9,67,68.4,2,19,,82.8,64.7,79.4,63.4,,64.6,1,2,74,26.3,106.2,7.5,5,5,0,2,5,4,5.4,444,7.8,78.1,64,66,8.0,2.55,2,4,5.6,71.2,47,0,6.0,68,69.4,3,25,,82.8,72.3,79.4,72.3,,54.5,0,3,73,,98.6,0.0,0,2,0,0,4,4,5.5,569,8.6,2,73.3,15,21,8.2,3.14,0,0,0.0,47.6,10,30,9.1,30,30.6,1,8,,77.9,45.1,76.6,40.8,,70.6,2,0,34,20.0,97.4,20.0,6,3,0,4,3,1,2.9,81,3.9
Kyler Murray,38334,QB,ARZ,2,89,76.5,17,20,6.3,2.92,1,1,5.0,65.0,13,11,0.0,23,25.8,0,8,,75.9,63.9,75.2,61.6,,63.1,0,0,23,18.2,98.1,8.7,2,1,0,2,1,1,4.3,121,6.1,0,1,85.4,75.2,67.4,90.0,75.0,56,63,6.8,2.5,2,3,4.3,63.5,40,14,4.8,66,74.2,2,18,,83.1,72.4,79.5,68.2,,78.7,1,1,76,7.1,82.0,1.5,1,2,0,4,2,2,2.6,349,5.5,81.7,60,63,5.3,2.13,2,4,5.8,74.6,47,0,4.1,64,71.9,2,23,,82.5,89.2,79.2,86.2,,63.1,0,0,70,,103.3,0.0,0,1,0,1,2,0,0.0,431,6.8,1,46.2,13,20,13.2,3.83,1,0,0.0,30.0,6,25,0.0,25,28.1,0,3,,77.2,31.5,76.0,27.6,,78.7,1,1,29,12.0,35.4,12.0,3,2,0,5,1,3,10.3,39,2.0
Matt Ryan,4317,QB,IND,2,89,75.0,16,19,6.4,2.6,3,0,0.0,63.2,12,10,0.0,23,25.8,0,10,,76.1,66.6,75.3,61.0,,73.1,0,1,24,20.0,83.0,8.7,2,2,0,0,1,1,4.2,149,7.8,0,14,23.7,55.2,56.6,46.2,67.2,58,61,8.8,2.75,0,1,1.6,59.0,36,16,7.7,66,74.2,3,18,,25.2,55.4,79.1,55.5,,,1,3,68,31.3,58.0,7.6,5,0,0,2,0,5,7.4,398,6.5,73.3,60,62,7.6,2.39,1,1,1.6,67.7,42,0,4.5,63,70.8,2,22,,40.5,75.5,78.9,72.6,,65.9,0,1,65,,89.0,0.0,0,1,0,1,1,3,4.6,473,7.6,0,50.0,14,18,11.4,3.48,2,0,0.0,33.3,6,26,14.3,26,29.2,1,6,,24.9,28.7,75.8,28.8,,62.6,1,3,27,26.9,7.4,26.9,7,1,0,1,0,3,11.1,74,4.1
Tua Tagovailoa,60326,QB,MIA,2,88,74.1,27,28,8.5,2.7,0,1,3.6,67.9,19,6,5.0,29,33.0,1,10,,77.2,59.7,76.0,59.6,,,0,0,29,16.7,103.1,3.4,1,0,0,1,1,1,3.4,219,7.8,0,17,53.4,73.1,71.8,60.8,79.6,54,55,7.7,2.47,0,1,1.8,72.7,40,17,7.0,59,67.0,3,25,,39.3,76.5,78.7,76.2,,56.8,0,2,61,17.6,123.3,5.1,3,0,0,1,6,3,4.9,520,9.5,79.7,64,64,8.7,2.24,0,2,3.1,75.0,48,0,5.9,65,73.9,3,27,,82.1,84.9,79.0,82.8,,,0,2,66,,122.0,0.0,0,0,0,0,6,2,3.0,602,9.4,0,70.6,17,19,5.5,3.4,0,0,0.0,57.9,11,23,8.3,23,26.1,1,8,,24.6,36.7,75.3,39.5,,56.8,0,0,24,17.4,97.9,17.4,4,0,0,2,1,2,8.3,137,7.2
Jameis Winston,9434,QB,NO,2,87,81.0,21,22,5.9,2.8,0,0,0.0,72.7,16,14,5.9,28,32.2,1,6,,77.4,66.6,76.1,68.1,,55.7,0,0,30,35.7,95.5,17.9,5,1,0,1,1,1,3.3,93,4.2,0,20,51.6,62.7,62.3,58.1,66.0,50,52,13.8,2.65,0,4,7.4,61.5,32,13,3.0,59,67.8,1,15,,38.2,59.5,78.7,58.6,,64.2,0,3,61,38.5,75.2,8.5,5,2,2,0,2,4,6.6,412,7.9,69.0,58,60,11.6,2.34,0,2,3.2,65.0,39,0,2.5,60,69.0,1,17,,81.8,60.2,78.8,60.0,,,0,3,63,,77.7,0.0,0,0,2,0,3,4,6.3,369,6.2,1,76.9,13,14,10.8,3.49,0,2,13.3,64.3,9,27,10.0,27,31.0,1,4,,25.5,65.8,75.9,66.4,,58.1,0,0,28,37.0,96.1,37.0,10,3,0,1,0,1,3.6,136,9.7
Matthew Stafford,4924,QB,LA,2,87,88.9,9,9,6.6,2.17,0,2,22.2,88.9,8,2,0.0,9,10.3,0,6,,70.9,90.1,71.9,87.7,,,0,0,9,0.0,146.1,0.0,0,0,0,0,2,0,0.0,86,9.6,0,26,51.4,65.2,63.7,62.6,78.1,64,68,7.1,2.59,1,2,2.9,70.6,48,23,4.0,78,89.7,2,25,,48.1,57.5,79.7,56.8,,62.6,0,5,79,34.8,66.2,10.3,8,1,0,3,2,5,6.3,426,6.3,77.6,58,60,6.5,2.32,1,2,3.3,71.7,43,0,4.4,62,71.3,2,27,,81.8,59.5,78.8,58.6,,62.6,0,4,63,,78.3,0.0,0,1,0,1,3,4,6.3,397,6.6,0,86.7,15,17,8.9,3.12,0,2,11.8,76.5,13,25,0.0,25,28.7,0,4,,24.9,73.2,75.5,72.1,,,0,1,25,32.0,89.1,32.0,8,0,0,2,1,1,4.0,115,6.8
Justin Herbert,28237,QB,LAC,2,85,76.9,13,15,8.2,2.79,1,0,0.0,66.7,10,9,0.0,15,17.6,0,7,,73.9,79.4,74.1,74.4,60.0,65.6,0,1,16,0.0,89.0,0.0,0,0,0,1,1,0,0.0,133,8.9,0,27,84.6,73.3,71.6,64.6,82.5,63,67,6.1,2.78,2,3,4.4,73.1,49,24,5.8,70,82.4,3,20,,82.6,67.9,79.3,68.4,,55.3,1,0,71,8.3,117.8,2.9,2,1,0,1,5,1,1.4,480,7.2,86.3,51,52,6.4,2.39,1,2,3.8,80.8,42,0,4.5,52,61.2,2,21,,80.6,77.0,78.2,75.7,60.0,,0,0,52,,142.7,0.0,0,0,0,0,6,1,1.9,469,9.0,0,72.0,25,30,6.7,3.39,2,1,3.2,56.7,17,33,5.6,33,38.8,1,6,,78.3,61.6,76.7,60.7,,62.1,1,1,35,6.1,55.4,6.1,2,1,0,2,0,0,0.0,144,4.8
Derek Carr,8671,QB,LV,2,83,71.4,21,25,6.8,2.21,1,0,0.0,60.0,15,11,0.0,27,32.5,0,9,,77.0,62.4,75.9,62.1,,,2,0,28,18.2,110.7,7.4,2,0,0,1,3,1,3.6,114,4.6,0,23,27.7,47.8,48.1,58.3,70.2,47,51,8.8,2.55,1,1,1.8,62.7,32,13,3.0,56,67.5,1,22,,24.4,42.0,78.7,43.5,,58.3,1,3,60,30.8,71.8,7.1,4,1,0,2,1,5,8.3,433,8.5,70.9,55,59,7.1,2.19,2,0,0.0,64.4,38,0,2.6,59,71.1,1,24,,81.8,48.5,78.8,49.1,,,0,3,63,,84.0,0.0,0,0,0,2,4,3,4.8,380,6.4,0,69.2,13,17,12.9,3.05,0,1,5.6,52.9,9,24,0.0,24,28.9,0,7,,17.8,50.3,75.6,51.5,,58.3,3,0,25,25.0,87.1,25.0,6,1,0,1,0,3,12.0,167,9.8
