player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Trey Lance,91399,QB,SF,2,12,3,0,0.0,0,0,52,0,0,2,17,23.6,1,7,28,1,5,34.8,53.1,80.1,52.4,,,56.7,60.0,13,0,0,0,0,45,15,4,0,12,0,67,30,1.88,4.2,,0
Tony Pollard,27126,HB,DAL,2,15,0,1,33.3,17,0,51,0,0,0,35,0.0,1,3,9,0,4,77.1,66.2,80.0,,67.9,66.8,63.5,59.5,17,0,69,6,28,20,0,0,9,21,1,51,35,2.33,3.4,2.46,9
Lamar Jackson,46416,QB,BLT,2,11,3,1,58.1,79,0,98,0,0,1,9,7.4,3,5,3,1,8,50.7,73.7,10.3,72.5,,,67.8,60.1,79,1,0,0,0,45,38,4,0,11,1,136,34,2.27,9.1,,0
Mark Ingram II,6180,HB,NO,2,14,4,0,0.0,0,0,82,0,0,4,51,85.7,2,5,20,2,3,17.5,49.6,76.1,,23.9,28.5,63.6,58.4,12,0,4,3,19,18,0,0,3,17,0,82,51,3.64,5.9,0.21,11
Devin Singletary,40485,HB,BUF,2,14,3,1,23.9,16,0,67,0,1,3,40,63.5,3,3,4,0,4,76.0,63.5,81.2,,50.5,63.7,64.2,59.2,16,0,16,4,46,17,0,0,4,18,0,67,40,2.86,4.8,0.35,8
Isiah Pacheco,83747,HB,KC,2,14,1,2,60.3,41,0,68,0,0,1,50,25.5,3,4,16,1,5,23.5,54.1,73.0,,25.3,55.0,56.7,,22,0,0,0,6,14,0,0,0,14,1,68,50,3.57,4.9,0.0,9
Tyrion Davis-Price,99169,HB,SF,1,14,2,1,60.6,20,0,33,0,0,2,29,29.6,1,2,28,0,3,75.5,51.1,75.3,,,52.7,53.5,60.0,20,0,0,0,10,19,0,0,0,14,0,33,29,2.07,2.4,0.0,11
Rex Burkhead,7971,HB,HST,2,14,2,0,0.0,0,0,40,1,0,2,38,25.9,0,1,13,0,10,76.5,50.9,78.8,,35.8,50.2,54.6,60.0,8,0,39,7,45,16,0,0,10,21,0,40,38,2.71,2.9,0.87,4
Travis Etienne,57185,HB,JAX,2,13,3,1,40.3,27,0,67,1,0,3,45,57.7,2,3,15,1,6,24.8,55.2,79.8,,23.7,31.7,71.1,59.8,27,0,51,5,36,17,0,0,7,18,0,67,45,3.46,5.2,1.42,5
Khalil Herbert,41668,HB,CHI,2,13,1,1,32.5,27,0,83,0,1,1,27,27.7,3,4,6,0,3,75.2,73.0,73.6,,,63.0,72.2,60.0,27,0,1,2,8,16,0,0,2,15,1,83,27,2.08,6.4,0.13,10
Breece Hall,97636,HB,NYJ,2,13,3,1,31.5,23,0,73,1,1,3,63,96.9,3,2,22,1,5,25.4,57.2,78.0,,67.1,40.5,65.2,60.0,23,0,48,7,33,16,0,0,9,20,0,73,63,4.85,5.6,1.45,6
James Cook,83666,HB,BUF,2,12,2,1,60.0,33,0,55,0,0,2,52,72.2,1,3,4,1,8,21.9,54.0,73.3,,,57.1,55.9,58.5,33,0,0,0,3,18,0,0,1,12,0,55,52,4.33,4.6,0.0,4
Eno Benjamin,57136,HB,ARZ,2,12,4,1,27.1,16,0,59,0,3,4,40,129.6,1,3,1,0,5,77.8,76.1,79.8,,54.3,64.1,82.6,59.5,16,0,53,6,30,18,0,0,6,18,0,59,40,3.33,4.9,1.77,5
Deebo Samuel,48274,WR,SF,2,12,5,2,74.3,78,0,105,2,5,5,100,438.6,3,4,28,1,5,24.3,60.7,82.3,,68.8,62.0,55.5,63.2,51,0,58,7,55,54,0,0,12,19,1,105,100,8.33,8.8,1.05,5
Sony Michel,27589,HB,LAC,2,11,1,0,0.0,0,0,25,0,0,1,19,14.4,0,1,27,0,4,74.1,58.8,73.1,,78.6,57.0,58.5,60.0,7,0,6,1,11,12,0,0,1,12,0,25,19,1.73,2.3,0.55,7
Baker Mayfield,46518,QB,CAR,2,5,3,0,0.0,0,0,4,0,0,0,0,0.0,1,3,5,6,1,26.4,45.5,8.9,49.1,,,48.2,60.0,17,1,0,0,0,36,36,6,0,5,1,40,28,2.55,3.6,,3
Josh Allen,46601,QB,BUF,2,5,3,0,0.0,0,0,16,0,0,2,11,88.0,2,5,4,0,3,84.1,90.7,81.1,87.7,,,76.9,60.0,13,1,0,0,0,29,50,6,0,5,1,66,45,4.09,6.0,,1
Jacoby Brissett,10725,QB,CLV,2,3,0,0,0.0,0,0,3,0,0,0,2,0.0,2,4,8,0,0,83.4,64.4,25.2,62.5,,,67.9,60.0,21,2,0,0,0,71,50,7,0,3,0,53,18,1.8,5.3,,0
Tyler Allgeier,83639,HB,ATL,1,10,0,0,0.0,0,0,30,0,0,0,17,0.0,0,1,2,0,4,73.3,62.6,73.4,,73.0,55.8,62.3,60.0,9,0,0,0,4,11,0,0,0,10,0,30,17,1.7,3.0,0.0,6
Joe Burrow,28022,QB,CIN,2,2,0,0,0.0,0,0,1,0,0,0,0,0.0,3,4,7,3,0,32.2,60.1,82.7,57.2,,,70.1,60.0,23,0,0,0,0,52,72,8,0,2,0,73,31,3.1,7.3,,0
Alexander Mattison,45817,HB,MIN,2,10,5,0,0.0,0,0,44,1,2,5,38,204.6,1,2,18,0,4,74.2,64.0,77.0,,68.8,42.5,74.5,,10,0,6,3,22,10,0,0,5,13,0,44,38,3.8,4.4,0.27,6
Kyler Murray,38334,QB,ARZ,2,7,3,1,36.8,21,0,42,0,0,2,17,69.4,3,6,1,1,4,85.4,75.2,81.9,67.4,,,90.0,60.6,21,1,0,0,0,45,15,3,0,7,1,57,34,3.4,5.7,,0
Mac Jones,60323,QB,NE,2,5,0,0,0.0,0,0,-7,0,0,0,3,0.0,0,2,19,1,0,83.5,56.4,0.0,57.6,,,61.3,60.0,5,2,0,0,0,49,13,4,0,5,0,6,11,1.22,0.7,,0
Alvin Kamara,11822,HB,NO,1,9,2,1,38.5,15,0,39,0,1,2,32,88.9,1,1,20,0,3,74.2,54.2,75.7,,9.8,64.7,64.6,,15,0,7,3,17,10,0,0,4,12,0,39,32,3.56,4.3,0.41,6
Zack Moss,40341,HB,BUF,2,9,2,1,53.1,17,0,32,0,4,2,27,120.0,1,2,4,1,7,23.0,53.9,76.0,,76.9,68.2,46.0,60.0,17,0,21,6,22,10,0,0,6,15,0,32,27,3.0,3.6,0.95,2
Hassan Haskins,83701,HB,TEN,2,9,2,0,0.0,0,0,38,0,0,2,28,62.2,0,2,31,0,2,74.9,67.9,78.7,,85.2,54.5,68.0,60.0,9,0,0,1,15,13,0,0,1,10,0,38,28,3.11,4.2,0.0,7
Carson Wentz,10636,QB,WAS,2,3,2,0,0.0,0,0,-2,0,0,0,0,0.0,1,2,32,1,0,85.6,63.1,26.1,62.4,,,64.8,60.0,18,2,0,0,0,44,37,5,0,3,0,35,37,4.63,4.4,,0
Geno Smith,7820,QB,SEA,2,7,0,0,0.0,0,0,2,0,0,0,2,0.0,1,1,29,1,3,83.4,73.9,80.8,71.8,,59.0,68.1,60.3,14,1,0,0,1,34,14,1,0,7,0,16,3,0.38,2.0,0.0,0
Boston Scott,39462,HB,PHI,2,8,0,1,55.2,16,0,29,0,0,0,32,0.0,1,2,24,0,2,72.5,62.2,78.1,,77.0,53.9,65.2,60.0,16,0,2,1,16,11,0,0,1,9,1,29,32,4.0,3.6,0.13,5
Darrel Williams,13014,HB,ARZ,1,8,1,1,50.8,30,0,59,1,0,1,40,50.0,1,4,1,0,5,72.9,66.1,78.1,,48.9,52.6,74.2,60.0,30,0,3,2,22,11,0,0,3,10,1,59,40,5.0,7.4,0.14,3
Jerick McKinnon,8731,HB,KC,2,8,0,1,52.9,18,0,34,0,1,0,16,15.4,1,1,16,0,2,73.8,61.0,79.0,,26.4,66.4,63.0,60.0,18,0,31,5,31,12,0,0,6,13,0,34,16,2.0,4.3,1.0,6
Joshua Kelley,13750,HB,LAC,2,8,1,0,0.0,0,0,43,0,0,1,39,44.3,1,2,27,0,1,73.9,70.5,76.1,,59.7,63.2,72.4,60.0,12,0,17,3,20,12,0,0,3,11,0,43,39,4.88,5.4,0.85,6
Rachaad White,131633,HB,TB,2,8,1,0,0.0,0,0,15,1,0,1,9,11.3,0,1,30,0,5,72.9,36.9,74.9,,,40.5,41.9,60.0,5,0,7,2,13,13,0,0,3,10,0,15,9,1.13,1.9,0.54,3
Jaylen Warren,98692,HB,PIT,2,7,1,0,0.0,0,0,22,0,0,1,17,30.4,0,1,25,0,1,71.9,53.7,75.7,,18.8,52.1,60.9,60.0,6,0,0,1,21,11,0,0,2,8,0,22,17,2.43,3.1,0.0,6
Kenneth Gainwell,77737,HB,PHI,2,7,0,0,0.0,0,0,27,1,1,0,23,32.9,0,3,24,0,0,73.0,64.0,78.8,,43.2,54.8,71.2,60.0,7,0,23,3,22,9,0,0,6,10,1,27,23,3.29,3.9,1.05,7
Taysom Hill,12112,TE,NO,2,7,1,1,60.0,57,0,95,0,0,1,37,66.1,3,3,20,0,7,71.9,65.0,76.6,,69.6,55.9,72.7,48.6,57,0,2,1,6,15,0,0,1,8,1,95,37,5.29,13.6,0.33,0
Mike Davis,9559,HB,BLT,2,7,1,0,0.0,0,0,15,0,0,1,14,28.6,1,0,3,1,6,18.6,34.3,73.0,,69.2,54.0,38.0,40.0,10,0,0,0,10,13,0,0,0,7,0,15,14,2.0,2.1,0.0,1
Chase Claypool,42312,WR,PIT,2,6,1,1,41.7,15,0,36,0,0,1,17,20.2,2,2,25,0,0,73.8,59.1,80.4,,68.1,59.7,63.7,39.7,15,0,44,8,75,33,0,0,11,14,0,36,17,2.83,6.0,0.59,0
Justin Herbert,28237,QB,LAC,2,5,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,1,27,0,0,84.6,73.3,81.9,71.6,,60.0,64.6,60.0,3,0,0,0,1,53,3,1,0,5,0,2,0,0.0,0.3,0.0,0
Matt Breida,12271,HB,NYG,2,6,1,0,0.0,0,0,20,0,0,1,17,47.2,0,1,21,0,4,70.6,62.1,77.9,,51.7,52.4,65.3,60.0,9,0,0,0,8,11,0,0,0,6,0,20,17,2.83,3.3,0.0,2
Aaron Rodgers,2241,QB,GB,2,5,0,0,0.0,0,0,2,0,0,0,1,0.0,0,1,12,2,1,44.8,74.0,81.4,73.3,,,59.2,60.0,7,0,0,0,0,56,7,1,0,5,0,9,3,0.5,1.5,,1
Elijah Mitchell,57272,HB,SF,1,6,1,1,39.0,16,0,41,0,0,1,18,50.0,2,2,28,0,5,70.6,71.9,0.0,,72.4,57.0,79.8,44.8,16,1,0,0,3,13,0,0,0,6,0,41,18,3.0,6.8,0.0,1
J.D. McKissic,11047,HB,WAS,2,6,1,0,0.0,0,0,17,0,0,1,12,12.5,0,2,32,0,0,74.6,61.4,80.0,,26.6,76.9,51.2,58.9,5,0,74,10,38,13,0,0,10,16,0,17,12,2.0,2.8,1.95,6
Tom Brady,698,QB,TB,2,5,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,30,1,0,45.5,71.7,81.6,75.5,,,32.1,60.0,0,0,0,0,0,63,0,0,0,5,0,-3,0,0.0,-0.6,,1
Trevor Lawrence,77632,QB,JAX,2,4,0,0,0.0,0,0,9,0,0,0,1,0.0,0,0,15,0,1,84.1,65.3,81.9,64.6,,,59.0,60.0,8,2,0,0,0,58,6,1,0,4,0,15,3,0.6,3.0,,2
Curtis Samuel,11795,WR,WAS,2,5,2,1,55.3,21,0,38,0,4,2,27,162.0,2,2,32,1,1,25.2,69.5,80.6,,,73.8,46.5,50.1,21,0,133,15,83,29,0,0,18,20,0,38,27,5.4,7.6,1.6,2
Justice Hill,45865,HB,BLT,2,5,0,0,0.0,0,0,19,0,0,0,13,0.0,1,1,3,0,2,70.9,58.9,77.0,,83.4,56.0,56.1,59.8,13,0,7,2,14,7,0,0,2,7,0,19,13,2.6,3.8,0.5,2
Patrick Mahomes,11765,QB,KC,2,2,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,1,16,1,0,83.9,69.9,14.0,71.1,,,52.3,60.0,4,1,0,0,0,39,5,2,0,2,0,4,0,0.0,1.0,,0
Dwayne Washington,10870,HB,NO,1,4,1,0,0.0,0,0,18,0,0,1,15,93.8,0,2,20,0,1,68.6,71.7,66.3,,,,69.0,,8,0,0,0,0,4,0,0,0,4,0,18,15,3.75,4.5,,3
D'Onta Foreman,11844,HB,CAR,2,4,1,0,0.0,0,0,14,0,0,1,11,68.8,0,0,5,0,1,68.6,52.4,68.7,,8.0,55.0,58.5,,7,0,0,0,6,4,0,0,0,4,0,14,11,2.75,3.5,0.0,3
Matt Ryan,4317,QB,IND,2,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,1,2,14,5,0,23.7,55.2,81.9,56.6,,,46.2,60.3,10,0,0,0,0,48,12,2,0,2,0,10,4,1.0,2.5,,1
Malik Willis,60341,QB,TEN,1,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,1,31,1,0,17.9,39.7,74.1,48.0,,,46.3,60.0,8,0,0,0,0,11,12,2,0,2,0,10,4,1.0,2.5,,2
Jimmy Garoppolo,8697,QB,SF,1,4,0,0,0.0,0,0,5,0,0,0,5,0.0,0,2,28,0,1,77.7,66.5,78.6,65.4,,,61.6,60.0,3,0,0,0,0,34,0,0,0,4,1,5,5,1.25,1.3,,1
Jared Goff,10635,QB,DET,2,3,1,0,0.0,0,0,-3,0,0,0,0,0.0,1,1,11,1,0,83.5,54.4,81.6,52.9,,,66.5,60.0,10,0,0,0,0,52,10,1,0,3,0,7,3,0.75,1.8,,0
Kenneth Walker III,97199,HB,SEA,1,4,4,0,0.0,0,0,10,0,0,4,17,283.3,0,1,29,0,1,70.0,63.1,72.2,,72.4,59.3,63.5,60.0,8,0,5,2,5,5,0,0,3,6,0,10,17,4.25,2.5,1.0,2
Davis Mills,52269,QB,HST,2,4,0,0,,0,0,0,0,0,0,2,0.0,0,0,13,3,0,50.8,62.1,81.6,61.1,,,61.5,60.0,2,1,0,0,0,42,0,0,0,4,0,0,2,0.5,0.0,,1
Nyheim Hines,48103,HB,IND,2,4,0,0,0.0,0,0,4,0,2,0,6,21.4,0,0,14,0,1,26.4,67.8,81.8,,,82.2,44.5,60.0,3,0,87,10,36,5,0,0,11,14,0,4,6,1.5,1.0,2.42,3
Mitchell Trubisky,11757,QB,PIT,2,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,1,25,0,0,83.6,62.2,14.5,62.3,,,61.6,60.0,7,1,0,0,0,41,17,3,0,1,0,16,3,0.75,4.0,,0
Craig Reynolds,94383,HB,DET,1,3,1,0,0.0,0,0,16,0,0,1,13,108.3,1,1,11,0,1,68.2,66.1,69.8,,,78.4,60.7,60.0,11,0,13,1,3,6,0,0,1,4,0,16,13,4.33,5.3,4.33,2
