"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Darrell Daniels","27","","","","","56.5","5","Christian Kirksey","192","10","0.17","80","0.9","55.7"
"Kyle Pitts","174","20","0.35","71","1.77","76.3","36","Brandon Jones","96","7","0.18","100","1.11","57.8"
"Mark Andrews","192","22","0.51","81","2.44","91.8","2","Logan Wilson","207","13","0.2","85","0.98","73.9"
"Tommy Tremble","74","9","0.18","43","0.57","57.2","-8","Reggie Ragland","93","12","0.14","73","0.58","62.7"
"Cole Kmet","135","16","0.2","64","0.96","58","-15","Devin White","227","18","0.31","80","1.13","46"
"C.J. Uzomah","151","11","0.32","88","1.09","62.1","-9","Chuck Clark","231","7","0.13","75","0.55","72.5"
"Austin Hooper","111","16","0.25","67","0.91","70.9","15","Justin Strnad","96","19","0.22","61","1.01","47"
"Noah Fant","196","21","0.38","73","1.39","60.9","-28","Sione Takitaki","32","16","0.1","60","0.03","69.8"
"T.J. Hockenson","224","19","0.34","74","1.39","72.9","1","Kenny Young","195","15","0.27","93","1.26","59.5"
"Robert Tonyan","142","13","0.18","61","0.65","48.4","14","Jamin Davis","98","9","0.16","100","0.66","50.6"
"Pharaoh Brown","79","18","0.24","64","1.3","63.2","-4","Isaiah Simmons","188","12","0.17","74","0.84","59.2"
"Jack Doyle","105","16","0.22","65","1.17","72.8","0","Azeez Al-Shaair","142","22","0.43","74","1.38","55.9"
"Travis Kelce","236","22","0.46","73","1.98","87.3","87","Rashaan Evans","125","11","0.17","79","0.82","29.9"
"Tyler Higbee","170","15","0.32","88","1.18","66.7","48","Alex Anzalone","173","10","0.21","82","0.91","38.7"
"Darren Waller","230","23","0.36","63","1.64","62.9","35","Eric Wilson","144","15","0.25","76","0.97","34.5"
"Mike Gesicki","190","22","0.37","73","1.8","71.1","16","Deion Jones","170","13","0.34","95","1.48","54.9"
"Hunter Henry","154","18","0.42","79","1.56","71.5","25","Quincy Williams","141","17","0.26","79","1.22","44.1"
"Adam Trautman","74","12","0.17","67","0.86","61.9","2","Jordyn Brooks","170","16","0.32","86","1.47","49.6"
"Evan Engram","131","15","0.2","74","0.97","53.4","-24","Julian Stanford","28","4","0.01","100","-0.25","67.1"
"Ryan Griffin","79","18","0.16","57","0.62","44.1","-36","Kyle Dugger","171","11","0.18","68","0.7","59.9"
"Dallas Goedert","124","15","0.39","79","1.74","75.2","9","Cory Littleton","183","20","0.3","86","1.28","55.6"
"Gerald Everett","90","11","0.31","100","1.3","62.9","-20","Pete Werner","87","14","0.14","75","0.4","76.1"
"Ross Dwelley","42","7","0.32","100","1.1","57.2","-27","Darius Leonard","197","13","0.25","69","0.93","76.6"
"O.J. Howard","64","19","0.41","83","1.56","53.5","27","Roquan Smith","190","15","0.21","75","1.03","57.6"
"Geoff Swaim","65","14","0.16","67","0.69","46.5","-30","Tyrann Mathieu","184","6","0.08","64","0.38","68.1"
"Ricky Seals-Jones","117","15","0.32","67","1.17","68","-1","Oren Burks","58","9","0.1","80","0.34","57.7"
