"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Dalvin Cook","MIN","rb","7","DET","19.4","0","0","0","0","0","0","18.4349","84.9927","0.7618","3.8011","3.2933","22.221","0.1324","0.2549","0.1274","0.0494","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Cooper Kupp","LA","wr","7","@ARZ","22.4","0","0","0","0","0","0","0.5214","2.7767","0.0158","10.1308","7.9188","96.7862","0.739","0.1112","0.0556","0.0252","17.0062","0.018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Christian McCaffrey","CAR","rb","13","NO","18.7","0","0","0","0","0","0","15.2427","64.7811","0.4081","5.9899","4.8996","38.9838","0.1687","0.1316","0.0658","0.0072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Justin Jefferson","MIN","wr","7","DET","21.6","0","0","0","0","0","0","0.3107","1.8619","0.0127","9.601","6.6322","102.5537","0.7382","0.0706","0.0353","0.0156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Joe Mixon","CIN","rb","10","@NYJ","18.3","0","0","0","0","0","0","18.8234","76.7825","0.6634","3.9851","3.369","23.5939","0.1558","0.1108","0.0554","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Saquon Barkley","NYG","rb","9","DAL","17.2","0","0","0","0","0","0","16.7166","69.8825","0.4926","4.7902","3.9034","26.3008","0.1323","0.183","0.0915","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Jonathan Taylor","IND","rb","14","KC","17","0","0","0","0","0","0","16.523","80.2205","0.6493","3.2715","2.7877","18.5305","0.0887","0.135","0.0675","0.0027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Leonard Fournette","TB","rb","11","GB","16.8","0","0","0","0","0","0","14.3796","60.5677","0.6339","4.1924","3.4886","25.5457","0.1459","0.0497","0.0248","0.0059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Austin Ekeler","LAC","rb","8","JAX","16.7","0","0","0","0","0","0","13.0242","56.1806","0.4728","4.5393","3.8964","29.6412","0.228","0.1413","0.0706","0.0334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Derrick Henry","TEN","rb","6","LV","16.6","0","0","0","0","0","0","20.8988","88.4874","0.7887","1.9402","1.6196","11.2975","0.052","0.2067","0.1033","0.0303","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
