"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_rec","A. Cooper","WR","CLV","PIT","2022-09-23T00:15:00Z","4.5","over","112","-0.01644528301886783","null","null","under","-149","-0.05365341365461851","null","null"
"recv_yd","A. Cooper","WR","CLV","PIT","2022-09-23T00:15:00Z","48.5","over","-113","-0.051676011059713534","null","null","under","-117","-0.01803216294419352","null","null"
"recv_yd","D. Bell","WR","CLV","PIT","2022-09-23T00:15:00Z","5.5","over","-120","0.08482789046983852","null","null","under","-110","-0.15408928330333765","null","null"
"recv_rec","D. Njoku","TE","CLV","PIT","2022-09-23T00:15:00Z","2.5","over","-140","-0.21561467879166663","null","null","under","105","0.14449035565853652","null","null"
"recv_yd","D. Njoku","TE","CLV","PIT","2022-09-23T00:15:00Z","25.5","over","-109","-0.04293872583569386","null","null","under","-122","-0.02811107966853499","null","null"
"recv_rec","D. Peoples-Jones","WR","CLV","PIT","2022-09-23T00:15:00Z","2.5","over","110","-0.10058776238571437","null","null","under","-147","0.029255216225505976","null","null"
"recv_yd","D. Peoples-Jones","WR","CLV","PIT","2022-09-23T00:15:00Z","28.5","over","-117","0.0019129153690781164","null","null","under","-115","-0.07593365365273697","null","null"
"recv_rec","H. Bryant","TE","CLV","PIT","2022-09-23T00:15:00Z","1.5","over","-110","-0.13900843136666663","null","null","under","-122","0.06564918971234235","null","null"
"recv_yd","H. Bryant","TE","CLV","PIT","2022-09-23T00:15:00Z","13.5","over","-123","-0.01266022161912106","null","null","under","-110","-0.06266994112776003","null","null"
"pass_att","J. Brissett","QB","CLV","PIT","2022-09-23T00:15:00Z","26.5","over","-126","-0.088366020522124","null","null","under","-107","0.013943068032174044","null","null"
"pass_comp","J. Brissett","QB","CLV","PIT","2022-09-23T00:15:00Z","17.5","over","104","-0.12734680091372552","null","null","under","-140","0.0538247048916668","null","null"
"pass_int","J. Brissett","QB","CLV","PIT","2022-09-23T00:15:00Z","0.5","over","107","-0.05359178743961346","null","null","under","-145","-0.021336734693877535","null","null"
"pass_td","J. Brissett","QB","CLV","PIT","2022-09-23T00:15:00Z","0.5","over","-274","-0.22661856211229947","null","null","under","191","0.15035512793814437","null","null"
"pass_yd","J. Brissett","QB","CLV","PIT","2022-09-23T00:15:00Z","182.5","over","-103","0.07419677054187168","null","null","under","-130","-0.14663912063478246","null","null"
"rush_yd","J. Brissett","QB","CLV","PIT","2022-09-23T00:15:00Z","12.5","over","-121","-0.1027856249745151","null","null","under","-111","0.02923630645733799","null","null"
"recv_rec","K. Hunt","RB","CLV","PIT","2022-09-23T00:15:00Z","2.5","over","-102","-0.16124867227722772","null","null","under","-131","0.0891983448398268","null","null"
"recv_yd","K. Hunt","RB","CLV","PIT","2022-09-23T00:15:00Z","17.5","over","-114","-0.05613788740512149","null","null","under","-118","-0.017820755378250897","null","null"
"rush_att","K. Hunt","RB","CLV","PIT","2022-09-23T00:15:00Z","9.5","over","-163","-0.30430836330776495","null","null","under","119","0.22792282899516986","null","null"
"rush_recv_yd","K. Hunt","RB","CLV","PIT","2022-09-23T00:15:00Z","64.5","over","-117","-0.08659934926850227","null","null","under","-115","0.012549756325370809","null","null"
"rush_yd","K. Hunt","RB","CLV","PIT","2022-09-23T00:15:00Z","43.5","over","-116","-0.11354516992818958","null","null","under","-114","0.04385896480694107","null","null"
