"","goal_scorers","odds","implied"
"1","Matthew Tkachuk",350,0.222
"2","Sergei Bobrovsky",475,0.174
"3","Jack Eichel",500,0.167
"4","Mark Stone",900,0.1
"5","Roope Hintz",1100,0.083
"6","Sebastian Aho",1400,0.067
"7","Joe Pavelski",1700,0.056
"8","Jake Oettinger",1700,0.056
"9","Aleksander Barkov",1800,0.053
"10","Frederik Andersen",2000,0.048
"11","Brent Burns",2500,0.038
"12","William Karlsson",2500,0.038
"13","Jason Robertson",2500,0.038
"14","Jonathan Marchessault",2500,0.038
"15","Carter Verhaeghe",2500,0.038
"16","Adin Hill",2500,0.038
"17","Miro Heiskanen",3000,0.032
"18","Brandon Montour",3000,0.032
"19","Martin Necas",3500,0.028
"20","Chandler Stephenson",4000,0.024
"21","Alex Pietrangelo",6000,0.016
"22","Jordan Martinook",6000,0.016
"23","Jaccob Slavin",7000,0.014
"24","Shea Theodore",7500,0.013
"25","Nick Cousins",7500,0.013
"26","Seth Jarvis",8000,0.012
"27","Jordan Staal",8000,0.012
