"","teams","lines","totals"
"1","Baylor",8.5,55.5
"2","Texas",-8.5,55.5
"3","Tulane",1,44.5
"4","Cincinnati",-1,44.5
"5","Utah State",17,51.5
"6","Boise State",-17,51.5
"7","Toledo",-8.5,51
"8","Western Michigan",8.5,51
"9","Central Michigan",1,54.5
"10","Eastern Michigan",-1,54.5
"11","Arizona State",4,66.5
"12","Arizona",-4,66.5
"13","North Carolina State",6.5,56.5
"14","North Carolina",-6.5,56.5
"15","Arkansas",-3.5,55.5
"16","Missouri",3.5,55.5
"17","New Mexico",7,36
"18","Colorado State",-7,36
"19","Nebraska",10.5,38.5
"20","Iowa",-10.5,38.5
"21","UCLA",-11,61.5
"22","California",11,61.5
"23","Florida",9.5,58
"24","Florida State",-9.5,58
"25","Wyoming",14.5,50
"26","Fresno State",-14.5,50
"27","Michigan",8,56
"28","Ohio State",-8,56
"29","South Carolina",14.5,52
"30","Clemson",-14.5,52
"31","West Virginia",7.5,62.5
"32","Oklahoma State",-7.5,62.5
"33","Army West Point",-19.5,45
"34","Massachusetts",19.5,45
"35","New Mexico State",24,50.5
"36","Liberty",-24,50.5
"37","Old Dominion",16,47.5
"38","South Alabama",-16,47.5
"39","Georgia Tech",36,49
"40","Georgia",-36,49
"41","Coastal Carolina",14.5,53
"42","James Madison",-14.5,53
"43","Georgia State",6,45.5
"44","Marshall",-6,45.5
"45","Western Kentucky",-7.5,61.5
"46","Florida Atlantic",7.5,61.5
"47","Kent State",3.5,52.5
"48","Buffalo",-3.5,52.5
"49","East Carolina",-10,52
"50","Temple",10,52
"51","Akron",10,53
"52","Northern Illinois",-10,53
"53","Rice",14,59
"54","North Texas",-14,59
"55","Louisville",2.5,43
"56","Kentucky",-2.5,43
"57","Oregon",-3,58.5
"58","Oregon State",3,58.5
"59","Auburn",22,49.5
"60","Alabama",-22,49.5
"61","Illinois",-14.5,38
"62","Northwestern",14.5,38
"63","UTEP",17,56
"64","UTSA",-17,56
"65","Purdue",-10.5,54
"66","Indiana",10.5,54
"67","Wake Forest",-3.5,66.5
"68","Duke",3.5,66.5
"69","Hawaii",15,57.5
"70","San Jose State",-15,57.5
"71","Minnesota",3.5,36
"72","Wisconsin",-3.5,36
"73","Memphis",4.5,69.5
"74","SMU",-4.5,69.5
"75","Troy",-13.5,45.5
"76","Arkansas State",13.5,45.5
"77","UAB",-17.5,55.5
"78","Louisiana Tech",17.5,55.5
"79","Iowa State",9.5,47.5
"80","TCU",-9.5,47.5
"81","Michigan State",19,53
"82","Penn State",-19,53
"83","Utah",-30,52
"84","Colorado",30,52
"85","Louisiana-Lafayette",-5.5,45
"86","Texas State",5.5,45
"87","Southern Mississippi",-3,50
"88","ULM",3,50
"89","Nevada",12,49
"90","UNLV",-12,49
"91","Middle Tennessee",-19.5,55
"92","FIU",19.5,55
"93","Appalachian State",-5,63.5
"94","Georgia Southern",5,63.5
"95","LSU",-10,47.5
"96","Texas A&M",10,47.5
"97","UCF",-19.5,68
"98","South Florida",19.5,68
"99","Notre Dame",5.5,64.5
"100","USC",-5.5,64.5
"101","Tennessee",-13.5,64
"102","Vanderbilt",13.5,64
"103","Syracuse",-10.5,47
"104","Boston College",10.5,47
"105","Tulsa",12,66.5
"106","Houston",-12,66.5
"107","Oklahoma",-2,63.5
"108","Texas Tech",2,63.5
"109","Kansas",12,62.5
"110","Kansas State",-12,62.5
"111","Pittsburgh",-6.5,43
"112","Miami FL",6.5,43
"113","Air Force",-1.5,42.5
"114","San Diego State",1.5,42.5
"115","Washington",-2,60
"116","Washington State",2,60
"117","BYU",-6.5,57.5
"118","Stanford",6.5,57.5
"119","Toledo",-5,55.5
"120","Ohio",5,55.5
"121","LSU",15,44.5
"122","Georgia",-15,44.5
"123","Clemson",-7.5,51.5
"124","North Carolina",7.5,51.5
"125","Fresno State",4.5,51
"126","Boise State",-4.5,51
