"","Name","ID","Salary","odds_rank","own"
"1","Jon Rahm",22311713,11300,1,0.6
"2","Tony Finau",22311714,10400,2,0.15
"3","Abraham Ancer",22311715,10300,2,0.2
"4","Kevin Na",22311716,10100,9,0
"5","Patrick Reed",22311717,10000,10,0
"6","Gary Woodland",22311718,9900,4,0.3
"7","Sebastian Munoz",22311719,9800,7,0.1
"8","Cameron Tringale",22311720,9700,8,0.05
"9","Chris Kirk",22311721,9600,6,0.25
"10","Aaron Wise",22311722,9500,5,0.35
"11","Cameron Champ",22311723,9400,11,0
"12","Brendon Todd",22311724,9300,29,0
"13","Russell Knox",22311725,9200,15,0
"14","Kevin Streelman",22311726,9100,18,0
"15","Matt Jones",22311727,9000,13,0
"16","Doug Ghim",22311728,8900,17,0
"17","Sahith Theegala",22311729,8800,24,0
"18","Aaron Rai",22311730,8700,20,0
"19","Carlos Ortiz",22311731,8600,22,0
"20","Davis Riley",22311732,8500,16,0.05
"21","Charles Howell III",22311733,8400,12,0.2
"22","Lanto Griffin",22311734,8300,24,0
"23","Taylor Moore",22311735,8200,26,0
"24","C.T. Pan",22311736,8100,21,0.1
"25","Mark Hubbard",22311737,8000,20,0.25
"26","Chad Ramey",22311738,7900,37,0
"27","Anirban Lahiri",22311739,7900,32,0
"28","Adam Long",22311740,7800,14,0.3
"29","Austin Smotherman",22311741,7800,33,0
"30","Scott Stallings",22311742,7700,27,0.05
"31","David Lipsky",22311743,7700,43,0
"32","Patrick Rodgers",22311744,7600,35,0
"33","Wyndham Clark",22311745,7600,24,0.2
"34","J.T. Poston",22311746,7500,28,0.15
"35","Pat Perez",22311747,7500,32,0.05
"36","Nate Lashley",22311748,7500,48,0
"37","Alex Smalley",22311750,7400,30,0.25
"38","Rafa Cabrera Bello",22311751,7400,73,0
"39","Brandon Wu",22311752,7300,56,0
"40","Adam Svensson",22311753,7300,37,0.2
"41","Greyson Sigg",22311754,7300,37,0.2
"42","Brian Stuard",22311755,7300,68,0
"43","Emiliano Grillo",22311756,7200,50,0
"44","Tyler Duncan",22311757,7200,40,0.2
"45","Scott Piercy",22311758,7200,59,0
"46","Michael Thompson",22311759,7200,44,0
"47","Kramer Hickok",22311760,7200,42,0.15
"48","Graeme McDowell",22311761,7100,59,0
"49","Kurt Kitayama",22311762,7100,56,0
"50","Nick Taylor",22311763,7100,44,0.2
"51","Danny Lee",22311764,7100,41,0.15
"52","Chase Seiffert",22311765,7100,49,0
"53","Joseph Bramlett",22311766,7100,46,0
"54","Peter Uihlein",22311768,7000,66,0
"55","Andrew Putnam",22311769,7000,34,0.2
"56","John Huh",22311770,7000,62,0
"57","Matt Wallace",22311771,7000,70,0
"58","Robert Streb",22311772,7000,52,0.2
"59","Kiradech Aphibarnrat",22311773,6900,61,0.1
"60","Ben Martin",22311774,6900,98,0
"61","Peter Malnati",22311775,6900,48,0.15
"62","Adam Schenk",22311776,6900,70,0
"63","Ryan Armour",22311777,6900,54,0.15
"64","Lee Hodges",22311778,6900,55,0.15
"65","Vaughn Taylor",22311779,6900,64,0.1
"66","Hayden Buckley",22311781,6800,74,0
"67","Luke Donald",22311782,6800,70,0.1
"68","Justin Lower",22311783,6800,84,0
"69","James Hahn",22311784,6800,54,0.15
"70","Trey Mullinax",22311785,6800,78,0
"71","Chez Reavie",22311786,6800,94,0
