"","G","G","G","G","G","G"
"1",22311713,22311718,22311740,22311764,22311769,22311784
"2",22311713,22311718,22311740,22311760,22311769,22311784
"3",22311713,22311718,22311740,22311763,22311769,22311775
"4",22311713,22311718,22311740,22311764,22311769,22311778
"5",22311713,22311718,22311740,22311753,22311775,22311784
"6",22311713,22311718,22311740,22311757,22311775,22311777
"7",22311713,22311715,22311750,22311764,22311772,22311777
"8",22311713,22311715,22311750,22311757,22311777,22311778
"9",22311713,22311715,22311750,22311757,22311772,22311782
"10",22311713,22311715,22311753,22311757,22311772,22311778
"11",22311713,22311714,22311750,22311763,22311772,22311782
"12",22311713,22311714,22311750,22311763,22311773,22311779
"13",22311714,22311722,22311737,22311745,22311753,22311760
"14",22311721,22311722,22311733,22311737,22311745,22311773
"15",22311721,22311722,22311733,22311737,22311745,22311779
"16",22311721,22311722,22311733,22311745,22311746,22311753
"17",22311721,22311722,22311733,22311737,22311754,22311760
"18",22311721,22311722,22311736,22311737,22311746,22311754
"19",22311719,22311722,22311736,22311742,22311746,22311754
"20",22311719,22311720,22311732,22311747,22311754,22311763
