Jon Rahm,463,499
Tony Finau,2252,2281
Abraham Ancer,2185,2307
Aaron Wise,2999,3006
Gary Woodland,2300,2338
Chris Kirk,3077,3253
Sebastian Munoz,3239,3328
Kevin Na,3627,3829
Cameron Tringale,3605,3816
Charles Howell III,5267,5605
Adam Long,5429,5709
Russell Knox,5438,5791
Matt Jones,5326,5664
Patrick Reed,4202,3870
Doug Ghim,5656,6020
Kevin Streelman,5727,6100
Mark Hubbard,5924,6308
C.T. Pan,6512,6931
Lanto Griffin,7125,7563
Taylor Moore,7250,7707
Aaron Rai,5944,6287
Carlos Ortiz,7123,5878
J.T. Poston,8219,8726
Scott Stallings,8219,8568
Alex Smalley,8377,8894
Brendon Todd,8447,8447
Anirban Lahiri,8810,8810
Pat Perez,8810,8810
Andrew Putnam,9587,9587
Sahith Theegala,7253,7253
Greyson Sigg,9807,9807
Tyler Duncan,10150,10150
Vincent Whaley,10150,10150
Adam Svensson,9807,9807
Danny Lee,10651,10651
Cameron Champ,4524,4524
Kramer Hickok,11060,11060
Patrick Rodgers,9750,9750
Wyndham Clark,7238,7238
David Lipsky,11822,11822
Michael Thompson,12153,12153
Nick Taylor,12153,12153
Joseph Bramlett,12320,12320
Nate Lashley,12504,12504
Peter Malnati,12504,12504
Chase Seiffert,12685,12685
Chad Ramey,9836,9836
Roger Sloan,13069,13069
Robert Streb,13265,13265
Davis Riley,5702,5702
James Hahn,13466,13466
Ryan Armour,13466,13466
Lee Hodges,14856,14856
Hank Lebioda,15381,15381
Scott Piercy,15381,15381
Austin Smotherman,9478,9478
Andrew Novak,16544,16544
John Huh,16544,16544
Dylan Wu,16871,16871
Vaughn Taylor,16871,16871
Peter Uihlein,17203,17203
Brian Stuard,17912,17912
Adam Schenk,18677,18677
Kevin Tway,18677,18677
Luke Donald,18677,18677
Kevin Chappell,9993,9993
Rafa Cabrera Bello,19517,19517
Hayden Buckley,19961,19961
Brice Garnett,20430,20430
Callum Tarren,20430,20430
Trey Mullinax,21428,21428
Emiliano Grillo,13140,13140
Bill Haas,23129,23129
Nick Hardy,23129,23129
Scott Gutschewski,23752,23752
Justin Lower,24418,24418
Ben Kohles,25120,25120
Kiradech Aphibarnrat,16418,16418
Stephan Jaeger,26647,26647
Wesley Bryan,26647,26647
Brandon Wu,14939,14939
Seung-Yul Noh,30336,30336
Graeme McDowell,15241,15241
Jonathan Byrd,31425,31425
Richy Werenski,31425,31425
Scott Brown,31425,31425
Chez Reavie,33850,33850
Jared Wolfe,33850,33850
Bo Hoag,35204,35204
Ben Martin,38276,38276
David Skinns,40019,40019
Kurt Kitayama,15107,15107
Brandon Hagy,17409,17409
Max McGreevy,41930,41930
Paul Barjon,21659,21659
Seth Reeves,41930,41930
Matt Wallace,18786,18786
Camilo Villegas,48936,48936
Aaron Baddeley,51821,51821
Patrick Flavin,51821,51821
Michael Gligic,55064,55064
Satoshi Kodaira,29593,29593
Curtis Thompson,58739,58739
Turk Pettit,58739,58739
Austin Cook,62941,62941
Ben Griffin,21003,21003
David Lingmerth,62941,62941
Bryson Nimmer,67789,67789
Ryan Blaum,67789,67789
Jason Dufner,61074,61074
Martin Trainer,73446,73446
Roberto Diaz,27599,27599
Fabian Gomez,80130,80130
Joshua Creel,80130,80130
Bo Van Pelt,88152,88152
Brett Drewitt,88152,88152
Kelly Kraft,88152,88152
Sung Kang,23338,23338
Jim Knous,125945,125945
Greg Chalmers,146930,146930
Johnson Wagner,176296,176296
Robert Garrigus,35727,35727
Alvaro Ortiz,293632,293632
Ben Crane,293632,293632
David Hearn,293632,293632
Grayson Murray,293632,293632
Arjun Atwal,439991,439991
D.J. Trahan,439991,439991
Armando Favela,876909,876909
D.A. Points,876909,876909
Isidro Benitez,876909,876909
Jeffrey Kang,876909,876909
Jonas Blixt,876909,876909
Jose Antonio Safa,876909,876909
Jose Cristobal Islas,876909,876909
Manuel Inman,876909,876909
Mark Hensby,43630,43630
Matt Every,876909,876909
Ricky Barnes,876909,876909
Sangmoon Bae,876909,876909
Santiago De La Feunte,876909,876909
Tommy Gainey,876909,876909
