player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
David Blough,46508,QB,DET,3,8.36,0,93,11,66.7,75,77,9.1,2.8,1,1,1.2,61.0,47,25,6.0,88,94.6,3,28,,28.1,58.4,81.6,58.2,,58.1,0,1,92,16.0,76.5,4.5,4,7,0,1,2,2,2.2,376,4.9,64.7,68,69,8.9,2.53,1,1,1.4,60.9,42,19,4.5,75,80.6,2,23,,47.7,54.3,81.2,59.6,,28.9,0,1,79,21.1,74.9,5.3,4,2,0,0,2,1,1.3,306,4.4,91.7,12,13,5.0,3.66,0,0,0.0,69.2,9,6,18.2,18,19.4,2,5,,22.4,74.8,74.3,56.0,,88.3,0,0,18,0.0,82.5,0.0,0,5,0,1,0,1,5.6,71,5.5,0,100.0,5,5,-3.0,1.78,0,0,0.0,80.0,4,0,20.0,5,5.4,1,0,,68.0,64.9,69.9,64.4,,,0,0,5,,79.2,0.0,0,0,0,0,0,0,0.0,1,0.2,1.03
Trace McSorley,32819,QB,ARZ,3,15.92,0,93,1,60.6,71,75,10.7,2.82,1,2,2.5,54.7,41,25,4.7,83,89.2,2,27,,84.7,56.5,81.8,56.5,,57.1,1,2,90,12.0,68.8,3.6,3,5,0,2,1,5,5.6,500,6.7,61.7,60,67,9.1,2.68,4,2,2.8,50.7,34,23,8.1,73,78.5,3,21,,83.9,53.3,81.5,52.2,,60.2,1,2,79,8.7,57.4,2.7,2,4,0,2,0,5,6.3,409,6.1,66.7,18,18,10.2,2.79,0,0,0.0,66.7,12,3,0.0,20,21.5,0,7,,75.4,65.3,74.9,67.0,,56.3,0,0,21,33.3,105.3,5.0,1,1,0,0,1,0,0.0,126,7.0,0,85.7,7,10,-4.1,1.79,3,0,0.0,50.0,5,1,16.7,10,10.8,1,1,,71.4,55.6,72.3,55.7,,,0,0,10,0.0,58.3,0.0,0,0,0,0,0,0,0.0,35,3.5,0.9
Sam Howell,97599,QB,WAS,3,16.51,0,88,32,73.3,60,65,11.3,3.14,2,2,2.9,64.6,42,39,4.5,84,95.5,2,25,,84.3,71.5,19.7,64.3,,85.9,2,1,87,23.1,89.6,10.7,9,10,0,1,1,3,3.4,545,8.4,69.4,49,53,11.2,3.18,2,2,3.5,58.5,31,32,8.8,69,78.4,3,20,,83.2,71.0,13.5,62.4,,88.5,1,1,73,21.9,80.1,10.1,7,9,0,1,1,3,4.1,393,7.4,80.0,15,16,7.6,2.68,0,0,0.0,75.0,12,7,0.0,19,21.6,0,5,,75.1,62.3,74.7,63.4,,58.3,1,0,20,28.6,104.2,10.5,2,1,0,0,0,0,0.0,152,9.5,0,50.0,4,4,-4.0,1.6,0,0,0.0,25.0,1,0,50.0,4,4.5,1,0,,68.9,52.1,70.6,52.6,,,0,0,6,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,2.08
Davis Webb,11842,QB,NYG,3,-14.33,0,85,21,80.9,68,73,6.9,3.01,3,1,1.3,74.0,54,32,1.8,77,90.6,1,23,,83.7,69.5,81.2,69.9,,55.9,1,0,81,0.0,102.0,0.0,0,4,0,1,3,1,1.2,430,5.9,87.0,54,59,5.2,2.64,4,0,0.0,78.0,46,25,2.1,60,70.6,1,19,,82.1,71.3,80.6,71.2,,56.1,0,0,63,0.0,108.0,0.0,0,1,0,1,3,0,0.0,345,5.8,70.0,20,22,8.6,3.33,1,1,4.3,63.6,14,9,0.0,25,29.4,0,5,,76.8,62.2,75.8,62.8,,58.4,1,0,27,0.0,76.3,0.0,0,3,0,0,0,1,3.7,112,5.1,0,100.0,6,8,-2.2,1.21,2,0,0.0,75.0,6,2,0.0,8,9.4,0,1,,70.9,62.4,71.9,62.1,,,0,0,9,0.0,78.6,0.0,0,0,0,0,0,0,0.0,27,3.4,-0.76
Ian Book,40216,QB,NO,3,-0.42,0,84,20,75.5,53,58,6.5,3.13,0,2,3.2,60.3,35,30,12.5,77,91.7,5,24,,84.1,73.9,82.4,70.7,,69.6,0,2,83,26.7,69.2,10.4,8,11,1,4,2,1,1.2,274,4.7,75.0,48,51,6.0,2.98,0,2,3.7,64.7,33,25,8.3,68,81.0,3,21,,83.2,76.6,82.1,73.0,,71.2,0,2,72,28.0,72.0,10.3,7,10,1,2,2,1,1.4,236,4.6,91.7,12,14,2.4,3.29,0,0,0.0,64.3,9,5,18.2,16,19.0,2,5,,74.8,59.3,74.5,60.6,,58.3,0,0,19,20.0,79.2,6.3,1,1,0,2,0,0,0.0,79,5.6,0,100.0,7,7,-3.6,1.99,0,0,0.0,100.0,7,0,0.0,7,8.3,0,2,,70.3,66.6,71.5,66.0,,,0,0,8,,91.1,0.0,0,0,0,0,0,0,0.0,41,5.9,1.01
Jordan Love,40306,QB,GB,3,10.43,0,81,12,64.6,65,66,10.7,2.77,1,5,7.1,50.0,33,16,21.4,73,90.1,9,19,,83.6,62.9,81.8,61.6,,62.1,0,4,78,12.5,57.6,2.7,2,5,0,0,3,3,3.8,380,5.8,63.6,55,55,9.8,2.58,0,3,5.2,52.7,29,11,17.1,61,75.3,6,13,,82.4,53.5,81.4,52.7,,58.2,0,4,64,9.1,57.0,1.6,1,5,0,0,3,3,4.7,305,5.5,83.3,18,19,7.6,2.8,1,2,10.0,63.2,12,5,20.0,20,24.7,3,8,,75.6,85.8,75.0,82.0,,64.0,0,0,22,20.0,83.7,5.0,1,0,0,0,0,0,0.0,132,6.9,0,100.0,8,8,-2.9,1.38,0,0,0.0,100.0,8,0,0.0,8,9.9,0,2,,70.3,66.8,71.5,66.2,,,0,0,8,,96.4,0.0,0,0,0,0,0,0,0.0,57,7.1,1.4
Bailey Zappe,60396,QB,NE,3,40.0,0,75,19,74.2,62,67,10.2,2.62,2,2,2.9,61.2,41,23,10.9,71,94.7,5,21,,83.2,64.7,81.3,62.9,,65.3,0,3,72,13.0,67.0,4.2,3,1,0,3,1,2,2.8,444,6.6,73.3,60,65,9.8,2.59,2,2,3.0,60.0,39,22,11.4,69,92.0,5,19,,83.0,61.8,81.3,60.0,,65.3,0,3,70,13.6,64.1,4.3,3,1,0,3,1,2,2.9,407,6.3,100.0,6,6,5.7,2.23,0,0,0.0,100.0,6,1,0.0,6,8.0,0,3,,68.9,79.8,70.6,78.1,,,0,0,6,0.0,104.9,0.0,0,0,0,0,0,0,0.0,55,9.2,0,100.0,4,4,-1.8,1.6,0,0,0.0,100.0,4,0,0.0,4,5.3,0,1,,66.9,64.7,69.2,64.2,,,0,0,4,,85.4,0.0,0,0,0,0,0,0,0.0,18,4.5,2.91
Kyle Trask,39987,QB,TB,3,-41.67,0,74,30,72.2,54,58,10.6,2.61,2,5,8.5,60.3,35,19,10.3,65,87.8,4,17,,42.1,75.4,81.5,74.8,,56.8,0,2,68,36.8,73.6,10.8,7,0,1,1,1,2,2.9,415,7.2,78.0,59,63,7.8,2.41,2,5,7.8,66.7,42,18,8.7,70,94.6,4,18,,44.6,80.5,81.6,79.8,,56.8,0,2,73,38.9,79.6,10.0,7,0,1,1,1,1,1.4,452,7.2,25.0,4,4,21.8,3.33,0,0,0.0,25.0,1,1,0.0,4,5.4,0,1,,66.9,31.2,69.2,33.7,,,0,0,4,0.0,39.6,0.0,0,0,0,0,0,1,25.0,5,1.3,0,88.9,9,9,-2.9,1.43,0,0,0.0,88.9,8,0,0.0,9,12.2,0,2,,70.9,61.7,71.9,61.4,,,0,0,9,,86.1,0.0,0,0,0,0,0,0,0.0,42,4.7,-5.92
Malik Willis,60341,QB,TEN,3,-0.45,0,71,31,65.9,44,48,10.5,3.75,0,1,2.0,52.1,25,33,13.8,66,93.0,4,21,,82.8,63.1,81.3,54.6,,79.2,1,1,69,24.2,76.8,12.1,8,10,0,3,2,1,1.4,301,6.3,64.9,37,40,8.1,3.66,0,0,0.0,55.0,22,26,8.3,51,71.8,2,14,,81.4,52.6,80.9,49.5,,61.9,0,1,54,15.4,75.2,7.8,4,7,0,3,2,1,1.9,202,5.1,80.0,10,11,14.5,3.87,0,1,8.3,54.5,6,9,25.0,20,28.2,2,8,,75.4,85.8,74.9,68.8,,91.0,1,0,21,55.6,91.5,25.0,5,4,0,0,0,0,0.0,116,10.5,0,100.0,3,3,-5.0,3.38,0,0,0.0,100.0,3,2,0.0,5,7.0,0,1,,68.9,62.8,70.6,60.9,,61.8,0,0,6,50.0,90.3,20.0,1,1,0,0,0,0,0.0,17,5.7,5.5
Jake Browning,46401,QB,CIN,3,-24.65,0,71,7,78.6,56,61,9.6,3.07,1,2,2.9,67.2,41,27,6.8,68,95.8,3,27,,45.0,76.4,80.8,74.7,,64.7,1,0,75,7.4,94.4,2.9,2,5,0,3,1,1,1.3,452,7.4,82.0,50,55,8.5,3.03,1,2,3.4,69.1,38,21,7.3,61,85.9,3,23,,39.4,76.9,80.4,74.5,,67.4,1,0,64,9.5,95.9,3.3,2,4,0,3,1,1,1.6,398,7.2,57.1,7,9,15.3,3.07,0,0,0.0,44.4,4,7,0.0,10,14.1,0,4,,73.2,64.2,73.5,65.2,,58.3,0,0,14,0.0,64.1,0.0,0,1,0,2,0,0,0.0,54,6.0,0,100.0,1,3,-2.0,2.3,0,0,0.0,33.3,1,1,0.0,3,4.2,0,0,,65.5,56.3,68.2,56.6,,,0,0,3,0.0,42.4,0.0,0,0,0,2,0,0,0.0,0,0.0,-1.24
