player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1210,,,G,Peter Malnati,39.96,0.84,31.84,67,21,0,0,6300,,34908,1210
1496,,,G,Scottie Scheffler,84.16,14.7,93.36,103,65.5,0,0,10600,,35127,1496
2024,,,G,Max Homa,63.15,10.1,74.37,86,27,0,0,7900,,36137,2024
2145,,,G,Chesson Hadley,34.67,1.6,34.14,61,19.5,0,0,6400,,34879,2145
2167,,,G,J.J. Spaun,45.8,0.52,38.55,72,22.5,0,0,6300,,36093,2167
1760,,,G,Tom Hoge,48.68,9.5,55.28,74,23,0,0,6700,,34888,1760
300102,,,G,Collin Morikawa,61.68,10.1,74.03,83.5,26.5,0,0,8300,,36083,300102
1112,,,G,Robert Streb,41.14,0.12,29.27,67.5,21.5,0,0,6100,,34814,1112
2168,,,G,Kevin Tway,36.2,0.15,21.82,63,20,0,0,6000,,35139,2168
1860,,,G,Corey Conners,68.15,18.1,79.64,89,28.65,0,0,7700,,37123,1860
2125,,,G,Tony Finau,74.5,19.7,84.12,93.5,54,0,0,10000,,34873,2125
2158,,,G,Lucas Glover,47.1,0.69,40.36,73.5,23,0,0,6300,,34876,2158
700009,,,G,Joohyung Kim,62.06,16.1,73.87,84.5,27,0,0,8500,,2087790,700009
696566,,,G,Brandon Wu,44.45,2.5,36.4,70.5,22.5,0,0,6700,,1074861,696566
1883,,,G,Danny Lee,41.3,0.14,35.86,68,22,0,0,6000,,34784,1883
1663,,,G,Chez Reavie,45.97,3.9,49.77,72.5,22.5,0,0,7200,,34927,1663
1356,,,G,Tyrrell Hatton,59.54,10.7,67.95,82.5,26,0,0,7800,,35279,1356
404847,,,G,Sahith Theegala,55.26,4.7,48.58,79,25,0,0,7600,,37149,404847
670398,,,G,Greyson Sigg,45.05,0.21,33.89,71,22.5,0,0,6100,,37979,670398
1961,,,G,Scott Stallings,55.02,13.2,64.88,79.5,25,0,0,7500,,34999,1961
1653,,,G,C.T. Pan,49.22,0.74,47.37,74,24,0,0,6400,,35389,1653
1554,,,G,Kevin Streelman,53.85,2.7,52.37,79,24.5,0,0,6700,,34815,1554
1115,,,G,Nick Watney,26.67,0.08,20.73,33,16.5,0,0,6000,,36095,1115
1478,,,G,Jhonattan Vegas,53.34,0.88,52.92,78.5,24.5,0,0,6900,,35007,1478
1005,,,G,Stewart Cink,46.02,0.63,47.98,72,22.5,0,0,6600,,34863,1005
698823,,,G,Vince Whaley,45.23,0.57,29.76,71,22.5,0,0,6300,,1266432,698823
320038,,,G,Sebastian Munoz,57.17,3.5,62.29,81.5,25.5,0,0,7100,,36138,320038
1654,,,G,Russell Henley,64.67,16.5,78.34,86.5,27.5,0,0,8400,,34884,1654
1237,,,G,Rickie Fowler,41.69,1.1,32.06,68.5,22,0,0,6400,,34760,1237
670620,,,G,Sungjae Im,71.49,22.5,82.26,92,31.15,0,0,8800,,382250,670620
1941,,,G,Matthew NeSmith,48.16,1.7,46.37,73,23.5,0,0,6700,,35080,1941
1842,,,G,Tyler Duncan,45.31,0.3,39.6,72,22.5,0,0,6200,,37911,1842
696569,,,G,Cameron Young,65.67,13.5,80.65,87,28,0,0,9400,,1074862,696569
1622,,,G,Joel Dahmen,44.58,0.56,39.94,70.5,22.5,0,0,6400,,36136,1622
1655,,,G,James Hahn,42.91,0.71,33.54,69,22,0,0,6200,,34881,1655
1216,,,G,Russell Knox,45.37,0.87,47.4,71,23,0,0,6500,,34778,1216
1579,,,G,Will Zalatoris,70.83,18.6,86.12,91.5,30,0,0,9200,,35055,1579
1018,,,G,Denny McCarthy,48.88,1.3,61.63,74,23.5,0,0,7200,,35117,1018
692005,,,G,Adam Long,48.64,2.6,52.9,73.35,24,0,0,6600,,565464,692005
671028,,,G,Mito Pereira,63.32,7.2,74.39,86,27,0,0,7400,,278841,671028
1799,,,G,Adam Hadwin,56.73,0.9,60.3,80,25.5,0,0,7100,,34880,1799
1689,,,G,Beau Hossler,38.17,0.73,30.75,65,20.5,0,0,6100,,36293,1689
2119,,,G,Chad Ramey,39.64,0.22,30.05,65.5,21.5,0,0,6000,,3083529,2119
330678,,,G,Cameron Davis,56.57,8.4,56.28,80.85,25.5,0,0,7600,,36131,330678
1701,,,G,Justin Thomas,81.86,18.4,90.34,100.5,64,0,0,9800,,34818,1701
1514,,,G,Trey Mullinax,46.56,3.2,32.29,72,23,0,0,6600,,36084,1514
690049,,,G,Viktor Hovland,64.75,14.8,77.91,86.5,27.5,0,0,8700,,658704,690049
190,,,G,Harold Varner III,61.24,6.6,66.89,84,26.5,0,0,7300,,34947,190
1625,,,G,Davis Riley,59.97,10.5,67.94,83,26.5,0,0,7700,,1000174,1625
1438,,,G,Brendon Todd,46.91,1.5,53.92,73,23,0,0,7200,,34943,1438
1449,,,G,Cameron Tringale,55.87,1.1,61.35,80,25,0,0,7100,,35004,1449
165746,,,G,Taylor Moore,51.09,8.4,44.72,76,24,0,0,7400,,35323,165746
692426,,,G,Hayden Buckley,46.44,1.8,39.49,72.5,23,0,0,6300,,1694130,692426
1802,,,G,Taylor Pendrith,64.32,13.4,67.33,86.5,27.5,0,0,7800,,2216233,1802
1725,,,G,Billy Horschel,63.6,12.4,73.29,85.5,27.5,0,0,7900,,34768,1725
185304,,,G,Seamus Power,62.09,5.8,69.62,84.5,27,0,0,7300,,35404,185304
670625,,,G,Doug Ghim,43.51,0.54,34.22,69.5,22,0,0,6200,,201095,670625
353925,,,G,Aaron Rai,51.07,0.82,49.41,76,24,0,0,7100,,37143,353925
1914,,,G,Maverick McNealy,53.95,2.1,50.62,78.5,24.5,0,0,6900,,37136,1914
