,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Delaware,2022-03-07 18:00:00,180,36.00,5.0,18.18,136.5,19.05,34.2,65.8,70.8
Towson,2022-03-07 18:00:00,-220,9.09,-5.0,18.18,136.5,17.39,65.8,70.8,65.8
Louisiana-Lafayette,2022-03-07 19:00:00,130,26.00,2.5,20.00,133.5,19.05,42.0,65.5,68.0
Georgia State,2022-03-07 19:00:00,-150,13.33,-2.5,16.67,133.5,17.39,58.0,68.0,65.5
Wright State,2022-03-07 19:00:00,-110,18.18,1.0,17.39,146.0,16.67,50.0,72.5,73.5
Cleveland State,2022-03-07 19:00:00,-110,18.18,-1.0,19.05,146.0,20.00,50.0,73.5,72.5
South Dakota,2022-03-07 19:00:00,300,60.00,9.0,18.18,152.0,16.67,23.8,71.5,80.5
South Dakota State,2022-03-07 19:00:00,-400,5.00,-9.0,18.18,152.0,20.00,76.2,80.5,71.5
Furman,2022-03-07 19:00:00,120,24.00,2.5,18.18,135.0,16.67,43.8,66.3,68.8
Chattanooga,2022-03-07 19:00:00,-140,14.29,-2.5,18.18,135.0,20.00,56.2,68.8,66.3
College of Charleston,2022-03-07 20:30:00,-120,16.67,-1.5,18.18,148.5,18.18,52.2,75.0,73.5
UNC-Wilmington,2022-03-07 20:30:00,100,20.00,1.5,18.18,148.5,18.18,47.8,73.5,75.0
San Francisco,2022-03-07 21:00:00,650,130.00,14.0,18.18,154.0,18.18,12.8,70.0,84.0
Gonzaga,2022-03-07 21:00:00,-1000,2.00,-14.0,18.18,154.0,18.18,87.2,84.0,70.0
Northern Kentucky,2022-03-07 21:30:00,-125,16.00,-2.0,19.05,134.5,18.18,53.2,68.3,66.3
IPFW,2022-03-07 21:30:00,105,21.00,2.0,17.39,134.5,18.18,46.8,66.3,68.3
Oral Roberts,2022-03-07 21:30:00,-110,18.18,-1.0,19.05,151.0,18.18,50.0,76.0,75.0
North Dakota State,2022-03-07 21:30:00,-110,18.18,1.0,17.39,151.0,18.18,50.0,75.0,76.0
Santa Clara,2022-03-07 23:30:00,190,38.00,5.5,18.18,138.0,18.18,33.0,66.3,71.8
St. Mary's (CAL),2022-03-07 23:30:00,-235,8.51,-5.5,18.18,138.0,18.18,67.0,71.8,66.3
