player_name,sample_size,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Rahm, Jon",150,pga,1,0,1,0,null
"Cantlay, Patrick",150,pga,2,0,4,0,null
"Thomas, Justin",150,pga,3,0,7,0,null
"Smith, Cameron",150,pga,4,2,9,2,null
"Berger, Daniel",150,pga,5,-1,19,-3,null
"Hovland, Viktor",150,pga,6,-1,3,0,null
"McIlroy, Rory",150,pga,7,0,6,0,null
"Johnson, Dustin",150,pga,8,0,5,0,null
"Im, Sungjae",150,pga,9,0,23,0,null
"Scheffler, Scottie",150,pga,10,2,15,-1,null
"Burns, Sam",150,pga,11,2,14,-1,null
"Schauffele, Xander",150,pga,12,-2,8,0,null
"Matsuyama, Hideki",150,pga,13,1,10,0,null
"Morikawa, Collin",150,pga,14,1,2,0,null
"DeChambeau, Bryson",150,pga,15,-4,11,-2,null
"Henley, Russell",150,pga,16,0,40,0,null
"Gooch, Talor",150,pga,17,1,33,0,null
"Oosthuizen, Louis",150,pga,18,1,12,0,null
"Fitzpatrick, Matthew",150,pga,19,18,25,0,null
"Simpson, Webb",150,pga,20,1,30,0,null
"Power, Seamus",150,pga,21,8,46,4,null
"Hatton, Tyrrell",150,pga,22,-5,21,0,null
"Garcia, Sergio",150,pga,23,-3,50,-5,null
"Scott, Adam",150,pga,24,0,49,-6,null
"Lowry, Shane",150,pga,25,2,48,-1,null
"Zalatoris, Will",150,pga,26,2,29,0,null
"Casey, Paul",150,pga,27,-4,27,0,null
"Spieth, Jordan",150,pga,28,16,13,2,null
"Conners, Corey",150,pga,29,1,42,0,null
"Niemann, Joaquin",150,pga,30,5,32,0,null
"Na, Kevin",150,pga,31,-5,28,0,null
"Varner III, Harold",150,pga,32,16,45,54,null
"Ancer, Abraham",150,pga,33,8,17,3,null
"List, Luke",150,pga,34,-1,59,-3,null
"Hughes, Mackenzie",150,pga,35,5,51,-3,null
"Hoge, Tom",150,pga,36,21,39,29,null
"Rose, Justin",150,pga,37,-12,47,-8,null
"Leishman, Marc",150,pga,38,-7,35,0,null
"Wise, Aaron",150,pga,39,-3,79,-3,null
"McNealy, Maverick",150,pga,40,-6,76,-4,null
"Finau, Tony",150,pga,41,-9,18,-1,null
"Fleetwood, Tommy",150,pga,42,1,43,3,null
"Horschel, Billy",150,pga,43,-5,22,2,null
"Tringale, Cameron",150,pga,44,-22,52,-3,null
"Griffin, Lanto",150,pga,45,0,88,-2,null
"Pieters, Thomas",150,euro,46,-7,31,0,null
"McCarthy, Denny",150,pga,47,9,149,10,null
"Vegas, Jhonattan",150,pga,48,4,85,6,null
"Bezuidenhout, Christiaan",150,pga,49,5,53,2,null
"Watson, Bubba",150,pga,50,48,60,45,null
"English, Harris",150,pga,51,-4,16,3,null
"Kokrak, Jason",150,pga,52,-10,24,-2,null
"Koepka, Brooks",150,pga,53,-4,20,-2,null
"Van Rooyen, Erik",150,pga,54,-3,63,-3,null
"Day, Jason",150,pga,55,4,87,-4,null
"Merritt, Troy",150,pga,56,18,103,16,null
"Hoffman, Charley",150,pga,57,13,92,-7,null
"Moore, Taylor",150,kft,58,7,135,0,null
"Howell III, Charles",150,pga,59,-1,190,-1,null
"Perez, Pat",150,pga,60,12,191,32,null
"Reed, Patrick",150,pga,61,-8,26,0,null
"Dahmen, Joel",150,pga,62,15,96,10,null
"Wolff, Matthew",150,pga,63,6,34,0,null
"Noren, Alex",150,pga,64,-4,78,-4,null
"Poulter, Ian",150,pga,65,-15,62,-3,null
"Kim, Si Woo",150,pga,66,-4,55,-1,null
"Harman, Brian",150,pga,67,-4,61,-3,null
"Mitchell, Keith",150,pga,68,10,86,1,null
"Homa, Max",150,pga,69,-3,37,0,null
"Putnam, Andrew",150,pga,70,16,133,18,null
"Pereira, Mito",150,kft,71,-10,100,-5,null
"Wiesberger, Bernd",150,euro,72,-17,65,-3,null
"Palmer, Ryan",150,pga,73,-27,57,-5,null
"Rai, Aaron",150,euro,74,-6,98,-6,null
"Bland, Richard",150,euro,75,-11,56,-3,null
"Todd, Brendon",150,pga,76,12,143,5,null
"Woodland, Gary",150,pga,77,-6,134,-3,null
"Kuchar, Matt",150,pga,78,-11,119,-2,null
"Bradley, Keegan",150,pga,79,-4,91,-2,null
"Smith, Jordan",150,euro,80,37,144,42,null
"Jones, Matt",150,pga,81,-8,81,-6,null
"Hadwin, Adam",150,pga,82,19,159,-1,null
"Lee, Kyounghoon",150,pga,83,-4,75,-5,null
"Johnson, Zach",150,pga,84,-4,186,-2,null
"Davis, Cameron",150,pga,85,-2,83,-3,null
"Rodgers, Patrick",150,pga,86,-10,215,-3,null
"Taylor, Nick",150,pga,87,31,210,22,null
"Kizzire, Patton",150,pga,88,-1,151,1,null
"Spaun, J.J.",150,pga,89,25,255,10,null
"Kirk, Chris",150,pga,90,-6,115,-4,null
"Thompson, Michael",150,pga,91,-6,156,-10,null
"Horsfield, Sam",150,euro,92,2,90,-8,null
"Pendrith, Taylor",150,kft,93,-3,220,-5,null
"Knox, Russell",150,pga,94,11,262,-1,null
"Ghim, Doug",150,pga,95,-4,228,-2,null
"Sigg, Greyson",150,kft,96,6,157,-1,null
"Schwab, Matthias",150,euro,97,0,178,-5,null
"Munoz, Sebastian",150,pga,98,-3,70,-4,null
"Laird, Martin",150,pga,99,-3,140,-4,null
"Ortiz, Carlos",150,pga,100,0,69,-5,null
