player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Justin Bethel,7654,CB,MIA,1,0,0,17,59.8,,,,,,74.0,,,71.0,0,0,0,1,5,2,4,3,1
Greg Van Roten,7746,G,BUF,1,0,0,4,,,60.0,,,,60.4,,,63.4,0,0,5,0,0,0,0,0,0
Josh Harris,7748,LS,LAC,2,0,0,27,,,65.8,,,81.3,62.1,,,24.7,0,1,9,0,0,0,10,0,0
Cordarrelle Patterson,7810,HB,ATL,1,0,0,2,,,,57.8,,,60.0,,,61.3,0,0,0,0,0,5,0,0,0
Giovani Bernard,7818,HB,TB,1,0,0,30,,,,,,,61.3,,,64.5,0,0,0,0,0,2,0,4,0
Jon Bostic,7831,LB,WAS,1,0,0,32,59.7,,,,,,60.9,,,66.8,0,0,0,5,5,6,3,0,0
Duron Harmon,7872,S,LV,1,0,0,23,60.0,,,,,,60.3,,,63.0,0,0,0,5,3,0,0,0,0
William Gholston,7908,DI,TB,1,0,0,30,59.4,,,,,,59.8,,,63.7,0,0,0,1,0,0,0,0,0
Kyle Juszczyk,7912,FB,SF,1,0,0,28,,,,,,,58.2,,,65.1,0,0,0,0,0,4,5,0,0
Steven Means,7929,ED,BLT,1,0,0,3,60.0,,,,,,63.1,,,72.5,0,0,0,3,0,0,0,6,0
Micah Hyde,7941,S,BUF,1,0,0,4,60.0,,,,,,60.0,,,61.1,0,0,0,2,0,0,0,0,0
Sam Martin,7947,P,BUF,1,0,0,4,,,60.0,,,,60.4,,,68.1,0,0,5,0,0,0,0,0,0
David Quessenberry,7957,T,BUF,1,0,0,4,,,60.0,,,,61.2,,,67.8,0,0,5,0,0,0,0,0,0
Dustin Hopkins,7958,K,LAC,2,0,0,27,,58.5,,,63.6,,60.1,,,61.9,0,0,9,0,10,0,0,0,0
Ryan Griffin,7982,TE,CHI,1,0,0,6,,,60.0,,,,73.0,,,65.8,0,0,3,0,0,3,6,0,1
Jordan Poyer,8000,S,BUF,1,0,0,4,59.9,,,,,,60.5,,,64.0,0,0,0,2,0,0,0,1,0
Carson Tinker,8043,LS,SEA,1,0,0,29,,,60.0,,,28.8,57.5,,,62.8,0,0,3,0,0,0,2,0,0
Tress Way,8358,P,WAS,1,0,0,32,,,60.0,,,,60.0,,56.7,64.5,0,0,2,0,0,0,3,0,0
Tony Jefferson,8361,S,NYG,1,0,0,21,,,,,,,56.8,,,63.6,0,0,0,0,0,5,0,0,0
Brandon McManus,8437,K,DEN,1,0,0,10,,64.8,,,60.0,,60.0,,,61.5,0,0,5,0,4,0,0,0,0
Cody Davis,8458,S,NE,1,0,0,19,59.8,,,,,,67.1,,,66.3,0,0,0,4,2,5,3,4,1
Mike Purcell,8530,DI,DEN,1,0,0,10,59.2,,60.0,,,,60.2,,,66.1,0,0,5,3,0,0,0,0,0
James Winchester,8580,LS,KC,2,0,0,16,,,69.0,,,81.2,66.7,,,64.2,0,0,12,0,0,0,8,0,0
Brett Maher,8585,K,DAL,1,0,0,9,,61.9,,,60.0,,60.0,,,61.1,0,0,1,0,2,0,0,0,0
Jadeveon Clowney,8636,ED,CLV,1,0,0,8,59.2,,,,,,59.6,,,65.2,0,0,0,4,0,0,0,0,0
Khalil Mack,8640,ED,LAC,2,0,0,27,60.0,,,,,,63.2,,,73.9,0,0,0,3,0,0,0,3,0
Jake Matthews,8641,T,ATL,1,0,0,2,,,60.1,,,,61.0,,,65.6,0,0,7,0,0,0,0,0,0
Taylor Lewan,8646,T,TEN,1,0,0,31,,,60.0,,,,60.3,,,60.5,0,0,5,0,0,0,0,0,0
Zack Martin,8651,G,DAL,1,0,0,9,,,60.0,,,,60.0,,,63.8,0,0,1,0,0,0,0,0,0
C.J. Mosley,8652,LB,NYJ,1,0,0,22,58.9,,,,,,59.3,,,63.2,0,0,0,4,0,0,0,2,0
Joel Bitonio,8670,G,CLV,1,0,0,8,,,60.0,,,,60.4,,,63.5,0,0,6,0,0,0,0,0,0
Derek Carr,8671,QB,LV,1,0,0,23,,,,,,,60.0,,,62.5,0,0,0,0,0,0,0,0,0
Kyle Van Noy,8675,LB,LAC,1,0,0,27,,,,,,,60.3,,,67.4,0,0,0,0,0,0,0,2,0
