player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Justin Herbert,28237,QB,LAC,2,2.8,2.72,5.4,4.2,84,27,80.6,36,36,5.1,2.05,0,0,0.0,77.8,28,6,3.4,36,42.9,1,12,,78.4,57.9,76.8,57.9,,,0,1,36,0.0,120.9,0.0,0,0,0,0,5,1,2.8,227,6.3,82.1,39,45,8.1,3.37,3,3,6.5,66.7,30,27,6.3,48,57.1,2,14,,80.4,80.9,78.0,79.3,,62.1,1,0,50,7.4,100.0,4.2,2,1,0,2,1,0,0.0,378,8.4
Patrick Mahomes,11765,QB,KC,2,2.5,2.38,2.9,6.5,77,16,79.5,44,45,4.6,1.77,0,0,0.0,73.3,33,13,5.7,45,58.4,2,17,,79.8,55.6,77.6,55.7,,,1,0,45,0.0,117.4,0.0,0,0,0,0,4,3,6.7,265,5.9,77.8,27,29,13.1,3.52,0,4,11.4,72.4,21,17,0.0,32,41.6,0,17,,78.7,82.2,77.0,83.0,,51.5,0,0,38,5.9,144.3,3.1,1,2,0,2,3,1,2.6,330,11.4
Joe Burrow,28022,QB,CIN,1,2.64,2.45,3.24,3.78,65,7,66.7,27,29,7.1,1.99,1,0,0.0,58.6,17,8,5.6,31,47.7,1,13,,26.9,52.2,76.6,52.6,,,1,2,34,25.0,68.5,6.5,2,0,0,0,2,2,5.9,162,5.6,77.3,22,24,8.9,3.23,1,0,0.0,66.7,16,11,5.9,34,52.3,1,11,,78.4,57.5,76.9,53.5,,69.4,0,2,37,45.5,53.5,14.7,5,5,0,1,0,2,5.4,176,7.3
Joe Flacco,4332,QB,NYJ,1,2.63,2.56,4.1,,62,22,77.8,27,29,4.4,1.85,0,0,0.0,65.5,19,3,9.5,29,46.8,2,9,,77.7,66.1,76.4,65.5,,,1,1,32,0.0,73.3,0.0,0,0,0,1,1,0,0.0,136,4.7,83.3,24,30,7.2,3.32,1,0,0.0,60.0,18,19,10.0,33,53.2,2,10,,78.1,67.6,76.6,66.8,,,3,0,34,15.8,76.1,9.1,3,0,0,2,0,0,0.0,173,5.8
Matt Ryan,4317,QB,IND,1,2.55,2.42,3.75,4.65,54,14,71.4,28,29,5.1,1.89,1,0,0.0,65.5,19,4,5.0,29,53.7,1,11,,77.4,61.2,76.1,61.0,,,0,1,30,0.0,82.0,0.0,0,0,0,0,1,2,6.7,196,6.8,73.7,19,21,9.8,3.31,1,0,0.0,61.9,13,8,7.1,25,46.3,1,11,,17.9,65.9,75.6,61.0,,73.1,0,0,26,25.0,84.6,8.0,2,2,0,1,0,2,7.7,156,7.4
Matthew Stafford,4924,QB,LA,1,2.52,2.41,3.2,4.7,50,26,78.3,23,24,3.9,1.9,1,1,4.2,70.8,17,4,5.6,24,48.0,1,8,,76.1,56.4,75.3,56.5,,,0,2,24,0.0,61.1,0.0,0,0,0,0,1,1,4.2,120,5.0,81.3,16,17,9.5,3.22,0,1,5.6,70.6,12,15,7.7,25,50.0,1,7,,25.2,70.8,75.6,68.7,,62.6,0,1,26,46.7,65.8,28.0,7,1,0,1,0,1,3.8,120,7.1
Russell Wilson,7077,QB,DEN,1,2.89,2.82,4.4,2.9,45,10,84.2,19,19,5.6,2.03,0,0,0.0,73.7,14,2,12.5,19,42.2,2,7,,75.1,46.0,74.7,47.0,,,0,0,20,0.0,122.5,0.0,0,0,0,0,1,1,5.0,189,9.9,68.2,22,23,10.0,3.52,1,1,4.2,65.2,15,12,0.0,26,57.8,0,6,,76.8,66.7,75.8,67.1,,58.3,0,0,27,16.7,83.8,7.7,2,1,0,0,0,1,3.7,151,6.6
Carson Wentz,10636,QB,WAS,1,2.56,2.4,2.2,4.83,45,32,78.3,23,25,3.3,2.02,1,0,0.0,72.0,18,6,0.0,26,57.8,0,11,,77.2,59.7,76.0,59.5,,,1,1,29,16.7,97.6,3.8,1,0,0,0,2,1,3.4,153,6.1,66.7,15,16,13.7,3.29,1,3,15.8,56.3,9,3,10.0,19,42.2,1,5,,75.9,72.1,75.2,75.1,,52.2,0,1,23,0.0,104.2,0.0,0,3,0,0,2,1,4.3,160,10.0
Trevor Lawrence,77632,QB,JAX,1,2.7,2.63,2.75,5.3,45,15,77.8,18,20,5.2,1.91,1,0,0.0,65.0,13,7,7.1,20,44.4,1,5,,75.1,52.0,74.7,52.4,,,0,0,20,0.0,77.1,0.0,0,0,0,1,0,0,0.0,100,5.0,61.1,18,22,15.9,3.33,1,1,3.8,50.0,11,14,0.0,25,55.6,0,9,,77.4,60.1,76.1,60.8,,58.3,1,1,30,14.3,73.1,8.0,2,1,0,2,1,1,3.3,175,8.0
Jalen Hurts,40291,QB,PHI,1,3.06,2.55,2.4,4.92,42,24,76.5,17,21,3.1,1.98,3,0,0.0,61.9,13,5,0.0,22,52.4,0,9,,75.6,69.5,75.0,68.6,,,1,0,22,20.0,83.4,4.5,1,0,0,0,0,0,0.0,150,7.1,100.0,7,11,10.0,4.24,0,1,7.7,45.5,5,12,28.6,20,47.6,2,8,,75.6,88.6,75.0,87.7,,71.0,0,0,22,0.0,75.2,0.0,0,9,0,4,0,0,0.0,93,8.5
Derek Carr,8671,QB,LV,1,2.67,2.51,3.88,,42,23,66.7,18,20,6.6,1.94,1,0,0.0,60.0,12,2,0.0,20,47.6,0,8,,75.4,43.4,74.9,44.6,,,0,1,21,0.0,74.0,0.0,0,0,0,1,1,1,4.8,125,6.3,66.7,15,17,14.1,3.33,0,1,5.6,58.8,10,9,0.0,22,52.4,0,9,,17.2,45.3,75.2,46.4,,,1,2,23,55.6,72.8,22.7,5,0,0,1,1,4,17.4,170,10.0
Davis Mills,52269,QB,HST,1,2.25,2.19,2.97,,40,13,75.0,24,25,5.8,1.8,1,0,0.0,64.0,16,2,11.1,25,62.5,2,9,,76.3,78.5,75.5,76.9,,,0,0,25,0.0,105.1,0.0,0,0,0,0,2,0,0.0,138,5.5,63.6,11,12,11.0,3.0,0,0,0.0,58.3,7,10,0.0,15,37.5,0,3,,22.0,51.5,74.1,52.0,,,0,0,17,30.0,86.1,20.0,3,0,0,1,0,1,5.9,102,8.5
Mitchell Trubisky,11757,QB,PIT,1,2.63,2.42,6.8,4.45,40,25,69.6,23,26,6.8,1.99,1,0,0.0,61.5,16,6,0.0,26,65.0,0,6,,76.8,69.2,75.8,68.3,,,1,0,27,0.0,85.4,0.0,0,0,0,1,1,0,0.0,120,4.6,50.0,10,11,12.3,3.83,0,2,18.2,45.5,5,8,0.0,14,35.0,0,3,,73.5,51.8,73.7,48.7,,64.0,1,0,15,12.5,68.0,7.1,1,2,0,0,0,1,6.7,74,6.7
Jared Goff,10635,QB,DET,1,2.44,2.33,3.2,5.7,39,11,70.8,24,24,6.6,2.05,0,1,4.2,58.3,14,5,17.6,24,61.5,3,8,,76.1,65.9,75.3,65.3,,,0,1,24,0.0,72.6,0.0,0,0,0,0,1,0,0.0,146,6.1,61.5,13,13,10.7,3.06,0,0,0.0,53.8,7,6,12.5,15,38.5,1,5,,73.9,32.5,74.1,30.9,,63.9,0,0,17,16.7,94.7,6.7,1,1,0,0,1,2,11.8,69,5.3
Aaron Rodgers,2241,QB,GB,1,2.58,2.37,4.38,,38,12,90.5,21,21,2.4,1.78,0,0,0.0,90.5,19,1,0.0,21,55.3,0,6,,75.4,78.8,74.9,77.2,,,0,0,21,0.0,95.0,0.0,0,0,0,0,0,0,0.0,143,6.8,55.6,9,13,14.0,3.56,1,1,7.7,23.1,3,10,40.0,17,44.7,2,3,,22.0,37.4,74.1,38.9,,,0,1,17,40.0,11.7,23.5,4,0,0,3,0,2,11.8,52,4.0
Josh Allen,46601,QB,BUF,1,2.43,2.19,2.6,3.8,38,4,87.0,23,23,4.3,1.83,0,0,0.0,82.6,19,2,5.0,23,60.5,1,11,,75.9,85.7,75.2,83.6,,,0,1,23,0.0,105.4,0.0,0,0,0,0,2,0,0.0,154,6.7,87.5,8,8,16.3,3.33,0,2,25.0,87.5,7,5,0.0,15,39.5,0,8,,73.5,91.9,73.7,87.3,,78.7,0,1,15,40.0,118.8,13.3,2,5,0,0,1,1,6.7,143,17.9
Jameis Winston,9434,QB,NO,1,2.75,2.51,3.38,5.4,38,20,72.2,18,18,7.1,2.01,0,1,5.0,66.7,12,2,7.7,19,50.0,1,5,,75.4,72.7,74.9,71.6,,,0,0,21,50.0,118.5,5.3,1,0,0,0,2,0,0.0,103,5.7,84.6,13,14,13.2,3.5,0,1,7.1,78.6,11,10,0.0,19,50.0,0,7,,74.8,81.7,74.5,80.1,,63.0,0,0,19,30.0,116.1,15.8,3,2,0,1,0,1,5.3,166,11.9
Kyler Murray,38334,QB,ARZ,1,2.86,2.74,4.0,4.7,37,1,86.7,15,16,3.7,1.83,1,0,0.0,81.3,13,2,0.0,17,45.9,0,6,,74.5,73.3,74.3,72.1,,,0,0,18,50.0,130.5,5.9,1,0,0,0,2,0,0.0,93,5.8,64.3,14,18,12.4,3.74,1,1,5.3,50.0,9,14,0.0,20,54.1,0,5,,75.4,46.2,74.9,42.8,,65.9,0,0,21,7.1,66.9,5.0,1,1,0,3,0,2,9.5,100,5.6
Tua Tagovailoa,60326,QB,MIA,1,2.66,2.72,2.87,,37,17,81.3,16,16,6.4,1.83,0,0,0.0,81.3,13,2,0.0,16,43.2,0,9,,73.9,71.1,73.9,70.0,,,0,0,16,0.0,131.5,0.0,0,0,0,0,1,0,0.0,169,10.6,73.3,15,17,10.3,3.46,0,0,0.0,58.8,10,11,9.1,20,54.1,1,4,,23.3,38.8,74.7,40.3,,,0,0,20,27.3,75.9,15.0,3,0,0,2,0,2,10.0,101,5.9
