player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Xavier Hutchinson,122518,WR,IOWA STATE,5,71,0,193,0,-1.8,3,100.0,,0,0,0.0,0,1,0,95.2,89.1,0,13,0.0,0,14,8,92.9,13,101.6,8,11.3,0,67,81,10.1,8.4,5.15,8.6,2,61.9,20.0,1,5,7.1,1,8,0,89.6,84.4,2,33,0.0,0,49,13,95.9,47,73.8,21,29.6,2,141,55,4.2,10.8,3.0
Charlie Jones,55038,WR,PURDUE,5,62,0,273,0,-1.1,0,100.0,,0,0,0.0,0,1,1,95.9,48.3,0,22,0.0,0,24,9,91.7,22,88.4,9,14.5,0,47,57,6.3,5.2,2.14,5.7,0,100.0,100.0,1,1,0.0,0,4,0,94.5,82.3,0,16,0.0,0,15,6,93.3,14,142.4,6,9.7,2,52,19,3.2,8.7,3.71
Tyrin Smith,145487,WR,UTEP,6,62,0,330,0,-1.0,0,50.0,,0,0,0.0,0,0,0,81.5,64.0,0,1,0.0,0,12,1,91.7,11,56.3,2,3.2,0,1,3,3.0,1.0,0.09,13.9,5,55.8,0.0,0,4,11.1,3,13,1,51.5,62.5,2,74,0.0,0,167,24,97.0,162,102.9,43,69.4,4,440,134,5.6,18.3,2.72
Cam Camper,156414,WR,INDIANA,4,62,0,190,0,0.7,0,66.7,,0,0,33.3,1,1,0,12.9,45.8,0,10,0.0,0,20,2,95.0,19,79.9,3,4.8,0,16,13,6.5,8.0,0.84,10.4,0,20.0,0.0,0,1,50.0,1,1,0,67.9,69.7,0,15,0.0,0,22,1,95.5,21,39.6,5,8.1,0,15,3,3.0,15.0,0.71
Jacob Cowing,100894,WR,ARIZONA,5,60,0,109,0,-3.4,2,88.9,,0,0,11.1,1,2,0,57.7,73.3,0,18,0.0,0,18,8,100.0,18,96.8,9,15.0,0,65,94,11.8,8.1,3.61,12.5,7,57.9,25.0,1,4,15.4,4,18,0,65.7,93.0,2,38,0.0,0,147,22,95.9,141,103.9,38,63.3,5,328,173,7.9,14.9,2.33
Derwin Burgess Jr.,147111,WR,GA SOUTHRN,5,60,0,174,0,-2.2,0,100.0,,0,0,0.0,0,2,0,92.6,52.5,0,10,0.0,0,33,5,97.0,32,124.6,5,8.3,1,22,33,6.6,4.4,0.69,12.1,0,50.0,100.0,1,1,16.7,1,3,0,43.5,55.8,1,34,0.0,0,32,5,90.6,29,65.8,10,16.7,1,68,14,2.8,13.6,2.34
LaJohntay Wester,123616,WR,FAU,6,59,0,165,0,-2.8,6,81.0,50.0,1,2,0.0,0,5,0,99.9,90.1,0,21,3.0,1,33,17,97.0,32,121.1,21,35.6,3,75,127,7.5,4.4,2.34,11.4,6,65.2,33.3,2,6,6.3,2,19,0,71.5,75.9,3,36,0.5,1,187,30,95.7,179,99.8,46,78.0,5,379,122,4.1,12.6,2.12
Zakhari Franklin,97620,WR,UTSA,5,58,0,331,0,-1.8,4,75.0,,0,0,18.2,2,3,0,29.2,63.8,1,35,0.0,0,29,9,100.0,29,85.4,12,20.7,1,80,99,11.0,8.9,2.76,7.2,4,76.9,0.0,0,1,0.0,0,7,0,72.7,72.0,1,35,0.0,0,37,10,91.9,34,125.8,13,22.4,2,171,96,9.6,17.1,5.03
Rashee Rice,97605,WR,SMU,4,58,0,287,0,-3.3,3,71.4,,0,0,0.0,0,0,0,93.6,60.9,0,8,0.0,0,22,5,95.5,21,74.1,7,12.1,0,9,26,5.2,1.8,0.43,13.0,3,66.7,50.0,1,2,9.1,1,4,0,79.8,90.6,1,54,0.0,0,24,10,95.8,23,76.5,15,25.9,0,168,58,5.8,16.8,7.3
Jayshon Jackson,78041,WR,BALL ST,5,58,0,117,0,-2.0,2,80.0,,0,0,20.0,2,4,0,26.0,73.0,0,33,0.0,0,26,8,96.2,25,103.3,10,17.2,0,88,105,13.1,11.0,3.52,8.2,2,64.0,66.7,4,6,5.9,1,8,0,68.6,73.4,1,33,0.0,0,125,16,92.8,116,81.6,25,43.1,1,177,103,6.4,11.1,1.53
Bryce Ford-Wheaton,78127,WR,W VIRGINIA,5,57,0,343,0,-0.4,1,100.0,,0,0,0.0,0,3,0,95.9,91.7,0,67,0.0,0,24,9,100.0,24,155.8,9,15.8,1,119,123,13.7,13.2,4.96,7.7,0,66.7,100.0,1,1,0.0,0,2,0,72.8,78.4,0,9,0.0,0,8,2,87.5,7,116.7,3,5.3,1,14,13,6.5,7.0,2.0
Ali Jennings III,145344,WR,DOMINION,5,56,0,263,0,,0,,,0,0,,0,0,0,,42.1,0,0,0.0,0,16,0,100.0,16,0.0,0,0.0,0,0,0,,,0.0,16.0,0,33.3,50.0,1,2,50.0,2,2,0,55.1,82.8,0,29,0.0,0,28,2,92.9,26,97.2,6,10.7,1,40,8,4.0,20.0,1.54
Grant DuBose,111276,WR,CHARLOTTE,6,55,0,136,0,0.0,0,100.0,,0,0,0.0,0,4,0,93.6,84.1,0,25,3.3,1,30,6,86.7,26,106.9,6,10.9,0,58,58,9.7,9.7,2.23,6.2,0,60.0,100.0,1,1,0.0,0,3,0,69.8,78.3,0,12,0.0,0,26,6,92.3,24,73.3,10,18.2,0,51,17,2.8,8.5,2.13
Dontayvion Wicks,99711,WR,VIRGINIA,5,53,0,335,0,-2.7,1,100.0,,0,0,0.0,0,0,0,90.0,48.9,0,12,0.0,0,18,3,100.0,18,93.1,3,5.7,0,19,27,9.0,6.3,1.06,12.3,2,42.9,,0,0,40.0,2,0,1,44.5,55.1,1,12,0.0,0,18,3,94.4,17,10.7,7,13.2,0,21,4,1.3,7.0,1.24
Zay Flowers,97268,WR,BOSTON COL,5,52,0,121,0,-3.8,0,100.0,,0,0,0.0,0,3,1,96.5,73.6,0,11,0.0,0,22,10,100.0,22,84.6,10,19.2,0,43,81,8.1,4.3,1.95,11.8,0,61.9,100.0,1,1,13.3,2,8,1,58.5,73.3,1,69,0.0,0,69,13,94.2,65,96.5,21,40.4,2,156,98,7.5,12.0,2.4
Quian Williams,61237,WR,BUFFALO,5,52,0,126,0,,0,,,0,0,,0,0,0,,33.6,0,0,0.0,0,15,0,100.0,15,0.0,0,0.0,0,0,0,,,0.0,13.5,1,83.3,,0,0,0.0,0,5,0,91.2,77.3,0,59,0.0,0,22,5,95.5,21,158.3,6,11.5,1,136,76,15.2,27.2,6.48
De'Corian Clark,100892,WR,UTSA,5,51,0,331,0,-3.3,1,100.0,,0,0,0.0,0,0,0,90.0,53.7,0,9,0.0,0,26,3,100.0,26,91.7,3,5.9,0,18,28,9.3,6.0,0.69,8.8,2,100.0,100.0,1,1,0.0,0,3,0,89.1,84.7,0,19,0.0,0,28,5,92.9,26,157.1,5,9.8,1,61,20,4.0,12.2,2.35
Isaiah Winstead,91115,WR,E CAROLINA,5,51,0,156,0,-1.0,0,0.0,,0,0,,0,0,0,,42.3,0,0,0.0,0,18,0,100.0,18,39.6,1,2.0,0,0,0,,,0.0,8.0,0,66.7,0.0,0,1,0.0,0,3,0,89.0,84.2,0,17,0.0,0,12,4,100.0,12,88.2,6,11.8,0,44,21,5.3,11.0,3.67
Carlos Carriere,61413,WR,C MICHIGAN,4,50,0,134,0,0.0,0,100.0,,0,0,0.0,0,0,0,81.5,48.1,0,2,0.0,0,13,1,92.3,12,79.2,1,2.0,0,2,2,2.0,2.0,0.17,5.7,0,100.0,,0,0,0.0,0,2,0,43.7,65.3,0,11,0.0,0,5,3,80.0,4,101.4,3,6.0,0,25,8,2.7,8.3,6.25
Keylon Stokes,65080,WR,TULSA,5,50,0,320,0,-4.0,0,100.0,,0,0,0.0,0,0,0,81.5,81.9,0,9,0.0,0,4,1,100.0,4,104.2,1,2.0,0,9,13,13.0,9.0,2.25,12.8,10,73.5,64.3,9,14,2.7,1,25,1,86.2,83.0,1,46,0.0,0,210,36,92.4,194,120.5,49,98.0,2,612,167,4.6,17.0,3.15
Malik Washington,97108,WR,NWESTERN,5,49,0,256,0,-2.9,6,100.0,,0,0,0.0,0,1,1,94.5,55.3,0,9,0.0,0,21,7,100.0,21,79.2,7,14.3,0,21,41,5.9,3.0,1.0,9.2,16,70.0,54.5,6,11,0.0,0,14,2,89.9,74.8,2,39,0.0,0,161,28,95.7,154,81.4,40,81.6,1,321,139,5.0,11.5,2.08
Daewood Davis,61584,WR,W KENTUCKY,5,49,0,346,0,-0.7,1,100.0,,0,0,0.0,0,2,0,95.2,56.4,0,9,0.0,0,55,7,94.5,52,82.1,7,14.3,0,26,31,4.4,3.7,0.5,,0,,,0,0,,0,0,0,72.4,78.1,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Corey Crooms,97276,WR,W MICHIGAN,5,49,0,347,0,-0.3,4,83.3,100.0,1,1,0.0,0,2,0,93.6,92.3,0,10,0.0,0,14,5,92.9,13,86.1,6,12.2,0,28,25,5.0,5.6,2.15,11.3,4,45.5,55.6,5,9,0.0,0,9,0,90.7,82.1,1,20,0.0,0,116,15,95.7,111,56.4,33,67.3,1,150,33,2.2,10.0,1.35
Jeremy Singleton,61289,WR,GA SOUTHRN,5,47,0,174,0,-1.3,0,100.0,,0,0,0.0,0,5,0,95.2,75.7,0,24,0.0,0,31,8,96.8,30,143.8,8,17.0,1,72,82,10.3,9.0,2.4,-1.3,0,100.0,,0,0,0.0,0,2,0,82.1,62.5,0,24,0.0,0,13,3,92.3,12,149.3,3,6.4,1,31,35,11.7,10.3,2.58
Elijah Spencer,145575,WR,CHARLOTTE,6,47,0,136,0,-2.0,0,100.0,,0,0,0.0,0,1,0,81.5,49.8,0,25,3.2,1,31,1,90.3,28,118.8,1,2.1,0,25,27,27.0,25.0,0.89,15.0,1,33.3,33.3,1,3,25.0,1,2,0,68.7,74.1,1,25,1.9,1,54,3,85.2,46,17.1,9,19.1,0,58,19,6.3,19.3,1.26
Luke McCaffrey,101634,WR,RICE,5,47,0,275,0,1.0,0,0.0,,0,0,100.0,1,0,0,0.0,30.0,1,0,0.0,0,10,0,100.0,10,0.0,1,2.1,0,0,0,,,0.0,12.5,2,63.6,60.0,3,5,8.7,2,12,0,72.6,72.7,2,52,0.0,0,115,21,91.3,105,82.8,33,70.2,2,259,74,3.5,12.3,2.47
Ashtyn Hawkins,147222,WR,TEXAS ST,5,47,0,314,0,-3.9,1,100.0,,0,0,0.0,0,1,0,97.6,61.3,0,6,0.0,0,23,12,100.0,23,79.2,12,25.5,0,28,75,6.3,2.3,1.22,6.7,8,81.0,0.0,0,1,0.0,0,14,0,92.1,76.5,0,34,0.0,0,152,34,97.4,148,136.6,42,89.4,5,306,159,4.7,9.0,2.07
Keytaon Thompson,60457,WR,VIRGINIA,5,47,0,335,0,-2.0,3,90.0,,0,0,0.0,0,3,0,95.9,92.7,0,19,0.0,0,18,9,100.0,18,92.9,10,21.3,0,63,80,8.9,7.0,3.5,7.9,8,72.2,71.4,5,7,10.3,3,16,0,60.8,78.6,0,45,0.0,0,139,26,91.4,127,99.1,36,76.6,0,318,125,4.8,12.2,2.5
Yo'Heinz Tyler,78181,WR,BALL ST,5,47,0,117,0,-3.0,0,100.0,,0,0,0.0,0,1,0,81.5,40.7,0,4,0.0,0,28,1,96.4,27,83.3,1,2.1,0,4,7,7.0,4.0,0.15,11.0,1,100.0,,0,0,0.0,0,1,0,91.6,65.9,0,16,0.0,0,32,1,96.9,31,118.8,1,2.1,0,16,5,5.0,16.0,0.52
Isaiah Williams,97156,WR,ILLINOIS,5,46,0,187,0,-3.1,12,95.5,,0,0,4.5,1,6,0,90.8,99.9,0,20,0.0,0,30,21,96.7,29,100.2,22,47.8,1,97,165,7.9,4.6,3.34,4.7,17,74.3,50.0,1,2,7.1,2,12,0,66.9,86.9,1,63,0.0,0,106,26,94.3,100,91.8,35,76.1,1,254,244,9.4,9.8,2.54
