player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Steven Ortiz Jr.,144981,S,MINNESOTA,1,3,0,225,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,1,0,0,0,0,0,0,0.0,
Darius Green,144982,S,MINNESOTA,3,33,0,225,0,,,100.0,,,0,0,,62.1,0,,,0,0,0.0,0,3,9.1,3,0,0,0,0,0,0,0.0,,0,0,12.3,50.0,100.0,11.0,5.5,0,0,0.0,54.9,0,28,0.0,0,0,81.3,2,22,66.7,22,0,2,4,0,36,6,1.6,18.0
Devon Williams,144984,LB,MINNESOTA,2,20,0,225,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,5.0,1,0,0,0,0,0,0,0.0,,0,1,11.0,50.0,100.0,13.0,6.5,0,0,0.0,52.3,0,3,0.0,0,0,56.3,1,13,65.0,13,0,0,2,0,3,0,0.2,3.0
Marques Buford Jr.,145012,S,NEBRASKA,5,225,0,238,0,10.3,25.0,95.7,43.0,10.8,0,1,25.0,78.7,1,6,0.0,0,1,0.0,1,44,19.6,46,0,1,4,0,6,1,0.1,6.0,0,1,16.1,57.1,100.0,19.3,11.0,0,0,0.0,46.4,1,41,20.0,1,0,95.5,4,83,36.9,83,0,3,7,1,77,25,1.0,19.3
Wynden Ho'ohuli,145015,ED,HAWAII,3,1,0,180,0,,,5.6,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,18,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,7,0,0,0,0,0,0,,
Theran Johnson,145045,CB,NWESTERN,5,83,0,256,0,9.0,40.0,100.0,5.5,2.2,0,1,20.0,54.8,0,18,,0,1,100.0,2,12,14.5,12,0,0,5,2,30,5,2.7,15.0,0,0,14.6,54.5,100.0,9.7,5.3,0,1,9.1,57.6,0,11,0.0,0,1,67.6,6,59,71.1,59,0,4,11,0,53,21,0.9,8.8
Garner Wallace,145046,S,NWESTERN,4,30,0,256,0,,,100.0,,,0,0,,62.0,0,,,0,0,0.0,0,4,13.3,4,0,0,0,0,0,0,0.0,,0,0,5.7,100.0,100.0,6.0,6.0,0,0,0.0,54.0,0,12,0.0,0,0,111.1,3,18,60.0,18,1,2,3,0,32,15,1.8,10.7
Aidan Hubbard,145048,ED,NWESTERN,5,6,0,256,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,9,0,0,0,0,0,0,,,0,0,,,12.5,,,0,0,,49.2,0,,66.7,2,0,0.0,0,6,100.0,48,1,1,0,0,0,0,0.0,
Ore Adeyi,145051,CB,NWESTERN,1,8,0,256,0,,,100.0,,,0,0,,61.2,0,,,0,0,0.0,0,2,25.0,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,63.8,0,,,0,0,0.0,0,5,62.5,5,0,0,0,0,0,0,0.0,
Denzel Burke,145070,CB,OHIO STATE,4,101,0,260,1,16.3,77.8,100.0,5.7,4.4,0,1,11.1,50.3,0,40,16.7,1,1,155.8,7,42,41.6,42,1,4,9,1,143,32,3.6,20.4,0,0,11.8,20.0,100.0,46.0,9.2,0,2,40.0,69.5,0,16,0.0,0,2,40.4,1,48,47.5,48,0,1,5,0,16,1,0.3,16.0
Jack Sawyer,145071,ED,OHIO STATE,5,11,0,260,0,,,26.7,,,0,0,,61.3,0,,100.0,1,0,0.0,0,8,72.7,30,0,0,0,0,0,0,0.0,,0,0,-2.0,0.0,8.8,,3.0,0,0,0.0,61.0,0,,,0,0,39.6,0,3,27.3,34,0,0,1,0,0,0,0.0,
Andre Turrentine,145072,S,TENNESSEE,2,19,0,307,0,3.5,50.0,100.0,4.0,2.0,0,0,0.0,38.3,0,7,0.0,0,0,58.3,1,5,26.3,5,0,2,2,0,7,6,1.8,7.0,0,1,-2.0,100.0,92.9,13.0,13.0,0,0,0.0,66.3,0,8,0.0,0,0,100.0,1,13,68.4,14,0,0,1,0,8,10,0.6,8.0
J.T. Tuimoloau,145074,ED,OHIO STATE,5,1,0,260,0,,,3.8,,,0,0,,51.4,0,,100.0,1,0,0.0,0,1,100.0,26,0,0,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,40,0,0,0,0,0,0,,
Davon Townley Jr.,145091,ED,PENN STATE,2,1,0,266,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,0,0,0,0,0,0,,,0,0,,,20.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,5,0,0,0,0,0,0,0.0,
Jeffrey Davis Jr.,145092,CB,PENN STATE,1,2,0,266,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,61.1,0,,,0,0,0.0,0,2,100.0,2,0,0,0,0,0,0,0.0,
Dominic DeLuca,145095,S,PENN STATE,5,47,0,266,0,6.5,100.0,57.1,6.0,6.0,0,0,0.0,52.6,0,15,0.0,0,0,116.7,2,12,25.5,21,0,2,2,0,24,11,2.0,12.0,0,1,-0.3,100.0,84.0,7.0,7.0,0,0,0.0,61.9,0,14,20.0,1,0,97.2,3,21,44.7,25,1,3,3,0,22,23,1.0,7.3
Kalen King,145096,CB,PENN STATE,5,150,0,266,1,12.3,33.3,100.0,22.0,7.3,0,5,55.6,75.8,0,15,0.0,0,5,45.6,3,70,46.7,70,0,0,9,0,34,14,0.5,11.3,0,2,5.0,80.0,100.0,11.5,9.2,0,0,0.0,83.3,0,37,12.5,1,0,118.3,4,47,31.3,47,1,5,5,0,62,44,1.3,15.5
Kobe King,145097,LB,PENN STATE,5,55,0,266,0,-0.3,33.3,85.7,17.0,5.7,0,0,0.0,65.1,0,2,0.0,0,0,42.4,1,18,32.7,21,0,1,3,0,2,1,0.1,2.0,0,0,5.3,0.0,76.7,,7.3,0,0,0.0,47.8,0,,50.0,1,0,39.6,0,23,41.8,30,1,1,3,0,0,0,0.0,
Jamari Buddin,145098,LB,PENN STATE,4,19,0,266,0,,,83.3,,,0,0,,62.0,0,,,0,0,0.0,0,5,26.3,6,0,0,0,0,0,0,0.0,,0,0,,,70.0,,,0,0,,64.7,0,,0.0,0,0,0.0,0,7,36.8,10,1,1,0,0,0,0,0.0,
Zakee Wheatley,145099,S,PENN STATE,5,112,0,266,0,7.0,66.7,100.0,9.8,6.5,0,1,16.7,69.2,1,23,20.0,1,0,48.6,4,42,37.5,42,1,4,6,0,44,23,1.1,11.0,0,0,18.0,100.0,100.0,36.0,36.0,0,0,0.0,47.9,0,24,100.0,1,0,118.8,1,36,32.1,36,0,0,1,0,24,6,0.7,24.0
Jaylen Reed,145100,S,PENN STATE,5,135,0,266,0,13.3,33.3,91.7,52.0,17.3,0,0,0.0,65.6,0,6,,0,0,42.4,1,55,40.7,60,0,0,3,0,6,1,0.1,6.0,0,1,26.0,100.0,97.6,41.0,41.0,0,0,0.0,63.4,0,30,16.7,1,0,118.8,1,41,30.4,42,1,4,1,0,30,4,0.7,30.0
Chris Jefferson,145106,S,PURDUE,5,163,0,273,0,18.5,50.0,84.8,17.0,8.5,0,1,25.0,64.5,0,43,0.0,0,1,91.7,2,39,23.9,46,1,1,4,0,46,21,1.4,23.0,0,0,15.1,42.9,96.1,23.7,10.1,1,1,14.3,77.8,2,20,0.0,0,1,26.2,3,74,45.4,77,0,4,7,0,47,23,0.7,15.7
Jah'von Grigsby,145119,CB,PURDUE,1,4,0,273,0,,,100.0,,,0,0,,61.2,0,,,0,0,0.0,0,2,50.0,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,61.0,0,,,0,0,0.0,0,2,50.0,2,0,0,0,0,0,0,0.0,
