player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Colby Reeder,30285,LB,IOWA STATE,5,1,0,193,75.3,4,1,36,27.2,22.2,8,1,9.7,1,136,37,6,0,63.0,1,0,10,50.0,20.0,2,5.0,0,20,10,1
Kyle Pugh,35900,LB,N ILLINOIS,5,0,0,254,54.9,1,3,14,15.5,7.1,1,0,14.3,0,97,15,4,0,67.4,0,2,6,18.4,0.0,0,16.7,0,38,7,2
Jordan Carmouche,39951,LB,ARK STATE,5,0,0,113,61.7,2,5,17,10.5,11.8,2,1,26.5,1,162,17,8,0,54.0,0,4,12,20.7,8.3,1,16.7,0,58,12,4
Alema Pilimai,41395,DI,BYU,1,0,0,128,69.8,0,0,4,100.0,0.0,0,0,0.0,0,6,6,0,0,,0,0,0,,,0,,0,0,0,0
Bricen Garner,42520,S,W MICHIGAN,5,0,0,347,58.6,0,0,2,1.4,0.0,0,0,0.0,0,140,2,0,0,,0,0,0,0.0,,0,,0,41,0,0
Brandon Moore,42620,CB,NEBRASKA,2,0,0,238,60.0,0,0,1,9.1,0.0,0,1,0.0,0,11,1,0,0,,0,0,0,,,0,,0,0,0,0
Anthony Watts,42807,DI,MARSHALL,5,0,0,214,57.5,0,3,72,96.1,5.6,4,1,2.1,0,77,74,3,0,57.3,0,2,29,100.0,10.3,3,3.4,0,30,30,2
Ryan McWood,43189,LB,MIAMI OH,4,0,0,221,69.0,2,3,20,14.2,15.0,3,0,17.5,1,148,21,6,0,66.6,1,2,13,21.5,7.7,1,19.2,1,65,14,4
Jaydon Grant,43354,S,OREGON ST,5,0,0,265,46.0,1,4,9,5.3,11.1,1,0,27.8,0,190,10,5,0,46.8,0,2,5,6.0,0.0,0,20.0,0,84,5,2
Linwood Crump,43401,CB,NEW MEX ST,5,0,0,242,59.5,0,1,2,2.5,0.0,0,2,25.0,0,81,2,1,0,,0,0,0,0.0,,0,,0,32,0,0
Jon-Michael Terry,43635,LB,TULSA,5,0,0,320,65.2,0,11,42,33.6,26.2,11,1,15.5,1,137,46,12,0,73.8,0,7,20,64.7,35.0,7,22.5,1,34,22,8
Tyrone Hopper,43714,ED,MISSOURI,5,0,0,229,55.2,0,0,33,89.5,3.0,1,0,0.0,0,38,34,0,0,54.9,0,0,6,100.0,0.0,0,0.0,0,7,7,0
Sione Tupou,44093,LB,TEXAS ST,5,0,0,314,77.5,0,2,12,8.0,25.0,3,0,8.3,0,174,14,2,0,72.9,0,1,3,9.1,33.3,1,16.7,0,55,5,1
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,3,0,0,174,51.2,0,1,8,20.0,0.0,0,0,6.3,0,55,11,1,0,52.5,0,0,5,26.1,0.0,0,0.0,0,23,6,0
Alden Tofa,51983,ED,BYU,5,0,0,128,63.1,0,3,34,90.0,17.6,6,0,7.4,1,40,36,4,0,61.2,0,0,7,87.5,14.3,1,0.0,0,8,7,0
Earl Tuioti-Mariner,51992,DI,BYU,3,0,0,128,55.2,0,1,31,100.0,3.2,1,0,1.6,0,32,32,1,0,54.3,0,0,8,100.0,0.0,0,0.0,0,8,8,0
Lorenzo Fauatea,52005,DI,BYU,5,0,1,128,54.6,2,1,72,100.0,2.8,2,2,3.5,1,76,76,4,0,53.0,1,0,22,100.0,4.5,1,2.3,0,23,23,1
Penei Pavihi,52079,LB,HAWAII,5,0,0,180,61.4,0,0,16,14.0,6.3,1,1,6.3,1,121,17,1,0,61.9,0,0,6,21.2,16.7,1,0.0,0,33,7,0
George Nyakwol,52203,S,RICE,5,0,0,275,59.9,3,1,10,7.9,10.0,1,0,20.0,0,126,10,4,0,63.3,0,1,2,4.2,50.0,1,25.0,0,48,2,1
Kenneth Orji,52209,ED,RICE,2,0,0,275,53.2,0,1,12,100.0,0.0,0,0,4.2,0,12,12,1,0,54.2,0,1,6,100.0,0.0,0,8.3,0,6,6,1
Trey Schuman,52216,ED,RICE,5,0,0,275,80.1,2,7,55,93.7,25.5,14,1,11.8,2,63,59,11,0,72.7,2,4,22,96.0,27.3,6,13.6,0,25,24,6
Alii Matau,52219,LB,S JOSE ST,4,0,0,285,59.2,0,3,33,32.4,12.1,4,0,7.6,1,102,33,4,0,59.2,0,3,18,52.9,22.2,4,13.9,1,34,18,4
Rico Tolefree,52250,LB,S JOSE ST,4,0,0,285,55.4,0,0,6,23.3,0.0,0,1,0.0,0,30,7,0,0,57.2,0,0,3,37.5,0.0,0,0.0,0,8,3,0
Sinjun Astani,52257,DI,USC,1,0,0,326,59.8,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,59.8,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Gabe Reid,52273,ED,UTAH,4,0,0,328,79.0,2,8,54,95.2,25.9,14,0,13.0,2,62,59,12,0,76.8,2,4,27,100.0,29.6,8,18.5,2,29,29,8
Ryan Johnson,52282,ED,NWESTERN,5,3,0,256,65.7,2,2,64,98.6,9.4,6,0,4.7,1,69,68,5,1,61.6,0,1,23,96.2,8.7,2,6.5,1,26,25,2
Darrien Grant,52293,DI,USF,5,0,0,327,62.3,0,1,44,100.0,6.8,3,0,1.1,0,45,45,1,0,63.1,0,0,8,100.0,12.5,1,0.0,0,8,8,0
Mekhi LaPointe,52315,S,USF,5,0,0,327,57.4,0,0,3,2.1,33.3,1,0,33.3,1,140,3,1,0,56.9,0,0,1,3.7,0.0,0,0.0,0,27,1,0
Nick Roberts,52318,S,SMU,4,0,0,287,58.4,0,0,2,1.6,0.0,0,0,0.0,0,126,2,0,0,59.1,0,0,1,2.3,0.0,0,0.0,0,43,1,0
Bryce Dugan,52425,ED,OHIO,2,0,0,259,54.8,0,1,12,100.0,0.0,0,0,4.2,0,12,12,1,0,56.3,0,1,4,100.0,0.0,0,12.5,0,4,4,1
Malik Vann,52555,ED,CINCINNATI,2,0,0,138,60.1,0,1,27,96.6,7.4,2,1,1.9,0,29,28,1,0,60.0,0,0,7,100.0,14.3,1,0.0,0,8,8,0
Tyler Bentley,52790,DI,PITTSBURGH,5,0,0,268,58.6,0,0,42,100.0,2.4,1,0,0.0,0,44,44,0,0,53.7,0,0,16,100.0,0.0,0,0.0,0,16,16,0
Xavier Peters,52819,ED,FAU,6,0,0,165,57.8,2,0,31,83.7,9.7,3,1,3.2,0,43,36,2,0,60.2,2,0,17,90.9,17.6,3,5.9,0,22,20,2
Cole Pearce,52970,LB,BALL ST,5,1,0,117,68.6,0,1,20,10.8,15.0,3,0,12.5,2,185,20,3,0,72.5,0,0,9,18.8,22.2,2,22.2,2,48,9,2
Deshawn Pace,53549,LB,CINCINNATI,5,0,0,138,66.4,2,3,20,17.5,10.0,2,2,17.5,1,137,24,6,0,61.6,2,0,11,31.3,9.1,1,9.1,0,48,15,2
Ja'von Hicks,53569,S,CINCINNATI,5,0,1,138,60.0,0,1,1,0.5,100.0,1,1,50.0,0,198,1,1,0,,0,0,0,0.0,,0,,0,68,0,0
Eric Phillips,53572,ED,CINCINNATI,5,1,0,138,75.7,3,5,122,99.2,13.1,16,2,6.6,4,132,131,12,0,78.4,2,3,37,100.0,24.3,9,14.9,3,43,43,8
