player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Jawain Granger,79113,CB,DELWARE ST,3,21,,21.0,152,0,39.6,0,1,0,0,0,0.0
Jackson Ambush,148507,LB,ALBANY,4,8,,2.7,106,0,39.6,0,3,0,0,0,0.0
Braylen Brooks,141923,CB,W ILLINOIS,4,7,,7.0,345,0,39.6,0,1,0,0,0,0.0
Brandon Howard,162112,CB,CHARLES SO,1,5,,5.0,135,0,39.6,0,1,0,0,0,0.0
Jamarius Brown,151592,CB,MILES,1,15,,15.0,386,0,39.6,0,1,0,0,0,0.0
Jacob Dingle,101077,S,CINCINNATI,3,5,,5.0,138,0,39.6,0,1,0,0,0,0.0
Michael King,154464,S,UVAWIS,1,16,,4.0,1320,0,39.6,0,4,0,0,0,0.0
Tre Wortham,147406,CB,UCONN,1,1,,1.0,146,0,39.6,0,1,0,0,0,0.0
Mychale Salahuddin,77702,S,NC A&T,1,7,,7.0,246,0,39.6,0,1,0,0,0,0.0
Kaymen St. Junious,141807,CB,SOUTHERN U,1,1,,1.0,297,0,39.6,0,1,0,0,0,0.0
Rance Conner,144149,S,LOUISVILLE,4,15,,7.5,210,1,0.0,0,2,0,0,0,0.0
D.J. McKinney,163824,CB,OKLA STATE,1,1,,1.0,262,0,39.6,0,1,0,0,0,0.0
Malik Dunlap,77814,CB,TEXAS TECH,1,1,,1.0,315,0,39.6,0,1,0,0,0,0.0
Reid Wheeler,154423,S,TAYLOR,1,9,,9.0,402,0,39.6,0,1,0,0,0,0.0
Courtland Stephens,162363,LB,TARLETON,1,6,,6.0,401,0,39.6,0,1,0,0,0,0.0
Ty Goldsmith,151784,S,DELTAST,1,4,,4.0,841,0,39.6,0,1,0,0,0,0.0
P.J. O'Brien,144033,CB,PITTSBURGH,3,10,,10.0,268,0,39.6,0,1,0,0,0,0.0
Christian Morgan,77838,S,BAYLOR,3,12,,12.0,118,1,0.0,0,1,0,0,0,0.0
Alexander Teubner,101313,S,BOISE ST,4,15,,15.0,120,0,39.6,0,1,0,0,0,0.0
Jaivion Green,162486,CB,WASHINGTON,1,1,,1.0,340,0,39.6,0,1,0,0,0,0.0
Jacob Bellizzi,102139,LB,ILL STATE,2,5,,5.0,188,0,39.6,0,1,0,0,0,0.0
Lionell Whitaker,162806,CB,MARYLAND,1,1,,1.0,215,0,39.6,0,1,0,0,0,0.0
Jalen Jones,148495,CB,WM & MARY,3,4,,4.0,348,0,39.6,0,1,0,0,0,0.0
Di'Andre Davis,102094,LB,E TENN ST,3,19,,9.5,157,0,39.6,0,2,0,0,0,0.0
TJ Moore,129562,CB,MERCER,1,10,,10.0,219,0,39.6,0,1,0,0,0,0.0
Clark Whitaker,154269,LB,LNDNWD,1,2,,2.0,949,0,39.6,0,1,0,0,0,0.0
Quinton Newsome,101371,CB,NEBRASKA,2,7,,7.0,238,0,39.6,0,1,0,0,0,0.0
Sean Brown,143986,S,NC STATE,1,2,,2.0,248,0,39.6,0,1,0,0,0,0.0
Isaiah Taylor,146255,S,ARIZONA,4,8,,4.0,109,0,39.6,0,2,0,0,0,0.0
Erwin Byrd,101383,CB,KENNESAW,1,1,,1.0,200,0,39.6,0,1,0,0,0,0.0
Isaiah Henry,79535,LB,PORTLAND,2,2,,2.0,269,0,39.6,0,1,0,0,0,0.0
Dylan Kelly,102059,LB,ALBANY,3,8,,8.0,106,0,39.6,0,1,0,0,0,0.0
Taylor Groves,163657,S,OLE MISS,1,2,,2.0,226,0,39.6,0,1,0,0,0,0.0
Calvin Henderson,153276,S,TEXAS STHN,4,12,,6.0,313,0,39.6,0,2,0,0,0,0.0
Bryon Broussard,78712,S,TARLETON,4,8,,4.0,401,0,39.6,0,2,0,0,0,0.0
Chance Bates,79513,LB,E CAROLINA,3,4,,4.0,156,0,39.6,0,1,0,0,0,0.0
Ethan Slade,147532,S,BYU,3,6,,3.0,128,0,39.6,0,2,0,0,0,0.0
William Hooper,78994,CB,NWSTATE,3,8,,8.0,257,0,39.6,0,1,0,0,0,0.0
Quenton Porter,79199,CB,STNY BROOK,2,3,,3.0,303,0,39.6,0,1,0,0,0,0.0
Devyn Perkins,141301,CB,UTAHTC,1,1,,1.0,1285,0,39.6,0,1,0,0,0,0.0
Cage Schenck,141538,CB,E WASHGTON,3,17,,8.5,161,0,39.6,0,2,0,0,0,0.0
DyShawn Gales,79027,CB,S DAK ST,2,3,,3.0,292,1,0.0,0,1,0,0,0,0.0
Abner Dubar,129647,S,ABILENE CH,4,18,,9.0,100,0,39.6,0,2,0,0,0,0.0
Joe Casale,79150,LB,ROB MORRIS,2,3,,1.5,277,0,39.6,0,2,0,0,0,0.0
Cincere Mason,79045,S,KANSAS ST,4,14,,14.0,199,0,39.6,0,1,0,0,0,0.0
Ben Schmiesing,101489,LB,DAYTON,3,18,,18.0,150,1,0.0,0,1,0,0,0,0.0
Quinn Schulte,101737,S,IOWA,3,4,,4.0,192,0,39.6,0,1,0,0,0,0.0
