player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Nichel Herron,12538,LB,ALCORN ST,2,1,0,50.0,0,0,107,44.2,42.4,74.4,,50.0,60.8,0,0,0,12,0.0,0,0,0,68.8,1,0,32,0,14,35,1,0,0,1,0,0,34,0,21,2,2,3,2,0,0,12,6,12.0
Taurence Wilson,12965,CB,ALCORN ST,2,0,0,100.0,0,0,107,52.5,50.1,78.9,,45.0,53.9,0,0,0,40,25.0,1,0,1,118.8,4,0,3,77,42,87,3,0,0,3,0,0,84,0,45,3,0,3,4,0,0,67,15,16.8
Jaylan Foster,13095,S,S CAROLINA,6,8,0,56.3,0,2,289,85.1,79.1,83.6,87.6,57.9,62.6,0,0,4,22,16.4,9,0,0,70.3,9,2,135,2,177,355,2,0,0,2,0,154,353,4,174,62,15,38,16,2,2,82,45,9.1
Joshua Carter,19821,CB,SAMFORD,1,0,0,100.0,0,0,282,58.7,59.6,72.4,,61.6,73.5,0,0,0,14,0.0,0,0,0,118.8,1,0,2,11,10,16,0,0,0,0,0,0,16,0,6,3,0,1,1,0,0,14,2,14.0
Armond Lloyd,19822,DI,SAMFORD,1,1,0,,0,0,282,,71.9,75.3,60.6,74.5,66.5,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,31,31,5,24,0,2,0,0,17,14,0,0,0,0,0,0,0,0,
Coutrell Plair,20191,CB,SAMFORD,1,0,0,80.0,0,0,282,63.1,64.5,76.6,,66.5,53.2,0,0,0,20,20.0,1,0,0,93.3,4,0,1,48,32,50,1,0,0,1,0,0,49,0,18,0,1,4,5,0,0,32,12,8.0
Rashun Freeman,21870,CB,CHATTNOOGA,3,1,0,55.6,0,1,137,89.7,86.7,83.9,63.6,65.3,62.4,0,2,1,12,16.7,2,1,0,37.7,10,0,23,4,77,143,11,0,0,11,0,2,132,9,57,103,5,9,18,2,0,45,39,4.5
Mark Williams,21922,CB,LA MONROE,4,1,0,84.6,0,0,209,65.8,65.0,81.5,55.6,58.4,36.3,0,0,0,11,28.6,6,1,1,88.1,11,0,8,194,139,205,3,0,0,3,0,0,202,2,64,0,6,14,13,0,0,67,30,6.1
Jerrell Lawson,22006,S,CHATTNOOGA,3,3,0,62.5,0,0,137,79.2,80.7,82.0,57.9,79.9,77.4,0,0,1,30,8.3,2,0,0,91.1,5,0,61,0,110,183,0,0,0,0,0,100,183,1,72,22,7,19,8,0,1,71,16,14.2
Oshea Trujillo,22177,LB,IDAHO ST,5,4,1,78.3,0,2,186,82.0,75.5,88.6,62.5,60.0,34.4,2,2,1,35,27.3,12,1,0,77.9,18,0,50,5,167,324,96,0,0,96,0,1,228,26,131,172,10,28,23,4,0,162,133,9.0
Jarrell Jackson,22290,CB,ILL STATE,3,1,0,41.7,0,0,188,72.5,73.9,80.8,,74.3,68.5,0,0,0,27,10.0,1,2,0,53.8,5,0,2,169,83,172,1,0,0,1,0,0,171,0,89,0,2,8,12,0,0,49,7,9.8
Stefan Williams,22300,ED,CHARLES SO,2,0,0,,0,0,135,60.0,63.2,73.5,58.5,63.3,70.8,0,0,0,,0.0,0,0,0,0.0,0,0,2,0,1,15,13,0,2,3,8,0,2,5,9,0,1,1,0,0,0,0,0,
Devin Taylor,22317,CB,BOWL GREEN,6,3,0,38.5,0,0,122,61.5,60.7,26.2,47.6,65.4,51.3,0,2,1,23,25.0,5,6,2,36.1,10,0,10,380,185,401,4,0,0,4,0,2,397,6,210,5,3,12,26,2,0,112,34,11.2
Jordan Jones,22379,CB,CHATTNOOGA,3,1,0,81.8,0,0,137,66.0,61.6,79.0,,42.8,50.8,0,0,0,57,20.0,3,0,0,158.3,9,0,34,137,103,172,1,0,0,1,0,0,171,0,69,0,3,11,11,0,2,148,67,16.4
Jarrod Stanley,22430,CB,CHARLES SO,3,1,0,61.5,0,0,135,68.5,70.0,0.0,,80.2,61.3,0,0,1,60,18.8,3,2,3,113.0,8,0,22,109,67,134,0,0,0,0,0,0,134,0,67,3,6,12,13,0,2,188,73,23.5
Nick Salley,22617,ED,CHARLES SO,4,6,0,100.0,0,0,135,69.4,66.4,87.1,56.7,70.2,49.0,0,7,0,15,23.8,5,0,0,118.8,1,1,2,0,3,261,258,0,0,252,6,0,3,131,127,1,10,10,1,8,0,15,17,15.0
Raemo Trevino,22649,ED,IDAHO ST,5,2,0,,0,0,186,59.0,60.6,31.3,61.2,64.8,64.1,1,6,0,,7.1,1,0,1,0.0,0,0,2,0,0,152,150,6,16,34,94,0,2,85,67,0,8,11,0,7,0,0,0,
Edward King,22770,LB,CHARLES SO,2,0,0,100.0,0,0,135,63.8,71.4,75.7,82.4,64.3,60.7,1,0,0,24,14.3,1,0,0,104.2,2,1,39,0,20,42,0,0,0,0,0,1,42,1,21,2,3,6,2,2,0,18,4,9.0
Cortez Davis,22974,CB,HAWAII,6,3,0,51.0,0,0,180,63.6,63.4,85.2,61.4,59.4,65.4,1,2,1,44,8.3,2,9,1,81.9,26,0,29,416,271,471,22,0,0,22,0,1,449,14,186,3,5,19,51,3,3,317,145,12.2
Kelvin Broome Jr.,23025,LB,INDIANA ST,3,0,0,0.0,0,0,191,58.6,42.0,78.6,62.2,32.8,28.5,0,0,0,,37.5,3,0,0,39.6,0,1,83,0,26,94,9,0,0,9,0,0,85,8,60,2,4,5,1,1,0,0,0,
Dru Prox,23093,LB,UTSA,5,2,0,60.0,0,1,331,42.9,60.3,75.5,85.5,70.9,83.6,1,1,0,40,0.0,0,0,0,143.8,3,1,85,0,47,88,0,0,0,0,0,0,88,6,35,3,3,7,5,3,1,69,41,23.0
Reggie Stubblefield,23441,CB,KANSAS ST,4,1,0,83.3,0,0,199,70.5,74.8,81.2,77.1,73.9,56.7,0,2,0,14,20.0,2,1,1,91.0,5,1,8,1,67,91,5,0,0,5,0,1,86,8,16,76,4,7,6,3,0,35,31,7.0
Mikel Horton,23509,DI,CHARLOTTE,1,0,0,,0,0,136,,70.8,72.7,65.1,66.9,69.7,1,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,13,13,2,11,0,0,0,0,7,6,0,1,1,0,2,0,0,0,
Najee Reams,23773,S,NC A&T,2,2,0,90.0,0,0,246,36.0,46.5,82.7,,76.4,63.3,0,0,0,29,15.0,3,0,0,115.4,9,0,31,12,76,141,2,0,0,2,0,55,139,0,65,41,4,15,10,0,0,117,50,13.0
Matt Stevens,23774,LB,NC CENT,2,2,0,62.5,0,0,247,66.8,64.8,76.4,57.8,60.2,85.3,0,0,0,14,0.0,0,1,0,75.0,5,0,65,0,42,75,0,0,0,0,0,0,75,1,32,10,3,8,8,0,0,40,17,8.0
Jordan Canady,23841,S,N DAKOTA,2,0,0,85.7,0,0,249,57.3,60.7,79.4,58.6,68.6,84.8,0,0,1,39,0.0,0,0,1,79.2,6,0,14,1,24,55,2,0,0,2,0,20,53,3,28,18,1,7,7,0,0,93,10,15.5
Kevin Johnson,23904,S,NICHOLLS,2,0,0,66.7,0,0,243,68.0,64.1,0.0,59.4,63.0,82.7,0,1,0,31,0.0,0,0,1,100.7,2,0,4,5,30,85,35,0,0,35,0,0,50,13,42,41,4,7,3,1,0,31,9,15.5
Darion Dunn,23963,CB,TEXAS,6,3,0,60.0,0,1,311,70.8,71.7,80.2,,70.6,69.3,0,0,0,52,12.5,2,0,0,102.1,9,0,11,167,112,178,0,0,0,0,0,0,178,0,66,0,3,11,15,0,1,100,25,11.1
Harrison Poole,24102,CB,MERCER,3,2,0,66.7,0,0,219,73.5,66.4,81.4,55.9,45.6,68.5,0,1,0,8,10.0,1,0,0,70.1,4,0,16,1,49,101,2,0,0,2,0,11,99,4,48,71,2,7,6,1,0,13,26,3.3
