player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
John Porchivina,28202,LB,OLE MISS,1,0,,,100.0,,,0,0,0,,226,60.3,47.4,67.2,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Colby Reeder,30285,LB,IOWA STATE,6,0,4.7,62.5,71.7,10.6,6.6,0,1,1,6.3,193,70.7,76.5,29.3,74.5,79.3,70.5,2,18,11.1,1,1,1,73.4,10,114,159,4,8,16,2,74,33,0.7,7.4
Kyle Pugh,35900,LB,N ILLINOIS,9,5,10.6,40.0,84.1,58.5,23.4,0,0,1,20.0,254,75.2,70.6,81.5,51.6,66.9,83.7,0,11,6.7,1,1,0,51.3,2,122,145,3,9,5,0,19,12,0.2,9.5
Jordan Carmouche,39951,LB,ARK STATE,9,3,7.1,70.6,87.8,19.7,13.9,0,0,0,0.0,113,56.7,56.9,51.2,54.1,59.7,75.9,0,51,10.0,1,0,1,142.8,12,259,295,2,6,17,2,174,113,0.7,14.5
Monte McGary,42477,CB,KANSAS,5,1,9.0,100.0,94.1,15.0,15.0,0,0,0,0.0,198,62.1,59.5,75.2,59.0,53.5,53.8,0,12,0.0,0,0,0,116.7,1,16,17,0,1,1,0,12,3,0.8,12.0
Bricen Garner,42520,S,W MICHIGAN,9,6,7.9,72.4,98.0,13.4,9.7,0,0,2,6.9,347,70.3,68.5,86.1,62.5,62.2,75.3,1,37,5.3,2,2,0,82.4,21,297,303,9,30,29,0,239,79,0.9,11.4
Brandon Moore,42620,CB,NEBRASKA,5,1,10.6,55.6,98.8,15.2,8.4,0,0,0,0.0,238,75.4,73.3,0.0,60.0,66.2,61.8,1,13,16.7,1,0,1,28.7,5,82,83,1,4,9,0,43,19,0.6,8.6
Clifford Chattman,42657,S,UTSA,8,4,12.3,53.3,98.9,16.4,8.8,0,0,5,16.7,331,62.0,62.5,87.4,58.9,61.9,63.6,0,55,11.5,3,5,2,95.7,16,278,281,2,19,30,1,274,97,1.0,17.1
Anthony Watts,42807,DI,MARSHALL,8,0,17.0,100.0,2.2,3.0,3.0,0,0,0,0.0,214,54.5,62.1,47.1,61.7,66.5,70.1,0,49,33.3,1,0,1,118.8,1,3,134,2,2,1,0,49,32,16.3,49.0
Justin Clark,43185,CB,WISCONSIN,6,0,13.2,60.0,100.0,14.0,8.4,0,0,2,20.0,349,59.2,59.0,80.7,,57.2,60.6,0,29,20.0,1,0,2,87.9,6,91,91,1,4,10,0,86,16,1.0,14.3
