player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
DJ Irons,145585,QB,AKRON,9,128,10.9,0,102,2,8,16.4,28.1,78.9,9.4,0,19,14,21,36,128,101,12,22,25,19,4,17.2,19.5,9,14.8,3.1
Connor Bazelak,99135,QB,INDIANA,8,120,18.3,0,190,2,2,11.7,15.0,85.0,10.0,0,7,22,14,18,120,102,12,26,42,7,3,21.7,35.0,3,5.8,2.5
Cameron Ward,133244,QB,WASH STATE,8,115,8.7,0,341,8,15,14.8,13.0,64.3,11.3,0,31,10,17,15,115,74,13,14,29,31,2,12.2,25.2,8,27.0,1.7
Brennan Armstrong,77696,QB,VIRGINIA,8,114,17.5,0,335,1,7,14.9,29.8,86.8,0.0,0,15,20,17,34,114,99,0,11,32,15,7,9.6,28.1,7,13.2,6.1
Jack Plummer,83543,QB,CAL,8,107,10.3,0,130,3,7,15.0,25.2,86.9,1.9,0,12,11,16,27,107,93,2,18,35,12,4,16.8,32.7,2,11.2,3.7
Drake Maye,143969,QB,N CAROLINA,8,106,6.6,0,245,3,15,20.8,2.8,68.9,8.5,0,26,7,22,3,106,73,9,17,22,26,8,16.0,20.8,8,24.5,7.5
James Blackman,60382,QB,ARK STATE,8,98,19.4,0,113,1,3,15.3,18.4,82.7,11.2,0,7,19,15,18,98,81,11,13,26,7,3,13.3,26.5,3,7.1,3.1
Jayden de Laura,131928,QB,ARIZONA,8,97,10.3,0,109,0,6,19.6,16.5,82.5,6.2,0,13,10,19,16,97,80,6,12,29,13,5,12.4,29.9,7,13.4,5.2
Hayden Wolff,98362,QB,DOMINION,8,97,25.8,0,263,2,3,15.5,21.6,85.6,4.1,0,10,25,15,21,97,83,4,24,18,10,4,24.7,18.6,5,10.3,4.1
Phil Jurkovec,83533,QB,BOSTON COL,8,96,8.3,0,121,3,3,15.6,27.1,81.3,7.3,0,9,8,15,26,96,78,7,13,31,9,3,13.5,32.3,3,9.4,3.1
Chase Cunningham,78533,QB,MIDDLE TN,8,95,14.7,0,224,2,3,15.8,29.5,85.3,7.4,0,9,14,15,28,95,81,7,18,20,9,1,18.9,21.1,4,9.5,1.1
Hunter Dekkers,122511,QB,IOWA STATE,8,95,15.8,0,193,1,2,10.5,25.3,83.2,12.6,0,5,15,10,24,95,79,12,10,25,5,3,10.5,26.3,2,5.3,3.2
Kurtis Rourke,97998,QB,OHIO,9,92,14.1,0,259,3,4,14.1,25.0,87.0,4.3,0,8,13,13,23,92,80,4,15,30,8,6,16.3,32.6,1,8.7,6.5
Casey Thompson,77677,QB,NEBRASKA,8,89,6.7,0,238,2,5,18.0,30.3,91.0,-2.2,0,9,6,16,27,89,81,-2,17,20,9,10,19.1,22.5,2,10.1,11.2
Spencer Sanders,77660,QB,OKLA STATE,8,88,19.3,0,262,1,8,27.3,20.5,83.0,3.4,0,15,17,24,18,88,73,3,9,18,15,2,10.2,20.5,6,17.0,2.3
Cole Snyder,97617,QB,BUFFALO,9,86,7.0,0,126,1,3,17.4,26.7,82.6,3.5,0,13,6,15,23,86,71,3,18,17,13,1,20.9,19.8,9,15.1,1.2
Matt McDonald,60350,QB,BOWL GREEN,8,85,17.6,0,122,0,4,17.6,27.1,84.7,7.1,0,7,15,15,23,85,72,6,16,9,7,5,18.8,10.6,3,8.2,5.9
